,demand_R1,PV,WindOnshore,demand_R2,demand_R4,demand_R3
t0001,42558,0,8657,38302,29790,6383
t0002,41620,0,8827,37458,29133,6243
t0003,40611,0,9081,36549,28427,6091
t0004,38809,0,9091,34928,27166,5821
t0005,38411,0,9167,34569,26887,5761
t0006,37426,0,9238,33683,26198,5613
t0007,36115,0,9698,32503,25280,5417
t0008,36229,0,10331,32606,25360,5434
t0009,36529,52,10211,32876,25570,5479
t0010,38909,771,10033,35018,27236,5836
t0011,41173,2115,10551,37055,28821,6175
t0012,43186,3363,11394,38867,30230,6477
t0013,45225,4196,12107,40702,31657,6783
t0014,44375,3499,12509,39937,31062,6656
t0015,43602,2277,11924,39241,30521,6540
t0016,43547,744,11860,39192,30482,6532
t0017,45734,49,13593,41160,32013,6860
t0018,49478,0,15445,44530,34634,7421
t0019,48977,0,16872,44079,34283,7346
t0020,48013,0,18025,43211,33609,7201
t0021,46133,0,19208,41519,32293,6919
t0022,44470,0,20384,40023,31128,6670
t0023,48237,0,21266,43413,33765,7235
t0024,46446,0,22104,41801,32512,6966
t0025,44427,0,22512,39984,31098,6664
t0026,43542,0,23489,39187,30479,6531
t0027,42916,0,24319,38624,30041,6437
t0028,42744,0,25143,38469,29920,6411
t0029,42666,0,25808,38399,29866,6399
t0030,44044,0,26232,39639,30830,6606
t0031,45986,0,26418,41387,32190,6897
t0032,48692,0,26278,43822,34084,7303
t0033,52277,36,26742,47049,36593,7841
t0034,54975,252,26067,49477,38482,8246
t0035,56962,665,25723,51265,39873,8544
t0036,58350,1261,25859,52515,40845,8752
t0037,58446,1725,25762,52601,40912,8766
t0038,58011,1898,25877,52209,40607,8701
t0039,57017,1350,25424,51315,39911,8552
t0040,55770,514,25114,50193,39039,8365
t0041,56859,43,24810,51173,39801,8528
t0042,59224,0,24388,53301,41456,8883
t0043,59478,0,25101,53530,41634,8921
t0044,57265,0,24831,51538,40085,8589
t0045,54888,0,24295,49399,38421,8233
t0046,53277,0,24375,47949,37293,7991
t0047,52592,0,24559,47332,36814,7888
t0048,47936,0,24615,43142,33555,7190
t0049,44514,0,24086,40062,31159,6677
t0050,42804,0,23302,38523,29962,6420
t0051,41199,0,22135,37079,28839,6179
t0052,40274,0,20919,36246,28191,6041
t0053,39691,0,20300,35721,27783,5953
t0054,39866,0,20537,35879,27906,5979
t0055,41833,0,21377,37649,29283,6274
t0056,43941,0,22018,39546,30758,6591
t0057,46584,72,23040,41925,32608,6987
t0058,49102,607,23479,44191,34371,7365
t0059,50842,1276,23146,45757,35589,7626
t0060,52840,1698,23291,47556,36988,7926
t0061,53722,1616,22926,48349,37605,8058
t0062,53654,1153,21270,48288,37557,8048
t0063,52645,584,19496,47380,36851,7896
t0064,52415,193,17532,47173,36690,7862
t0065,54662,20,16097,49195,38263,8199
t0066,57756,0,15358,51980,40429,8663
t0067,58146,0,14381,52331,40702,8721
t0068,56229,0,12929,50606,39360,8434
t0069,52532,0,13784,47278,36772,7879
t0070,51354,0,15237,46218,35947,7703
t0071,51075,0,15896,45967,35752,7661
t0072,49192,0,17365,44272,34434,7378
t0073,44957,0,17873,40461,31469,6743
t0074,41795,0,18728,37615,29256,6269
t0075,40282,0,18898,36253,28197,6042
t0076,39447,0,19052,35502,27612,5917
t0077,39643,0,19180,35678,27750,5946
t0078,39222,0,18769,35299,27455,5883
t0079,39016,0,18674,35114,27311,5852
t0080,39937,0,18039,35943,27955,5990
t0081,41363,56,18043,37226,28954,6204
t0082,43653,972,17287,39287,30557,6547
t0083,46024,2769,16828,41421,32216,6903
t0084,48667,4149,16910,43800,34066,7300
t0085,48895,4577,16863,44005,34226,7334
t0086,47961,3992,16685,43164,33572,7194
t0087,46474,2421,16155,41826,32531,6971
t0088,46383,950,15109,41744,32468,6957
t0089,48527,82,14191,43674,33968,7279
t0090,52744,0,13724,47469,36920,7911
t0091,53714,0,13743,48342,37599,8057
t0092,52765,0,14211,47488,36935,7914
t0093,50521,0,14082,45468,35364,7578
t0094,49410,0,13036,44469,34587,7411
t0095,49255,0,12419,44329,34478,7388
t0096,47055,0,12392,42349,32938,7058
t0097,44849,0,12311,40364,31394,6727
t0098,42904,0,12254,38613,30032,6435
t0099,42139,0,12665,37925,29497,6320
t0100,41710,0,12725,37539,29196,6256
t0101,43188,0,13545,38869,30231,6478
t0102,46524,0,14867,41871,32566,6978
t0103,51016,0,15428,45914,35711,7652
t0104,55776,0,15355,50198,39043,8366
t0105,59321,92,15266,53388,41524,8898
t0106,60004,1056,14714,54003,42002,9000
t0107,60799,2985,13709,54719,42559,9119
t0108,60862,4768,12351,54775,42603,9129
t0109,60838,5869,11156,54754,42586,9125
t0110,59853,5664,9825,53867,41897,8977
t0111,58912,4094,7917,53020,41238,8836
t0112,57927,1787,6249,52134,40548,8689
t0113,59251,196,5134,53325,41475,8887
t0114,62605,0,4568,56344,43823,9390
t0115,62763,0,4271,56486,43934,9414
t0116,61215,0,3955,55093,42850,9182
t0117,57003,0,3212,51302,39902,8550
