indicator,accNodesData,converter_techs,vintage,perUnitBuild,useAnnuity,amorTime,interest
Invest,global,Battery,2020,117.0,1,20,0.06
Invest,global,Battery,2030,55.0,1,20,0.06
Invest,global,Battery,2040,37.0,1,20,0.06
Invest,global,Battery,2050,30.0,1,20,0.06
Invest,global,pv_central_fixed,1950,560.0,1,35,0.06
Invest,global,pv_central_fixed,2030,380.0,1,40,0.06
Invest,global,pv_central_fixed,2040,320.0,1,40,0.06
Invest,global,pv_central_fixed,2050,290.0,1,40,0.06
Invest,global,pv_central_track_azimuth,1950,650.0,1,35,0.06
Invest,global,pv_central_track_azimuth,2030,450.0,1,40,0.06
Invest,global,pv_central_track_azimuth,2040,380.0,1,40,0.06
Invest,global,pv_central_track_azimuth,2050,350.0,1,40,0.06
Invest,global,pv_decentral,1950,870.0,1,35,0.06
Invest,global,pv_decentral,2030,570.0,1,40,0.06
Invest,global,pv_decentral,2040,460.0,1,40,0.06
Invest,global,pv_decentral,2050,410.0,1,40,0.06
Invest,global,wind_offshore_floating,1950,2544.0,1,27,0.06
Invest,global,wind_offshore_floating,2030,2744.4,1,30,0.06
Invest,global,wind_offshore_floating,2040,2601.6,1,30,0.06
Invest,global,wind_offshore_floating,2050,2556.0,1,30,0.06
Invest,global,wind_offshore_foundation,1950,2120.0,1,27,0.06
Invest,global,wind_offshore_foundation,2030,2287.0,1,30,0.06
Invest,global,wind_offshore_foundation,2040,2168.0,1,30,0.06
Invest,global,wind_offshore_foundation,2050,2130.0,1,30,0.06
Invest,global,wind_onshore,1950,1130.0,1,27,0.06
Invest,global,wind_onshore,2030,840.0,1,30,0.06
Invest,global,wind_onshore,2040,780.0,1,30,0.06
Invest,global,wind_onshore,2050,760.0,1,30,0.06
