converter_techs,vintage,lifeTime,activityUpperLimit
BIO,1950,30,1.0
BIO,2030,30,1.0
Battery,2020,20,1.0
Battery,2030,20,1.0
Battery,2040,20,1.0
Battery,2050,20,1.0
CCGT,1950,30,1.0
CCGT,2030,30,1.0
COAL,1950,30,1.0
COAL,2030,30,1.0
DIE,1950,30,1.0
DIE,2030,30,1.0
GT,1950,30,1.0
GT,2030,30,1.0
Hydro,1950,100,1.0
OCGT,1950,30,1.0
OCGT,2030,30,1.0
geoth,1950,100,0.9
pv_central_fixed,1950,35,0.0
pv_central_fixed,2030,40,0.0
pv_central_fixed,2040,40,0.0
pv_central_fixed,2050,40,0.0
pv_central_track_azimuth,1950,35,0.0
pv_central_track_azimuth,2030,40,0.0
pv_central_track_azimuth,2040,40,0.0
pv_central_track_azimuth,2050,40,0.0
pv_decentral,1950,35,0.0
pv_decentral,2030,40,0.0
pv_decentral,2040,40,0.0
pv_decentral,2050,40,0.0
wind_offshore_floating,1950,27,0.0
wind_offshore_floating,2030,30,0.0
wind_offshore_floating,2040,30,0.0
wind_offshore_floating,2050,30,0.0
wind_offshore_foundation,1950,27,0.0
wind_offshore_foundation,2030,30,0.0
wind_offshore_foundation,2040,30,0.0
wind_offshore_foundation,2050,30,0.0
wind_onshore,1950,27,0.0
wind_onshore,2030,30,0.0
wind_onshore,2040,30,0.0
wind_onshore,2050,30,0.0
