accNodesModel,accYears,techs,commodity,balanceType,value
AKL,2020,BIO,Elec,netto,0.11640973047281059
AKL,2020,BIO,Elec,brutto,0.11640973047281059
AKL,2020,BIO,Elec,positive,0.11640973047281059
AKL,2020,BIO,Elec,flh,9.312778437824846
AKL,2020,Battery,Elec,netto,-3.0078227255161073e-06
AKL,2020,Battery,Elec,brutto,3.0078227255161073e-06
AKL,2020,Battery,Elec,negative,-3.0078227255161073e-06
AKL,2020,Battery,Elec,flh,23.909362520078744
AKL,2020,Battery,Elec_battery,netto,6.3321192878817114e-21
AKL,2020,Battery,Elec_battery,brutto,6.3321192878817114e-21
AKL,2020,Battery,Elec_battery,positive,6.3321192878817114e-21
AKL,2020,Battery,Elec_battery,flh,5.162501997345511e-14
AKL,2020,COAL,Elec,netto,964.0385590194201
AKL,2020,COAL,Elec,brutto,964.0385590194201
AKL,2020,COAL,Elec,positive,964.0385590194201
AKL,2020,COAL,Elec,flh,8607.487134101964
AKL,2020,GT,Elec,netto,0.026641301012426035
AKL,2020,GT,Elec,brutto,0.026641301012426035
AKL,2020,GT,Elec,positive,0.026641301012426035
AKL,2020,GT,Elec,flh,7.400361392340566
AKL,2020,HV,Elec,netto,7160.63739283944
AKL,2020,HV,Elec,brutto,7160.63739283944
AKL,2020,HV,Elec,positive,7160.63739283944
AKL,2020,Slack,Elec,netto,1.176128949859424e-07
AKL,2020,Slack,Elec,brutto,1.176128949859424e-07
AKL,2020,Slack,Elec,positive,1.176128949859424e-07
AKL,2020,Wholesale,Elec,netto,-8124.819000000011
AKL,2020,Wholesale,Elec,brutto,8124.819000000011
AKL,2020,Wholesale,Elec,negative,-8124.819000000011
AKL,2030,BIO,Elec,netto,2.14693264843367e-06
AKL,2030,BIO,Elec,brutto,2.14693264843367e-06
AKL,2030,BIO,Elec,positive,2.14693264843367e-06
AKL,2030,BIO,Elec,flh,0.00030670458306252804
AKL,2030,Battery,Elec,netto,-141.3938288496053
AKL,2030,Battery,Elec,brutto,5148.28333739287
AKL,2030,Battery,Elec,positive,2503.4447542716316
AKL,2030,Battery,Elec,negative,-2644.838583121238
AKL,2030,Battery,Elec,flh,3854.638487504955
AKL,2030,Battery,Elec_battery,netto,5.536064027120471e-10
AKL,2030,Battery,Elec_battery,brutto,8.381210875958596e-08
AKL,2030,Battery,Elec_battery,positive,4.2182857581149e-08
AKL,2030,Battery,Elec_battery,negative,-4.162925117843696e-08
AKL,2030,Battery,Elec_battery,flh,6.436108623490021e-08
AKL,2030,CCGT,Elec,netto,2.9931702960190373e-06
AKL,2030,CCGT,Elec,brutto,2.9931702960190373e-06
AKL,2030,CCGT,Elec,positive,2.9931702960190373e-06
AKL,2030,CCGT,Elec,flh,425.25613197283343
AKL,2030,COAL,Elec,netto,2.114327575427699e-06
AKL,2030,COAL,Elec,brutto,2.114327575427699e-06
AKL,2030,COAL,Elec,positive,2.114327575427699e-06
AKL,2030,COAL,Elec,flh,696.1452705950046
AKL,2030,DIE,Elec,netto,1.2118894353184455e-06
AKL,2030,DIE,Elec,brutto,1.2118894353184455e-06
AKL,2030,DIE,Elec,positive,1.2118894353184455e-06
AKL,2030,DIE,Elec,flh,246.76733148599317
AKL,2030,GT,Elec,netto,2.0769564903749393e-06
AKL,2030,GT,Elec,brutto,2.0769564903749393e-06
AKL,2030,GT,Elec,positive,2.0769564903749393e-06
