accNodesModel,accYears,techs,commodity,balanceType,value
AKL,2020,BIO,Elec,netto,0.12205542664746855
AKL,2020,BIO,Elec,brutto,0.12205542664746855
AKL,2020,BIO,Elec,positive,0.12205542664746855
AKL,2020,BIO,Elec,flh,9.764434131797483
AKL,2020,Battery,Elec,netto,-1.728318051206295e-06
AKL,2020,Battery,Elec,brutto,1.728318051206295e-06
AKL,2020,Battery,Elec,negative,-1.728318051206295e-06
AKL,2020,Battery,Elec,flh,24.905422869575133
AKL,2020,Battery,Elec_battery,netto,3.410724159497556e-21
AKL,2020,Battery,Elec_battery,brutto,3.410724159497556e-21
AKL,2020,Battery,Elec_battery,positive,3.410724159497556e-21
AKL,2020,Battery,Elec_battery,flh,5.040948213857731e-14
AKL,2020,COAL,Elec,netto,964.6111413649775
AKL,2020,COAL,Elec,brutto,964.6111413649775
AKL,2020,COAL,Elec,positive,964.6111413649775
AKL,2020,COAL,Elec,flh,8612.599476473013
AKL,2020,Electrolyser,Elec,netto,-3.2410286979716122e-06
AKL,2020,Electrolyser,Elec,brutto,3.2411372477518877e-06
AKL,2020,Electrolyser,Elec,positive,5.42748901377621e-11
AKL,2020,Electrolyser,Elec,negative,-3.24108297286175e-06
AKL,2020,Electrolyser,H2,netto,2.155284084151122e-06
AKL,2020,Electrolyser,H2,brutto,2.155356269755005e-06
AKL,2020,Electrolyser,H2,positive,2.1553201769530635e-06
AKL,2020,Electrolyser,H2,negative,-3.60928019416118e-11
AKL,2020,Electrolyser,H2,flh,342.81281004835273
AKL,2020,GT,Elec,netto,0.030429002397116368
AKL,2020,GT,Elec,brutto,0.030429002397116368
AKL,2020,GT,Elec,positive,0.030429002397116368
AKL,2020,GT,Elec,flh,8.452500665865658
AKL,2020,H2_storage,Elec,netto,-1.0343989343078028e-06
AKL,2020,H2_storage,Elec,brutto,1.0343989343078028e-06
AKL,2020,H2_storage,Elec,negative,-1.0343989343078028e-06
AKL,2020,H2_storage,H2,netto,-7.094620136903137e-07
AKL,2020,H2_storage,H2,brutto,7.094620136903137e-07
AKL,2020,H2_storage,H2,negative,-7.094620136903137e-07
AKL,2020,H2_storage,H2,flh,2.8409896609277197
AKL,2020,H2_storage,H2_stored,netto,-9.245035814987198e-23
AKL,2020,H2_storage,H2_stored,brutto,1.7082572118927136e-22
AKL,2020,H2_storage,H2_stored,positive,3.9187681519699686e-23
AKL,2020,H2_storage,H2_stored,negative,-1.3163803966957167e-22
AKL,2020,H2_storage,H2_stored,flh,7.686059855550844e-16
AKL,2020,HV,Elec,netto,7160.055380144571
AKL,2020,HV,Elec,brutto,7160.055380144571
AKL,2020,HV,Elec,positive,7160.055380144571
AKL,2020,Demand,H2,netto,-1.4458220704608137e-06
AKL,2020,Demand,H2,brutto,1.44594487814228e-06
AKL,2020,Demand,H2,positive,6.140384073324656e-11
AKL,2020,Demand,H2,negative,-1.4458834743015469e-06
AKL,2020,Slack,Elec,netto,6.518872181591671e-08
AKL,2020,Slack,Elec,brutto,6.518872181591671e-08
AKL,2020,Slack,Elec,positive,6.518872181591671e-08
AKL,2020,Wholesale,Elec,netto,-8124.819000000011
AKL,2020,Wholesale,Elec,brutto,8124.819000000011
AKL,2020,Wholesale,Elec,negative,-8124.819000000011
AKL,2030,BIO,Elec,netto,7.243186944638797e-06
AKL,2030,BIO,Elec,brutto,7.243186944638797e-06
AKL,2030,BIO,Elec,positive,7.243186944638797e-06
AKL,2030,BIO,Elec,flh,0.00103474013888173
AKL,2030,Battery,Elec,netto,-142.2839612340352
AKL,2030,Battery,Elec,brutto,5199.789705270385
AKL,2030,Battery,Elec,positive,2528.7528720181726
AKL,2030,Battery,Elec,negative,-2671.0368332522125
AKL,2030,Battery,Elec,flh,3869.4465926683515
AKL,2030,Battery,Elec_battery,netto,1.8367819298173545e-08
AKL,2030,Battery,Elec_battery,brutto,1.244019843353843e-07
AKL,2030,Battery,Elec_battery,positive,7.138490181677883e-08
AKL,2030,Battery,Elec_battery,negative,-5.301708251860548e-08
AKL,2030,Battery,Elec_battery,flh,9.494798861790702e-08
AKL,2030,CCGT,Elec,netto,7.58945068978854e-06
