accNodesModel,accYears,techs,commodity,capType,value
AKL,1997,COAL,Elec,build,0.112
AKL,1997,COAL,Elec,total,0.112
AKL,1998,COAL,Elec,total,0.112
AKL,1999,COAL,Elec,total,0.112
AKL,2000,COAL,Elec,total,0.112
AKL,2003,BIO,Elec,total,0.0125
AKL,2003,COAL,Elec,total,0.112
AKL,2004,BIO,Elec,total,0.0125
AKL,2004,COAL,Elec,total,0.112
AKL,2005,BIO,Elec,total,0.0125
AKL,2005,COAL,Elec,total,0.112
AKL,2007,BIO,Elec,total,0.0125
AKL,2007,COAL,Elec,total,0.112
AKL,2008,BIO,Elec,total,0.0125
AKL,2008,COAL,Elec,total,0.112
AKL,2009,BIO,Elec,total,0.0125
AKL,2009,COAL,Elec,total,0.112
AKL,2010,BIO,Elec,total,0.0125
AKL,2010,COAL,Elec,total,0.112
AKL,2011,BIO,Elec,total,0.0125
AKL,2011,COAL,Elec,total,0.112
AKL,2013,BIO,Elec,total,0.0125
AKL,2013,COAL,Elec,total,0.112
AKL,2014,BIO,Elec,total,0.0125
AKL,2014,COAL,Elec,total,0.112
AKL,2015,BIO,Elec,total,0.0125
AKL,2015,COAL,Elec,total,0.112
AKL,2018,BIO,Elec,total,0.0125
AKL,2018,COAL,Elec,total,0.112
AKL,2020,BIO,Elec,total,0.0125
AKL,2020,BIO,Elec,upperLimit,100.0
AKL,2020,Battery,Elec,upperLimit,50.0
AKL,2020,Battery,Elec_battery,upperLimit,48.75
AKL,2020,CCGT,Elec,upperLimit,100.0
AKL,2020,COAL,Elec,total,0.112
AKL,2020,COAL,Elec,upperLimit,100.0
AKL,2020,DIE,Elec,upperLimit,100.0
AKL,2020,Electrolyser,H2,upperLimit,66.5
AKL,2020,GT,Elec,upperLimit,100.0
AKL,2020,H2_storage,H2,upperLimit,7.5
AKL,2020,H2_storage,H2_stored,upperLimit,6.675000000000001
AKL,2020,OCGT,Elec,upperLimit,100.0
AKL,2020,pv_central_fixed,Elec,upperLimit,180.66817
AKL,2020,pv_central_track_azimuth,Elec,upperLimit,180.66817
AKL,2020,pv_decentral,Elec,upperLimit,2.2025300000000003
AKL,2020,wind_offshore_floating,Elec,upperLimit,34.72203
AKL,2020,wind_offshore_foundation,Elec,upperLimit,12.56432
AKL,2020,wind_onshore,Elec,upperLimit,7.56917
AKL,2030,BIO,Elec,upperLimit,200.0
AKL,2030,Battery,Elec,build,1.3438070075125559
AKL,2030,Battery,Elec,total,1.34380707440767
AKL,2030,Battery,Elec,upperLimit,100.0
AKL,2030,Battery,Elec_battery,build,1.310211832324742
AKL,2030,Battery,Elec_battery,total,1.3102118975474781
AKL,2030,Battery,Elec_battery,upperLimit,97.5
AKL,2030,CCGT,Elec,upperLimit,200.0
AKL,2030,COAL,Elec,decom,0.112
AKL,2030,COAL,Elec,upperLimit,200.0
AKL,2030,DIE,Elec,upperLimit,200.0
AKL,2030,Electrolyser,H2,upperLimit,158.0
AKL,2030,GT,Elec,upperLimit,200.0
AKL,2030,OCGT,Elec,upperLimit,200.0
AKL,2030,pv_central_fixed,Elec,upperLimit,361.33634
AKL,2030,pv_central_track_azimuth,Elec,build,3.2258756298908056
AKL,2030,pv_central_track_azimuth,Elec,total,3.2258756298908056
AKL,2030,pv_central_track_azimuth,Elec,upperLimit,361.33634
AKL,2030,pv_decentral,Elec,upperLimit,4.405060000000001
AKL,2030,wind_offshore_floating,Elec,upperLimit,69.44406
AKL,2030,wind_offshore_foundation,Elec,upperLimit,25.12864
AKL,2030,wind_onshore,Elec,build,0.5125334992814304
AKL,2030,wind_onshore,Elec,total,0.5125334992814304
AKL,2030,wind_onshore,Elec,upperLimit,15.13834
AKL,2040,BIO,Elec,upperLimit,200.0
AKL,2040,Battery,Elec,upperLimit,100.0
AKL,2040,Battery,Elec_battery,upperLimit,97.5
AKL,2040,CCGT,Elec,upperLimit,200.0
AKL,2040,COAL,Elec,upperLimit,200.0
AKL,2040,DIE,Elec,upperLimit,200.0
AKL,2040,Electrolyser,H2,upperLimit,237.0
AKL,2040,GT,Elec,upperLimit,200.0
AKL,2040,OCGT,Elec,upperLimit,200.0
AKL,2040,pv_central_fixed,Elec,upperLimit,542.00451
AKL,2040,pv_central_track_azimuth,Elec,upperLimit,542.00451
AKL,2040,pv_decentral,Elec,upperLimit,6.607590000000001
AKL,2040,wind_offshore_floating,Elec,upperLimit,104.16609
AKL,2040,wind_offshore_foundation,Elec,upperLimit,37.69296
AKL,2040,wind_onshore,Elec,upperLimit,22.70751
AKL,2050,BIO,Elec,upperLimit,100.0
AKL,2050,Battery,Elec,build,6.670457004750703
AKL,2050,Battery,Elec,decom,1.3438070075125559
AKL,2050,Battery,Elec,total,6.670457004750703
AKL,2050,Battery,Elec,upperLimit,100.0
AKL,2050,Battery,Elec_battery,build,6.503695579631935
AKL,2050,Battery,Elec_battery,decom,1.310211832324742
AKL,2050,Battery,Elec_battery,total,6.503695579631935
AKL,2050,Battery,Elec_battery,upperLimit,97.5
AKL,2050,CCGT,Elec,build,0.5855939809354946
AKL,2050,CCGT,Elec,total,0.5855939809354946
AKL,2050,CCGT,Elec,upperLimit,100.0
AKL,2050,COAL,Elec,upperLimit,100.0
AKL,2050,DIE,Elec,upperLimit,100.0
AKL,2050,Electrolyser,H2,upperLimit,255.0
AKL,2050,GT,Elec,upperLimit,100.0
AKL,2050,OCGT,Elec,build,0.15142608560111476
AKL,2050,OCGT,Elec,total,0.15142608560111476
AKL,2050,OCGT,Elec,upperLimit,100.0
AKL,2050,pv_central_fixed,Elec,build,13.169232843455179
AKL,2050,pv_central_fixed,Elec,total,13.169232843455179
AKL,2050,pv_central_fixed,Elec,upperLimit,722.67268
AKL,2050,pv_central_track_azimuth,Elec,upperLimit,722.67268
AKL,2050,pv_decentral,Elec,upperLimit,8.810120000000001
AKL,2050,wind_offshore_floating,Elec,upperLimit,104.16609
AKL,2050,wind_offshore_foundation,Elec,upperLimit,37.69296
AKL,2050,wind_onshore,Elec,build,0.6832779792388495
AKL,2050,wind_onshore,Elec,total,0.6832779792388495
AKL,2050,wind_onshore,Elec,upperLimit,22.70751
BOP,1966,GT,Elec,build,0.037
BOP,1966,GT,Elec,total,0.037
BOP,1981,GT,Elec,total,0.037
BOP,1983,GT,Elec,total,0.037
BOP,1989,GT,Elec,total,0.037
BOP,1989,geoth,Elec,total,0.014
BOP,1992,GT,Elec,total,0.037
BOP,1992,geoth,Elec,total,0.014
BOP,1993,GT,Elec,total,0.037
BOP,1993,geoth,Elec,total,0.014
BOP,1994,GT,Elec,total,0.037
BOP,1994,geoth,Elec,total,0.014
BOP,1996,GT,Elec,total,0.037
BOP,1996,geoth,Elec,total,0.014
BOP,1997,GT,Elec,total,0.037
BOP,1997,geoth,Elec,total,0.014
BOP,1998,GT,Elec,total,0.037
BOP,1998,geoth,Elec,total,0.014
BOP,1999,GT,Elec,total,0.037
BOP,1999,geoth,Elec,total,0.014
BOP,2000,GT,Elec,total,0.037
BOP,2000,Hydro,Elec,build,0.17095
BOP,2000,Hydro,Elec,total,0.17095
