accNodesModel,accYears,techs,commodity,capType,value
AKL,2020,Battery,Elec_battery,upperLimit,120.0
AKL,2020,H2_storage,H2_stored,upperLimit,349.965
AKL,2030,Battery,Elec_battery,build,8.149066719702763
AKL,2030,Battery,Elec_battery,total,8.149066719702763
AKL,2030,Battery,Elec_battery,upperLimit,240.0
AKL,2040,Battery,Elec_battery,upperLimit,240.0
AKL,2050,Battery,Elec_battery,build,36.06652899315487
AKL,2050,Battery,Elec_battery,total,36.06652899315487
AKL,2050,Battery,Elec_battery,upperLimit,240.0
BOP,2000,Hydro_reservoir,Water_in,upperLimit,3000.0
BOP,2020,Battery,Elec_battery,upperLimit,120.0
BOP,2020,H2_storage,H2_stored,upperLimit,349.965
BOP,2020,Hydro_reservoir,Water_in,upperLimit,3000.0
BOP,2030,Battery,Elec_battery,build,1.452911923185221
BOP,2030,Battery,Elec_battery,total,1.452911923185221
BOP,2030,Battery,Elec_battery,upperLimit,240.0
BOP,2030,Hydro_reservoir,Water_in,upperLimit,3000.0
BOP,2040,Battery,Elec_battery,upperLimit,240.0
BOP,2040,Hydro_reservoir,Water_in,upperLimit,3000.0
BOP,2050,Battery,Elec_battery,build,9.085498706664435
BOP,2050,Battery,Elec_battery,total,9.085498706664435
BOP,2050,Battery,Elec_battery,upperLimit,240.0
BOP,2050,Hydro_reservoir,Water_in,upperLimit,3000.0
CAN,2000,Hydro_reservoir,Water_in,build,2517.2429
CAN,2000,Hydro_reservoir,Water_in,total,2517.2429
CAN,2000,Hydro_reservoir,Water_in,upperLimit,3000.0
CAN,2003,Hydro_reservoir,Water_in,total,2517.2429
CAN,2004,Hydro_reservoir,Water_in,total,2517.2429
CAN,2005,Hydro_reservoir,Water_in,total,2517.2429
CAN,2007,Hydro_reservoir,Water_in,total,2517.2429
CAN,2008,Hydro_reservoir,Water_in,total,2517.2429
CAN,2009,Hydro_reservoir,Water_in,total,2517.2429
CAN,2010,Hydro_reservoir,Water_in,total,2517.2429
CAN,2011,Hydro_reservoir,Water_in,total,2517.2429
CAN,2013,Hydro_reservoir,Water_in,total,2517.2429
CAN,2014,Hydro_reservoir,Water_in,total,2517.2429
CAN,2015,Hydro_reservoir,Water_in,total,2517.2429
CAN,2018,Hydro_reservoir,Water_in,total,2517.2429
CAN,2020,Battery,Elec_battery,upperLimit,120.0
CAN,2020,H2_storage,H2_stored,upperLimit,349.965
CAN,2020,Hydro_reservoir,Water_in,total,2517.2429
CAN,2020,Hydro_reservoir,Water_in,upperLimit,3000.0
CAN,2030,Battery,Elec_battery,build,0.8576118473124216
CAN,2030,Battery,Elec_battery,total,0.8576118473124216
CAN,2030,Battery,Elec_battery,upperLimit,240.0
CAN,2030,Hydro_reservoir,Water_in,total,2517.2429
CAN,2030,Hydro_reservoir,Water_in,upperLimit,3000.0
CAN,2040,Battery,Elec_battery,upperLimit,240.0
CAN,2040,Hydro_reservoir,Water_in,total,2517.2429
CAN,2040,Hydro_reservoir,Water_in,upperLimit,3000.0
CAN,2050,Battery,Elec_battery,build,14.919956043052071
CAN,2050,Battery,Elec_battery,total,14.919956043052071
CAN,2050,Battery,Elec_battery,upperLimit,240.0
CAN,2050,Hydro_reservoir,Water_in,total,2517.2429
CAN,2050,Hydro_reservoir,Water_in,upperLimit,3000.0
CEN,2000,Hydro_reservoir,Water_in,upperLimit,3000.0
CEN,2020,Battery,Elec_battery,upperLimit,120.0
CEN,2020,H2_storage,H2_stored,upperLimit,349.965
CEN,2020,Hydro_reservoir,Water_in,upperLimit,3000.0
CEN,2030,Battery,Elec_battery,build,1.0733012166068878
CEN,2030,Battery,Elec_battery,total,1.0733012166068878
CEN,2030,Battery,Elec_battery,upperLimit,240.0
CEN,2030,Hydro_reservoir,Water_in,upperLimit,3000.0
CEN,2040,Battery,Elec_battery,upperLimit,240.0
CEN,2040,Hydro_reservoir,Water_in,upperLimit,3000.0
CEN,2050,Battery,Elec_battery,build,1.2288840715458622
CEN,2050,Battery,Elec_battery,total,1.2288840715458622
CEN,2050,Battery,Elec_battery,upperLimit,240.0
CEN,2050,Hydro_reservoir,Water_in,upperLimit,3000.0
HBY,2000,Hydro_reservoir,Water_in,build,154.2635
HBY,2000,Hydro_reservoir,Water_in,total,154.2635
HBY,2000,Hydro_reservoir,Water_in,upperLimit,3000.0
HBY,2003,Hydro_reservoir,Water_in,total,154.2635
HBY,2004,Hydro_reservoir,Water_in,total,154.2635
HBY,2005,Hydro_reservoir,Water_in,total,154.2635
HBY,2007,Hydro_reservoir,Water_in,total,154.2635
HBY,2008,Hydro_reservoir,Water_in,total,154.2635
HBY,2009,Hydro_reservoir,Water_in,total,154.2635
HBY,2010,Hydro_reservoir,Water_in,total,154.2635
HBY,2011,Hydro_reservoir,Water_in,total,154.2635
HBY,2013,Hydro_reservoir,Water_in,total,154.2635
HBY,2014,Hydro_reservoir,Water_in,total,154.2635
HBY,2015,Hydro_reservoir,Water_in,total,154.2635
