accNodesModel,accYears,techs,commodity,balanceType,value
AKL,2020,BIO,Elec,netto,0.1201846630692693
AKL,2020,BIO,Elec,brutto,0.1201846630692693
AKL,2020,BIO,Elec,positive,0.1201846630692693
AKL,2020,BIO,Elec,flh,9.614773045541543
AKL,2020,Battery,Elec,netto,-8.551129885079695e-06
AKL,2020,Battery,Elec,brutto,8.551129885079695e-06
AKL,2020,Battery,Elec,negative,-8.551129885079695e-06
AKL,2020,Battery,Elec,flh,24.669569537122378
AKL,2020,Battery,Elec_battery,netto,1.7186124791861118e-20
AKL,2020,Battery,Elec_battery,brutto,1.7186124791861118e-20
AKL,2020,Battery,Elec_battery,positive,1.7186124791861118e-20
AKL,2020,Battery,Elec_battery,flh,5.0852395225420844e-14
AKL,2020,COAL,Elec,netto,964.6103135201281
AKL,2020,COAL,Elec,brutto,964.6103135201281
AKL,2020,COAL,Elec,positive,964.6103135201281
AKL,2020,COAL,Elec,flh,8612.592085001144
AKL,2020,GT,Elec,netto,0.03232189277723859
AKL,2020,GT,Elec,brutto,0.03232189277723859
AKL,2020,GT,Elec,positive,0.03232189277723859
AKL,2020,GT,Elec,flh,8.978303549232942
AKL,2020,HV,Elec,netto,7160.056188062758
AKL,2020,HV,Elec,brutto,7160.056188062758
AKL,2020,HV,Elec,positive,7160.056188062758
AKL,2020,Slack,Elec,netto,4.157035043021177e-07
AKL,2020,Slack,Elec,brutto,4.157035043021177e-07
AKL,2020,Slack,Elec,positive,4.157035043021177e-07
AKL,2020,Wholesale,Elec,netto,-8124.819000000011
AKL,2020,Wholesale,Elec,brutto,8124.819000000011
AKL,2020,Wholesale,Elec,negative,-8124.819000000011
AKL,2030,BIO,Elec,netto,0.07755484758965914
AKL,2030,BIO,Elec,brutto,0.07755484758965914
AKL,2030,BIO,Elec,positive,0.07755484758965914
AKL,2030,BIO,Elec,flh,11.079258536086384
AKL,2030,CCGT,Elec,netto,219.34118717116888
AKL,2030,CCGT,Elec,brutto,219.34118717116888
AKL,2030,CCGT,Elec,positive,219.34118717116888
AKL,2030,CCGT,Elec,flh,644.7432513074092
AKL,2030,COAL,Elec,netto,8.679618052979542e-06
AKL,2030,COAL,Elec,brutto,8.679618052979542e-06
AKL,2030,COAL,Elec,positive,8.679618052979542e-06
AKL,2030,COAL,Elec,flh,994.5785495107627
AKL,2030,DIE,Elec,netto,2.3439301747165053e-06
AKL,2030,DIE,Elec,brutto,2.3439301747165053e-06
AKL,2030,DIE,Elec,positive,2.3439301747165053e-06
AKL,2030,DIE,Elec,flh,137.63518473122937
AKL,2030,GT,Elec,netto,0.040724930174742935
AKL,2030,GT,Elec,brutto,0.040724930174742935
AKL,2030,GT,Elec,positive,0.040724930174742935
AKL,2030,GT,Elec,flh,11.312427433637533
AKL,2030,OCGT,Elec,netto,16.036242216647608
AKL,2030,OCGT,Elec,brutto,16.036242216647608
AKL,2030,OCGT,Elec,positive,16.036242216647608
AKL,2030,OCGT,Elec,flh,99.88705697734028
AKL,2030,pv_central_fixed,Elec,netto,0.0001570690651605567
AKL,2030,pv_central_fixed,Elec,brutto,0.0001570690651605567
AKL,2030,pv_central_fixed,Elec,positive,0.0001570690651605567
AKL,2030,pv_central_fixed,Elec,flh,1184.7135134868636
AKL,2030,pv_central_track_azimuth,Elec,netto,2950.2618808008892
AKL,2030,pv_central_track_azimuth,Elec,brutto,2950.2618808008892
AKL,2030,pv_central_track_azimuth,Elec,positive,2950.2618808008892
AKL,2030,pv_central_track_azimuth,Elec,flh,1826.9129237523043
AKL,2030,pv_decentral,Elec,netto,5.358916172114641e-05
AKL,2030,pv_decentral,Elec,brutto,5.358916172114641e-05
AKL,2030,pv_decentral,Elec,positive,5.358916172114641e-05
AKL,2030,pv_decentral,Elec,flh,960.0376524912443
AKL,2030,wind_offshore_floating,Elec,netto,5.0988705385384327e-05
AKL,2030,wind_offshore_floating,Elec,brutto,5.0988705385384327e-05
AKL,2030,wind_offshore_floating,Elec,positive,5.0988705385384327e-05
AKL,2030,wind_offshore_floating,Elec,flh,3175.595627044419
AKL,2030,wind_offshore_foundation,Elec,netto,6.63391124477735e-05
AKL,2030,wind_offshore_foundation,Elec,brutto,6.63391124477735e-05
AKL,2030,wind_offshore_foundation,Elec,positive,6.63391124477735e-05
AKL,2030,wind_offshore_foundation,Elec,flh,2687.7729951573624
AKL,2030,wind_onshore,Elec,netto,2337.672960935013
AKL,2030,wind_onshore,Elec,brutto,2337.672960935013
AKL,2030,wind_onshore,Elec,positive,2337.672960935013
AKL,2030,wind_onshore,Elec,flh,2769.3534081291828
AKL,2030,HV,Elec,netto,6283.8132132676865
AKL,2030,HV,Elec,brutto,6601.969434689336
AKL,2030,HV,Elec,positive,6442.891323978519
AKL,2030,HV,Elec,negative,-159.07811071081676
AKL,2030,Slack,Elec,netto,0.4208968992506884
AKL,2030,Slack,Elec,brutto,0.4208968992506884
AKL,2030,Slack,Elec,positive,0.4208968992506884
AKL,2030,Wholesale,Elec,netto,-11807.664999999994
AKL,2030,Wholesale,Elec,brutto,11807.664999999994
AKL,2030,Wholesale,Elec,negative,-11807.664999999994
AKL,2040,BIO,Elec,netto,1.8102705943900762e-05
AKL,2040,BIO,Elec,brutto,1.8102705943900762e-05
AKL,2040,BIO,Elec,positive,1.8102705943900762e-05
AKL,2040,BIO,Elec,flh,964.0715686946476
AKL,2040,CCGT,Elec,netto,1404.3942068551783
AKL,2040,CCGT,Elec,brutto,1404.3942068551783
AKL,2040,CCGT,Elec,positive,1404.3942068551783
AKL,2040,CCGT,Elec,flh,987.0666404949865
AKL,2040,COAL,Elec,netto,8.730096082286933e-05
AKL,2040,COAL,Elec,brutto,8.730096082286933e-05
AKL,2040,COAL,Elec,positive,8.730096082286933e-05
AKL,2040,COAL,Elec,flh,1554.596459533603
AKL,2040,DIE,Elec,netto,2.002290490556686e-05
AKL,2040,DIE,Elec,brutto,2.002290490556686e-05
AKL,2040,DIE,Elec,positive,2.002290490556686e-05
AKL,2040,DIE,Elec,flh,204.71605328511424
AKL,2040,GT,Elec,netto,2.0022904891856015e-05
AKL,2040,GT,Elec,brutto,2.0022904891856015e-05
AKL,2040,GT,Elec,positive,2.0022904891856015e-05
AKL,2040,GT,Elec,flh,204.71605623102545
AKL,2040,OCGT,Elec,netto,72.41747346772667
AKL,2040,OCGT,Elec,brutto,72.41747346772667
AKL,2040,OCGT,Elec,positive,72.41747346772667
AKL,2040,OCGT,Elec,flh,84.58524682331499
AKL,2040,pv_central_fixed,Elec,netto,0.0007938252854205029
AKL,2040,pv_central_fixed,Elec,brutto,0.0007938252854205029
AKL,2040,pv_central_fixed,Elec,positive,0.0007938252854205029
AKL,2040,pv_central_fixed,Elec,flh,967.8394445779514
AKL,2040,pv_central_track_azimuth,Elec,netto,2770.1346838818836
AKL,2040,pv_central_track_azimuth,Elec,brutto,2770.1346838818836
AKL,2040,pv_central_track_azimuth,Elec,positive,2770.1346838818836
AKL,2040,pv_central_track_azimuth,Elec,flh,1715.3443023525517
AKL,2040,pv_decentral,Elec,netto,0.0003174248463586415
AKL,2040,pv_decentral,Elec,brutto,0.0003174248463586415
AKL,2040,pv_decentral,Elec,positive,0.0003174248463586415
AKL,2040,pv_decentral,Elec,flh,898.2858953184624
AKL,2040,wind_offshore_floating,Elec,netto,0.000424999402797235
AKL,2040,wind_offshore_floating,Elec,brutto,0.000424999402797235
AKL,2040,wind_offshore_floating,Elec,positive,0.000424999402797235
AKL,2040,wind_offshore_floating,Elec,flh,2546.713493688487
AKL,2040,wind_offshore_foundation,Elec,netto,0.0004037630102978038
