indicator,accNodesData,converter_techs,vintage,perUnitBuild,useAnnuity,amorTime,interest
Invest,global,BIO,1950,2600.0,1,30,0.06
Invest,global,BIO,2030,2300.0,1,30,0.06
Invest,global,Battery,2020,117.0,1,20,0.06
Invest,global,CCGT,1950,775.0,1,30,0.06
Invest,global,CCGT,2030,775.0,1,30,0.06
Invest,global,COAL,1950,1600.0,1,30,0.06
Invest,global,COAL,2030,1600.0,1,30,0.06
Invest,global,DIE,1950,900.0,1,30,0.06
Invest,global,DIE,2030,830.0,1,30,0.06
Invest,global,GT,1950,900.0,1,30,0.06
Invest,global,GT,2030,830.0,1,30,0.06
Invest,global,Hydro,1950,2560.0,1,20,0.06
Invest,global,OCGT,1950,475.0,1,30,0.06
Invest,global,OCGT,2030,475.0,1,30,0.06
Invest,global,geoth,1950,4970.0,1,100,0.06
Invest,global,pv_central_fixed,1950,560.0,1,35,0.06
Invest,global,pv_central_fixed,2030,380.0,1,40,0.06
Invest,global,pv_central_fixed,2040,320.0,1,40,0.06
Invest,global,pv_central_fixed,2050,290.0,1,40,0.06
Invest,global,pv_central_track_azimuth,1950,650.0,1,35,0.06
Invest,global,pv_central_track_azimuth,2030,450.0,1,40,0.06
Invest,global,pv_central_track_azimuth,2040,380.0,1,40,0.06
Invest,global,pv_central_track_azimuth,2050,350.0,1,40,0.06
Invest,global,pv_decentral,1950,870.0,1,35,0.06
Invest,global,pv_decentral,2030,570.0,1,40,0.06
Invest,global,pv_decentral,2040,460.0,1,40,0.06
Invest,global,pv_decentral,2050,410.0,1,40,0.06
Invest,global,wind_offshore_floating,1950,2544.0,1,27,0.06
Invest,global,wind_offshore_floating,2030,2744.4,1,30,0.06
Invest,global,wind_offshore_floating,2040,2601.6,1,30,0.06
Invest,global,wind_offshore_floating,2050,2556.0,1,30,0.06
Invest,global,wind_offshore_foundation,1950,2120.0,1,27,0.06
Invest,global,wind_offshore_foundation,2030,2287.0,1,30,0.06
Invest,global,wind_offshore_foundation,2040,2168.0,1,30,0.06
Invest,global,wind_offshore_foundation,2050,2130.0,1,30,0.06
Invest,global,wind_onshore,1950,1330.0,1,27,0.06
Invest,global,wind_onshore,2030,1040.0,1,30,0.06
Invest,global,wind_onshore,2040,980.0,1,30,0.06
Invest,global,wind_onshore,2050,960.0,1,30,0.06
OMFix,global,BIO,1950,0.0,0,0,0.0
OMFix,global,BIO,2030,0.0,0,0,0.0
OMFix,global,Battery,2020,0.0,0,0,0.0
OMFix,global,CCGT,1950,0.0,0,0,0.0
OMFix,global,CCGT,2030,0.0,0,0,0.0
OMFix,global,COAL,1950,0.0,0,0,0.0
OMFix,global,COAL,2030,0.0,0,0,0.0
OMFix,global,DIE,1950,0.0,0,0,0.0
OMFix,global,DIE,2030,0.0,0,0,0.0
OMFix,global,GT,1950,0.0,0,0,0.0
OMFix,global,GT,2030,0.0,0,0,0.0
OMFix,global,Hydro,1950,0.0,0,0,0.0
OMFix,global,OCGT,1950,0.0,0,0,0.0
OMFix,global,OCGT,2030,0.0,0,0,0.0
OMFix,global,geoth,1950,0.0,0,0,0.0
OMFix,global,pv_central_fixed,1950,0.0,0,0,0.0
OMFix,global,pv_central_fixed,2030,0.0,0,0,0.0
OMFix,global,pv_central_fixed,2040,0.0,0,0,0.0
OMFix,global,pv_central_fixed,2050,0.0,0,0,0.0
OMFix,global,pv_central_track_azimuth,1950,0.0,0,0,0.0
OMFix,global,pv_central_track_azimuth,2030,0.0,0,0,0.0
OMFix,global,pv_central_track_azimuth,2040,0.0,0,0,0.0
OMFix,global,pv_central_track_azimuth,2050,0.0,0,0,0.0
OMFix,global,pv_decentral,1950,0.0,0,0,0.0
OMFix,global,pv_decentral,2030,0.0,0,0,0.0
OMFix,global,pv_decentral,2040,0.0,0,0,0.0
OMFix,global,pv_decentral,2050,0.0,0,0,0.0
OMFix,global,wind_offshore_floating,1950,0.0,0,0,0.0
OMFix,global,wind_offshore_floating,2030,0.0,0,0,0.0
OMFix,global,wind_offshore_floating,2040,0.0,0,0,0.0
OMFix,global,wind_offshore_floating,2050,0.0,0,0,0.0
OMFix,global,wind_offshore_foundation,1950,0.0,0,0,0.0
OMFix,global,wind_offshore_foundation,2030,0.0,0,0,0.0
OMFix,global,wind_offshore_foundation,2040,0.0,0,0,0.0
OMFix,global,wind_offshore_foundation,2050,0.0,0,0,0.0
OMFix,global,wind_onshore,1950,0.0,0,0,0.0
OMFix,global,wind_onshore,2030,0.0,0,0,0.0
OMFix,global,wind_onshore,2040,0.0,0,0,0.0
OMFix,global,wind_onshore,2050,0.0,0,0,0.0
