accNodesModel,accYears,techs,commodity,balanceType,value
AKL,2020,BIO,Elec,netto,0.1201846630692693
AKL,2020,BIO,Elec,brutto,0.1201846630692693
AKL,2020,BIO,Elec,positive,0.1201846630692693
AKL,2020,BIO,Elec,flh,9.614773045541543
AKL,2020,Battery,Elec,netto,-8.551129885079695e-06
AKL,2020,Battery,Elec,brutto,8.551129885079695e-06
AKL,2020,Battery,Elec,negative,-8.551129885079695e-06
AKL,2020,Battery,Elec,flh,24.669569537122378
AKL,2020,Battery,Elec_battery,netto,1.7186124791861118e-20
AKL,2020,Battery,Elec_battery,brutto,1.7186124791861118e-20
AKL,2020,Battery,Elec_battery,positive,1.7186124791861118e-20
AKL,2020,Battery,Elec_battery,flh,5.0852395225420844e-14
AKL,2020,COAL,Elec,netto,964.6103135201281
AKL,2020,COAL,Elec,brutto,964.6103135201281
AKL,2020,COAL,Elec,positive,964.6103135201281
AKL,2020,COAL,Elec,flh,8612.592085001144
AKL,2020,GT,Elec,netto,0.03232189277723859
AKL,2020,GT,Elec,brutto,0.03232189277723859
AKL,2020,GT,Elec,positive,0.03232189277723859
AKL,2020,GT,Elec,flh,8.978303549232942
AKL,2020,HV,Elec,netto,7160.056188062758
AKL,2020,HV,Elec,brutto,7160.056188062758
AKL,2020,HV,Elec,positive,7160.056188062758
AKL,2020,Slack,Elec,netto,4.157035043021177e-07
AKL,2020,Slack,Elec,brutto,4.157035043021177e-07
AKL,2020,Slack,Elec,positive,4.157035043021177e-07
AKL,2020,Wholesale,Elec,netto,-8124.819000000011
AKL,2020,Wholesale,Elec,brutto,8124.819000000011
AKL,2020,Wholesale,Elec,negative,-8124.819000000011
AKL,2030,BIO,Elec,netto,0.07001441751337216
AKL,2030,BIO,Elec,brutto,0.07001441751337216
AKL,2030,BIO,Elec,positive,0.07001441751337216
AKL,2030,BIO,Elec,flh,10.00204440334274
AKL,2030,CCGT,Elec,netto,293.8639527951658
AKL,2030,CCGT,Elec,brutto,293.8639527951658
AKL,2030,CCGT,Elec,positive,293.8639527951658
AKL,2030,CCGT,Elec,flh,670.1618003261071
AKL,2030,COAL,Elec,netto,2.9293843446338128e-05
AKL,2030,COAL,Elec,brutto,2.9293843446338128e-05
AKL,2030,COAL,Elec,positive,2.9293843446338128e-05
AKL,2030,COAL,Elec,flh,1095.13425045472
AKL,2030,DIE,Elec,netto,8.92155958963626e-06
AKL,2030,DIE,Elec,brutto,8.92155958963626e-06
AKL,2030,DIE,Elec,positive,8.92155958963626e-06
AKL,2030,DIE,Elec,flh,167.2721371867589
AKL,2030,GT,Elec,netto,0.036012744480782545
AKL,2030,GT,Elec,brutto,0.036012744480782545
AKL,2030,GT,Elec,positive,0.036012744480782545
AKL,2030,GT,Elec,flh,10.003394180923367
AKL,2030,OCGT,Elec,netto,15.792348535587621
AKL,2030,OCGT,Elec,brutto,15.792348535587621
AKL,2030,OCGT,Elec,positive,15.792348535587621
AKL,2030,OCGT,Elec,flh,96.39767183002844
AKL,2030,pv_central_fixed,Elec,netto,0.0005305724152597428
AKL,2030,pv_central_fixed,Elec,brutto,0.0005305724152597428
AKL,2030,pv_central_fixed,Elec,positive,0.0005305724152597428
AKL,2030,pv_central_fixed,Elec,flh,1196.4658857691159
AKL,2030,pv_central_track_azimuth,Elec,netto,3064.2882297857395
AKL,2030,pv_central_track_azimuth,Elec,brutto,3064.2882297857395
AKL,2030,pv_central_track_azimuth,Elec,positive,3064.2882297857395
AKL,2030,pv_central_track_azimuth,Elec,flh,1819.505177071295
AKL,2030,pv_decentral,Elec,netto,0.00018477804715921953
AKL,2030,pv_decentral,Elec,brutto,0.00018477804715921953
AKL,2030,pv_decentral,Elec,positive,0.00018477804715921953
AKL,2030,pv_decentral,Elec,flh,963.2574520008455
AKL,2030,wind_offshore_floating,Elec,netto,0.00017353986947791017
AKL,2030,wind_offshore_floating,Elec,brutto,0.00017353986947791017
AKL,2030,wind_offshore_floating,Elec,positive,0.00017353986947791017
AKL,2030,wind_offshore_floating,Elec,flh,3362.860408650589
AKL,2030,wind_offshore_foundation,Elec,netto,0.0002146441253254906
AKL,2030,wind_offshore_foundation,Elec,brutto,0.0002146441253254906
AKL,2030,wind_offshore_foundation,Elec,positive,0.0002146441253254906
AKL,2030,wind_offshore_foundation,Elec,flh,2833.3024030454458
AKL,2030,wind_onshore,Elec,netto,2473.3492955951015
AKL,2030,wind_onshore,Elec,brutto,2473.3492955951015
AKL,2030,wind_onshore,Elec,positive,2473.3492955951015
AKL,2030,wind_onshore,Elec,flh,2778.0213151801954
AKL,2030,HV,Elec,netto,6554.760787448852
AKL,2030,HV,Elec,brutto,6861.618290563303
AKL,2030,HV,Elec,positive,6708.1895390060745
AKL,2030,HV,Elec,negative,-153.42875155722908
AKL,2030,Population,Elec,netto,-594.9670000000059
AKL,2030,Population,Elec,brutto,594.9670000000059
AKL,2030,Population,Elec,negative,-594.9670000000059
AKL,2030,Slack,Elec,netto,0.4702172641118941
AKL,2030,Slack,Elec,brutto,0.4702172641118941
AKL,2030,Slack,Elec,positive,0.4702172641118941
AKL,2030,Wholesale,Elec,netto,-11807.664999999994
AKL,2030,Wholesale,Elec,brutto,11807.664999999994
AKL,2030,Wholesale,Elec,negative,-11807.664999999994
AKL,2040,BIO,Elec,netto,2.510467718600309e-05
AKL,2040,BIO,Elec,brutto,2.510467718600309e-05
AKL,2040,BIO,Elec,positive,2.510467718600309e-05
AKL,2040,BIO,Elec,flh,864.4496171968747
AKL,2040,CCGT,Elec,netto,1733.6480177645967
AKL,2040,CCGT,Elec,brutto,1733.6480177645967
AKL,2040,CCGT,Elec,positive,1733.6480177645967
AKL,2040,CCGT,Elec,flh,1034.5004753532276
AKL,2040,COAL,Elec,netto,0.00012671557049655856
AKL,2040,COAL,Elec,brutto,0.00012671557049655856
AKL,2040,COAL,Elec,positive,0.00012671557049655856
AKL,2040,COAL,Elec,flh,1520.468747151241
AKL,2040,DIE,Elec,netto,2.8177645787935176e-05
AKL,2040,DIE,Elec,brutto,2.8177645787935176e-05
AKL,2040,DIE,Elec,positive,2.8177645787935176e-05
AKL,2040,DIE,Elec,flh,200.1587133503763
AKL,2040,GT,Elec,netto,2.817764572184943e-05
AKL,2040,GT,Elec,brutto,2.817764572184943e-05
AKL,2040,GT,Elec,positive,2.817764572184943e-05
AKL,2040,GT,Elec,flh,200.1587227398146
AKL,2040,OCGT,Elec,netto,65.65742339268029
AKL,2040,OCGT,Elec,brutto,65.65742339268029
AKL,2040,OCGT,Elec,positive,65.65742339268029
AKL,2040,OCGT,Elec,flh,70.48185429820482
AKL,2040,pv_central_fixed,Elec,netto,0.0013848840816606048
AKL,2040,pv_central_fixed,Elec,brutto,0.0013848840816606048
AKL,2040,pv_central_fixed,Elec,positive,0.0013848840816606048
AKL,2040,pv_central_fixed,Elec,flh,862.9083280749352
AKL,2040,pv_central_track_azimuth,Elec,netto,3169.285864054397
AKL,2040,pv_central_track_azimuth,Elec,brutto,3169.285864054397
AKL,2040,pv_central_track_azimuth,Elec,positive,3169.285864054397
AKL,2040,pv_central_track_azimuth,Elec,flh,1669.1015344189336
AKL,2040,pv_decentral,Elec,netto,0.0005534078776096702
AKL,2040,pv_decentral,Elec,brutto,0.0005534078776096702
AKL,2040,pv_decentral,Elec,positive,0.0005534078776096702
AKL,2040,pv_decentral,Elec,flh,877.1265418802018
AKL,2040,wind_offshore_floating,Elec,netto,0.0006401918296301409
AKL,2040,wind_offshore_floating,Elec,brutto,0.0006401918296301409
AKL,2040,wind_offshore_floating,Elec,positive,0.0006401918296301409
