accNodesModel,accYears,indicator,value
AKL,2020,CO2_emission,335.33340503007963
AKL,2020,FuelCost,335.33340503007963
AKL,2020,Invest,32.811076330532806
AKL,2020,OMFix,2.587348534886221
AKL,2020,SlackCost,4.157035043021179e-06
AKL,2020,SystemCost,370.7318340525337
AKL,2030,CO2_emission,103.93274064930061
AKL,2030,FuelCost,103.93274064930061
AKL,2030,Invest,157.59494109142128
AKL,2030,OMFix,3.799810884181891
AKL,2030,SlackCost,4.70217264111895
AKL,2030,SystemCost,270.0296652660228
AKL,2040,CO2_emission,601.0300417172244
AKL,2040,FuelCost,601.0300417172244
AKL,2040,Invest,267.58748531890876
AKL,2040,OMFix,6.512324907492543
AKL,2040,SlackCost,4.403481346434421
AKL,2040,SystemCost,879.5333332900602
AKL,2050,CO2_emission,838.5419074036597
AKL,2050,FuelCost,838.5419074036597
AKL,2050,Invest,332.50834753385027
AKL,2050,OMFix,10.230097717217742
AKL,2050,SlackCost,8.194326752640688
AKL,2050,SystemCost,1189.4746794073685
AKL,horizon,CO2_emission,1878.8380948002643
AKL,horizon,FuelCost,1878.8380948002643
AKL,horizon,Invest,790.5018502747131
AKL,horizon,OMFix,23.1295820437784
AKL,horizon,SlackCost,17.299984897229102
AKL,horizon,SystemCost,2709.7695120159847
BOP,2020,CO2_emission,0.37663389128271446
BOP,2020,FuelCost,0.37663389128271446
BOP,2020,Invest,54.03696114327695
BOP,2020,OMFix,0.20351909658558626
BOP,2020,SlackCost,0.15105673610632725
BOP,2020,SystemCost,54.76817086725158
BOP,2030,CO2_emission,10.145767621098646
BOP,2030,FuelCost,10.145767621098646
BOP,2030,Invest,75.95521575733115
BOP,2030,OMFix,0.3370389600317101
BOP,2030,SlackCost,2.9237013556232808e-05
BOP,2030,SystemCost,86.43805157547504
BOP,2040,CO2_emission,54.40554078337655
BOP,2040,FuelCost,54.40554078337655
BOP,2040,Invest,159.85783216851337
BOP,2040,OMFix,0.5367484808442105
BOP,2040,SlackCost,0.0002569813582879327
BOP,2040,SystemCost,214.80037841409242
BOP,2050,CO2_emission,99.56763992167144
BOP,2050,FuelCost,99.56763992167144
BOP,2050,Invest,257.61902939272
BOP,2050,OMFix,0.7062465928879834
BOP,2050,SlackCost,7.518558084577815e-05
BOP,2050,SystemCost,357.89299109286026
BOP,horizon,CO2_emission,164.49558221742936
BOP,horizon,FuelCost,164.49558221742936
BOP,horizon,Invest,547.4690384618415
BOP,horizon,OMFix,1.7835531303494903
BOP,horizon,SlackCost,0.1514181400590172
BOP,horizon,SystemCost,713.8995919496793
CAN,2020,CO2_emission,1.0937093827875271e-05
CAN,2020,FuelCost,1.0937093827875271e-05
CAN,2020,Invest,14.056462902056277
CAN,2020,OMFix,2.0149417251250443
CAN,2020,SlackCost,4.422108319939587e-06
CAN,2020,SystemCost,16.071419986383468
CAN,2030,CO2_emission,5.026970063422622e-05
CAN,2030,FuelCost,5.026970063422622e-05
CAN,2030,Invest,21.906560729419056
CAN,2030,OMFix,5.30949463358507
CAN,2030,SlackCost,2.813390877321582e-06
CAN,2030,SystemCost,27.21610844609564
CAN,2040,CO2_emission,0.001057903930374349
CAN,2040,FuelCost,0.001057903930374349
CAN,2040,Invest,34.624782028056885
CAN,2040,OMFix,10.518893972186
CAN,2040,SlackCost,8.431125480154507e-06
CAN,2040,SystemCost,45.14474233529874
CAN,2050,CO2_emission,29.448623483217453
CAN,2050,FuelCost,29.448623483217453
CAN,2050,Invest,49.853559542132224
CAN,2050,OMFix,15.555250395922561
CAN,2050,SlackCost,6.007147700337459e-06
CAN,2050,SystemCost,94.85743942841994
CAN,horizon,CO2_emission,29.44974259394229
CAN,horizon,FuelCost,29.44974259394229
CAN,horizon,Invest,120.44136520166444
CAN,horizon,OMFix,33.39858072681868
CAN,horizon,SlackCost,2.1673772377753136e-05
CAN,horizon,SystemCost,183.28971019619777
CEN,2020,Invest,56.80135935313106
CEN,2020,OMFix,0.6444443803035576
CEN,2020,SlackCost,4.06464429275385e-06
CEN,2020,SystemCost,57.44580779807891
CEN,2030,CO2_emission,0.00015823288637803492
CEN,2030,FuelCost,0.00015823288637803492
CEN,2030,Invest,67.04691465066666
CEN,2030,OMFix,3.3105806071915715
CEN,2030,SlackCost,2.666420075962348e-06
CEN,2030,SystemCost,70.35765615716468
CEN,2040,CO2_emission,7.822922289560613
CEN,2040,FuelCost,7.822922289560613
CEN,2040,Invest,51.297968392423726
CEN,2040,OMFix,6.842632417426977
CEN,2040,SlackCost,5.24393847055147
CEN,2040,SystemCost,71.20746156996279
CEN,2050,CO2_emission,49.98925697182718
CEN,2050,FuelCost,49.98925697182718
CEN,2050,Invest,43.08645931130691
CEN,2050,OMFix,10.342084345853193
CEN,2050,SlackCost,0.3541809587974147
CEN,2050,SystemCost,103.7719815877847
CEN,horizon,CO2_emission,57.812337494274175
CEN,horizon,FuelCost,57.812337494274175
CEN,horizon,Invest,218.23270170752835
CEN,horizon,OMFix,21.1397417507753
CEN,horizon,SlackCost,5.598126160413253
CEN,horizon,SystemCost,302.78290711299115
HBY,2020,CO2_emission,1.838051746586855
HBY,2020,FuelCost,1.838051746586855
HBY,2020,Invest,14.999906967318715
HBY,2020,OMFix,0.3682765843600613
HBY,2020,SlackCost,4.452030543142798e-06
HBY,2020,SystemCost,17.206239750296174
HBY,2030,CO2_emission,6.417925043610627
HBY,2030,FuelCost,6.417925043610627
HBY,2030,Invest,26.406060774508635
HBY,2030,OMFix,0.4179094450113336
HBY,2030,SlackCost,7.783682136239629e-06
HBY,2030,SystemCost,33.24190304681273
HBY,2040,CO2_emission,65.37865785160649
HBY,2040,FuelCost,65.37865785160649
HBY,2040,Invest,31.620288278217174
HBY,2040,OMFix,0.6521952635089013
HBY,2040,SlackCost,8.280151617720774e-05
HBY,2040,SystemCost,97.65122419484874
HBY,2050,CO2_emission,117.22295522467715
HBY,2050,FuelCost,117.22295522467715
HBY,2050,Invest,40.15312935087417
HBY,2050,OMFix,0.7894342644827157
HBY,2050,SlackCost,8.747541377574263e-06
HBY,2050,SystemCost,158.1655275875754
HBY,horizon,CO2_emission,190.85758986648113
HBY,horizon,FuelCost,190.85758986648113
HBY,horizon,Invest,113.1793853709187
HBY,horizon,OMFix,2.227815557363012
HBY,horizon,SlackCost,0.00010378477023416442
HBY,horizon,SystemCost,306.26489457953306
NEL,2020,Invest,2.2328061486077666
NEL,2020,OMFix,0.2994468844609774
NEL,2020,SlackCost,0.031513046342474066
NEL,2020,SystemCost,2.5637660794112183
NEL,2030,CO2_emission,0.5522786657816997
NEL,2030,FuelCost,0.5522786657816997
NEL,2030,Invest,18.333627575199326
NEL,2030,OMFix,0.40693317041464694
NEL,2030,SlackCost,2.429532181646862e-06
NEL,2030,SystemCost,19.292841840927853
NEL,2040,CO2_emission,44.62008798749758
NEL,2040,FuelCost,44.62008798749758
NEL,2040,Invest,37.70596193229659
NEL,2040,OMFix,0.603920997711101
NEL,2040,SlackCost,9.603055954976842e-06
NEL,2040,SystemCost,82.92998052056123
NEL,2050,CO2_emission,82.56065362484847
NEL,2050,FuelCost,82.56065362484847
NEL,2050,Invest,45.25933584266345
NEL,2050,OMFix,0.7791934438520145
NEL,2050,SlackCost,5.7292954753065236e-06
NEL,2050,SystemCost,128.5991886406594
NEL,horizon,CO2_emission,127.73302027812775
NEL,horizon,FuelCost,127.73302027812775
NEL,horizon,Invest,103.53173149876713
NEL,horizon,OMFix,2.0894944964387396
NEL,horizon,SlackCost,0.03153080822608599
NEL,horizon,SystemCost,233.3857770815597
NIS,2020,CO2_emission,0.22343852428651095
NIS,2020,FuelCost,0.22343852428651095
NIS,2020,Invest,12.153949843729425
NIS,2020,OMFix,0.4470425310766001
NIS,2020,SlackCost,0.42509594178449167
NIS,2020,SystemCost,13.249526840877026
NIS,2030,CO2_emission,77.28699843134912
NIS,2030,FuelCost,77.28699843134912
NIS,2030,Invest,168.61965911494693
NIS,2030,OMFix,1.3399005897190104
NIS,2030,SlackCost,1.141335407431621
NIS,2030,SystemCost,248.3878935434467
NIS,2040,CO2_emission,123.10663265160892
NIS,2040,FuelCost,123.10663265160892
NIS,2040,Invest,418.50361260313906
NIS,2040,OMFix,3.202191420275799
NIS,2040,SlackCost,1.1100094893773942
NIS,2040,SystemCost,545.9224461644011
NIS,2050,CO2_emission,135.6467757908073
NIS,2050,FuelCost,135.6467757908073
NIS,2050,Invest,721.50535164541
NIS,2050,OMFix,5.977438209104314
NIS,2050,SlackCost,1.550003631847125
NIS,2050,SystemCost,864.6795692771688
NIS,horizon,CO2_emission,336.2638453980519
NIS,horizon,FuelCost,336.2638453980519
NIS,horizon,Invest,1320.7825732072254
NIS,horizon,OMFix,10.966572750175724
NIS,horizon,SlackCost,4.226444470440632
NIS,horizon,SystemCost,1672.2394358258937
OTG,2020,CO2_emission,9.250688792540197e-06
OTG,2020,FuelCost,9.250688792540197e-06
OTG,2020,Invest,16.985900375223842
OTG,2020,OMFix,0.8322375428692163
OTG,2020,SlackCost,4.420895325236201e-06
OTG,2020,SystemCost,17.818151589677175
OTG,2030,CO2_emission,3.5887429013628764e-05
OTG,2030,FuelCost,3.5887429013628764e-05
OTG,2030,Invest,309.49056199317334
OTG,2030,OMFix,1.9017044587959435
OTG,2030,SlackCost,2.794698118875559e-06
OTG,2030,SystemCost,311.39230513409643
OTG,2040,CO2_emission,0.0006179600215594352
OTG,2040,FuelCost,0.0006179600215594352
OTG,2040,Invest,848.5581845953066
OTG,2040,OMFix,4.608187492127367
OTG,2040,SlackCost,0.08143691863533721
OTG,2040,SystemCost,853.2484269660908
OTG,2050,CO2_emission,10.268312216383707
OTG,2050,FuelCost,10.268312216383707
OTG,2050,Invest,1384.8589483423227
OTG,2050,OMFix,7.2400218289128375
OTG,2050,SlackCost,2.233316957605459
OTG,2050,SystemCost,1404.6005993452247
OTG,horizon,CO2_emission,10.268975314523074
OTG,horizon,FuelCost,10.268975314523074
OTG,horizon,Invest,2559.8935953060263
OTG,horizon,OMFix,14.582151322705364
OTG,horizon,SlackCost,2.31476109183424
OTG,horizon,SystemCost,2587.059483035089
TRN,2020,CO2_emission,352.9556003798683
TRN,2020,FuelCost,352.9556003798683
TRN,2020,Invest,57.46187420104671
TRN,2020,OMFix,0.40100400809854797
TRN,2020,SlackCost,4.055481969430619e-06
TRN,2020,SystemCost,410.81848264449553
TRN,2030,CO2_emission,10.671558789365378
TRN,2030,FuelCost,10.671558789365378
TRN,2030,Invest,43.46919425838761
TRN,2030,OMFix,0.615321154730559
TRN,2030,SlackCost,2.4388389545692573e-06
TRN,2030,SystemCost,54.7560766413225
TRN,2040,CO2_emission,57.99675696026778
TRN,2040,FuelCost,57.99675696026778
TRN,2040,Invest,46.70244397352816
TRN,2040,OMFix,0.7000553834154546
TRN,2040,SlackCost,1.2948168309566973e-05
TRN,2040,SystemCost,105.3992692653797
TRN,2050,CO2_emission,81.28050518379949
TRN,2050,FuelCost,81.28050518379949
TRN,2050,Invest,48.665123044167
TRN,2050,OMFix,1.0096566022022606
TRN,2050,SlackCost,0.2700082000286917
TRN,2050,SystemCost,131.22529303019743
TRN,horizon,CO2_emission,502.90442131330093
TRN,horizon,FuelCost,502.90442131330093
TRN,horizon,Invest,196.2986354771295
TRN,horizon,OMFix,2.726037148446822
TRN,horizon,SlackCost,0.27002764251792527
TRN,horizon,SystemCost,702.1991215813953
WEL,2020,CO2_emission,0.08620951373098847
WEL,2020,FuelCost,0.08620951373098847
WEL,2020,Invest,30.087550598601744
WEL,2020,OMFix,1.0760656353193685
WEL,2020,SlackCost,4.066183995646341e-06
WEL,2020,SystemCost,31.249829813836097
WEL,2030,CO2_emission,0.00010217780837101345
WEL,2030,FuelCost,0.00010217780837101345
WEL,2030,Invest,200.61708193649525
WEL,2030,OMFix,4.585005433342187
WEL,2030,SlackCost,0.24132385805098389
WEL,2030,SystemCost,205.4435134056968
WEL,2040,CO2_emission,29.965129371109118
WEL,2040,FuelCost,29.965129371109118
WEL,2040,Invest,341.9557283938648
WEL,2040,OMFix,8.742490393908508
WEL,2040,SlackCost,1.118969441980467
WEL,2040,SystemCost,381.7823176008629
WEL,2050,CO2_emission,90.07818069215001
WEL,2050,FuelCost,90.07818069215001
WEL,2050,Invest,515.0573933071114
WEL,2050,OMFix,12.748707878634765
WEL,2050,SlackCost,5.932766088225138e-06
WEL,2050,SystemCost,617.8842878106622
WEL,horizon,CO2_emission,120.12962175479849
WEL,horizon,FuelCost,120.12962175479849
WEL,horizon,Invest,1087.7177542360732
WEL,horizon,OMFix,27.15226934120483
WEL,horizon,SlackCost,1.3603032989815347
WEL,horizon,SystemCost,1236.359948631058
WTO,2020,CO2_emission,1040.0930646241454
WTO,2020,FuelCost,1040.0930646241454
WTO,2020,Invest,305.3662806897118
WTO,2020,OMFix,2.3064865250522883
WTO,2020,SlackCost,4.460960519630201e-06
WTO,2020,SystemCost,1347.7658362998702
WTO,2030,CO2_emission,36.28202419947786
WTO,2030,FuelCost,36.28202419947786
WTO,2030,Invest,290.69311115061606
WTO,2030,OMFix,3.7704570256600274
WTO,2030,SlackCost,3.4055523244979193e-06
WTO,2030,SystemCost,330.7455957813063
WTO,2040,CO2_emission,0.00038871354977884604
WTO,2040,FuelCost,0.00038871354977884604
WTO,2040,Invest,266.0592474926153
WTO,2040,OMFix,6.181866935814852
WTO,2040,SlackCost,1.5047286334042463e-05
WTO,2040,SystemCost,272.24151818926634
WTO,2050,CO2_emission,0.00040645563127731743
WTO,2050,FuelCost,0.00040645563127731743
WTO,2050,Invest,265.901629412109
WTO,2050,OMFix,8.569537550724851
WTO,2050,SlackCost,8.145534307046463e-06
WTO,2050,SystemCost,274.47158156399945
WTO,horizon,CO2_emission,1076.3758839928041
WTO,horizon,FuelCost,1076.3758839928041
WTO,horizon,Invest,1128.0202687450521
WTO,horizon,OMFix,20.82834803725202
WTO,horizon,SlackCost,3.105933348521705e-05
WTO,horizon,SystemCost,2225.224531834442
global,2020,CO2_emission,1730.906423897763
global,2020,FuelCost,1730.906423897763
global,2020,Invest,596.9941285532371
global,2020,OMFix,11.18081344813747
global,2020,SlackCost,0.6076998235733019
global,2020,SystemCost,2339.689065722711
global,2030,CO2_emission,245.28963996780834
global,2030,FuelCost,245.28963996780834
global,2030,Invest,1380.1329290321653
global,2030,OMFix,25.794156362663948
global,2030,SlackCost,6.084885475729781
global,2030,SystemCost,1657.3016108383677
global,2040,CO2_emission,984.3278341897533
global,2040,FuelCost,984.3278341897533
global,2040,Invest,2504.4735351768704
global,2040,OMFix,49.101507664711704
global,2040,SlackCost,11.958221479489632
global,2040,SystemCost,3549.8610985108253
global,2050,CO2_emission,1534.6052169686734
global,2050,FuelCost,1534.6052169686734
global,2050,Invest,3704.468306724667
global,2050,OMFix,73.94766882979523
global,2050,SlackCost,12.60194624878517
global,2050,SystemCost,5325.62313877192
global,horizon,CO2_emission,4495.129115023997
global,horizon,FuelCost,4495.129115023997
global,horizon,Invest,8186.06889948694
global,horizon,OMFix,160.0241463053084
global,horizon,SlackCost,31.252753027577885
global,horizon,SystemCost,12872.474913843822
