accNodesModel,accYears,techs,commodity,balanceType,value
AKL,2020,BIO,Elec,netto,0.1201846630692693
AKL,2020,BIO,Elec,brutto,0.1201846630692693
AKL,2020,BIO,Elec,positive,0.1201846630692693
AKL,2020,BIO,Elec,flh,9.614773045541543
AKL,2020,Battery,Elec,netto,-8.551129885079695e-06
AKL,2020,Battery,Elec,brutto,8.551129885079695e-06
AKL,2020,Battery,Elec,negative,-8.551129885079695e-06
AKL,2020,Battery,Elec,flh,24.669569537122378
AKL,2020,Battery,Elec_battery,netto,1.7186124791861118e-20
AKL,2020,Battery,Elec_battery,brutto,1.7186124791861118e-20
AKL,2020,Battery,Elec_battery,positive,1.7186124791861118e-20
AKL,2020,Battery,Elec_battery,flh,5.0852395225420844e-14
AKL,2020,COAL,Elec,netto,964.6103135201281
AKL,2020,COAL,Elec,brutto,964.6103135201281
AKL,2020,COAL,Elec,positive,964.6103135201281
AKL,2020,COAL,Elec,flh,8612.592085001144
AKL,2020,GT,Elec,netto,0.03232189277723859
AKL,2020,GT,Elec,brutto,0.03232189277723859
AKL,2020,GT,Elec,positive,0.03232189277723859
AKL,2020,GT,Elec,flh,8.978303549232942
AKL,2020,HV,Elec,netto,7160.056188062758
AKL,2020,HV,Elec,brutto,7160.056188062758
AKL,2020,HV,Elec,positive,7160.056188062758
AKL,2020,Slack,Elec,netto,4.157035043021177e-07
AKL,2020,Slack,Elec,brutto,4.157035043021177e-07
AKL,2020,Slack,Elec,positive,4.157035043021177e-07
AKL,2020,Wholesale,Elec,netto,-8124.819000000011
AKL,2020,Wholesale,Elec,brutto,8124.819000000011
AKL,2020,Wholesale,Elec,negative,-8124.819000000011
AKL,2030,BIO,Elec,netto,3.7592872124507223e-06
AKL,2030,BIO,Elec,brutto,3.7592872124507223e-06
AKL,2030,BIO,Elec,positive,3.7592872124507223e-06
AKL,2030,BIO,Elec,flh,0.0005370408114719061
AKL,2030,Battery,Elec,netto,-165.43328615862848
AKL,2030,Battery,Elec,brutto,5864.518100675992
AKL,2030,Battery,Elec,positive,2849.5424072586775
AKL,2030,Battery,Elec,negative,-3014.9756934173142
AKL,2030,Battery,Elec,flh,3875.2539563721048
AKL,2030,Battery,Elec_battery,netto,3.307547204937783e-09
AKL,2030,Battery,Elec_battery,brutto,4.085444394822937e-07
AKL,2030,Battery,Elec_battery,positive,2.0592599334361566e-07
AKL,2030,Battery,Elec_battery,negative,-2.0261844613867809e-07
AKL,2030,Battery,Elec_battery,flh,2.768869742386871e-07
AKL,2030,CCGT,Elec,netto,5.686691152910741e-06
AKL,2030,CCGT,Elec,brutto,5.686691152910741e-06
AKL,2030,CCGT,Elec,positive,5.686691152910741e-06
AKL,2030,CCGT,Elec,flh,495.34466685585403
AKL,2030,COAL,Elec,netto,3.999431079754189e-06
AKL,2030,COAL,Elec,brutto,3.999431079754189e-06
AKL,2030,COAL,Elec,positive,3.999431079754189e-06
AKL,2030,COAL,Elec,flh,832.8033778203501
AKL,2030,DIE,Elec,netto,2.4765826430737545e-06
AKL,2030,DIE,Elec,brutto,2.4765826430737545e-06
AKL,2030,DIE,Elec,positive,2.4765826430737545e-06
AKL,2030,DIE,Elec,flh,327.69123106920296
AKL,2030,GT,Elec,netto,3.7553809744655622e-06
AKL,2030,GT,Elec,brutto,3.7553809744655622e-06
AKL,2030,GT,Elec,positive,3.7553809744655622e-06
AKL,2030,GT,Elec,flh,0.0010450702387884013
AKL,2030,OCGT,Elec,netto,3.4875772460374233e-06
AKL,2030,OCGT,Elec,brutto,3.4875772460374233e-06
AKL,2030,OCGT,Elec,positive,3.4875772460374233e-06
AKL,2030,OCGT,Elec,flh,253.97425844950973
AKL,2030,pv_central_fixed,Elec,netto,0.00031897572164252806
AKL,2030,pv_central_fixed,Elec,brutto,0.00031897572164252806
AKL,2030,pv_central_fixed,Elec,positive,0.00031897572164252806
AKL,2030,pv_central_fixed,Elec,flh,1155.2448503682506
AKL,2030,pv_central_track_azimuth,Elec,netto,6661.935951299967
AKL,2030,pv_central_track_azimuth,Elec,brutto,6661.935951299967
AKL,2030,pv_central_track_azimuth,Elec,positive,6661.935951299967
AKL,2030,pv_central_track_azimuth,Elec,flh,1873.3297182316498
AKL,2030,pv_decentral,Elec,netto,4.857052085002724e-05
AKL,2030,pv_decentral,Elec,brutto,4.857052085002724e-05
AKL,2030,pv_decentral,Elec,positive,4.857052085002724e-05
AKL,2030,pv_decentral,Elec,flh,1012.9825496939528
AKL,2030,wind_offshore_floating,Elec,netto,4.052728585504861e-05
AKL,2030,wind_offshore_floating,Elec,brutto,4.052728585504861e-05
AKL,2030,wind_offshore_floating,Elec,positive,4.052728585504861e-05
AKL,2030,wind_offshore_floating,Elec,flh,3144.2755393848533
AKL,2030,wind_offshore_foundation,Elec,netto,5.083885969555079e-05
AKL,2030,wind_offshore_foundation,Elec,brutto,5.083885969555079e-05
AKL,2030,wind_offshore_foundation,Elec,positive,5.083885969555079e-05
AKL,2030,wind_offshore_foundation,Elec,flh,2658.479403203429
AKL,2030,wind_onshore,Elec,netto,1802.4956739578874
AKL,2030,wind_onshore,Elec,brutto,1802.4956739578874
AKL,2030,wind_onshore,Elec,positive,1802.4956739578874
AKL,2030,wind_onshore,Elec,flh,2881.251293259813
AKL,2030,HV,Elec,netto,4213.327178786035
AKL,2030,HV,Elec,brutto,4656.819460424809
AKL,2030,HV,Elec,positive,4435.0733196054225
AKL,2030,HV,Elec,negative,-221.7461408193863
AKL,2030,Population,Elec,netto,-704.6610000000055
AKL,2030,Population,Elec,brutto,704.6610000000055
AKL,2030,Population,Elec,negative,-704.6610000000055
AKL,2030,Slack,Elec,netto,5.797403650563424e-08
AKL,2030,Slack,Elec,brutto,5.797403650563424e-08
AKL,2030,Slack,Elec,positive,5.797403650563424e-08
AKL,2030,Wholesale,Elec,netto,-11807.664999999994
AKL,2030,Wholesale,Elec,brutto,11807.664999999994
AKL,2030,Wholesale,Elec,negative,-11807.664999999994
AKL,2040,Population,Elec,netto,-1550.6270000000027
AKL,2040,Population,Elec,brutto,1550.6270000000027
AKL,2040,Population,Elec,negative,-1550.6270000000027
AKL,2040,Wholesale,Elec,netto,-15881.939999999988
AKL,2040,Wholesale,Elec,brutto,15881.939999999988
AKL,2040,Wholesale,Elec,negative,-15881.939999999988
AKL,2050,BIO,Elec,netto,2.7254052593479936e-05
AKL,2050,BIO,Elec,brutto,2.7254052593479936e-05
AKL,2050,BIO,Elec,positive,2.7254052593479936e-05
AKL,2050,BIO,Elec,flh,811.4577190162563
AKL,2050,Battery,Elec,netto,-749.9851135772083
AKL,2050,Battery,Elec,brutto,22538.5447190225
AKL,2050,Battery,Elec,positive,10894.279802722649
AKL,2050,Battery,Elec,negative,-11644.26491629985
AKL,2050,Battery,Elec,flh,3359.1366387965786
AKL,2050,Battery,Elec_battery,netto,5.366007303954953e-07
AKL,2050,Battery,Elec_battery,brutto,6.609112983859817e-06
AKL,2050,Battery,Elec_battery,positive,3.572856857127656e-06
AKL,2050,Battery,Elec_battery,negative,-3.036256126732161e-06
AKL,2050,Battery,Elec_battery,flh,1.0102767526519844e-06
AKL,2050,CCGT,Elec,netto,257.4316525012463
AKL,2050,CCGT,Elec,brutto,257.4316525012463
AKL,2050,CCGT,Elec,positive,257.4316525012463
AKL,2050,CCGT,Elec,flh,348.8330970907416
AKL,2050,COAL,Elec,netto,6.278723107243582e-05
AKL,2050,COAL,Elec,brutto,6.278723107243582e-05
AKL,2050,COAL,Elec,positive,6.278723107243582e-05
AKL,2050,COAL,Elec,flh,748.3904979777361
