accNodesModel,accYears,techs,commodity,capType,value
AKL,2020,Battery,Elec_battery,upperLimit,120.0
AKL,2030,Battery,Elec_battery,build,9.132401396955517
AKL,2030,Battery,Elec_battery,total,9.132401396955517
AKL,2030,Battery,Elec_battery,upperLimit,240.0
AKL,2040,Battery,Elec_battery,upperLimit,240.0
AKL,2050,Battery,Elec_battery,build,39.83360127531317
AKL,2050,Battery,Elec_battery,total,39.83360127531317
AKL,2050,Battery,Elec_battery,upperLimit,240.0
BOP,2000,Hydro_reservoir,Water_in,upperLimit,3000.0
BOP,2020,Battery,Elec_battery,upperLimit,120.0
BOP,2020,Hydro_reservoir,Water_in,upperLimit,3000.0
BOP,2030,Battery,Elec_battery,build,1.749274471010372
BOP,2030,Battery,Elec_battery,total,1.749274471010372
BOP,2030,Battery,Elec_battery,upperLimit,240.0
BOP,2030,Hydro_reservoir,Water_in,upperLimit,3000.0
BOP,2040,Battery,Elec_battery,upperLimit,240.0
BOP,2040,Hydro_reservoir,Water_in,upperLimit,3000.0
BOP,2050,Battery,Elec_battery,build,9.65819003969559
BOP,2050,Battery,Elec_battery,total,9.65819003969559
BOP,2050,Battery,Elec_battery,upperLimit,240.0
BOP,2050,Hydro_reservoir,Water_in,upperLimit,3000.0
CAN,2000,Hydro_reservoir,Water_in,build,2517.2429
CAN,2000,Hydro_reservoir,Water_in,total,2517.2429
CAN,2000,Hydro_reservoir,Water_in,upperLimit,3000.0
CAN,2003,Hydro_reservoir,Water_in,total,2517.2429
CAN,2004,Hydro_reservoir,Water_in,total,2517.2429
CAN,2005,Hydro_reservoir,Water_in,total,2517.2429
CAN,2007,Hydro_reservoir,Water_in,total,2517.2429
CAN,2008,Hydro_reservoir,Water_in,total,2517.2429
CAN,2009,Hydro_reservoir,Water_in,total,2517.2429
CAN,2010,Hydro_reservoir,Water_in,total,2517.2429
CAN,2011,Hydro_reservoir,Water_in,total,2517.2429
CAN,2013,Hydro_reservoir,Water_in,total,2517.2429
CAN,2014,Hydro_reservoir,Water_in,total,2517.2429
CAN,2015,Hydro_reservoir,Water_in,total,2517.2429
CAN,2018,Hydro_reservoir,Water_in,total,2517.2429
CAN,2020,Battery,Elec_battery,upperLimit,120.0
CAN,2020,Hydro_reservoir,Water_in,total,2517.2429
CAN,2020,Hydro_reservoir,Water_in,upperLimit,3000.0
CAN,2030,Battery,Elec_battery,build,1.646422018383309
CAN,2030,Battery,Elec_battery,total,1.646422018383309
CAN,2030,Battery,Elec_battery,upperLimit,240.0
CAN,2030,Hydro_reservoir,Water_in,total,2517.2429
CAN,2030,Hydro_reservoir,Water_in,upperLimit,3000.0
CAN,2040,Battery,Elec_battery,upperLimit,240.0
CAN,2040,Hydro_reservoir,Water_in,total,2517.2429
CAN,2040,Hydro_reservoir,Water_in,upperLimit,3000.0
CAN,2050,Battery,Elec_battery,build,14.859408691877634
CAN,2050,Battery,Elec_battery,total,14.859408691877634
CAN,2050,Battery,Elec_battery,upperLimit,240.0
CAN,2050,Hydro_reservoir,Water_in,total,2517.2429
CAN,2050,Hydro_reservoir,Water_in,upperLimit,3000.0
CEN,2000,Hydro_reservoir,Water_in,upperLimit,3000.0
CEN,2020,Battery,Elec_battery,upperLimit,120.0
CEN,2020,Hydro_reservoir,Water_in,upperLimit,3000.0
