linksData,years,transfer_techs,linksUpperLimit
AKL__TRN,2020,HV,100.0
AKL__TRN,2030,HV,100.0
AKL__TRN,2040,HV,100.0
AKL__TRN,2050,HV,100.0
AKL__WTO,2020,HV,100.0
AKL__WTO,2030,HV,100.0
AKL__WTO,2040,HV,100.0
AKL__WTO,2050,HV,100.0
CAN__OTG,2020,HV,100.0
CAN__OTG,2030,HV,100.0
CAN__OTG,2040,HV,100.0
CAN__OTG,2050,HV,100.0
CEN__HBY,2020,HV,100.0
CEN__HBY,2030,HV,100.0
CEN__HBY,2040,HV,100.0
CEN__HBY,2050,HV,100.0
CEN__WEL,2020,HV,100.0
CEN__WEL,2030,HV,100.0
CEN__WEL,2040,HV,100.0
CEN__WEL,2050,HV,100.0
NEL__CAN,2020,HV,100.0
NEL__CAN,2030,HV,100.0
NEL__CAN,2040,HV,100.0
NEL__CAN,2050,HV,100.0
NIS__AKL,2020,HV,100.0
NIS__AKL,2030,HV,100.0
NIS__AKL,2040,HV,100.0
NIS__AKL,2050,HV,100.0
TRN__CEN,2020,HV,100.0
TRN__CEN,2030,HV,100.0
TRN__CEN,2040,HV,100.0
TRN__CEN,2050,HV,100.0
WEL__CAN,2020,HV,100.0
WEL__CAN,2030,HV,100.0
WEL__CAN,2040,HV,100.0
WEL__CAN,2050,HV,100.0
WTO__BOP,2020,HV,100.0
WTO__BOP,2030,HV,100.0
WTO__BOP,2040,HV,100.0
WTO__BOP,2050,HV,100.0
WTO__CEN,2020,HV,100.0
WTO__CEN,2030,HV,100.0
WTO__CEN,2040,HV,100.0
WTO__CEN,2050,HV,100.0
WTO__HBY,2020,HV,100.0
WTO__HBY,2030,HV,100.0
WTO__HBY,2040,HV,100.0
WTO__HBY,2050,HV,100.0
