accNodesModel,accYears,indicator,value
AKL,2020,CO2_emission,335.33340503007963
AKL,2020,FuelCost,335.33340503007963
AKL,2020,Invest,32.811076330532806
AKL,2020,OMFix,2.587348534886221
AKL,2020,SlackCost,4.157035043021179e-06
AKL,2020,SystemCost,370.7318340525337
AKL,2030,CO2_emission,97.09538347938573
AKL,2030,FuelCost,97.09538347938573
AKL,2030,Invest,150.70665926618395
AKL,2030,OMFix,3.827176294597716
AKL,2030,SlackCost,4.22378874616095
AKL,2030,SystemCost,255.85300778632833
AKL,2040,CO2_emission,537.1157913287996
AKL,2040,FuelCost,537.1157913287996
AKL,2040,Invest,243.47112234878713
AKL,2040,OMFix,5.817756213030864
AKL,2040,SlackCost,0.0004326048167755273
AKL,2040,SystemCost,786.4051024954343
AKL,2050,CO2_emission,738.6384176743626
AKL,2050,FuelCost,738.6384176743626
AKL,2050,Invest,313.1431883645144
AKL,2050,OMFix,8.989886198037604
AKL,2050,SlackCost,5.2734099215652215
AKL,2050,SystemCost,1066.0449021584798
AKL,horizon,CO2_emission,1708.1829975126275
AKL,horizon,FuelCost,1708.1829975126275
AKL,horizon,Invest,740.1320463100183
AKL,horizon,OMFix,21.22216724055241
AKL,horizon,SlackCost,9.49763542957799
AKL,horizon,SystemCost,2479.0348464927765
BOP,2020,CO2_emission,0.37663389128271446
BOP,2020,FuelCost,0.37663389128271446
BOP,2020,Invest,54.03696114327695
BOP,2020,OMFix,0.20351909658558626
BOP,2020,SlackCost,0.15105673610632725
BOP,2020,SystemCost,54.76817086725158
BOP,2030,CO2_emission,10.187935878654715
BOP,2030,FuelCost,10.187935878654715
BOP,2030,Invest,75.34836985435692
BOP,2030,OMFix,0.3306537213748276
BOP,2030,SlackCost,2.9099224519231377e-06
BOP,2030,SystemCost,85.86696236430892
BOP,2040,CO2_emission,40.399817495305996
BOP,2040,FuelCost,40.399817495305996
BOP,2040,Invest,152.29044674533273
BOP,2040,OMFix,0.49012303084387643
BOP,2040,SlackCost,8.650909223898911e-06
BOP,2040,SystemCost,193.18039592239182
BOP,2050,CO2_emission,86.80088545396424
BOP,2050,FuelCost,86.80088545396424
BOP,2050,Invest,230.50413701591742
BOP,2050,OMFix,0.6474066076464138
BOP,2050,SlackCost,0.002242988559048495
BOP,2050,SystemCost,317.95467206608714
BOP,horizon,CO2_emission,137.76527271920767
BOP,horizon,FuelCost,137.76527271920767
BOP,horizon,Invest,512.179914758884
BOP,horizon,OMFix,1.6717024564507041
BOP,horizon,SlackCost,0.15331128549705156
BOP,horizon,SystemCost,651.7702012200396
CAN,2020,CO2_emission,1.0937093827875271e-05
CAN,2020,FuelCost,1.0937093827875271e-05
CAN,2020,Invest,14.056462902056277
CAN,2020,OMFix,2.0149417251250443
CAN,2020,SlackCost,4.422108319939587e-06
CAN,2020,SystemCost,16.071419986383468
CAN,2030,CO2_emission,3.849586087370706e-05
CAN,2030,FuelCost,3.849586087370706e-05
CAN,2030,Invest,21.120694012722225
CAN,2030,OMFix,5.191168530506706
CAN,2030,SlackCost,1.5483074828170665e-06
CAN,2030,SystemCost,26.311902587397288
CAN,2040,CO2_emission,0.0002717774190393128
CAN,2040,FuelCost,0.0002717774190393128
CAN,2040,Invest,28.039249248425417
CAN,2040,OMFix,9.409847393163423
CAN,2040,SlackCost,7.849496362422866e-06
CAN,2040,SystemCost,37.449376268504246
CAN,2050,CO2_emission,14.713784045228813
CAN,2050,FuelCost,14.713784045228813
CAN,2050,Invest,39.64825865524535
CAN,2050,OMFix,13.60963394356979
CAN,2050,SlackCost,7.692866925101697e-05
CAN,2050,SystemCost,67.9717535727132
CAN,horizon,CO2_emission,14.714105255602554
CAN,horizon,FuelCost,14.714105255602554
CAN,horizon,Invest,102.86466481844926
CAN,horizon,OMFix,30.225591592364964
CAN,horizon,SlackCost,9.074858141619648e-05
CAN,horizon,SystemCost,147.80445241499817
CEN,2020,Invest,56.80135935313106
CEN,2020,OMFix,0.6444443803035576
CEN,2020,SlackCost,4.06464429275385e-06
CEN,2020,SystemCost,57.44580779807891
CEN,2030,CO2_emission,0.00010440152130109123
CEN,2030,FuelCost,0.00010440152130109123
CEN,2030,Invest,66.51196221200337
CEN,2030,OMFix,3.2301231376786275
CEN,2030,SlackCost,1.5173351465408971e-06
CEN,2030,SystemCost,69.74219126853845
CEN,2040,CO2_emission,0.0055759038408445824
CEN,2040,FuelCost,0.0055759038408445824
CEN,2040,Invest,40.6321328489647
CEN,2040,OMFix,5.989468678426043
CEN,2040,SlackCost,7.127733085470591
CEN,2040,SystemCost,53.754910516702175
CEN,2050,CO2_emission,43.06369817197117
CEN,2050,FuelCost,43.06369817197117
CEN,2050,Invest,43.80010094970949
CEN,2050,OMFix,9.057523440830499
CEN,2050,SlackCost,4.866060482392092
CEN,2050,SystemCost,100.78738304490324
CEN,horizon,CO2_emission,43.069378477333316
CEN,horizon,FuelCost,43.069378477333316
CEN,horizon,Invest,207.7455553638086
CEN,horizon,OMFix,18.92155963723873
CEN,horizon,SlackCost,11.993799149842122
CEN,horizon,SystemCost,281.7302926282228
HBY,2020,CO2_emission,1.838051746586855
HBY,2020,FuelCost,1.838051746586855
HBY,2020,Invest,14.999906967318715
HBY,2020,OMFix,0.3682765843600613
HBY,2020,SlackCost,4.452030543142798e-06
HBY,2020,SystemCost,17.206239750296174
HBY,2030,CO2_emission,6.189937322681912
HBY,2030,FuelCost,6.189937322681912
HBY,2030,Invest,26.096046996934938
HBY,2030,OMFix,0.4073529255681318
HBY,2030,SlackCost,7.359821377123639e-06
HBY,2030,SystemCost,32.69334460500636
HBY,2040,CO2_emission,56.70956389900252
HBY,2040,FuelCost,56.70956389900252
HBY,2040,Invest,29.759919778770634
HBY,2040,OMFix,0.6287361011192464
HBY,2040,SlackCost,9.642297994076297e-06
HBY,2040,SystemCost,87.0982294211904
HBY,2050,CO2_emission,109.56368209414421
HBY,2050,FuelCost,109.56368209414421
HBY,2050,Invest,38.89976068400503
HBY,2050,OMFix,0.7514778595131009
HBY,2050,SlackCost,0.000841129585041553
HBY,2050,SystemCost,149.2157617672474
HBY,horizon,CO2_emission,174.30123506241551
HBY,horizon,FuelCost,174.30123506241551
HBY,horizon,Invest,109.75563442702932
HBY,horizon,OMFix,2.1558434705605407
HBY,horizon,SlackCost,0.0008625837349558957
HBY,horizon,SystemCost,286.2135755437403
NEL,2020,Invest,2.2328061486077666
NEL,2020,OMFix,0.2994468844609774
NEL,2020,SlackCost,0.031513046342474066
NEL,2020,SystemCost,2.5637660794112183
NEL,2030,CO2_emission,0.5477797901302027
NEL,2030,FuelCost,0.5477797901302027
NEL,2030,Invest,18.233434280268526
NEL,2030,OMFix,0.40362595135489826
NEL,2030,SlackCost,1.4869033922115663e-06
NEL,2030,SystemCost,19.18484150865702
NEL,2040,CO2_emission,38.41885167329539
NEL,2040,FuelCost,38.41885167329539
NEL,2040,Invest,34.54470283311042
NEL,2040,OMFix,0.564256319102101
NEL,2040,SlackCost,8.383155190383984e-06
NEL,2040,SystemCost,73.5278192086631
NEL,2050,CO2_emission,74.4636807586678
NEL,2050,FuelCost,74.4636807586678
NEL,2050,Invest,42.75677073702
NEL,2050,OMFix,0.7239100154596722
NEL,2050,SlackCost,7.605462885201388e-05
NEL,2050,SystemCost,117.94443756577631
NEL,horizon,CO2_emission,113.43031222209339
NEL,horizon,FuelCost,113.43031222209339
NEL,horizon,Invest,97.7677139990067
NEL,horizon,OMFix,1.9912391703776486
NEL,horizon,SlackCost,0.03159897102990867
NEL,horizon,SystemCost,213.22086436250768
NIS,2020,CO2_emission,0.22343852428651095
NIS,2020,FuelCost,0.22343852428651095
NIS,2020,Invest,12.153949843729425
NIS,2020,OMFix,0.4470425310766001
NIS,2020,SlackCost,0.42509594178449167
NIS,2020,SystemCost,13.249526840877026
NIS,2030,CO2_emission,75.99677123637605
NIS,2030,FuelCost,75.99677123637605
NIS,2030,Invest,172.57118521803923
NIS,2030,OMFix,1.3926999626174303
NIS,2030,SlackCost,0.7707276623835938
NIS,2030,SystemCost,250.7313840794163
NIS,2040,CO2_emission,122.44456490895521
NIS,2040,FuelCost,122.44456490895521
NIS,2040,Invest,360.18131279986056
NIS,2040,OMFix,2.7503527087188395
NIS,2040,SlackCost,0.5976485978907209
NIS,2040,SystemCost,485.9738790154253
NIS,2050,CO2_emission,132.9892647733113
NIS,2050,FuelCost,132.9892647733113
NIS,2050,Invest,625.6304965511399
NIS,2050,OMFix,5.161648480877976
NIS,2050,SlackCost,1.3897915112994403
NIS,2050,SystemCost,765.1712013166286
NIS,horizon,CO2_emission,331.65403944292905
NIS,horizon,FuelCost,331.65403944292905
NIS,horizon,Invest,1170.5369444127691
NIS,horizon,OMFix,9.751743683290847
NIS,horizon,SlackCost,3.1832637133582464
NIS,horizon,SystemCost,1515.1259912523474
OTG,2020,CO2_emission,9.250688792540197e-06
OTG,2020,FuelCost,9.250688792540197e-06
OTG,2020,Invest,16.985900375223842
OTG,2020,OMFix,0.8322375428692163
OTG,2020,SlackCost,4.420895325236201e-06
OTG,2020,SystemCost,17.818151589677175
OTG,2030,CO2_emission,2.8622228497695193e-05
OTG,2030,FuelCost,2.8622228497695193e-05
OTG,2030,Invest,298.02673954786974
OTG,2030,OMFix,1.8417118934918077
OTG,2030,SlackCost,1.5393591928570961e-06
OTG,2030,SystemCost,299.86848160294926
OTG,2040,CO2_emission,0.0002156251134398341
OTG,2040,FuelCost,0.0002156251134398341
OTG,2040,Invest,745.5379123965615
OTG,2040,OMFix,4.046569131775896
OTG,2040,SlackCost,7.811251208368182e-06
OTG,2040,SystemCost,749.584704964702
OTG,2050,CO2_emission,4.631790724028208
OTG,2050,FuelCost,4.631790724028208
OTG,2050,Invest,1206.351665314421
OTG,2050,OMFix,6.259355388613174
OTG,2050,SlackCost,1.1267100418447127
OTG,2050,SystemCost,1218.3695214689071
OTG,horizon,CO2_emission,4.632044222058938
OTG,horizon,FuelCost,4.632044222058938
OTG,horizon,Invest,2266.902217634076
OTG,horizon,OMFix,12.979873956750094
OTG,horizon,SlackCost,1.1267238133504391
OTG,horizon,SystemCost,2285.6408596262354
TRN,2020,CO2_emission,352.9556003798683
TRN,2020,FuelCost,352.9556003798683
TRN,2020,Invest,57.46187420104671
TRN,2020,OMFix,0.40100400809854797
TRN,2020,SlackCost,4.055481969430619e-06
TRN,2020,SystemCost,410.81848264449553
TRN,2030,CO2_emission,10.247344491016165
TRN,2030,FuelCost,10.247344491016165
TRN,2030,Invest,43.12713910473243
TRN,2030,OMFix,0.6128394478777854
TRN,2030,SlackCost,1.4338044883873627e-06
TRN,2030,SystemCost,53.98732447743086
TRN,2040,CO2_emission,54.924055895932874
TRN,2040,FuelCost,54.924055895932874
TRN,2040,Invest,45.9483925613158
TRN,2040,OMFix,0.6794591633726985
TRN,2040,SlackCost,7.850538426262235e-06
TRN,2040,SystemCost,101.5519154711598
TRN,2050,CO2_emission,78.76657817693925
TRN,2050,FuelCost,78.76657817693925
TRN,2050,Invest,38.02806604475205
TRN,2050,OMFix,0.8094248434456068
TRN,2050,SlackCost,0.6102405222535019
TRN,2050,SystemCost,118.21430958739042
TRN,horizon,CO2_emission,496.89357894375667
TRN,horizon,FuelCost,496.89357894375667
TRN,horizon,Invest,184.565471911847
TRN,horizon,OMFix,2.5027274627946388
TRN,horizon,SlackCost,0.610253862078386
TRN,horizon,SystemCost,684.5720321804766
WEL,2020,CO2_emission,0.08620951373098847
WEL,2020,FuelCost,0.08620951373098847
WEL,2020,Invest,30.087550598601744
WEL,2020,OMFix,1.0760656353193685
WEL,2020,SlackCost,4.066183995646341e-06
WEL,2020,SystemCost,31.249829813836097
WEL,2030,CO2_emission,7.095383720935128e-05
WEL,2030,FuelCost,7.095383720935128e-05
WEL,2030,Invest,198.31663047832615
WEL,2030,OMFix,4.487310679484306
WEL,2030,SlackCost,0.21433491553617276
WEL,2030,SystemCost,203.01834702718384
WEL,2040,CO2_emission,17.691334056243004
WEL,2040,FuelCost,17.691334056243004
WEL,2040,Invest,286.4909385538681
WEL,2040,OMFix,7.812717724424548
WEL,2040,SlackCost,4.756658944490459
WEL,2040,SystemCost,316.75164927902614
WEL,2050,CO2_emission,96.65947999918548
WEL,2050,FuelCost,96.65947999918548
WEL,2050,Invest,462.0787627477713
WEL,2050,OMFix,11.216933449335112
WEL,2050,SlackCost,0.00012966021465265993
WEL,2050,SystemCost,569.9553058565065
WEL,horizon,CO2_emission,114.43709452299669
WEL,horizon,FuelCost,114.43709452299669
WEL,horizon,Invest,976.9738823785673
WEL,horizon,OMFix,24.593027488563337
WEL,horizon,SlackCost,4.97112758642528
WEL,horizon,SystemCost,1120.9751319765526
WTO,2020,CO2_emission,1040.0930646241454
WTO,2020,FuelCost,1040.0930646241454
WTO,2020,Invest,305.3662806897118
WTO,2020,OMFix,2.3064865250522883
WTO,2020,SlackCost,4.460960519630201e-06
WTO,2020,SystemCost,1347.7658362998702
WTO,2030,CO2_emission,35.98945753097592
WTO,2030,FuelCost,35.98945753097592
WTO,2030,Invest,290.31708319396813
WTO,2030,OMFix,3.713887500103
WTO,2030,SlackCost,1.6221051033684205e-06
WTO,2030,SystemCost,330.0204298471522
WTO,2040,CO2_emission,0.0003325601392531559
WTO,2040,FuelCost,0.0003325601392531559
WTO,2040,Invest,261.9393286778185
WTO,2040,OMFix,5.505413500356344
WTO,2040,SlackCost,7.906964831454547e-06
WTO,2040,SystemCost,267.4450826452789
WTO,2050,CO2_emission,0.0032602690691643844
WTO,2050,FuelCost,0.0032602690691643844
WTO,2050,Invest,264.36990220800106
WTO,2050,OMFix,7.662044402770255
WTO,2050,SlackCost,0.00011304785282711488
WTO,2050,SystemCost,272.03531992769337
WTO,horizon,CO2_emission,1076.0861149843297
WTO,horizon,FuelCost,1076.0861149843297
WTO,horizon,Invest,1121.9925947694994
WTO,horizon,OMFix,19.187831928281888
WTO,horizon,SlackCost,0.00012703788328156804
WTO,horizon,SystemCost,2217.2666687199944
global,2020,CO2_emission,1730.906423897763
global,2020,FuelCost,1730.906423897763
global,2020,Invest,596.9941285532371
global,2020,OMFix,11.18081344813747
global,2020,SlackCost,0.6076998235733019
global,2020,SystemCost,2339.689065722711
global,2030,CO2_emission,236.2548522026686
global,2030,FuelCost,236.2548522026686
global,2030,Invest,1360.3759441654056
global,2030,OMFix,25.438550044655237
global,2030,SlackCost,5.208870741639354
global,2030,SystemCost,1627.2782171543686
global,2040,CO2_emission,867.7103751240471
global,2040,FuelCost,867.7103751240471
global,2040,Invest,2228.8354587928156
global,2040,OMFix,43.69469996433388
global,2040,SlackCost,12.482531327281784
global,2040,SystemCost,3152.7230652084777
global,2050,CO2_emission,1380.2945221408725
global,2050,FuelCost,1380.2945221408725
global,2050,Invest,3305.2111092724967
global,2050,OMFix,64.8892446300992
global,2050,SlackCost,13.26969228886464
global,2050,SystemCost,4763.664568332333
global,horizon,CO2_emission,4215.16617336535
global,horizon,FuelCost,4215.16617336535
global,horizon,Invest,7491.416640783955
global,horizon,OMFix,145.2033080872258
global,horizon,SlackCost,31.56879418135908
global,horizon,SystemCost,11883.354916417891
