accNodesModel,accYears,techs,commodity,capType,value
AKL,2020,Battery,Elec_battery,upperLimit,120.0
BOP,2000,Hydro_reservoir,Water_in,upperLimit,3000.0
BOP,2020,Battery,Elec_battery,upperLimit,120.0
BOP,2020,Hydro_reservoir,Water_in,upperLimit,3000.0
BOP,2030,Hydro_reservoir,Water_in,upperLimit,3000.0
BOP,2040,Hydro_reservoir,Water_in,upperLimit,3000.0
BOP,2050,Hydro_reservoir,Water_in,upperLimit,3000.0
CAN,2000,Hydro_reservoir,Water_in,build,2517.2429
CAN,2000,Hydro_reservoir,Water_in,total,2517.2429
CAN,2000,Hydro_reservoir,Water_in,upperLimit,3000.0
CAN,2003,Hydro_reservoir,Water_in,total,2517.2429
CAN,2004,Hydro_reservoir,Water_in,total,2517.2429
CAN,2005,Hydro_reservoir,Water_in,total,2517.2429
CAN,2007,Hydro_reservoir,Water_in,total,2517.2429
CAN,2008,Hydro_reservoir,Water_in,total,2517.2429
CAN,2009,Hydro_reservoir,Water_in,total,2517.2429
CAN,2010,Hydro_reservoir,Water_in,total,2517.2429
CAN,2011,Hydro_reservoir,Water_in,total,2517.2429
CAN,2013,Hydro_reservoir,Water_in,total,2517.2429
CAN,2014,Hydro_reservoir,Water_in,total,2517.2429
CAN,2015,Hydro_reservoir,Water_in,total,2517.2429
CAN,2018,Hydro_reservoir,Water_in,total,2517.2429
CAN,2020,Battery,Elec_battery,upperLimit,120.0
CAN,2020,Hydro_reservoir,Water_in,total,2517.2429
CAN,2020,Hydro_reservoir,Water_in,upperLimit,3000.0
CAN,2030,Hydro_reservoir,Water_in,total,2517.2429
CAN,2030,Hydro_reservoir,Water_in,upperLimit,3000.0
CAN,2040,Hydro_reservoir,Water_in,total,2517.2429
CAN,2040,Hydro_reservoir,Water_in,upperLimit,3000.0
CAN,2050,Hydro_reservoir,Water_in,total,2517.2429
CAN,2050,Hydro_reservoir,Water_in,upperLimit,3000.0
CEN,2000,Hydro_reservoir,Water_in,upperLimit,3000.0
CEN,2020,Battery,Elec_battery,upperLimit,120.0
CEN,2020,Hydro_reservoir,Water_in,upperLimit,3000.0
CEN,2030,Hydro_reservoir,Water_in,upperLimit,3000.0
CEN,2040,Hydro_reservoir,Water_in,upperLimit,3000.0
CEN,2050,Hydro_reservoir,Water_in,upperLimit,3000.0
HBY,2000,Hydro_reservoir,Water_in,build,154.2635
HBY,2000,Hydro_reservoir,Water_in,total,154.2635
HBY,2000,Hydro_reservoir,Water_in,upperLimit,3000.0
HBY,2003,Hydro_reservoir,Water_in,total,154.2635
HBY,2004,Hydro_reservoir,Water_in,total,154.2635
HBY,2005,Hydro_reservoir,Water_in,total,154.2635
HBY,2007,Hydro_reservoir,Water_in,total,154.2635
HBY,2008,Hydro_reservoir,Water_in,total,154.2635
HBY,2009,Hydro_reservoir,Water_in,total,154.2635
HBY,2010,Hydro_reservoir,Water_in,total,154.2635
HBY,2011,Hydro_reservoir,Water_in,total,154.2635
HBY,2013,Hydro_reservoir,Water_in,total,154.2635
HBY,2014,Hydro_reservoir,Water_in,total,154.2635
HBY,2015,Hydro_reservoir,Water_in,total,154.2635
HBY,2018,Hydro_reservoir,Water_in,total,154.2635
HBY,2020,Battery,Elec_battery,upperLimit,120.0
HBY,2020,Hydro_reservoir,Water_in,total,154.2635
HBY,2020,Hydro_reservoir,Water_in,upperLimit,3000.0
HBY,2030,Hydro_reservoir,Water_in,total,154.2635
HBY,2030,Hydro_reservoir,Water_in,upperLimit,3000.0
HBY,2040,Hydro_reservoir,Water_in,total,154.2635
HBY,2040,Hydro_reservoir,Water_in,upperLimit,3000.0
HBY,2050,Hydro_reservoir,Water_in,total,154.2635
HBY,2050,Hydro_reservoir,Water_in,upperLimit,3000.0
NEL,2000,Hydro_reservoir,Water_in,upperLimit,3000.0
NEL,2020,Battery,Elec_battery,upperLimit,120.0
NEL,2020,Hydro_reservoir,Water_in,upperLimit,3000.0
NEL,2030,Hydro_reservoir,Water_in,upperLimit,3000.0
NEL,2040,Hydro_reservoir,Water_in,upperLimit,3000.0
NEL,2050,Hydro_reservoir,Water_in,upperLimit,3000.0
NIS,2020,Battery,Elec_battery,upperLimit,120.0
OTG,2000,Hydro_reservoir,Water_in,build,729.5595
OTG,2000,Hydro_reservoir,Water_in,total,729.5595
OTG,2000,Hydro_reservoir,Water_in,upperLimit,3000.0
OTG,2003,Hydro_reservoir,Water_in,total,729.5595
OTG,2004,Hydro_reservoir,Water_in,total,729.5595
OTG,2005,Hydro_reservoir,Water_in,total,729.5595
OTG,2007,Hydro_reservoir,Water_in,total,729.5595
OTG,2008,Hydro_reservoir,Water_in,total,729.5595
OTG,2009,Hydro_reservoir,Water_in,total,729.5595
OTG,2010,Hydro_reservoir,Water_in,total,729.5595
OTG,2011,Hydro_reservoir,Water_in,total,729.5595
OTG,2013,Hydro_reservoir,Water_in,total,729.5595
OTG,2014,Hydro_reservoir,Water_in,total,729.5595
OTG,2015,Hydro_reservoir,Water_in,total,729.5595
OTG,2018,Hydro_reservoir,Water_in,total,729.5595
OTG,2020,Battery,Elec_battery,upperLimit,120.0
OTG,2020,Hydro_reservoir,Water_in,total,729.5595
OTG,2020,Hydro_reservoir,Water_in,upperLimit,3000.0
OTG,2030,Hydro_reservoir,Water_in,total,729.5595
OTG,2030,Hydro_reservoir,Water_in,upperLimit,3000.0
OTG,2040,Hydro_reservoir,Water_in,total,729.5595
OTG,2040,Hydro_reservoir,Water_in,upperLimit,3000.0
OTG,2050,Hydro_reservoir,Water_in,total,729.5595
OTG,2050,Hydro_reservoir,Water_in,upperLimit,3000.0
TRN,2020,Battery,Elec_battery,upperLimit,120.0
WEL,2020,Battery,Elec_battery,upperLimit,120.0
WTO,2000,Hydro_reservoir,Water_in,build,587.1371
WTO,2000,Hydro_reservoir,Water_in,total,587.1371
WTO,2000,Hydro_reservoir,Water_in,upperLimit,3000.0
WTO,2003,Hydro_reservoir,Water_in,total,587.1371
WTO,2004,Hydro_reservoir,Water_in,total,587.1371
WTO,2005,Hydro_reservoir,Water_in,total,587.1371
WTO,2007,Hydro_reservoir,Water_in,total,587.1371
WTO,2008,Hydro_reservoir,Water_in,total,587.1371
WTO,2009,Hydro_reservoir,Water_in,total,587.1371
WTO,2010,Hydro_reservoir,Water_in,total,587.1371
WTO,2011,Hydro_reservoir,Water_in,total,587.1371
WTO,2013,Hydro_reservoir,Water_in,total,587.1371
WTO,2014,Hydro_reservoir,Water_in,total,587.1371
WTO,2015,Hydro_reservoir,Water_in,total,587.1371
WTO,2018,Hydro_reservoir,Water_in,total,587.1371
WTO,2020,Battery,Elec_battery,upperLimit,120.0
WTO,2020,Hydro_reservoir,Water_in,total,587.1371
WTO,2020,Hydro_reservoir,Water_in,upperLimit,3000.0
WTO,2030,Hydro_reservoir,Water_in,total,587.1371
WTO,2030,Hydro_reservoir,Water_in,upperLimit,3000.0
WTO,2040,Hydro_reservoir,Water_in,total,587.1371
WTO,2040,Hydro_reservoir,Water_in,upperLimit,3000.0
WTO,2050,Hydro_reservoir,Water_in,total,587.1371
WTO,2050,Hydro_reservoir,Water_in,upperLimit,3000.0
global,2000,Hydro_reservoir,Water_in,build,3988.203
global,2000,Hydro_reservoir,Water_in,total,3988.203
global,2000,Hydro_reservoir,Water_in,upperLimit,21000.0
global,2003,Hydro_reservoir,Water_in,total,3988.203
global,2004,Hydro_reservoir,Water_in,total,3988.203
global,2005,Hydro_reservoir,Water_in,total,3988.203
global,2007,Hydro_reservoir,Water_in,total,3988.203
global,2008,Hydro_reservoir,Water_in,total,3988.203
global,2009,Hydro_reservoir,Water_in,total,3988.203
global,2010,Hydro_reservoir,Water_in,total,3988.203
global,2011,Hydro_reservoir,Water_in,total,3988.203
global,2013,Hydro_reservoir,Water_in,total,3988.203
global,2014,Hydro_reservoir,Water_in,total,3988.203
global,2015,Hydro_reservoir,Water_in,total,3988.203
global,2018,Hydro_reservoir,Water_in,total,3988.203
global,2020,Battery,Elec_battery,upperLimit,1320.0
global,2020,Hydro_reservoir,Water_in,total,3988.203
global,2020,Hydro_reservoir,Water_in,upperLimit,21000.0
global,2030,Hydro_reservoir,Water_in,total,3988.203
global,2030,Hydro_reservoir,Water_in,upperLimit,21000.0
global,2040,Hydro_reservoir,Water_in,total,3988.203
global,2040,Hydro_reservoir,Water_in,upperLimit,21000.0
global,2050,Hydro_reservoir,Water_in,total,3988.203
global,2050,Hydro_reservoir,Water_in,upperLimit,21000.0
