Name,Type,Primary_fuel,Secondary_fuel,Prime_mover_1,Prime_mover_2,Cogeneration,Capacity_MW,Largest_unit_MW,Primary_efficiency,Generating_units_number,Generating_units_notes,Year_built,Status,Cooling_type,Cooling_source,Group_name,Group_order,Owner_1,Owner_2,Operator,Connection_type,Avg_Ann_Gen_GWh,Hydro_max_storage_m3,Basin,Regional_auth,Region_name,Island_name,Node_name,GIP substation,Lifetime,Lifetime_notes,lat,long,Node,Techs
Redvale Landfill,Thermal,Biogas,,,,N,7,1,0,,7 x 1 MW,,,,,,,Waste Management,,Trustpower,Embedded,50,,,,NIS - North Isthmus,NI ,SVL0331,SVL,,,-36.658,174.6259,NIS,BIO
Watercare Mangere,Thermal,Biogas,,,,Y,7,7,0,,,2003,,,,,,Watercare Services,,Mighty River Power,Embedded,0.1,,,,AKL - Auckland,NI ,MNG0331,MNG,,,-36.9648,174.7763,AKL,BIO
Greenmount Landfill,Thermal,Biogas,,,,N,5.5,0.92,0,,6 x 0.92 MW,1992,,,,,,EnviroWaste,,Mercury,Embedded,38,,,,AKL - Auckland,NI ,OTA0221,OTA,,,-36.9348,174.8904,AKL,BIO
Hampton Downs Landfill,Thermal,Biogas,,,,N,4,1,0,,4 x 1 MW,2009,,,,,,EnviroWaste,,Mercury,Embedded,28,,,,WTO - Waikato,NI ,MER0331,MER,,,-37.3581,175.0723,WTO,BIO
Christchurch City Wastewater,Thermal,Biogas,,,,N,3.2,3.2,0,,,1996,,,,,,Orion,,Meridian Energy,Embedded,2,,,,CAN - Canterbury,SI ,BRY0111,BRY,,,-43.5248,172.7013,CAN,BIO
Whitford Landfill,Thermal,Biogas,,,,N,3,1,0,,3 x 1 MW,,,,,,,Waste Management,,Trustpower,Embedded,20,,,,AKL - Auckland,NI ,TAK0331,TAK,,,-36.9358,174.9925,AKL,BIO
Rosedale Landfill,Thermal,Biogas,,,,N,2.8,0.92,0,,3 x 0.92 MW,1992,,,,,,EnviroWaste,,Mercury,Embedded,22,,,,NIS - North Isthmus,NI ,ALB0331,ALB,,,-36.7341,174.7211,NIS,BIO
Silverstream Landfill,Thermal,Biogas,,,,N,2.7,0.9,0,,3 x 0.9 MW,1994,,,,,,Mighty River Power,,Mercury,Embedded,13,,,,WEL - Wellington,NI ,HAY0331,HAY,,,-41.2805,174.7671,WEL,BIO
Southern Landfill,Thermal,Biogas,,,,N,1.1,1.1,0,,,,,,,,,Todd Energy,,Todd Energy,Embedded,6,,,,WEL - Wellington,NI ,CPK0331,CPK,,,-41.3237,174.7455,WEL,BIO
Tirohia Landfill,Thermal,Biogas,,,,N,1,1,0,,1 x 1,2008,,,,,,H.G. Leach & Co.,,Mighty River Power,Embedded,7.5,,,,WTO - Waikato,NI ,WKO0331,WKO,,,-37.3789,175.6734,WTO,BIO
Horotiu Landfill,Thermal,Biogas,,,,N,0.9,0.9,0,,,2004,,,,,,Green Energy,,WEL Networks,Embedded,7,,,,WTO - Waikato,NI ,TWH0331,TWH,,,-36.8841,174.7704,WTO,BIO
Burwood Hospital,Thermal,Biomass,Diesel,,,N,0.2,0.2,0,,,,,,,,,Christchurch District Health,,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,BRY0661,BRY,,,-43.4802,172.6841,CAN,BIO
Glenbrook,Thermal,Coal,Natural gas waste heat,steam turbine,,Y,112,74,0,,,1997,Operational,,,,,Bluescope,,Bluescope,Grid,550,,,,AKL - Auckland,NI ,GLN0332,GLN,2047,,-37.2049,174.7234,AKL,COAL
Whirinaki,Thermal,Diesel,,open cycle gas turbine (OCGT),,N,155,52,11000,,,2004,Operational,,,,,Contact,,Contact,Grid,9,,,,HBY - Hawkes Bay,NI ,WHI2201,WHI,2029,,-39.3783,176.892,HBY,DIE
Marsden Diesel,Thermal,Diesel,,,,N,9,1.8,0,,5 x 1.8 MW,2011,,,,,,Trustpower,,Trustpower,Embedded,0,,,,NIS - North Isthmus,NI ,BRB0331,BRB,,,-35.836,174.489,NIS,DIE
Bream Bay Peaker,Thermal,Diesel,,reciprocating engine,,N,9,,,,,2011,Operational,,,,,Manawa Energy,,Trustpower,,,,,,NIS - North Isthmus,NI ,,BRB,2036,,-35.7251,174.3237,NIS,DIE
Hokitika Diesel,Thermal,Diesel,,,,N,3.3,3.3,0,,,,,,,,,Trustpower,,Trustpower,Embedded,0.3,,,,WEC - West Coast,SI ,KUM0661,KUM,,,-42.7174,170.9665,CAN,DIE
Addington,Thermal,Diesel,,,,N,0.4,0.4,0,,,,,,,,,Orion,,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,ADD0111,ADD,,,-43.4911,172.708,CAN,DIE
Christchurch Hospital Campus,Thermal,Diesel,,,,BU,0.3,0.3,0,,,,,,,,,Christchurch District Health,,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,ADD0661,ADD,,,-43.5343,172.6255,CAN,DIE
Orion Diesel,Thermal,Diesel,,,,N,0.3,0.3,0,,,,,,,,,Orion,,Orion,Embedded,0.1,,,,CAN - Canterbury,SI ,ADD0661,ADD,,,-43.489,172.5633,CAN,DIE
