Name,Type,Primary_fuel,Secondary_fuel,Prime_mover_1,Prime_mover_2,Cogeneration,Capacity_MW,Largest_unit_MW,Primary_efficiency,Generating_units_number,Generating_units_notes,Year_built,Status,Cooling_type,Cooling_source,Group_name,Group_order,Owner_1,Owner_2,Operator,Connection_type,Avg_Ann_Gen_GWh,Hydro_max_storage_m3,Basin,Regional_auth,Region_name,Island_name,Node_name,GIP substation,Lifetime,Lifetime_notes,lat,long,Node,Techs
Redvale Landfill,Thermal,Biogas,,,,N,7.0,1.0,0.0,,7 x 1 MW,,,,,,,Waste Management,,Trustpower,Embedded,50.0,,,,NIS - North Isthmus,NI ,SVL0331,SVL,,,-36.658,174.6259,NIS,BIO
Watercare Mangere,Thermal,Biogas,,,,Y,7.0,7.0,0.0,,,2003.0,,,,,,Watercare Services,,Mighty River Power,Embedded,0.1,,,,AKL - Auckland,NI ,MNG0331,MNG,,,-36.9648,174.7763,AKL,BIO
Greenmount Landfill,Thermal,Biogas,,,,N,5.5,0.92,0.0,,6 x 0.92 MW,1992.0,,,,,,EnviroWaste,,Mercury,Embedded,38.0,,,,AKL - Auckland,NI ,OTA0221,OTA,,,-36.9348,174.8904,AKL,BIO
Hampton Downs Landfill,Thermal,Biogas,,,,N,4.0,1.0,0.0,,4 x 1 MW,2009.0,,,,,,EnviroWaste,,Mercury,Embedded,28.0,,,,WTO - Waikato,NI ,MER0331,MER,,,-37.3581,175.0723,WTO,BIO
Christchurch City Wastewater,Thermal,Biogas,,,,N,3.2,3.2,0.0,,,1996.0,,,,,,Orion,,Meridian Energy,Embedded,2.0,,,,CAN - Canterbury,SI ,BRY0111,BRY,,,-43.5248,172.7013,CAN,BIO
Whitford Landfill,Thermal,Biogas,,,,N,3.0,1.0,0.0,,3 x 1 MW,,,,,,,Waste Management,,Trustpower,Embedded,20.0,,,,AKL - Auckland,NI ,TAK0331,TAK,,,-36.9358,174.9925,AKL,BIO
Rosedale Landfill,Thermal,Biogas,,,,N,2.8,0.92,0.0,,3 x 0.92 MW,1992.0,,,,,,EnviroWaste,,Mercury,Embedded,22.0,,,,NIS - North Isthmus,NI ,ALB0331,ALB,,,-36.7341,174.7211,NIS,BIO
Silverstream Landfill,Thermal,Biogas,,,,N,2.7,0.9,0.0,,3 x 0.9 MW,1994.0,,,,,,Mighty River Power,,Mercury,Embedded,13.0,,,,WEL - Wellington,NI ,HAY0331,HAY,,,-41.2805,174.7671,WEL,BIO
Southern Landfill,Thermal,Biogas,,,,N,1.1,1.1,0.0,,,,,,,,,Todd Energy,,Todd Energy,Embedded,6.0,,,,WEL - Wellington,NI ,CPK0331,CPK,,,-41.3237,174.7455,WEL,BIO
Tirohia Landfill,Thermal,Biogas,,,,N,1.0,1.0,0.0,,1 x 1,2008.0,,,,,,H.G. Leach & Co.,,Mighty River Power,Embedded,7.5,,,,WTO - Waikato,NI ,WKO0331,WKO,,,-37.3789,175.6734,WTO,BIO
