Scenario,Sector,Fuel,Region,2020,2025,2030,2035,2040,2045,2050
BIO,Heat,Biofuel (LF),AKL,1.0,0.99,1.77,4.63,6.19,3.71,0.0
BIO,Heat,Biofuel (LF),BOP,0.17,0.17,0.3,0.79,1.06,0.63,0.0
BIO,Heat,Biofuel (LF),CAN,1.89,1.87,3.33,8.71,11.66,6.98,0.0
BIO,Heat,Biofuel (LF),CEN,0.15,0.15,0.27,0.7,0.93,0.56,0.0
BIO,Heat,Biofuel (LF),GIS,0.01,0.01,0.02,0.04,0.06,0.03,0.0
BIO,Heat,Biofuel (LF),HBY,0.43,0.42,0.75,1.97,2.63,1.58,0.0
BIO,Heat,Biofuel (LF),NEL,1.14,1.14,2.01,5.28,7.08,4.23,0.0
BIO,Heat,Biofuel (LF),NIS,0.04,0.04,0.07,0.2,0.26,0.16,0.0
BIO,Heat,Biofuel (LF),OTG,0.11,0.11,0.21,0.54,0.72,0.44,0.0
BIO,Heat,Biofuel (LF),WEL,0.03,0.03,0.06,0.15,0.21,0.12,0.0
BIO,Heat,Biofuel (LF),WTO,0.77,0.76,1.36,3.55,4.75,2.85,0.0
BIO,Heat,Biofuel (gas),AKL,0.0,0.0,59.45,118.88,198.23,233.63,248.63
BIO,Heat,Biofuel (gas),BOP,0.0,0.0,18.85,37.7,62.87,74.1,78.85
BIO,Heat,Biofuel (gas),CAN,0.0,0.0,141.0,281.96,470.16,554.12,589.7
BIO,Heat,Biofuel (gas),CEN,0.0,0.0,68.08,136.13,227.0,267.54,284.72
BIO,Heat,Biofuel (gas),GIS,0.0,0.0,1.51,3.02,5.04,5.94,6.32
BIO,Heat,Biofuel (gas),HBY,0.0,0.0,18.61,37.22,62.06,73.14,77.84
BIO,Heat,Biofuel (gas),NEL,0.0,0.0,9.84,19.68,32.82,38.67,41.16
BIO,Heat,Biofuel (gas),NIS,0.0,0.0,19.17,38.34,63.93,75.35,80.19
BIO,Heat,Biofuel (gas),OTG,0.0,0.0,81.08,162.13,270.35,318.64,339.1
BIO,Heat,Biofuel (gas),TRN,0.0,0.0,158.7,317.34,529.16,623.67,663.71
BIO,Heat,Biofuel (gas),WEL,0.0,0.0,5.52,11.03,18.39,21.68,23.07
BIO,Heat,Biofuel (gas),WTO,0.0,0.0,83.01,166.0,276.8,326.23,347.18
BIO,Heat,Coal,AKL,261.05,217.42,227.9,0.89,0.17,0.04,0.0
BIO,Heat,Coal,BOP,64.39,54.78,55.61,4.81,0.93,0.22,0.0
BIO,Heat,Coal,CAN,2359.4,2156.25,1959.54,770.92,148.9,35.95,0.0
BIO,Heat,Coal,CEN,38.24,31.81,33.4,0.0,0.0,0.0,0.0
BIO,Heat,Coal,GIS,7.7,6.41,6.73,0.0,0.0,0.0,0.0
BIO,Heat,Coal,HBY,28.98,24.3,25.21,0.76,0.15,0.04,0.0
BIO,Heat,Coal,NEL,154.19,139.43,128.85,44.43,8.58,2.07,0.0
BIO,Heat,Coal,NIS,652.08,595.88,541.6,212.85,41.11,9.92,0.0
BIO,Heat,Coal,OTG,1842.12,1685.93,1528.65,611.59,118.12,28.51,0.0
BIO,Heat,Coal,TRN,18.85,15.68,16.46,0.0,0.0,0.0,0.0
BIO,Heat,Coal,WEL,83.72,69.93,72.98,1.1,0.21,0.05,0.0
BIO,Heat,Coal,WTO,225.65,200.62,190.35,51.36,9.92,2.39,0.0
BIO,Heat,E-fuel (LF),AKL,0.0,0.0,1.77,8.67,10.69,7.95,0.0
BIO,Heat,E-fuel (LF),BOP,0.0,0.0,0.3,1.48,1.83,1.36,0.0
BIO,Heat,E-fuel (LF),CAN,0.0,0.0,3.33,16.34,20.13,14.97,0.0
BIO,Heat,E-fuel (LF),CEN,0.0,0.0,0.27,1.31,1.61,1.2,0.0
BIO,Heat,E-fuel (LF),GIS,0.0,0.0,0.02,0.08,0.1,0.07,0.0
BIO,Heat,E-fuel (LF),HBY,0.0,0.0,0.75,3.69,4.54,3.38,0.0
BIO,Heat,E-fuel (LF),NEL,0.0,0.0,2.01,9.9,12.21,9.06,0.0
BIO,Heat,E-fuel (LF),NIS,0.0,0.0,0.07,0.37,0.45,0.34,0.0
BIO,Heat,E-fuel (LF),OTG,0.0,0.0,0.21,1.01,1.25,0.93,0.0
BIO,Heat,E-fuel (LF),WEL,0.0,0.0,0.06,0.29,0.36,0.27,0.0
BIO,Heat,E-fuel (LF),WTO,0.0,0.0,1.36,6.66,8.2,6.1,0.0
BIO,Heat,E-fuel (gas),AKL,0.0,0.0,11.89,64.84,247.78,521.17,580.13
BIO,Heat,E-fuel (gas),BOP,0.0,0.0,3.77,20.57,78.59,165.29,183.99
BIO,Heat,E-fuel (gas),CAN,0.0,0.0,28.2,153.79,587.7,1236.12,1375.98
BIO,Heat,E-fuel (gas),CEN,0.0,0.0,13.62,74.25,283.75,596.82,664.35
BIO,Heat,E-fuel (gas),GIS,0.0,0.0,0.3,1.65,6.3,13.25,14.75
BIO,Heat,E-fuel (gas),HBY,0.0,0.0,3.72,20.3,77.57,163.16,181.62
BIO,Heat,E-fuel (gas),NEL,0.0,0.0,1.98,10.74,41.04,86.28,96.06
BIO,Heat,E-fuel (gas),NIS,0.0,0.0,3.83,20.91,79.92,168.09,187.11
BIO,Heat,E-fuel (gas),OTG,0.0,0.0,16.22,88.43,337.94,710.8,791.22
BIO,Heat,E-fuel (gas),TRN,0.0,0.0,31.74,173.1,661.46,1391.26,1548.67
BIO,Heat,E-fuel (gas),WEL,0.0,0.0,1.1,6.02,22.99,48.36,53.83
BIO,Heat,E-fuel (gas),WTO,0.0,0.0,16.6,90.54,346.0,727.75,810.09
BIO,Heat,Electricity,AKL,4974.12,5939.06,7551.91,8379.62,8986.38,9521.32,9919.64
BIO,Heat,Electricity,BOP,2052.1,2263.04,2667.64,2895.22,3045.71,3137.49,3176.16
BIO,Heat,Electricity,CAN,2256.71,2647.99,3314.91,3662.14,3912.62,4123.28,4272.78
BIO,Heat,Electricity,CEN,902.63,1048.94,1301.51,1434.19,1528.94,1606.18,1659.14
BIO,Heat,Electricity,GIS,144.63,173.32,221.09,245.54,263.52,279.51,291.52
BIO,Heat,Electricity,HBY,612.08,714.01,889.06,980.68,1046.38,1100.63,1138.36
BIO,Heat,Electricity,NEL,435.69,525.29,673.65,749.26,805.12,855.48,893.79
BIO,Heat,Electricity,NIS,873.14,988.66,1196.72,1309.23,1387.01,1443.81,1477.57
BIO,Heat,Electricity,OTG,1294.64,1495.97,1846.33,2031.45,2162.8,2267.72,2337.94
BIO,Heat,Electricity,TRN,2835.44,2958.47,3282.8,3494.75,3612.84,3623.63,3563.99
BIO,Heat,Electricity,WEL,1403.65,1701.16,2191.42,2440.34,2625.01,2793.33,2922.66
BIO,Heat,Electricity,WTO,4226.6,4567.03,5269.3,5680.8,5940.6,6064.85,6081.38
BIO,Heat,Fossil (LF),AKL,99.18,98.38,84.79,44.53,11.25,1.59,0.0
BIO,Heat,Fossil (LF),BOP,16.94,16.8,14.48,7.61,1.92,0.27,0.0
BIO,Heat,Fossil (LF),CAN,186.82,185.31,159.72,83.88,21.19,2.99,0.0
BIO,Heat,Fossil (LF),CEN,14.95,14.83,12.78,6.71,1.7,0.24,0.0
BIO,Heat,Fossil (LF),GIS,0.93,0.92,0.79,0.42,0.11,0.01,0.0
BIO,Heat,Fossil (LF),HBY,42.15,41.81,36.03,18.92,4.78,0.68,0.0
BIO,Heat,Fossil (LF),NEL,113.28,112.35,96.84,50.85,12.84,1.8,0.0
BIO,Heat,Fossil (LF),NIS,4.21,4.17,3.6,1.89,0.48,0.07,0.0
BIO,Heat,Fossil (LF),OTG,11.56,11.46,9.88,5.19,1.31,0.18,0.0
BIO,Heat,Fossil (LF),WEL,3.31,3.28,2.83,1.49,0.38,0.05,0.0
BIO,Heat,Fossil (LF),WTO,76.12,75.51,65.08,34.18,8.64,1.22,0.0
BIO,Heat,Fossil (gas),AKL,4002.52,3551.59,1117.63,896.98,545.12,143.77,0.0
BIO,Heat,Fossil (gas),BOP,950.25,856.75,354.46,284.48,172.89,45.6,0.0
BIO,Heat,Fossil (gas),CAN,4353.21,4081.17,2650.83,2127.49,1292.93,341.0,0.0
BIO,Heat,Fossil (gas),CEN,1984.64,1871.47,1279.87,1027.19,624.25,164.64,0.0
BIO,Heat,Fossil (gas),GIS,113.19,99.95,28.42,22.81,13.86,3.66,0.0
BIO,Heat,Fossil (gas),HBY,706.87,650.44,349.9,280.82,170.66,45.01,0.0
BIO,Heat,Fossil (gas),NEL,474.92,429.39,185.04,148.53,90.27,23.79,0.0
BIO,Heat,Fossil (gas),NIS,744.44,683.79,360.48,289.31,175.82,46.37,0.0
BIO,Heat,Fossil (gas),OTG,2431.62,2286.3,1524.3,1223.36,743.47,196.09,0.0
BIO,Heat,Fossil (gas),TRN,3917.61,3763.79,2983.52,2394.49,1455.2,383.8,0.0
BIO,Heat,Fossil (gas),WEL,941.49,811.19,103.7,83.23,50.58,13.34,0.0
BIO,Heat,Fossil (gas),WTO,2709.56,2526.65,1560.64,1252.53,761.2,200.76,0.0
BIO,Heat,Geothermal,AKL,19.13,21.17,22.91,24.31,25.35,26.03,26.38
BIO,Heat,Geothermal,BOP,1329.42,1329.65,1318.81,1295.6,1261.06,1217.9,1168.54
BIO,Heat,Geothermal,CAN,7.64,8.45,9.15,9.72,10.13,10.4,10.54
BIO,Heat,Geothermal,CEN,2.83,3.13,3.39,3.6,3.75,3.85,3.9
BIO,Heat,Geothermal,GIS,0.57,0.63,0.68,0.72,0.76,0.78,0.79
