,Date,Hour,AKL,BOP,CAN,CEN,HBY,NEL,NIS,OTG,TRN,WEL,WTO,timestamp
0,1/01/20,1,0.645925,0.216102,0.719259,0.175212,0.1463965,0.087906,0.1782975,0.878369,0.0881895,0.2002635,0.294134,t0001
1,1/01/20,2,0.608097,0.200835,0.6747805,0.166389,0.139469,0.081436,0.167744,0.8632085,0.083647,0.187294,0.28141,t0002
2,1/01/20,3,0.5831185,0.190483,0.637907,0.16005,0.1336855,0.0765335,0.1594155,0.844785,0.0799455,0.176595,0.272268,t0003
3,1/01/20,4,0.5587535,0.1859135,0.616542,0.156668,0.1283425,0.073424,0.1547835,0.834384,0.078098,0.169137,0.263192,t0004
4,1/01/20,5,0.5563615,0.1853315,0.61699,0.157334,0.1242365,0.0725215,0.152442,0.8385285,0.0783895,0.167903,0.264271,t0005
5,1/01/20,6,0.5728815,0.192584,0.6383455,0.1671505,0.1257125,0.0761225,0.1580705,0.8587075,0.0882395,0.1721215,0.291949,t0006
6,1/01/20,7,0.5962565,0.203637,0.6488675,0.177626,0.1291195,0.0812565,0.170887,0.8669925,0.100702,0.1815505,0.3213525,t0007
7,1/01/20,8,0.6411895,0.219318,0.6744815,0.1882705,0.137983,0.089806,0.188124,0.8826955,0.1030405,0.1996895,0.344194,t0008
8,1/01/20,9,0.714591,0.2380145,0.7062645,0.2015665,0.152182,0.1025575,0.2103175,0.9032145,0.1013835,0.2245515,0.3582925,t0009
9,1/01/20,10,0.7738785,0.257586,0.741883,0.2117935,0.169517,0.1129865,0.2282615,0.925859,0.0999575,0.2481365,0.3697295,t0010
10,1/01/20,11,0.8107955,0.2666465,0.7602525,0.21355,0.1766485,0.1156005,0.232296,0.9469755,0.097937,0.26239,0.374502,t0011
11,1/01/20,12,0.825552,0.2664785,0.7601445,0.2107575,0.1772905,0.1126295,0.228832,0.945014,0.0951695,0.2688415,0.3650335,t0012
12,1/01/20,13,0.82563,0.262034,0.759876,0.2074495,0.175088,0.109552,0.223109,0.9526895,0.0934805,0.2681415,0.357476,t0013
13,1/01/20,14,0.8067465,0.2579585,0.767031,0.201104,0.170962,0.105938,0.215564,0.943767,0.0925715,0.261233,0.3518475,t0014
14,1/01/20,15,0.795163,0.2558265,0.781016,0.2007295,0.1702495,0.10289,0.2137285,0.9427115,0.0943675,0.2539615,0.359498,t0015
15,1/01/20,16,0.7819735,0.2606475,0.787469,0.206625,0.1729665,0.1039545,0.216366,0.9545455,0.1034805,0.2508295,0.3799245,t0016
16,1/01/20,17,0.776104,0.2682935,0.788254,0.2105945,0.176876,0.1083675,0.223856,0.9550075,0.1112725,0.256328,0.396514,t0017
17,1/01/20,18,0.797954,0.277349,0.7982275,0.2006965,0.1779585,0.116076,0.2373945,0.973489,0.111985,0.2703195,0.4031065,t0018
18,1/01/20,19,0.7797685,0.2785665,0.7849175,0.1941065,0.179674,0.1200095,0.2461785,0.9665845,0.1067655,0.272471,0.393193,t0019
19,1/01/20,20,0.777948,0.272303,0.766551,0.1897765,0.174354,0.117841,0.240706,0.950941,0.1016705,0.2646035,0.373972,t0020
20,1/01/20,21,0.7741445,0.2668005,0.7563165,0.1856315,0.171124,0.1153015,0.2348445,0.9397535,0.1007745,0.258858,0.360787,t0021
21,1/01/20,22,0.7916165,0.2636125,0.754717,0.184418,0.169311,0.112166,0.2337795,0.9350955,0.099249,0.258826,0.3553965,t0022
22,1/01/20,23,0.7363775,0.241021,0.7381005,0.1707685,0.1579925,0.100811,0.2109265,0.9087415,0.0929635,0.2352745,0.326956,t0023
23,1/01/20,24,0.6736985,0.2221125,0.7261435,0.158164,0.143893,0.092445,0.1858465,0.8939605,0.0894065,0.215519,0.298547,t0024
24,2/01/20,1,0.6145185,0.2039675,0.6725135,0.1530585,0.131225,0.082604,0.166272,0.866075,0.085675,0.1903,0.277976,t0025
25,2/01/20,2,0.5693755,0.1929525,0.6286335,0.1457375,0.124867,0.077978,0.1561095,0.845254,0.0822045,0.176966,0.270175,t0026
