Ea_gen_code,Name,Type,Primary_fuel,Secondary_fuel,Prime_mover_1,Prime_mover_2,Cogeneration,Capacity_MW,Capacity_change_MW,Largest_unit_MW,Primary_efficiency,Generating_units_number,Generating_units_notes,Year,Status,Cooling_type,Cooling_source,Group_name,Group_order,Owner_1,Owner_2,Operator,Connection_type,Avg_Ann_Gen_GWh,Hydro_max_storage_m3,Basin,Regional_auth,Region_name,Island_name,Node_name,GIP substation,Lifetime,Lifetime_notes,Comments,Data_source,lat,long
,Addington,Thermal,Diesel,,,,N,0.4,,0.4,0,1,1 x 0.4 MW (inferred as largest unit = cap.), ,,,,,,Orion,,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,ADD0111,ADD,,,AKA QEII Park Diesel generators. GWh and MW data from Centralised Dataset 2006 calendar year,EA exisiting generating plants (2015),-43.49111945,172.7079698
,Aluminium Diecasting Ltd,Thermal,Unknown,,,,N,0.2,,0.2,0,1,1 x 0.2 MW (inferred as largest unit = cap.),,,,,,,Aluminium Diecasting,,Meridian Energy,Embedded,0,,,,CAN - Canterbury,SI ,BRY0111,BRY,,,GWh and MW data from Centralised Dataset 2006 calendar year. Location estimated (McKechnie Aluminum Supplier),EA exisiting generating plants (2015),-43.54257171,172.5854649
,Amethyst,Hydroelectric,Water,,hydrokinetic turbine,,N,6,,6,,1,1 x 6 MW,2013,Operational,,,,,Westpower,,Westpower,Embedded,30,0,,,WEC - West Coast,SI,ARA2201,ARA,,,GWh estimated,EA exisiting generating plants (2015),-43.1589072,170.6285018
,Anchor Products,Thermal,Unknown,,,,N,3.9,,3.9,0,1,1 x 3.9 MW (inferred as largest unit = cap.),,,,,,,Trustpower,,Trustpower,Embedded,3.3,,,,WTO - Waikato,NI ,TMU0111,TMU,,,GWh and MW data from Centralised Dataset 2006 calendar year. Location estimated (Fonterra Te Rapa),EA exisiting generating plants (2015),-37.69747221,175.2129128
aniwhenua,Aniwhenua,Hydroelectric,Water,,hydrokinetic turbine,,N,25,,12.5,0.173,2,2 x 12.5 MW,1982,Operational,,,,,Southern Generation,,Todd Energy,Partially embedded,105,0,Rangataiki,Bay of Plenty,BOP - Bay of Plenty,NI,MAT1101,MAT,2026,consent expiry,"Constructed over three years at a cost of $27 million in the late 1970's, the Aniwhenua scheme involved the damming of the Rangitaiki River, forming a 255 hectare storage lake. Aniwhenua is named after the falls which are adjacent to the power house. The Aniwhenua scheme consists of a 200 meter long, 10 meter high dam structure with two radial control gates which can discharge 1,270 cubic meters of water per second. Three additional flap gates are designed to handle higher flood conditions. A 2.2 kilometer canal with a fall rate of 1 in 2,500 diverts water from the lake to a head pond above the powerhouse. Water flows from the head of the pond through steeply dropping penstocks at a rate of 75 cubic meters a second to the powerhouse. There, it drives two 12.5 MW generators before being discharged back to the river just below the Aniwhenua Falls.",MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015),-38.2933033,176.7930423
arapuni,Arapuni,Hydroelectric,Water,,hydrokinetic turbine,,N,196.7,,26.7,0.463,8,4 x 26.7 MW; 4x 24.7 MW,1929,Operational,,,Waikato Hydro Scheme,7,Mercury,,Mercury,Grid,805,10,Waikato,Waikato,WTO - Waikato,NI,ARI1101,ARI,2041,consent expiry,"With eight generating units, Arapuni has the largest single capacity of any of the stations in the Waikato hydro system. Due to its close proximity to Hamilton's urban centre, Arapuni provides a voltage support role for power transmissions to the area. Recent upgrades to the station have enhanced its capability in this area. This station is occasionally used for frequency keeping. The Arapuni power station was the first government-built hydroelectric station on the Waikato River. During the initial surveying in 1916, an old watercourse was found just upstream of one of the narrowest parts of the gorge. In 1920, the surveying was halted due to lack of government funds to progress the project. 
Construction finally began in 1924, but repeated heavy rain and the resulting floods dogged the early works. Just after the project was commissioned in mid-1929, the station was closed for two years while a water seepage problem was investigated and the headrace lined. The station began operating again in May 1932 with four generators installed. Four more machines have since been added. In 2001, work was completed on four of Arapuni's turbines to increase capacity from 24.7MW to 26.7MW each and to improve their peak efficiency to 94 percent.",MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015),-38.07041,175.64384
aratiatia,Aratiatia,Hydroelectric,Water,,hydrokinetic turbine,,N,78,,31,0.268,3,3 x 31 MW (nameplate cap. so diferent total),1964,Operational,,,Waikato Hydro Scheme,1,Mercury,,Mercury,Grid,330,0,Waikato,Waikato,WTO - Waikato,NI,ARA2201,WRK,2041,consent expiry,"As the smallest of the hydro reservoirs, Aratiatia's lake level fluctuates through its storage range regularly throughout the day. Aratiatia is largely a 'run of river' station, passing water released from the Taupo Gates down to Lake Ohakuri.","MBIE hydro large scale stack update (2020); EA exisiting generating plants (2015), https://www.power-technology.com/marketdata/power-plant-profile-aratiatia-new-zealand/ units cap. (2023)",-38.61613,176.14219
argyle_wairau,Argyle,Hydroelectric,Water,,hydrokinetic turbine,,N,3.8,,3.8,,1,1 x 3.8 MW,1983,Operational,,,Branch River Power Scheme,1,Trustpower,,Trustpower,Grid,17,0,Branch River,Tasman,NEL - Nelson/Malbourough,SI,ARG1101,ARG,,,"Investigations into the feasibility of Branch River Power scheme began in 1978, and following a detailed investigation in 1980 finance was approved with construction beginning soon afterwards. Canal filling commenced in March 1983, with generation commencing at the Wairau Power House in June, and at Argyle two months later. A run of the river scheme with daily storage, the water first passes through the Argyle station of 3800kw capacity with a head of 21.9 meters. A 3385 meter canal then carries the water to the Wairau Power Station of 7200kw at a head of 41.3 metres. CDS output data is believed to be net of some local load.",EA exisiting generating plants (2015),-41.67065782,173.2032015
,Arnold,Hydroelectric,Water,,hydrokinetic turbine,,N,3.1,,3.1,,1,1 x 3.1 MW,1932,Operational,,,,,Trustpower,,Trustpower,Embedded,20,0,,,WEC - West Coast,SI,DOB0331,DOB,,,Estimated GWH based on high capacity usage,EA exisiting generating plants (2015),-42.52359002,171.4079031
,Ascot Ave,Thermal,Unknown,,,,N,0.1,,0.1,0,1,1 x 0.1 MW (inferred as largest unit = cap.),,,,,,,Manson Developments,,Mercury,Embedded,0,,,,AKL - Auckland,NI ,PEN0331,PEN,,,Location estimated (Ellerslie Racecourse),EA exisiting generating plants (2015),-36.8899122,174.8025073
