nodesdata,techs,first_obs,last_obs,n_leading_wrapped,n_internal_zeros
AKL,pv_central_fixed,12,8784,11,3980
AKL,pv_central_track_azimuth,12,8784,11,3980
AKL,pv_decentral,12,8784,11,4002
AKL,wind_offshore_floating,12,8784,11,12
AKL,wind_offshore_foundation,12,8784,11,23
AKL,wind_onshore,12,8784,11,30
BOP,pv_central_fixed,12,8784,11,3962
BOP,pv_central_track_azimuth,12,8784,11,3962
BOP,pv_decentral,12,8784,11,4002
BOP,wind_offshore_floating,12,8784,11,9
BOP,wind_offshore_foundation,12,8784,11,12
BOP,wind_onshore,12,8784,11,4
CAN,pv_central_fixed,12,8784,11,3909
CAN,pv_central_track_azimuth,12,8784,11,3909
CAN,pv_decentral,12,8784,11,3977
CAN,wind_offshore_floating,12,8784,11,0
CAN,wind_offshore_foundation,12,8784,11,0
CAN,wind_onshore,12,8784,11,10
CEN,pv_central_fixed,12,8784,11,3982
CEN,pv_central_track_azimuth,12,8784,11,3982
CEN,pv_decentral,12,8784,11,4022
CEN,wind_offshore_floating,12,8784,11,21
CEN,wind_offshore_foundation,12,8784,11,51
CEN,wind_onshore,12,8784,11,16
HBY,pv_central_fixed,12,8784,11,3987
HBY,pv_central_track_azimuth,12,8784,11,3987
HBY,pv_decentral,12,8784,11,4040
HBY,wind_offshore_floating,12,8784,11,45
HBY,wind_offshore_foundation,12,8784,11,81
HBY,wind_onshore,12,8784,11,44
NEL,pv_central_fixed,12,8784,11,3912
NEL,pv_central_track_azimuth,12,8784,11,3912
NEL,pv_decentral,12,8784,11,3996
NEL,wind_offshore_floating,12,8784,11,0
NEL,wind_offshore_foundation,12,8784,11,0
NEL,wind_onshore,12,8784,11,0
NIS,pv_central_fixed,12,8784,11,4012
NIS,pv_central_track_azimuth,12,8784,11,4012
NIS,pv_decentral,12,8784,11,4039
NIS,wind_offshore_floating,12,8784,11,5
NIS,wind_offshore_foundation,12,8784,11,16
NIS,wind_onshore,12,8784,11,38
OTG,pv_central_fixed,12,8784,11,3939
OTG,pv_central_track_azimuth,12,8784,11,3940
OTG,pv_decentral,12,8784,11,3973
OTG,wind_offshore_floating,12,8784,11,0
OTG,wind_offshore_foundation,12,8784,11,0
OTG,wind_onshore,12,8784,11,0
TRN,pv_central_fixed,12,8784,11,3975
TRN,pv_central_track_azimuth,12,8784,11,3975
TRN,pv_decentral,12,8784,11,4015
TRN,wind_offshore_floating,12,8784,11,0
TRN,wind_offshore_foundation,12,8784,11,39
TRN,wind_onshore,12,8784,11,60
WEL,pv_central_fixed,12,8784,11,4002
WEL,pv_central_track_azimuth,12,8784,11,4002
WEL,pv_decentral,12,8784,11,4025
WEL,wind_offshore_floating,12,8784,11,5
WEL,wind_offshore_foundation,12,8784,11,31
WEL,wind_onshore,12,8784,11,21
WTO,pv_central_fixed,12,8784,11,3969
WTO,pv_central_track_azimuth,12,8784,11,3969
WTO,pv_decentral,12,8784,11,3987
WTO,wind_offshore_floating,12,8784,11,152
WTO,wind_offshore_foundation,12,8784,11,422
WTO,wind_onshore,12,8784,11,39
