nodesdata,techs,first_obs,last_obs,obs_count,n_filled,n_internal_filled
AKL,pv_central_fixed,12,8784,8773,11,0
AKL,pv_central_track_azimuth,12,8784,8773,11,0
AKL,pv_decentral,12,8784,8773,11,0
AKL,wind_offshore_floating,12,8784,8762,22,11
AKL,wind_offshore_foundation,12,8784,8751,33,22
AKL,wind_onshore,12,8784,8745,39,28
BOP,pv_central_fixed,12,8784,8773,11,0
BOP,pv_central_track_azimuth,12,8784,8773,11,0
BOP,pv_decentral,12,8784,8773,11,0
BOP,wind_offshore_floating,12,8784,8764,20,9
BOP,wind_offshore_foundation,12,8784,8761,23,12
BOP,wind_onshore,12,8784,8769,15,4
CAN,pv_central_fixed,12,8784,8773,11,0
CAN,pv_central_track_azimuth,12,8784,8773,11,0
CAN,pv_decentral,12,8784,8773,11,0
CAN,wind_offshore_floating,12,8784,8773,11,0
CAN,wind_offshore_foundation,12,8784,8773,11,0
CAN,wind_onshore,12,8784,8764,20,9
CEN,pv_central_fixed,12,8784,8773,11,0
CEN,pv_central_track_azimuth,12,8784,8773,11,0
CEN,pv_decentral,12,8784,8773,11,0
CEN,wind_offshore_floating,12,8784,8752,32,21
CEN,wind_offshore_foundation,12,8784,8724,60,49
CEN,wind_onshore,12,8784,8758,26,15
HBY,pv_central_fixed,12,8784,8773,11,0
HBY,pv_central_track_azimuth,12,8784,8773,11,0
HBY,pv_decentral,12,8784,8773,11,0
HBY,wind_offshore_floating,12,8784,8728,56,45
HBY,wind_offshore_foundation,12,8784,8693,91,80
HBY,wind_onshore,12,8784,8729,55,44
NEL,pv_central_fixed,12,8784,8773,11,0
NEL,pv_central_track_azimuth,12,8784,8773,11,0
NEL,pv_decentral,12,8784,8773,11,0
NEL,wind_offshore_floating,12,8784,8773,11,0
NEL,wind_offshore_foundation,12,8784,8773,11,0
NEL,wind_onshore,12,8784,8773,11,0
NIS,pv_central_fixed,12,8784,8773,11,0
NIS,pv_central_track_azimuth,12,8784,8773,11,0
NIS,pv_decentral,12,8784,8773,11,0
NIS,wind_offshore_floating,12,8784,8768,16,5
NIS,wind_offshore_foundation,12,8784,8759,25,14
NIS,wind_onshore,12,8784,8736,48,37
OTG,pv_central_fixed,12,8784,8773,11,0
OTG,pv_central_track_azimuth,12,8784,8773,11,0
OTG,pv_decentral,12,8784,8773,11,0
OTG,wind_offshore_floating,12,8784,8773,11,0
OTG,wind_offshore_foundation,12,8784,8773,11,0
OTG,wind_onshore,12,8784,8773,11,0
TRN,pv_central_fixed,12,8784,8773,11,0
TRN,pv_central_track_azimuth,12,8784,8773,11,0
TRN,pv_decentral,12,8784,8773,11,0
TRN,wind_offshore_floating,12,8784,8773,11,0
TRN,wind_offshore_foundation,12,8784,8734,50,39
TRN,wind_onshore,12,8784,8713,71,60
WEL,pv_central_fixed,12,8784,8773,11,0
WEL,pv_central_track_azimuth,12,8784,8773,11,0
WEL,pv_decentral,12,8784,8773,11,0
WEL,wind_offshore_floating,12,8784,8768,16,5
WEL,wind_offshore_foundation,12,8784,8744,40,29
WEL,wind_onshore,12,8784,8755,29,18
WTO,pv_central_fixed,12,8784,8773,11,0
WTO,pv_central_track_azimuth,12,8784,8773,11,0
WTO,pv_decentral,12,8784,8773,11,0
WTO,wind_offshore_floating,12,8784,8622,162,151
WTO,wind_offshore_foundation,12,8784,8355,429,418
WTO,wind_onshore,12,8784,8734,50,39
