CATCHMENT,Unnamed: 1,Lake_Arapuni,Lake_Aratiatia,Lake_Atiamuri,Lake_Aviemore,Lake_Benmore,Lake_Dunstan,Lake_Cobb,Lake_Coleridge,Lake_Hawea,Lake_Karapiro,Lakes_Manapouri_Te_Anau,Mangahao_head,Lake_Maraetai,Lake_Matahina,Lake_Pukaki,Lake_Tekapo,Lake_Ohakuri,Lake_Ohau,Lake_Moawhango,Lake_Roxburgh,Lake_Taupo,Lake_Rotoaira,Lake_Waikaremoana,Lake_Waipapa,Lake_Waitaki,Lake_Wanaka,Lake_Whakamaru
1932,2,3.9014286,1.9745714,4.889,5.4158571,65.2514286,248.4922857,7.0247143,20.686,66.4771429,13.2332857,856.1585714,5.4128571,10.526,57.86,252.0642857,135.3391429,23.6957143,122.6528571,27.339,8.4801429,100.9548571,34.5477143,0.0002857,4.0608571,12.8545714,281.2635714,8.026
1932,3,4.1237143,2.087,5.1674286,4.0171429,48.4048571,281.7241429,7.0564286,20.8272857,48.5248571,13.9875714,467.6825715,3.069,11.126,64.0067143,193.5195714,96.5924286,25.0462857,90.9862857,34.4562857,9.6141429,138.4847143,47.9925714,12.5708571,4.2921429,9.536,260.4087143,8.4832857
1932,4,4.1051429,2.0775714,5.1437143,4.1208571,49.647,289.4848571,5.5454286,14.0821429,48.8082857,13.9232857,757.9845714,7.1191429,11.0751429,51.086,203.1865714,73.8184286,24.9314286,93.3215714,18.3471429,9.8788571,83.4851429,19.4371429,0.7771429,4.2722857,9.7807143,227.485,8.4447143
1932,5,4.468,2.2615714,5.599,4.8364286,58.272,265.7304286,7.8474286,24.3594286,53.9524286,15.1548571,696.8,7.0072857,12.0547143,50.4021429,243.8307143,101.7598571,27.1367143,109.5341429,17.731,9.0682857,50.2298571,18.4047143,0.0008571,4.6504286,11.4795714,245.711,9.1912857
1932,6,4.7075714,2.3828571,5.8994286,3.6481429,43.9528571,262.0235714,6.0932857,16.5292857,58.4058571,15.9681429,424.706,2.2417143,12.7012857,50.1492857,187.8387143,128.1881429,28.5927143,82.618,18.1725714,8.9418571,73.3895714,17.0932857,49.7308571,4.9002857,8.6588571,274.1427143,9.6842857
1932,7,4.829,2.4441429,6.0511429,2.9652857,35.7287143,236.3957143,4.6875714,10.2525714,32.8907143,16.3798571,283.2012857,3.9135714,13.0292857,64.4164286,155.445,54.3615714,29.3301429,67.159,34.4628571,8.0672857,118.8791429,50.0455714,114.9022857,5.0262857,7.0384286,219.6884286,9.9342857
1932,8,4.5692857,2.3128571,5.7261429,4.7758571,57.5415714,235.2302857,11.1232857,38.9828571,60.111,15.4991429,338.6867143,10.8471429,12.3285714,71.788,248.2412857,113.0608571,27.753,108.1604286,43.2975714,8.0274286,206.1105714,65.2148571,43.9288571,4.756,11.3355714,206.305,9.4001429
1932,9,4.733,2.3955714,5.9307143,4.116,49.5924286,236.9054286,7.0294286,20.7078571,50.1664286,16.0535714,537.4197143,2.7097143,12.7695714,49.6947143,189.8938571,85.0261429,28.7461429,93.2191429,15.6408571,8.0848571,56.936,18.5172857,12.742,4.926,9.7698571,195.9548571,9.7365714
1932,10,4.9237143,2.4917143,6.1698571,2.6754286,32.2347143,209.7807143,5.1948571,12.5168571,42.992,16.7002857,330.745,1.4351429,13.2838571,53.772,141.576,68.2952857,29.9037143,60.5908571,21.5287143,7.159,90.7451429,26.8322857,64.3507143,5.1242857,6.35,183.4695714,10.1284286
1932,11,5.0354286,2.5488571,6.3098571,2.0977143,25.2718571,163.1752857,4.4875714,9.3595714,34.4508571,17.0797143,235.9444286,7.7065714,13.5855714,47.9841429,111.6811429,56.7771429,30.5828571,47.5035714,14.1512857,5.5687143,52.3592857,13.6708571,43.5064286,5.2411429,4.9785714,171.302,10.3587143
1932,12,5.0974286,2.5801429,6.3874286,2.1355714,25.7294286,135.3898571,4.7251429,10.4205714,40.6348571,17.2897143,245.5338571,6.5107143,13.7525714,58.8838571,139.8102857,68.2002857,30.9592857,48.3637143,27.2311429,4.6202857,95.0244286,37.5738571,12.0045714,5.3057143,5.0685714,160.2522857,10.4864286
1932,13,4.5834286,2.3195714,5.7432857,1.4764286,17.7865714,121.7052857,4.578,9.764,43.6405714,15.5455714,155.543,2.5835714,12.3654286,49.5102857,88.0911429,60.4414286,27.8362857,33.4335714,16.1108571,4.1531429,81.6151429,15.7452857,20.9312857,4.7702857,3.5037143,165.5725714,9.4282857
1932,14,4.7047143,2.3811429,5.8952857,1.4652857,17.6541429,95.2034286,4.1307143,7.7661429,32.9662857,15.9574286,190.38,13.4684286,12.6925714,62.7971429,71.8595714,48.3775714,28.5734286,33.1845714,33.0591429,3.2488571,112.2258571,45.4255714,11.8464286,4.8962857,3.4777143,152.9321429,9.6781429
1932,15,4.4802857,2.2674286,5.614,3.5258571,42.4792857,144.8555714,6.7102857,19.2827143,104.9027143,15.1957143,345.6385714,13.2565714,12.087,66.9392857,148.7397143,159.9888571,27.2098571,79.848,37.548,4.9434286,169.9797143,55.068,12.6884286,4.663,8.3684286,172.5672857,9.2164286
1932,16,4.5877143,2.322,5.7488571,1.6547143,19.9364286,85.0092857,5.6117143,14.3788571,39.0188571,15.5614286,229.3005714,5.9025714,12.3778571,53.6522857,66.3244286,38.851,27.8641429,37.4748571,20.444,2.9007143,103.4881429,26.8792857,17.087,4.775,3.9274286,218.586,9.438
1932,17,3.9445714,1.9962857,4.9425714,2.7922857,33.6405714,190.363,8.1888571,25.8841429,44.6221429,13.3788571,637.4501429,6.8988571,10.6418571,55.266,105.4872857,53.0901429,23.9564286,63.2337143,22.9214286,6.4964286,94.6462857,30.8655714,8.465,4.1052857,6.6272857,183.4878571,8.1142857
