region,technology,installable_per_region,annual_energy_per_region
AKL,pv_central_fixed,180668.17,40548476.87
BOP,pv_central_fixed,237967.93,56033860.88
CAN,pv_central_fixed,1084125.15,270847622.1
CEN,pv_central_fixed,496940.86,117664369.3
HBY,pv_central_fixed,259195.98,61603744.7
NEL,pv_central_fixed,476713.75,119659308.6
NIS,pv_central_fixed,240137.79,53065685.72
OTG,pv_central_fixed,1165375.25,289682151.5
TRN,pv_central_fixed,155547.31,36032269.38
WEL,pv_central_fixed,153416.46,39749955.64
WTO,pv_central_fixed,386808.91,81955011.1
AKL,pv_central_track_azimuth,180668.17,62416678.15
BOP,pv_central_track_azimuth,237940.21,85399417.92
CAN,pv_central_track_azimuth,1074112.19,385289083.6
CEN,pv_central_track_azimuth,496940.86,175655552.5
HBY,pv_central_track_azimuth,259195.98,93156409.03
NEL,pv_central_track_azimuth,476366.65,179228228
NIS,pv_central_track_azimuth,240137.79,83284507.08
OTG,pv_central_track_azimuth,1152875.15,403513235.2
TRN,pv_central_track_azimuth,155547.31,54606999.87
WEL,pv_central_track_azimuth,153375.88,60766595.94
WTO,pv_central_track_azimuth,386808.91,122470741.4
AKL,pv_decentral,2202.53,602355.08
BOP,pv_decentral,563.48,151973.07
CAN,pv_decentral,1192.04,338386.6
CEN,pv_decentral,516.01,140534.05
HBY,pv_decentral,264.27,73863.87
NEL,pv_decentral,327.97,93769.87
NIS,pv_decentral,216.21,57903.43
OTG,pv_decentral,488.21,130228.65
TRN,pv_decentral,264.93,75120.81
WEL,pv_decentral,734.94,218145.24
WTO,pv_decentral,836.37,208115.96
AKL,wind_offshore_1,0,0
BOP,wind_offshore_1,210,78.37
CAN,wind_offshore_1,0,0
CEN,wind_offshore_1,10,3.25
HBY,wind_offshore_1,0,0
NEL,wind_offshore_1,460,203.15
NIS,wind_offshore_1,0,0
OTG,wind_offshore_1,5640,1879.55
TRN,wind_offshore_1,2040,798.81
WEL,wind_offshore_1,170,67.22
WTO,wind_offshore_1,0,0
AKL,wind_offshore_2,1140,320.33
BOP,wind_offshore_2,850,232.24
CAN,wind_offshore_2,670,168.45
CEN,wind_offshore_2,1930,620.27
HBY,wind_offshore_2,180,48.88
NEL,wind_offshore_2,3660,1209.56
NIS,wind_offshore_2,1640,467.43
OTG,wind_offshore_2,3560,906.97
TRN,wind_offshore_2,4450,1550.36
WEL,wind_offshore_2,200,72.9
WTO,wind_offshore_2,0,1.11
AKL,wind_offshore_3,10050,2603.57
BOP,wind_offshore_3,710,183.85
CAN,wind_offshore_3,5130,1254.97
CEN,wind_offshore_3,100,22.22
HBY,wind_offshore_3,2250,571.21
NEL,wind_offshore_3,3140,855.26
NIS,wind_offshore_3,3200,944.78
OTG,wind_offshore_3,670,132.58
TRN,wind_offshore_3,1680,348.71
WEL,wind_offshore_3,80,23.81
WTO,wind_offshore_3,1100,247.03
AKL,wind_offshore_4,1400,286.75
BOP,wind_offshore_4,3820,720.21
CAN,wind_offshore_4,19570,3914.44
CEN,wind_offshore_4,0,0.51
HBY,wind_offshore_4,3150,607.7
NEL,wind_offshore_4,6220,1003.95
NIS,wind_offshore_4,0,0
OTG,wind_offshore_4,70,11.58
TRN,wind_offshore_4,750,159.85
WEL,wind_offshore_4,200,57.4
WTO,wind_offshore_4,920,194.14
AKL,wind_onshore_1,40,15.77
BOP,wind_onshore_1,680,291.85
CAN,wind_onshore_1,4790,1969.73
CEN,wind_onshore_1,2840,1188.17
HBY,wind_onshore_1,480,200.95
NEL,wind_onshore_1,2500,1022.94
NIS,wind_onshore_1,50,18.41
OTG,wind_onshore_1,5100,2155.73
TRN,wind_onshore_1,20,6.67
WEL,wind_onshore_1,1400,634.81
WTO,wind_onshore_1,30,12.12
AKL,wind_onshore_2,880,271.91
BOP,wind_onshore_2,1620,579.52
CAN,wind_onshore_2,4790,1730.76
CEN,wind_onshore_2,5420,1850.08
HBY,wind_onshore_2,1480,525.17
NEL,wind_onshore_2,2610,966.32
NIS,wind_onshore_2,1090,349.62
OTG,wind_onshore_2,11060,3767.66
TRN,wind_onshore_2,1330,444.39
WEL,wind_onshore_2,2010,775.22
WTO,wind_onshore_2,500,163.47
AKL,wind_onshore_3,3560,919.09
BOP,wind_onshore_3,2650,745.59
CAN,wind_onshore_3,8390,2599.67
CEN,wind_onshore_3,5230,1524.97
HBY,wind_onshore_3,3510,1021.23
NEL,wind_onshore_3,2810,880.88
NIS,wind_onshore_3,5550,1507.01
OTG,wind_onshore_3,10200,2912.91
TRN,wind_onshore_3,2120,555.33
WEL,wind_onshore_3,1510,491.06
WTO,wind_onshore_3,3270,880.43
AKL,wind_onshore_4,2640,539.8
BOP,wind_onshore_4,6220,1098.26
CAN,wind_onshore_4,13900,3083
CEN,wind_onshore_4,3050,629.94
HBY,wind_onshore_4,4760,997.11
NEL,wind_onshore_4,6410,1349.4
NIS,wind_onshore_4,2640,575.36
OTG,wind_onshore_4,8370,1854.78
TRN,wind_onshore_4,3060,570.91
WEL,wind_onshore_4,1150,280.22
WTO,wind_onshore_4,11110,2079.29
