technology,year,region,spatial_ref,cf_per_region
wind_offshore_2,2012,AKL,,0.429
wind_offshore_3,2012,AKL,,0.393
wind_offshore_4,2012,AKL,,0.297
wind_onshore_1,2012,AKL,,0.558
wind_onshore_2,2012,AKL,,0.465
wind_onshore_3,2012,AKL,,0.386
wind_onshore_4,2012,AKL,,0.301
wind_offshore_1,2012,BOP,,0.533
wind_offshore_2,2012,BOP,,0.378
wind_offshore_3,2012,BOP,,0.358
wind_offshore_4,2012,BOP,,0.285
wind_onshore_1,2012,BOP,,0.582
wind_onshore_2,2012,BOP,,0.493
wind_onshore_3,2012,BOP,,0.404
wind_onshore_4,2012,BOP,,0.270
wind_offshore_2,2012,CAN,,0.332
wind_offshore_3,2012,CAN,,0.315
wind_offshore_4,2012,CAN,,0.250
wind_onshore_1,2012,CAN,,0.519
wind_onshore_2,2012,CAN,,0.429
wind_onshore_3,2012,CAN,,0.366
wind_onshore_4,2012,CAN,,0.259
wind_offshore_1,2012,CEN,,0.430
wind_offshore_2,2012,CEN,,0.433
wind_offshore_3,2012,CEN,,0.312
wind_offshore_4,2012,CEN,,0.292
wind_onshore_1,2012,CEN,,0.549
wind_onshore_2,2012,CEN,,0.452
wind_onshore_3,2012,CEN,,0.390
wind_onshore_4,2012,CEN,,0.291
wind_offshore_2,2012,HBY,,0.386
wind_offshore_3,2012,HBY,,0.363
wind_offshore_4,2012,HBY,,0.272
wind_onshore_1,2012,HBY,,0.540
wind_onshore_2,2012,HBY,,0.466
wind_onshore_3,2012,HBY,,0.393
wind_onshore_4,2012,HBY,,0.292
wind_offshore_1,2012,NEL,,0.493
wind_offshore_2,2012,NEL,,0.402
wind_offshore_3,2012,NEL,,0.339
wind_offshore_4,2012,NEL,,0.212
wind_onshore_1,2012,NEL,,0.507
wind_onshore_2,2012,NEL,,0.431
wind_onshore_3,2012,NEL,,0.362
wind_onshore_4,2012,NEL,,0.250
wind_offshore_2,2012,NIS,,0.447
wind_offshore_3,2012,NIS,,0.466
wind_onshore_1,2012,NIS,,0.594
wind_onshore_2,2012,NIS,,0.500
wind_onshore_3,2012,NIS,,0.425
wind_onshore_4,2012,NIS,,0.338
wind_offshore_1,2012,OTG,,0.443
wind_offshore_2,2012,OTG,,0.368
wind_offshore_3,2012,OTG,,0.314
wind_offshore_4,2012,OTG,,0.269
wind_onshore_1,2012,OTG,,0.556
wind_onshore_2,2012,OTG,,0.466
wind_onshore_3,2012,OTG,,0.394
wind_onshore_4,2012,OTG,,0.271
wind_offshore_1,2012,TRN,,0.515
wind_offshore_2,2012,TRN,,0.477
wind_offshore_3,2012,TRN,,0.341
wind_offshore_4,2012,TRN,,0.345
wind_onshore_1,2012,TRN,,0.547
wind_onshore_2,2012,TRN,,0.472
wind_onshore_3,2012,TRN,,0.392
wind_onshore_4,2012,TRN,,0.282
wind_offshore_1,2012,WEL,,0.483
wind_offshore_2,2012,WEL,,0.456
wind_offshore_3,2012,WEL,,0.398
wind_offshore_4,2012,WEL,,0.395
wind_onshore_1,2012,WEL,,0.556
wind_onshore_2,2012,WEL,,0.463
wind_onshore_3,2012,WEL,,0.383
wind_onshore_4,2012,WEL,,0.289
wind_offshore_2,2012,WTO,,0.368
wind_offshore_3,2012,WTO,,0.363
wind_offshore_4,2012,WTO,,0.340
wind_onshore_1,2012,WTO,,0.552
wind_onshore_2,2012,WTO,,0.461
wind_onshore_3,2012,WTO,,0.387
wind_onshore_4,2012,WTO,,0.280
