technology,m,region,spatial_ref,monthly_energy_per_region
wind_offshore_1,2012-12-31,AKL,0,0.00
wind_offshore_1,2012-12-31,BOP,0,78.37
wind_offshore_1,2012-12-31,CAN,0,0.00
wind_offshore_1,2012-12-31,CEN,0,3.25
wind_offshore_1,2012-12-31,HBY,0,0.00
wind_offshore_1,2012-12-31,NEL,0,203.15
wind_offshore_1,2012-12-31,NIS,0,0.00
wind_offshore_1,2012-12-31,OTG,0,1879.55
wind_offshore_1,2012-12-31,TRN,0,798.81
wind_offshore_1,2012-12-31,WEL,0,67.22
wind_offshore_1,2012-12-31,WTO,0,0.00
wind_offshore_2,2012-12-31,AKL,0,320.33
wind_offshore_2,2012-12-31,BOP,0,232.24
wind_offshore_2,2012-12-31,CAN,0,168.45
wind_offshore_2,2012-12-31,CEN,0,620.27
wind_offshore_2,2012-12-31,HBY,0,48.88
wind_offshore_2,2012-12-31,NEL,0,1209.56
wind_offshore_2,2012-12-31,NIS,0,467.43
wind_offshore_2,2012-12-31,OTG,0,906.97
wind_offshore_2,2012-12-31,TRN,0,1550.36
wind_offshore_2,2012-12-31,WEL,0,72.90
wind_offshore_2,2012-12-31,WTO,0,1.11
wind_offshore_3,2012-12-31,AKL,0,2603.57
wind_offshore_3,2012-12-31,BOP,0,183.85
wind_offshore_3,2012-12-31,CAN,0,1254.97
wind_offshore_3,2012-12-31,CEN,0,22.22
wind_offshore_3,2012-12-31,HBY,0,571.21
wind_offshore_3,2012-12-31,NEL,0,855.26
wind_offshore_3,2012-12-31,NIS,0,944.78
wind_offshore_3,2012-12-31,OTG,0,132.58
wind_offshore_3,2012-12-31,TRN,0,348.71
wind_offshore_3,2012-12-31,WEL,0,23.81
wind_offshore_3,2012-12-31,WTO,0,247.03
wind_offshore_4,2012-12-31,AKL,0,286.75
wind_offshore_4,2012-12-31,BOP,0,720.21
wind_offshore_4,2012-12-31,CAN,0,3914.44
wind_offshore_4,2012-12-31,CEN,0,0.51
wind_offshore_4,2012-12-31,HBY,0,607.70
wind_offshore_4,2012-12-31,NEL,0,1003.95
wind_offshore_4,2012-12-31,NIS,0,0.00
wind_offshore_4,2012-12-31,OTG,0,11.58
wind_offshore_4,2012-12-31,TRN,0,159.85
wind_offshore_4,2012-12-31,WEL,0,57.40
wind_offshore_4,2012-12-31,WTO,0,194.14
wind_onshore_1,2012-12-31,AKL,0,15.77
wind_onshore_1,2012-12-31,BOP,0,291.85
wind_onshore_1,2012-12-31,CAN,0,1969.73
wind_onshore_1,2012-12-31,CEN,0,1188.17
wind_onshore_1,2012-12-31,HBY,0,200.95
wind_onshore_1,2012-12-31,NEL,0,1022.94
wind_onshore_1,2012-12-31,NIS,0,18.41
wind_onshore_1,2012-12-31,OTG,0,2155.73
wind_onshore_1,2012-12-31,TRN,0,6.67
wind_onshore_1,2012-12-31,WEL,0,634.81
wind_onshore_1,2012-12-31,WTO,0,12.12
wind_onshore_2,2012-12-31,AKL,0,271.91
wind_onshore_2,2012-12-31,BOP,0,579.52
wind_onshore_2,2012-12-31,CAN,0,1730.76
wind_onshore_2,2012-12-31,CEN,0,1850.08
wind_onshore_2,2012-12-31,HBY,0,525.17
wind_onshore_2,2012-12-31,NEL,0,966.32
wind_onshore_2,2012-12-31,NIS,0,349.62
wind_onshore_2,2012-12-31,OTG,0,3767.66
wind_onshore_2,2012-12-31,TRN,0,444.39
wind_onshore_2,2012-12-31,WEL,0,775.22
wind_onshore_2,2012-12-31,WTO,0,163.47
wind_onshore_3,2012-12-31,AKL,0,919.09
wind_onshore_3,2012-12-31,BOP,0,745.59
wind_onshore_3,2012-12-31,CAN,0,2599.67
wind_onshore_3,2012-12-31,CEN,0,1524.97
wind_onshore_3,2012-12-31,HBY,0,1021.23
wind_onshore_3,2012-12-31,NEL,0,880.88
wind_onshore_3,2012-12-31,NIS,0,1507.01
wind_onshore_3,2012-12-31,OTG,0,2912.91
wind_onshore_3,2012-12-31,TRN,0,555.33
wind_onshore_3,2012-12-31,WEL,0,491.06
wind_onshore_3,2012-12-31,WTO,0,880.43
wind_onshore_4,2012-12-31,AKL,0,539.80
wind_onshore_4,2012-12-31,BOP,0,1098.26
wind_onshore_4,2012-12-31,CAN,0,3083.00
wind_onshore_4,2012-12-31,CEN,0,629.94
wind_onshore_4,2012-12-31,HBY,0,997.11
wind_onshore_4,2012-12-31,NEL,0,1349.40
wind_onshore_4,2012-12-31,NIS,0,575.36
wind_onshore_4,2012-12-31,OTG,0,1854.78
wind_onshore_4,2012-12-31,TRN,0,570.91
wind_onshore_4,2012-12-31,WEL,0,280.22
wind_onshore_4,2012-12-31,WTO,0,2079.29
