technology,year,region,spatial_ref,cf_per_region
wind_offshore_2,2012,AKL,,0.429
wind_offshore_3,2012,AKL,,0.393
wind_offshore_4,2012,AKL,,0.297
wind_onshore_1,2012,AKL,,0.339
wind_onshore_2,2012,AKL,,0.343
wind_onshore_3,2012,AKL,,0.323
wind_onshore_4,2012,AKL,,0.273
wind_offshore_1,2012,BOP,,0.533
wind_offshore_2,2012,BOP,,0.378
wind_offshore_3,2012,BOP,,0.358
wind_offshore_4,2012,BOP,,0.285
wind_onshore_1,2012,BOP,,0.234
wind_onshore_2,2012,BOP,,0.247
wind_onshore_3,2012,BOP,,0.238
wind_onshore_4,2012,BOP,,0.210
wind_offshore_2,2012,CAN,,0.332
wind_offshore_3,2012,CAN,,0.315
wind_offshore_4,2012,CAN,,0.250
wind_onshore_1,2012,CAN,,0.083
wind_onshore_2,2012,CAN,,0.095
wind_onshore_3,2012,CAN,,0.113
wind_onshore_4,2012,CAN,,0.087
wind_offshore_1,2012,CEN,,0.430
wind_offshore_2,2012,CEN,,0.433
wind_offshore_3,2012,CEN,,0.312
wind_offshore_4,2012,CEN,,0.292
wind_onshore_1,2012,CEN,,0.298
wind_onshore_2,2012,CEN,,0.275
wind_onshore_3,2012,CEN,,0.265
wind_onshore_4,2012,CEN,,0.237
wind_offshore_2,2012,HBY,,0.386
wind_offshore_3,2012,HBY,,0.363
wind_offshore_4,2012,HBY,,0.272
wind_onshore_1,2012,HBY,,0.203
wind_onshore_2,2012,HBY,,0.228
wind_onshore_3,2012,HBY,,0.222
wind_onshore_4,2012,HBY,,0.210
wind_offshore_1,2012,NEL,,0.493
wind_offshore_2,2012,NEL,,0.402
wind_offshore_3,2012,NEL,,0.339
wind_offshore_4,2012,NEL,,0.212
wind_onshore_1,2012,NEL,,0.135
wind_onshore_2,2012,NEL,,0.161
wind_onshore_3,2012,NEL,,0.139
wind_onshore_4,2012,NEL,,0.112
wind_offshore_2,2012,NIS,,0.447
wind_offshore_3,2012,NIS,,0.466
wind_onshore_1,2012,NIS,,0.318
wind_onshore_2,2012,NIS,,0.331
wind_onshore_3,2012,NIS,,0.341
wind_onshore_4,2012,NIS,,0.306
wind_offshore_1,2012,OTG,,0.443
wind_offshore_2,2012,OTG,,0.368
wind_offshore_3,2012,OTG,,0.314
wind_offshore_4,2012,OTG,,0.269
wind_onshore_1,2012,OTG,,0.125
wind_onshore_2,2012,OTG,,0.211
wind_onshore_3,2012,OTG,,0.183
wind_onshore_4,2012,OTG,,0.103
wind_offshore_1,2012,TRN,,0.515
wind_offshore_2,2012,TRN,,0.477
wind_offshore_3,2012,TRN,,0.341
wind_offshore_4,2012,TRN,,0.345
wind_onshore_1,2012,TRN,,0.421
wind_onshore_2,2012,TRN,,0.376
wind_onshore_3,2012,TRN,,0.304
wind_onshore_4,2012,TRN,,0.245
wind_offshore_1,2012,WEL,,0.483
wind_offshore_2,2012,WEL,,0.456
wind_offshore_3,2012,WEL,,0.398
wind_offshore_4,2012,WEL,,0.395
wind_onshore_1,2012,WEL,,0.387
wind_onshore_2,2012,WEL,,0.366
wind_onshore_3,2012,WEL,,0.340
wind_onshore_4,2012,WEL,,0.312
wind_offshore_2,2012,WTO,,0.368
wind_offshore_3,2012,WTO,,0.363
wind_offshore_4,2012,WTO,,0.340
wind_onshore_1,2012,WTO,,0.192
wind_onshore_2,2012,WTO,,0.211
wind_onshore_3,2012,WTO,,0.212
wind_onshore_4,2012,WTO,,0.202
