technology,region,spatial_ref,installable_per_region
wind_offshore_1,AKL,0,0.00
wind_offshore_1,BOP,0,0.21
wind_offshore_1,CAN,0,0.00
wind_offshore_1,CEN,0,0.01
wind_offshore_1,HBY,0,0.00
wind_offshore_1,NEL,0,0.46
wind_offshore_1,NIS,0,0.00
wind_offshore_1,OTG,0,5.64
wind_offshore_1,TRN,0,2.04
wind_offshore_1,WEL,0,0.17
wind_offshore_1,WTO,0,0.00
wind_offshore_2,AKL,0,1.14
wind_offshore_2,BOP,0,0.85
wind_offshore_2,CAN,0,0.67
wind_offshore_2,CEN,0,1.93
wind_offshore_2,HBY,0,0.18
wind_offshore_2,NEL,0,3.66
wind_offshore_2,NIS,0,1.64
wind_offshore_2,OTG,0,3.56
wind_offshore_2,TRN,0,4.45
wind_offshore_2,WEL,0,0.20
wind_offshore_2,WTO,0,0.00
wind_offshore_3,AKL,0,10.05
wind_offshore_3,BOP,0,0.71
wind_offshore_3,CAN,0,5.13
wind_offshore_3,CEN,0,0.10
wind_offshore_3,HBY,0,2.25
wind_offshore_3,NEL,0,3.14
wind_offshore_3,NIS,0,3.20
wind_offshore_3,OTG,0,0.67
wind_offshore_3,TRN,0,1.68
wind_offshore_3,WEL,0,0.08
wind_offshore_3,WTO,0,1.10
wind_offshore_4,AKL,0,1.40
wind_offshore_4,BOP,0,3.82
wind_offshore_4,CAN,0,19.57
wind_offshore_4,CEN,0,0.00
wind_offshore_4,HBY,0,3.15
wind_offshore_4,NEL,0,6.22
wind_offshore_4,NIS,0,0.00
wind_offshore_4,OTG,0,0.07
wind_offshore_4,TRN,0,0.75
wind_offshore_4,WEL,0,0.20
wind_offshore_4,WTO,0,0.92
wind_onshore_1,AKL,0,0.04
wind_onshore_1,BOP,0,0.68
wind_onshore_1,CAN,0,4.79
wind_onshore_1,CEN,0,2.84
wind_onshore_1,HBY,0,0.48
wind_onshore_1,NEL,0,2.50
wind_onshore_1,NIS,0,0.05
wind_onshore_1,OTG,0,5.10
wind_onshore_1,TRN,0,0.02
wind_onshore_1,WEL,0,1.40
wind_onshore_1,WTO,0,0.03
wind_onshore_2,AKL,0,0.88
wind_onshore_2,BOP,0,1.62
wind_onshore_2,CAN,0,4.79
wind_onshore_2,CEN,0,5.42
wind_onshore_2,HBY,0,1.48
wind_onshore_2,NEL,0,2.61
wind_onshore_2,NIS,0,1.09
wind_onshore_2,OTG,0,11.06
wind_onshore_2,TRN,0,1.33
wind_onshore_2,WEL,0,2.01
wind_onshore_2,WTO,0,0.50
wind_onshore_3,AKL,0,3.56
wind_onshore_3,BOP,0,2.65
wind_onshore_3,CAN,0,8.39
wind_onshore_3,CEN,0,5.23
wind_onshore_3,HBY,0,3.51
wind_onshore_3,NEL,0,2.81
wind_onshore_3,NIS,0,5.55
wind_onshore_3,OTG,0,10.20
wind_onshore_3,TRN,0,2.12
wind_onshore_3,WEL,0,1.51
wind_onshore_3,WTO,0,3.27
wind_onshore_4,AKL,0,2.64
wind_onshore_4,BOP,0,6.22
wind_onshore_4,CAN,0,13.90
wind_onshore_4,CEN,0,3.05
wind_onshore_4,HBY,0,4.76
wind_onshore_4,NEL,0,6.41
wind_onshore_4,NIS,0,2.64
wind_onshore_4,OTG,0,8.37
wind_onshore_4,TRN,0,3.06
wind_onshore_4,WEL,0,1.15
wind_onshore_4,WTO,0,11.11
