technology,m,region,spatial_ref,monthly_energy_per_region
wind_offshore_1,2012-12-31,AKL,0,0.00
wind_offshore_1,2012-12-31,BOP,0,78.37
wind_offshore_1,2012-12-31,CAN,0,0.00
wind_offshore_1,2012-12-31,CEN,0,3.25
wind_offshore_1,2012-12-31,HBY,0,0.00
wind_offshore_1,2012-12-31,NEL,0,203.15
wind_offshore_1,2012-12-31,NIS,0,0.00
wind_offshore_1,2012-12-31,OTG,0,1879.55
wind_offshore_1,2012-12-31,TRN,0,798.81
wind_offshore_1,2012-12-31,WEL,0,67.22
wind_offshore_1,2012-12-31,WTO,0,0.00
wind_offshore_2,2012-12-31,AKL,0,320.33
wind_offshore_2,2012-12-31,BOP,0,232.24
wind_offshore_2,2012-12-31,CAN,0,168.45
wind_offshore_2,2012-12-31,CEN,0,620.27
wind_offshore_2,2012-12-31,HBY,0,48.88
wind_offshore_2,2012-12-31,NEL,0,1209.56
wind_offshore_2,2012-12-31,NIS,0,467.43
wind_offshore_2,2012-12-31,OTG,0,906.97
wind_offshore_2,2012-12-31,TRN,0,1550.36
wind_offshore_2,2012-12-31,WEL,0,72.90
wind_offshore_2,2012-12-31,WTO,0,1.11
wind_offshore_3,2012-12-31,AKL,0,2603.57
wind_offshore_3,2012-12-31,BOP,0,183.85
wind_offshore_3,2012-12-31,CAN,0,1254.97
wind_offshore_3,2012-12-31,CEN,0,22.22
wind_offshore_3,2012-12-31,HBY,0,571.21
wind_offshore_3,2012-12-31,NEL,0,855.26
wind_offshore_3,2012-12-31,NIS,0,944.78
wind_offshore_3,2012-12-31,OTG,0,132.58
wind_offshore_3,2012-12-31,TRN,0,348.71
wind_offshore_3,2012-12-31,WEL,0,23.81
wind_offshore_3,2012-12-31,WTO,0,247.03
wind_offshore_4,2012-12-31,AKL,0,286.75
wind_offshore_4,2012-12-31,BOP,0,720.21
wind_offshore_4,2012-12-31,CAN,0,3914.44
wind_offshore_4,2012-12-31,CEN,0,0.51
wind_offshore_4,2012-12-31,HBY,0,607.70
wind_offshore_4,2012-12-31,NEL,0,1003.95
wind_offshore_4,2012-12-31,NIS,0,0.00
wind_offshore_4,2012-12-31,OTG,0,11.58
wind_offshore_4,2012-12-31,TRN,0,159.85
wind_offshore_4,2012-12-31,WEL,0,57.40
wind_offshore_4,2012-12-31,WTO,0,194.14
wind_onshore_1,2012-12-31,AKL,0,9.05
wind_onshore_1,2012-12-31,BOP,0,116.10
wind_onshore_1,2012-12-31,CAN,0,376.74
wind_onshore_1,2012-12-31,CEN,0,642.20
wind_onshore_1,2012-12-31,HBY,0,72.03
wind_onshore_1,2012-12-31,NEL,0,324.16
wind_onshore_1,2012-12-31,NIS,0,9.76
wind_onshore_1,2012-12-31,OTG,0,460.59
wind_onshore_1,2012-12-31,TRN,0,4.96
wind_onshore_1,2012-12-31,WEL,0,463.65
wind_onshore_1,2012-12-31,WTO,0,3.50
wind_onshore_2,2012-12-31,AKL,0,193.67
wind_onshore_2,2012-12-31,BOP,0,281.20
wind_onshore_2,2012-12-31,CAN,0,410.13
wind_onshore_2,2012-12-31,CEN,0,1090.37
wind_onshore_2,2012-12-31,HBY,0,242.31
wind_onshore_2,2012-12-31,NEL,0,391.49
wind_onshore_2,2012-12-31,NIS,0,231.47
wind_onshore_2,2012-12-31,OTG,0,1553.12
wind_onshore_2,2012-12-31,TRN,0,336.43
wind_onshore_2,2012-12-31,WEL,0,625.95
wind_onshore_2,2012-12-31,WTO,0,65.45
wind_onshore_3,2012-12-31,AKL,0,749.06
wind_onshore_3,2012-12-31,BOP,0,425.01
wind_onshore_3,2012-12-31,CAN,0,802.12
wind_onshore_3,2012-12-31,CEN,0,1006.38
wind_onshore_3,2012-12-31,HBY,0,549.87
wind_onshore_3,2012-12-31,NEL,0,358.52
wind_onshore_3,2012-12-31,NIS,0,1210.89
wind_onshore_3,2012-12-31,OTG,0,1226.49
wind_onshore_3,2012-12-31,TRN,0,405.53
wind_onshore_3,2012-12-31,WEL,0,439.40
wind_onshore_3,2012-12-31,WTO,0,433.36
wind_onshore_4,2012-12-31,AKL,0,480.89
wind_onshore_4,2012-12-31,BOP,0,832.74
wind_onshore_4,2012-12-31,CAN,0,1013.96
wind_onshore_4,2012-12-31,CEN,0,506.77
wind_onshore_4,2012-12-31,HBY,0,702.66
wind_onshore_4,2012-12-31,NEL,0,609.58
wind_onshore_4,2012-12-31,NIS,0,521.44
wind_onshore_4,2012-12-31,OTG,0,633.97
wind_onshore_4,2012-12-31,TRN,0,481.80
wind_onshore_4,2012-12-31,WEL,0,301.42
wind_onshore_4,2012-12-31,WTO,0,1413.57
