indicator,accNodesData,converter_techs,vintage,perUnitBuild,amorTime,useAnnuity,interest
Invest,global,BIO,1950,2600,30,1,0.06
Invest,global,BIO,2030,2300,30,1,0.06
Invest,global,BIO,2050,2300,30,1,0.06
Invest,global,Battery,2020,117,20,1,0.06
Invest,global,Battery,2030,55,20,1,0.06
Invest,global,Battery,2040,37,20,1,0.06
Invest,global,Battery,2050,30,20,1,0.06
Invest,global,CCGT,1950,775,30,1,0.06
Invest,global,CCGT,2030,775,30,1,0.06
Invest,global,COAL,1950,1600,30,1,0.06
Invest,global,COAL,2030,1600,30,1,0.06
Invest,global,COAL,2050,1600,30,1,0.06
Invest,global,DIE,1950,900,30,1,0.06
Invest,global,DIE,2030,830,30,1,0.06
Invest,global,DIE,2050,830,30,1,0.06
Invest,global,Electrolyser,2020,750,25,1,0.06
Invest,global,Electrolyser,2030,570,30,1,0.06
Invest,global,Electrolyser,2040,450,32,1,0.06
Invest,global,Electrolyser,2050,350,35,1,0.06
Invest,global,GT,1950,900,30,1,0.06
Invest,global,GT,2030,830,30,1,0.06
Invest,global,H2_CCGT,2030,100,35,1,0.06
Invest,global,H2_CCGT,2035,100,35,1,0.06
Invest,global,H2_CCGT,2040,100,35,1,0.06
Invest,global,H2_CCGT,2045,100,35,1,0.06
Invest,global,H2_CCGT,2050,100,35,1,0.06
Invest,global,H2_FC,2020,100,35,1,0.06
Invest,global,H2_FC,2025,100,35,1,0.06
Invest,global,H2_FC,2030,100,35,1,0.06
Invest,global,H2_FC,2035,100,35,1,0.06
Invest,global,H2_FC,2040,100,35,1,0.06
Invest,global,H2_FC,2045,100,35,1,0.06
Invest,global,H2_FC,2050,100,35,1,0.06
Invest,global,H2_storage,2020,5.14,40,1,0.06
Invest,global,H2_storage,2035,5.14,40,1,0.06
Invest,global,H2_storage,2050,5.14,40,1,0.06
Invest,global,Hydro,1950,2560,20,1,0.06
Invest,global,OCGT,1950,475,30,1,0.06
Invest,global,OCGT,2030,475,30,1,0.06
Invest,global,geoth,1950,4970,100,1,0.06
Invest,global,pv_central_fixed,1950,560,35,1,0.06
Invest,global,pv_central_fixed,2030,380,40,1,0.06
Invest,global,pv_central_fixed,2040,320,40,1,0.06
Invest,global,pv_central_fixed,2050,290,40,1,0.06
Invest,global,pv_decentral,1950,870,35,1,0.06
Invest,global,pv_decentral,2030,570,40,1,0.06
Invest,global,pv_decentral,2040,460,40,1,0.06
Invest,global,pv_decentral,2050,410,40,1,0.06
Invest,global,wind_offshore_floating,1950,600,27,1,0.06
Invest,global,wind_offshore_floating,2030,600,30,1,0.06
Invest,global,wind_offshore_floating,2040,600,30,1,0.06
Invest,global,wind_offshore_floating,2050,600,30,1,0.06
Invest,global,wind_offshore_foundation,1950,600,27,1,0.06
Invest,global,wind_offshore_foundation,2030,600,30,1,0.06
Invest,global,wind_offshore_foundation,2040,600,30,1,0.06
Invest,global,wind_offshore_foundation,2050,600,30,1,0.06
Invest,global,wind_onshore,1950,200,27,1,0.06
Invest,global,wind_onshore,2030,200,30,1,0.06
Invest,global,wind_onshore,2040,200,30,1,0.06
Invest,global,wind_onshore,2050,200,30,1,0.06
OMFix,global,BIO,1950,0,0,0,0
OMFix,global,BIO,2030,0,0,0,0
OMFix,global,BIO,2050,0,0,0,0
OMFix,global,Battery,2020,0,0,0,0
OMFix,global,Battery,2030,0,0,0,0
OMFix,global,Battery,2040,0,0,0,0
OMFix,global,Battery,2050,0,0,0,0
OMFix,global,CCGT,1950,0,0,0,0
OMFix,global,CCGT,2030,0,0,0,0
OMFix,global,COAL,1950,0,0,0,0
OMFix,global,COAL,2030,0,0,0,0
OMFix,global,COAL,2050,0,0,0,0
OMFix,global,DIE,1950,0,0,0,0
OMFix,global,DIE,2030,0,0,0,0
OMFix,global,DIE,2050,0,0,0,0
OMFix,global,Electrolyser,2020,0,0,0,0
OMFix,global,Electrolyser,2030,0,0,0,0
OMFix,global,Electrolyser,2040,0,0,0,0
OMFix,global,Electrolyser,2050,0,0,0,0
OMFix,global,GT,1950,0,0,0,0
OMFix,global,GT,2030,0,0,0,0
OMFix,global,H2_CCGT,2030,0,0,0,0
OMFix,global,H2_CCGT,2035,0,0,0,0
OMFix,global,H2_CCGT,2040,0,0,0,0
OMFix,global,H2_CCGT,2045,0,0,0,0
OMFix,global,H2_CCGT,2050,0,0,0,0
OMFix,global,H2_FC,2020,0,0,0,0
OMFix,global,H2_FC,2025,0,0,0,0
OMFix,global,H2_FC,2030,0,0,0,0
OMFix,global,H2_FC,2035,0,0,0,0
OMFix,global,H2_FC,2040,0,0,0,0
OMFix,global,H2_FC,2045,0,0,0,0
OMFix,global,H2_FC,2050,0,0,0,0
OMFix,global,H2_storage,2020,0,0,0,0
OMFix,global,H2_storage,2035,0,0,0,0
OMFix,global,H2_storage,2050,0,0,0,0
OMFix,global,Hydro,1950,0,0,0,0
OMFix,global,OCGT,1950,0,0,0,0
OMFix,global,OCGT,2030,0,0,0,0
