converter_techs,vintage,activity,commodity,coefficient
Battery,2020,Charge,Elec,-1.0
Battery,2020,Charge,Elec_battery,0.975
Battery,2020,Discharge,Elec,1.0
Battery,2020,Discharge,Elec_battery,-1.025
Battery,2030,Charge,Elec,-1.0
Battery,2030,Charge,Elec_battery,0.975
Battery,2030,Discharge,Elec,1.0
Battery,2030,Discharge,Elec_battery,-1.025
Battery,2040,Charge,Elec,-1.0
Battery,2040,Charge,Elec_battery,0.975
Battery,2040,Discharge,Elec,1.0
Battery,2040,Discharge,Elec_battery,-1.025
Battery,2050,Charge,Elec,-1.0
Battery,2050,Charge,Elec_battery,0.975
Battery,2050,Discharge,Elec,1.0
Battery,2050,Discharge,Elec_battery,-1.025
pv_central_fixed,2020,Heatgen,Elec,0.0
pv_central_fixed,2020,Heatgen,Heat_CSP,0.0
pv_central_fixed,2020,Powergen,Elec,1.0
pv_central_fixed,2020,Powergen,Heat_CSP,0.0
pv_central_fixed,2030,Heatgen,Elec,0.0
pv_central_fixed,2030,Heatgen,Heat_CSP,0.0
pv_central_fixed,2030,Powergen,Elec,1.0
pv_central_fixed,2030,Powergen,Heat_CSP,0.0
pv_central_fixed,2040,Heatgen,Elec,0.0
pv_central_fixed,2040,Heatgen,Heat_CSP,0.0
pv_central_fixed,2040,Powergen,Elec,1.0
pv_central_fixed,2040,Powergen,Heat_CSP,0.0
pv_central_fixed,2050,Heatgen,Elec,0.0
pv_central_fixed,2050,Heatgen,Heat_CSP,0.0
pv_central_fixed,2050,Powergen,Elec,1.0
pv_central_fixed,2050,Powergen,Heat_CSP,0.0
pv_central_track_azimuth,2020,Heatgen,Elec,0.0
pv_central_track_azimuth,2020,Heatgen,Heat_CSP,0.0
pv_central_track_azimuth,2020,Powergen,Elec,1.0
pv_central_track_azimuth,2020,Powergen,Heat_CSP,0.0
pv_central_track_azimuth,2030,Heatgen,Elec,0.0
pv_central_track_azimuth,2030,Heatgen,Heat_CSP,0.0
pv_central_track_azimuth,2030,Powergen,Elec,1.0
pv_central_track_azimuth,2030,Powergen,Heat_CSP,0.0
pv_central_track_azimuth,2040,Heatgen,Elec,0.0
pv_central_track_azimuth,2040,Heatgen,Heat_CSP,0.0
pv_central_track_azimuth,2040,Powergen,Elec,1.0
pv_central_track_azimuth,2040,Powergen,Heat_CSP,0.0
pv_central_track_azimuth,2050,Heatgen,Elec,0.0
pv_central_track_azimuth,2050,Heatgen,Heat_CSP,0.0
pv_central_track_azimuth,2050,Powergen,Elec,1.0
pv_central_track_azimuth,2050,Powergen,Heat_CSP,0.0
pv_decentral,2020,Heatgen,Elec,0.0
pv_decentral,2020,Heatgen,Heat_CSP,0.0
pv_decentral,2020,Powergen,Elec,1.0
pv_decentral,2020,Powergen,Heat_CSP,0.0
pv_decentral,2030,Heatgen,Elec,0.0
pv_decentral,2030,Heatgen,Heat_CSP,0.0
pv_decentral,2030,Powergen,Elec,1.0
pv_decentral,2030,Powergen,Heat_CSP,0.0
