accNodesModel,accYears,techs,commodity,capType,value
AKL,2030,Battery,Elec,build,0.024284189692668188
AKL,2030,Battery,Elec,total,0.024284189692668188
AKL,2030,Battery,Elec,upperLimit,50.0
AKL,2030,Battery,Elec_battery,build,0.023677084950351483
AKL,2030,Battery,Elec_battery,total,0.023677084950351483
AKL,2030,Battery,Elec_battery,upperLimit,48.75
AKL,2030,pv_central_fixed,Elec,build,1.7679332533180292e-06
AKL,2030,pv_central_fixed,Elec,total,1.7679332533180292e-06
AKL,2030,pv_central_fixed,Elec,upperLimit,180.66817
AKL,2030,pv_central_track_azimuth,Elec,build,1.1604180531947046e-06
AKL,2030,pv_central_track_azimuth,Elec,total,1.1604180531947046e-06
AKL,2030,pv_central_track_azimuth,Elec,upperLimit,180.66817
AKL,2030,pv_decentral,Elec,build,1.5668311881393983e-07
AKL,2030,pv_decentral,Elec,total,1.5668311881393983e-07
AKL,2030,pv_decentral,Elec,upperLimit,2.2025300000000003
AKL,2030,wind_offshore_floating,Elec,build,3.959480991430433e-08
AKL,2030,wind_offshore_floating,Elec,total,3.959480991430433e-08
AKL,2030,wind_offshore_floating,Elec,upperLimit,34.72203
AKL,2030,wind_offshore_foundation,Elec,build,3.9433334639273805e-08
AKL,2030,wind_offshore_foundation,Elec,total,3.9433334639273805e-08
AKL,2030,wind_offshore_foundation,Elec,upperLimit,12.56432
AKL,2030,wind_onshore,Elec,build,0.004832919190006459
AKL,2030,wind_onshore,Elec,total,0.004832919190006459
AKL,2030,wind_onshore,Elec,upperLimit,7.56917
AKL,2040,Battery,Elec,build,0.022951821515885484
AKL,2040,Battery,Elec,decom,2.552101711087694e-10
AKL,2040,Battery,Elec,total,0.047236014392360165
AKL,2040,Battery,Elec,upperLimit,100.0
AKL,2040,Battery,Elec_battery,build,0.022378025977988346
AKL,2040,Battery,Elec_battery,decom,2.4882991683105015e-10
AKL,2040,Battery,Elec_battery,total,0.046055114032551164
AKL,2040,Battery,Elec_battery,upperLimit,97.5
AKL,2040,pv_central_fixed,Elec,build,1.5671099518908504e-06
AKL,2040,pv_central_fixed,Elec,decom,2.1523254327870224e-11
AKL,2040,pv_central_fixed,Elec,total,3.3384606986189603e-06
AKL,2040,pv_central_fixed,Elec,upperLimit,361.33634
AKL,2040,pv_central_track_azimuth,Elec,build,9.144828960981036e-07
AKL,2040,pv_central_track_azimuth,Elec,decom,1.8423201496204523e-11
AKL,2040,pv_central_track_azimuth,Elec,total,2.078321542755722e-06
AKL,2040,pv_central_track_azimuth,Elec,upperLimit,361.33634
AKL,2040,pv_decentral,Elec,build,2.0968181886622554e-07
AKL,2040,pv_decentral,Elec,decom,1.3550029720590327e-11
AKL,2040,pv_decentral,Elec,total,3.697904043148538e-07
AKL,2040,pv_decentral,Elec,upperLimit,4.405060000000001
AKL,2040,wind_offshore_floating,Elec,build,4.366371982900087e-08
AKL,2040,wind_offshore_floating,Elec,decom,2.3927123363467547e-12
AKL,2040,wind_offshore_floating,Elec,total,8.66951536953778e-08
AKL,2040,wind_offshore_floating,Elec,upperLimit,69.44406
AKL,2040,wind_offshore_foundation,Elec,build,4.343315925604865e-08
AKL,2040,wind_offshore_foundation,Elec,decom,2.873083385755833e-12
AKL,2040,wind_offshore_foundation,Elec,total,8.630263747634564e-08
AKL,2040,wind_offshore_foundation,Elec,upperLimit,25.12864
AKL,2040,wind_onshore,Elec,build,0.03642889710017464
AKL,2040,wind_onshore,Elec,decom,6.391339706585352e-12
AKL,2040,wind_onshore,Elec,total,0.041261819722806424
AKL,2040,wind_onshore,Elec,upperLimit,15.13834
AKL,2050,Battery,Elec,build,0.048352366732338885
AKL,2050,Battery,Elec,decom,0.024284190036908654
AKL,2050,Battery,Elec,total,0.09558838421947524
AKL,2050,Battery,Elec,upperLimit,100.0
AKL,2050,Battery,Elec_battery,build,0.04714355756403041
AKL,2050,Battery,Elec_battery,decom,0.023677085285985937
AKL,2050,Battery,Elec_battery,total,0.09319867461398837
AKL,2050,Battery,Elec_battery,upperLimit,97.5
AKL,2050,pv_central_fixed,Elec,build,1.4357286288308605e-06
AKL,2050,pv_central_fixed,Elec,decom,9.542534800921828e-11
AKL,2050,pv_central_fixed,Elec,total,4.780971935430632e-06
AKL,2050,pv_central_fixed,Elec,upperLimit,542.00451
AKL,2050,pv_central_track_azimuth,Elec,build,7.242900861541527e-07
AKL,2050,pv_central_track_azimuth,Elec,decom,8.192130459525136e-11
AKL,2050,pv_central_track_azimuth,Elec,total,2.809407740934097e-06
AKL,2050,pv_central_track_azimuth,Elec,upperLimit,542.00451
AKL,2050,pv_decentral,Elec,build,2.424361836461143e-07
AKL,2050,pv_decentral,Elec,decom,6.149797793478524e-11
AKL,2050,pv_decentral,Elec,total,6.190431233118512e-07
AKL,2050,pv_decentral,Elec,upperLimit,6.607590000000001
AKL,2050,wind_offshore_floating,Elec,build,4.64966841975298e-08
AKL,2050,wind_offshore_floating,Elec,decom,9.81383257429517e-12
AKL,2050,wind_offshore_floating,Elec,total,1.4006005738915128e-07
AKL,2050,wind_offshore_floating,Elec,upperLimit,104.16609
AKL,2050,wind_offshore_foundation,Elec,build,4.652689043346891e-08
AKL,2050,wind_offshore_foundation,Elec,decom,1.1744267272733834e-11
AKL,2050,wind_offshore_foundation,Elec,total,1.396958169713597e-07
AKL,2050,wind_offshore_foundation,Elec,upperLimit,37.69296
AKL,2050,wind_onshore,Elec,build,0.1307107179334288
AKL,2050,wind_onshore,Elec,decom,2.6242211405567825e-11
AKL,2050,wind_onshore,Elec,total,0.17197254450802635
AKL,2050,wind_onshore,Elec,upperLimit,22.70751
BOP,2030,Battery,Elec,build,0.024487177597861943
BOP,2030,Battery,Elec,total,0.024487177597861943
BOP,2030,Battery,Elec,upperLimit,50.0
BOP,2030,Battery,Elec_battery,build,0.023874998157915394
BOP,2030,Battery,Elec_battery,total,0.023874998157915394
BOP,2030,Battery,Elec_battery,upperLimit,48.75
BOP,2030,pv_central_fixed,Elec,build,2.300676747163481e-05
BOP,2030,pv_central_fixed,Elec,total,2.300676747163481e-05
BOP,2030,pv_central_fixed,Elec,upperLimit,237.96793
BOP,2030,pv_central_track_azimuth,Elec,build,0.07236990150203278
BOP,2030,pv_central_track_azimuth,Elec,total,0.07236990150203278
BOP,2030,pv_central_track_azimuth,Elec,upperLimit,237.94021
BOP,2030,pv_decentral,Elec,build,1.6887113782402938e-07
BOP,2030,pv_decentral,Elec,total,1.6887113782402938e-07
BOP,2030,pv_decentral,Elec,upperLimit,0.56348
BOP,2030,wind_offshore_floating,Elec,build,1.3846725571967928e-07
BOP,2030,wind_offshore_floating,Elec,total,1.3846725571967928e-07
BOP,2030,wind_offshore_floating,Elec,upperLimit,21.89748
BOP,2030,wind_offshore_foundation,Elec,build,8.543880769717619e-08
BOP,2030,wind_offshore_foundation,Elec,total,8.543880769717619e-08
BOP,2030,wind_offshore_foundation,Elec,upperLimit,5.5911800000000005
BOP,2030,wind_onshore,Elec,build,1.13538149384367e-06
BOP,2030,wind_onshore,Elec,total,1.13538149384367e-06
