nodesData,years,storage_techs,unitsUpperLimit
AKL,2020,Battery,30.0
AKL,2025,Battery,30.0
AKL,2030,Battery,30.0
AKL,2035,Battery,30.0
AKL,2040,Battery,30.0
AKL,2045,Battery,30.0
AKL,2050,Battery,30.0
BOP,2020,Battery,30.0
BOP,2025,Battery,30.0
BOP,2030,Battery,30.0
BOP,2035,Battery,30.0
BOP,2040,Battery,30.0
BOP,2045,Battery,30.0
BOP,2050,Battery,30.0
CAN,2020,Battery,30.0
CAN,2025,Battery,30.0
CAN,2030,Battery,30.0
CAN,2035,Battery,30.0
CAN,2040,Battery,30.0
CAN,2045,Battery,30.0
CAN,2050,Battery,30.0
CEN,2020,Battery,30.0
CEN,2025,Battery,30.0
CEN,2030,Battery,30.0
CEN,2035,Battery,30.0
CEN,2040,Battery,30.0
CEN,2045,Battery,30.0
CEN,2050,Battery,30.0
HBY,2020,Battery,30.0
HBY,2025,Battery,30.0
HBY,2030,Battery,30.0
HBY,2035,Battery,30.0
HBY,2040,Battery,30.0
HBY,2045,Battery,30.0
HBY,2050,Battery,30.0
NEL,2020,Battery,30.0
NEL,2025,Battery,30.0
NEL,2030,Battery,30.0
NEL,2035,Battery,30.0
NEL,2040,Battery,30.0
NEL,2045,Battery,30.0
NEL,2050,Battery,30.0
NIS,2020,Battery,30.0
NIS,2025,Battery,30.0
NIS,2030,Battery,30.0
NIS,2035,Battery,30.0
NIS,2040,Battery,30.0
NIS,2045,Battery,30.0
NIS,2050,Battery,30.0
OTG,2020,Battery,30.0
OTG,2025,Battery,30.0
OTG,2030,Battery,30.0
OTG,2035,Battery,30.0
OTG,2040,Battery,30.0
OTG,2045,Battery,30.0
OTG,2050,Battery,30.0
TRN,2020,Battery,30.0
TRN,2025,Battery,30.0
TRN,2030,Battery,30.0
TRN,2035,Battery,30.0
TRN,2040,Battery,30.0
TRN,2045,Battery,30.0
TRN,2050,Battery,30.0
WEL,2020,Battery,30.0
WEL,2025,Battery,30.0
WEL,2030,Battery,30.0
WEL,2035,Battery,30.0
WEL,2040,Battery,30.0
WEL,2045,Battery,30.0
WEL,2050,Battery,30.0
WTO,2020,Battery,30.0
WTO,2025,Battery,30.0
WTO,2030,Battery,30.0
WTO,2035,Battery,30.0
WTO,2040,Battery,30.0
WTO,2045,Battery,30.0
WTO,2050,Battery,30.0
