converter_techs,vintage,lifeTime,activityUpperLimit
Battery,2020,20,1.0
Battery,2030,20,1.0
Battery,2040,20,1.0
Battery,2050,20,1.0
CCGT,2000,30,1.0
CCGT,2030,30,1.0
CCGT_H2,2000,30,1.0
CCGT_H2,2030,30,1.0
Electrolyser,2020,25,1.0
Electrolyser,2030,30,1.0
Electrolyser,2040,32,1.0
Electrolyser,2050,35,1.0
FTropschSyn,2020,30,1.0
FTropschSyn,2040,30,1.0
GT,2000,30,1.0
GT,2030,30,1.0
GT_H2,2000,30,1.0
GT_H2,2030,30,1.0
Methanizer,2020,30,1.0
Methanizer,2030,30,1.0
Methanizer,2040,30,1.0
Methanizer,2050,30,1.0
MethanolSyn,2020,30,1.0
pv_central_fixed,2020,35,0.0
pv_central_fixed,2030,40,0.0
pv_central_fixed,2040,40,0.0
pv_central_fixed,2050,40,0.0
pv_central_track_azimuth,2020,35,0.0
pv_central_track_azimuth,2030,40,0.0
pv_central_track_azimuth,2040,40,0.0
pv_central_track_azimuth,2050,40,0.0
pv_decentral,2020,35,0.0
pv_decentral,2030,40,0.0
pv_decentral,2040,40,0.0
pv_decentral,2050,40,0.0
wind_offshore_floating,2020,27,0.0
wind_offshore_floating,2030,30,0.0
wind_offshore_floating,2040,30,0.0
wind_offshore_floating,2050,30,0.0
wind_offshore_foundation,2020,27,0.0
wind_offshore_foundation,2030,30,0.0
wind_offshore_foundation,2040,30,0.0
wind_offshore_foundation,2050,30,0.0
wind_onshore,2020,27,0.0
wind_onshore,2030,30,0.0
wind_onshore,2040,30,0.0
wind_onshore,2050,30,0.0
