nodesData,years,sourcesink_techs,commodity,upper
AKL,2030,Slack,Elec,inf
AKL,2040,Slack,Elec,inf
AKL,2050,Slack,Elec,inf
BOP,2030,Slack,Elec,inf
BOP,2040,Slack,Elec,inf
BOP,2050,Slack,Elec,inf
CAN,2030,Slack,Elec,inf
CAN,2040,Slack,Elec,inf
CAN,2050,Slack,Elec,inf
CEN,2030,Slack,Elec,inf
CEN,2040,Slack,Elec,inf
CEN,2050,Slack,Elec,inf
HBY,2030,Slack,Elec,inf
HBY,2040,Slack,Elec,inf
HBY,2050,Slack,Elec,inf
NEL,2030,Slack,Elec,inf
NEL,2040,Slack,Elec,inf
NEL,2050,Slack,Elec,inf
NIS,2030,Slack,Elec,inf
NIS,2040,Slack,Elec,inf
NIS,2050,Slack,Elec,inf
OTG,2030,Slack,Elec,inf
OTG,2040,Slack,Elec,inf
OTG,2050,Slack,Elec,inf
TRN,2030,Slack,Elec,inf
TRN,2040,Slack,Elec,inf
TRN,2050,Slack,Elec,inf
WEL,2030,Slack,Elec,inf
WEL,2040,Slack,Elec,inf
WEL,2050,Slack,Elec,inf
WTO,2030,Slack,Elec,inf
WTO,2040,Slack,Elec,inf
WTO,2050,Slack,Elec,inf
