accNodesModel,accYears,techs,commodity,capType,value
AKL,2030,Battery,Elec,build,0.002776540165176375
AKL,2030,Battery,Elec,total,0.002776540165176375
AKL,2030,Battery,Elec,upperLimit,50.0
AKL,2030,Battery,Elec_battery,build,0.0027071266610469652
AKL,2030,Battery,Elec_battery,total,0.0027071266610469652
AKL,2030,Battery,Elec_battery,upperLimit,48.75
AKL,2030,pv_central_fixed,Elec,build,9.050716601431384e-06
AKL,2030,pv_central_fixed,Elec,total,9.050716601431384e-06
AKL,2030,pv_central_fixed,Elec,upperLimit,180.66817
AKL,2030,pv_central_track_azimuth,Elec,build,1.9381864710886366e-06
AKL,2030,pv_central_track_azimuth,Elec,total,1.9381864710886366e-06
AKL,2030,pv_central_track_azimuth,Elec,upperLimit,180.66817
AKL,2030,pv_decentral,Elec,build,1.8825503228251434e-08
AKL,2030,pv_decentral,Elec,total,1.8825503228251434e-08
AKL,2030,pv_decentral,Elec,upperLimit,2.2025300000000003
AKL,2030,wind_offshore_floating,Elec,build,4.220081994577272e-09
AKL,2030,wind_offshore_floating,Elec,total,4.220081994577272e-09
AKL,2030,wind_offshore_floating,Elec,upperLimit,34.72203
AKL,2030,wind_offshore_foundation,Elec,build,4.221757232725281e-09
AKL,2030,wind_offshore_foundation,Elec,total,4.221757232725281e-09
AKL,2030,wind_offshore_foundation,Elec,upperLimit,12.56432
AKL,2030,wind_onshore,Elec,build,0.0075368675928060595
AKL,2030,wind_onshore,Elec,total,0.0075368675928060595
AKL,2030,wind_onshore,Elec,upperLimit,7.56917
AKL,2040,Battery,Elec,build,0.009119032356461878
AKL,2040,Battery,Elec,decom,2.461507126703773e-11
AKL,2040,Battery,Elec,total,0.011895572820087618
AKL,2040,Battery,Elec,upperLimit,100.0
AKL,2040,Battery,Elec_battery,build,0.008891056547550331
AKL,2040,Battery,Elec_battery,decom,2.3999694485361788e-11
AKL,2040,Battery,Elec_battery,total,0.011598183499585427
AKL,2040,Battery,Elec_battery,upperLimit,97.5
AKL,2040,pv_central_fixed,Elec,build,0.020450101553457552
AKL,2040,pv_central_fixed,Elec,decom,2.2070683284523967e-12
AKL,2040,pv_central_fixed,Elec,total,0.020459152590916352
AKL,2040,pv_central_fixed,Elec,upperLimit,361.33634
AKL,2040,pv_central_track_azimuth,Elec,build,6.108042357731146e-07
AKL,2040,pv_central_track_azimuth,Elec,decom,1.886272414185708e-12
AKL,2040,pv_central_track_azimuth,Elec,total,2.549311885025349e-06
AKL,2040,pv_central_track_azimuth,Elec,upperLimit,361.33634
AKL,2040,pv_decentral,Elec,build,2.626550862053073e-08
AKL,2040,pv_decentral,Elec,decom,1.3957616489439307e-12
AKL,2040,pv_decentral,Elec,total,4.541268052314542e-08
AKL,2040,pv_decentral,Elec,upperLimit,4.405060000000001
AKL,2040,wind_offshore_floating,Elec,build,4.646296644938104e-09
AKL,2040,wind_offshore_floating,Elec,decom,2.4710418494901106e-13
AKL,2040,wind_offshore_floating,Elec,total,9.18919597134261e-09
AKL,2040,wind_offshore_floating,Elec,upperLimit,69.44406
AKL,2040,wind_offshore_foundation,Elec,build,4.65522023690882e-09
AKL,2040,wind_offshore_foundation,Elec,decom,2.9609059955827995e-13
AKL,2040,wind_offshore_foundation,Elec,total,9.19974581504673e-09
AKL,2040,wind_offshore_foundation,Elec,upperLimit,25.12864
AKL,2040,wind_onshore,Elec,build,0.016191452373930704
AKL,2040,wind_onshore,Elec,decom,6.611153492736277e-13
AKL,2040,wind_onshore,Elec,total,0.023728320289140084
AKL,2040,wind_onshore,Elec,upperLimit,15.13834
AKL,2050,Battery,Elec,build,0.009800099436999443
AKL,2050,Battery,Elec,decom,0.0027765402009040565
AKL,2050,Battery,Elec,total,0.021695672544423818
AKL,2050,Battery,Elec,upperLimit,100.0
AKL,2050,Battery,Elec_battery,build,0.009555096951074456
AKL,2050,Battery,Elec_battery,decom,0.0027071266958814547
AKL,2050,Battery,Elec_battery,total,0.02115328073081322
AKL,2050,Battery,Elec_battery,upperLimit,97.5
AKL,2050,pv_central_fixed,Elec,build,3.6352912099503734e-06
AKL,2050,pv_central_fixed,Elec,decom,9.788487614230486e-12
AKL,2050,pv_central_fixed,Elec,total,0.02046278851846669
AKL,2050,pv_central_fixed,Elec,upperLimit,542.00451
AKL,2050,pv_central_track_azimuth,Elec,build,2.3372594311517053e-07
AKL,2050,pv_central_track_azimuth,Elec,decom,8.423637269371354e-12
AKL,2050,pv_central_track_azimuth,Elec,total,2.7836755333752748e-06
AKL,2050,pv_central_track_azimuth,Elec,upperLimit,542.00451
AKL,2050,pv_decentral,Elec,build,3.044663959252154e-08
AKL,2050,pv_decentral,Elec,decom,6.412682567742884e-12
AKL,2050,pv_decentral,Elec,total,7.649903630512354e-08
AKL,2050,pv_decentral,Elec,upperLimit,6.607590000000001
AKL,2050,wind_offshore_floating,Elec,build,4.970502276624585e-09
AKL,2050,wind_offshore_floating,Elec,decom,1.0096718485244854e-12
AKL,2050,wind_offshore_floating,Elec,total,1.4804817448143037e-08
AKL,2050,wind_offshore_floating,Elec,upperLimit,104.16609
AKL,2050,wind_offshore_foundation,Elec,build,4.94133641408277e-09
AKL,2050,wind_offshore_foundation,Elec,decom,1.22650489573755e-12
AKL,2050,wind_offshore_foundation,Elec,total,1.4785984596258135e-08
AKL,2050,wind_offshore_foundation,Elec,upperLimit,37.69296
AKL,2050,wind_onshore,Elec,build,0.011853636998063051
AKL,2050,wind_onshore,Elec,decom,2.758845442519558e-12
AKL,2050,wind_onshore,Elec,total,0.035581957930573165
AKL,2050,wind_onshore,Elec,upperLimit,22.70751
BOP,2030,Battery,Elec,build,0.005184618694059449
BOP,2030,Battery,Elec,total,0.005184618694059449
BOP,2030,Battery,Elec,upperLimit,50.0
BOP,2030,Battery,Elec_battery,build,0.005055003226707963
BOP,2030,Battery,Elec_battery,total,0.005055003226707963
BOP,2030,Battery,Elec_battery,upperLimit,48.75
BOP,2030,pv_central_fixed,Elec,build,8.448621643076927e-07
BOP,2030,pv_central_fixed,Elec,total,8.448621643076927e-07
BOP,2030,pv_central_fixed,Elec,upperLimit,237.96793
BOP,2030,pv_central_track_azimuth,Elec,build,0.009839971098343944
BOP,2030,pv_central_track_azimuth,Elec,total,0.009839971098343944
BOP,2030,pv_central_track_azimuth,Elec,upperLimit,237.94021
BOP,2030,pv_decentral,Elec,build,1.914993700063928e-08
BOP,2030,pv_decentral,Elec,total,1.914993700063928e-08
BOP,2030,pv_decentral,Elec,upperLimit,0.56348
BOP,2030,wind_offshore_floating,Elec,build,1.6495939478278922e-08
BOP,2030,wind_offshore_floating,Elec,total,1.6495939478278922e-08
BOP,2030,wind_offshore_floating,Elec,upperLimit,21.89748
