accNodesModel,accYears,techs,commodity,capType,value
AKL,2030,Battery,Elec,total,0.002776540165176375
AKL,2030,PV,Elec,total,1.1007728575748272e-05
AKL,2030,Wind,Elec,total,0.007536876034645287
AKL,2040,Battery,Elec,total,0.011895572820087618
AKL,2040,PV,Elec,total,0.0204617473154819
AKL,2040,Wind,Elec,total,0.02372833867808187
AKL,2050,Battery,Elec,total,0.021695672544423818
AKL,2050,PV,Elec,total,0.020465648693036367
AKL,2050,Wind,Elec,total,0.03558198752137521
BOP,2030,Battery,Elec,total,0.005184618694059449
BOP,2030,PV,Elec,total,0.009840835110445253
BOP,2030,Wind,Elec,total,1.7164631607226462e-07
BOP,2040,Battery,Elec,total,0.005230196546461529
BOP,2040,PV,Elec,total,0.009841670991576604
BOP,2040,Wind,Elec,total,2.28932455160037e-07
BOP,2050,Battery,Elec,total,0.010317633968211327
BOP,2050,PV,Elec,total,0.009841905926389276
BOP,2050,Wind,Elec,total,2.6917774560135004e-07
CAN,2030,Battery,Elec,total,0.0446139238547742
CAN,2030,PV,Elec,total,0.10271991005510134
CAN,2030,Wind,Elec,total,1.4981413670855325e-08
CAN,2040,Battery,Elec,total,0.044622509941849194
CAN,2040,PV,Elec,total,0.10272028267016935
CAN,2040,Wind,Elec,total,2.589247583317744e-08
CAN,2050,Battery,Elec,total,0.09120022841479117
CAN,2050,PV,Elec,total,0.10272069547997448
CAN,2050,Wind,Elec,total,3.764107747147938e-08
CEN,2030,Battery,Elec,total,8.614820035417002e-07
CEN,2030,PV,Elec,total,1.3172167958227636e-07
CEN,2030,Wind,Elec,total,2.8784429277064976e-08
CEN,2040,Battery,Elec,total,2.6710478921977403e-06
CEN,2040,PV,Elec,total,2.4206590774487376e-07
CEN,2040,Wind,Elec,total,4.9918896282300674e-08
CEN,2050,Battery,Elec,total,4.055896122711376e-06
CEN,2050,PV,Elec,total,3.5499304362237964e-07
CEN,2050,Wind,Elec,total,7.227932796498977e-08
HBY,2030,Battery,Elec,total,0.0004113029404174304
HBY,2030,PV,Elec,total,7.953127207574388e-08
HBY,2030,Wind,Elec,total,5.11908227903533e-08
HBY,2040,Battery,Elec,total,0.0004212868319705624
HBY,2040,PV,Elec,total,1.5922427877104012e-07
HBY,2040,Wind,Elec,total,8.167405157115096e-08
HBY,2050,Battery,Elec,total,0.0008110723646283058
