converter_techs,vintage,activity,commodity,coefficient
Battery,2020,Charge,Elec,-1.0
Battery,2020,Charge,Elec_battery,0.975
Battery,2020,Discharge,Elec,1.0
Battery,2020,Discharge,Elec_battery,-1.025
Battery,2030,Charge,Elec,-1.0
Battery,2030,Charge,Elec_battery,0.975
Battery,2030,Discharge,Elec,1.0
Battery,2030,Discharge,Elec_battery,-1.025
Battery,2040,Charge,Elec,-1.0
Battery,2040,Charge,Elec_battery,0.975
Battery,2040,Discharge,Elec,1.0
Battery,2040,Discharge,Elec_battery,-1.025
Battery,2050,Charge,Elec,-1.0
Battery,2050,Charge,Elec_battery,0.975
Battery,2050,Discharge,Elec,1.0
Battery,2050,Discharge,Elec_battery,-1.025
CCGT,2000,Powergen,CH4,-1.724
CCGT,2000,Powergen,Elec,1.0
CCGT,2000,Powergen,H2,0.0
CCGT,2030,Powergen,CH4,-1.639
CCGT,2030,Powergen,Elec,1.0
CCGT,2030,Powergen,H2,0.0
CCGT_H2,2000,Powergen,CH4,0.0
CCGT_H2,2000,Powergen,Elec,1.0
CCGT_H2,2000,Powergen,H2,-1.724
CCGT_H2,2030,Powergen,CH4,0.0
CCGT_H2,2030,Powergen,Elec,1.0
CCGT_H2,2030,Powergen,H2,-1.639
Electrolyser,2020,Electrolysis,Elec,-1.0
Electrolyser,2020,Electrolysis,H2,0.665
Electrolyser,2030,Electrolysis,Elec,-1.0
Electrolyser,2030,Electrolysis,H2,0.68
Electrolyser,2040,Electrolysis,Elec,-1.0
Electrolyser,2040,Electrolysis,H2,0.715
Electrolyser,2050,Electrolysis,Elec,-1.0
Electrolyser,2050,Electrolysis,H2,0.75
FTropschSyn,2020,Synthesis,CO2_feed,-0.35
FTropschSyn,2020,Synthesis,Elec,-0.11
FTropschSyn,2020,Synthesis,H2,-1.52
FTropschSyn,2020,Synthesis,REfuel,1.0
FTropschSyn,2040,Synthesis,CO2_feed,-0.35
FTropschSyn,2040,Synthesis,Elec,-0.11
FTropschSyn,2040,Synthesis,H2,-1.52
FTropschSyn,2040,Synthesis,REfuel,1.0
GT,2000,Powergen,CH4,-2.439
GT,2000,Powergen,Elec,1.0
GT,2000,Powergen,H2,0.0
GT,2030,Powergen,CH4,-2.326
GT,2030,Powergen,Elec,1.0
GT,2030,Powergen,H2,0.0
GT_H2,2000,Powergen,CH4,0.0
GT_H2,2000,Powergen,Elec,1.0
GT_H2,2000,Powergen,H2,-2.439
GT_H2,2030,Powergen,CH4,0.0
GT_H2,2030,Powergen,Elec,1.0
GT_H2,2030,Powergen,H2,-2.326
Methanizer,2020,Methanizer,CH4,1.0
Methanizer,2020,Methanizer,CO2_feed,-0.2016
Methanizer,2020,Methanizer,Elec,-0.006
Methanizer,2020,Methanizer,H2,-1.284
Methanizer,2030,Methanizer,CH4,1.0
Methanizer,2030,Methanizer,CO2_feed,-0.2016
Methanizer,2030,Methanizer,Elec,-0.006
Methanizer,2030,Methanizer,H2,-1.284
