accNodesModel,accYears,techs,commodity,capType,value
AKL,1997,COAL,Elec,build,0.112
AKL,1997,COAL,Elec,total,0.112
AKL,1998,COAL,Elec,total,0.112
AKL,1999,COAL,Elec,total,0.112
AKL,2000,COAL,Elec,total,0.112
AKL,2003,BIO,Elec,total,0.0125
AKL,2003,COAL,Elec,total,0.112
AKL,2004,BIO,Elec,total,0.0125
AKL,2004,COAL,Elec,total,0.112
AKL,2005,BIO,Elec,total,0.0125
AKL,2005,COAL,Elec,total,0.112
AKL,2007,BIO,Elec,total,0.0125
AKL,2007,COAL,Elec,total,0.112
AKL,2008,BIO,Elec,total,0.0125
AKL,2008,COAL,Elec,total,0.112
AKL,2009,BIO,Elec,total,0.0125
AKL,2009,COAL,Elec,total,0.112
AKL,2010,BIO,Elec,total,0.0125
AKL,2010,COAL,Elec,total,0.112
AKL,2011,BIO,Elec,total,0.0125
AKL,2011,COAL,Elec,total,0.112
AKL,2013,BIO,Elec,total,0.0125
AKL,2013,COAL,Elec,total,0.112
AKL,2014,BIO,Elec,total,0.0125
AKL,2014,COAL,Elec,total,0.112
AKL,2015,BIO,Elec,total,0.0125
AKL,2015,COAL,Elec,total,0.112
AKL,2018,BIO,Elec,total,0.0125
AKL,2018,COAL,Elec,total,0.112
AKL,2020,BIO,Elec,total,0.0125
AKL,2020,BIO,Elec,upperLimit,100.0
AKL,2020,Battery,Elec,upperLimit,50.0
AKL,2020,Battery,Elec_battery,upperLimit,48.75
AKL,2020,CCGT,Elec,upperLimit,100.0
AKL,2020,COAL,Elec,total,0.112
AKL,2020,COAL,Elec,upperLimit,100.0
AKL,2020,DIE,Elec,upperLimit,100.0
AKL,2020,GT,Elec,upperLimit,100.0
AKL,2020,OCGT,Elec,upperLimit,100.0
AKL,2020,pv_central_fixed,Elec,upperLimit,180.66817
AKL,2020,pv_central_track_azimuth,Elec,upperLimit,180.66817
AKL,2020,pv_decentral,Elec,upperLimit,2.2025300000000003
AKL,2020,wind_offshore_floating,Elec,upperLimit,34.72203
AKL,2020,wind_offshore_foundation,Elec,upperLimit,12.56432
AKL,2020,wind_onshore,Elec,upperLimit,7.56917
AKL,2030,BIO,Elec,upperLimit,200.0
AKL,2030,Battery,Elec,build,1.3356071877912226
AKL,2030,Battery,Elec,total,1.335607308981463
AKL,2030,Battery,Elec,upperLimit,100.0
AKL,2030,Battery,Elec_battery,build,1.302217008096442
AKL,2030,Battery,Elec_battery,total,1.3022171262569262
AKL,2030,Battery,Elec_battery,upperLimit,97.5
AKL,2030,CCGT,Elec,upperLimit,200.0
AKL,2030,COAL,Elec,decom,0.112
AKL,2030,COAL,Elec,upperLimit,200.0
AKL,2030,DIE,Elec,upperLimit,200.0
AKL,2030,GT,Elec,upperLimit,200.0
AKL,2030,OCGT,Elec,upperLimit,200.0
AKL,2030,pv_central_fixed,Elec,upperLimit,361.33634
AKL,2030,pv_central_track_azimuth,Elec,build,3.22429822080855
AKL,2030,pv_central_track_azimuth,Elec,total,3.22429822080855
AKL,2030,pv_central_track_azimuth,Elec,upperLimit,361.33634
AKL,2030,pv_decentral,Elec,upperLimit,4.405060000000001
AKL,2030,wind_offshore_floating,Elec,upperLimit,69.44406
AKL,2030,wind_offshore_foundation,Elec,upperLimit,25.12864
AKL,2030,wind_onshore,Elec,build,0.4984398207030653
AKL,2030,wind_onshore,Elec,total,0.4984398207030653
AKL,2030,wind_onshore,Elec,upperLimit,15.13834
AKL,2040,BIO,Elec,upperLimit,200.0
AKL,2040,Battery,Elec,build,3.149037416964699
AKL,2040,Battery,Elec,total,4.484644692695256
AKL,2040,Battery,Elec,upperLimit,100.0
AKL,2040,Battery,Elec_battery,build,3.0703114815405814
AKL,2040,Battery,Elec_battery,total,4.372528575377874
AKL,2040,Battery,Elec_battery,upperLimit,97.5
AKL,2040,CCGT,Elec,build,0.035419951745043254
AKL,2040,CCGT,Elec,total,0.0354199587814088
AKL,2040,CCGT,Elec,upperLimit,200.0
AKL,2040,COAL,Elec,upperLimit,200.0
AKL,2040,DIE,Elec,upperLimit,200.0
AKL,2040,GT,Elec,upperLimit,200.0
AKL,2040,OCGT,Elec,upperLimit,200.0
AKL,2040,pv_central_fixed,Elec,build,6.324159088507368
AKL,2040,pv_central_fixed,Elec,total,6.3241592463473495
AKL,2040,pv_central_fixed,Elec,upperLimit,542.00451
AKL,2040,pv_central_track_azimuth,Elec,total,3.2243061920231297
AKL,2040,pv_central_track_azimuth,Elec,upperLimit,542.00451
AKL,2040,pv_decentral,Elec,upperLimit,6.607590000000001
AKL,2040,wind_offshore_floating,Elec,upperLimit,104.16609
AKL,2040,wind_offshore_foundation,Elec,upperLimit,37.69296
AKL,2040,wind_onshore,Elec,total,0.4984404721857682
AKL,2040,wind_onshore,Elec,upperLimit,22.70751
AKL,2050,BIO,Elec,upperLimit,100.0
AKL,2050,Battery,Elec,build,2.2942117167997322
AKL,2050,Battery,Elec,decom,1.3356072000351795
AKL,2050,Battery,Elec,total,6.77885627606079
AKL,2050,Battery,Elec,upperLimit,100.0
AKL,2050,Battery,Elec_battery,build,2.236856423879739
AKL,2050,Battery,Elec_battery,decom,1.3022170200343
AKL,2050,Battery,Elec_battery,total,6.609384869159271
AKL,2050,Battery,Elec_battery,upperLimit,97.5
AKL,2050,CCGT,Elec,build,0.5701767795688207
AKL,2050,CCGT,Elec,total,0.6055967383483486
AKL,2050,CCGT,Elec,upperLimit,100.0
AKL,2050,COAL,Elec,upperLimit,100.0
AKL,2050,DIE,Elec,upperLimit,100.0
AKL,2050,GT,Elec,upperLimit,100.0
AKL,2050,OCGT,Elec,build,0.11885949528113862
AKL,2050,OCGT,Elec,total,0.11885960803115786
AKL,2050,OCGT,Elec,upperLimit,100.0
AKL,2050,pv_central_fixed,Elec,build,1.9270732125641945
AKL,2050,pv_central_fixed,Elec,total,8.25123245781418
AKL,2050,pv_central_fixed,Elec,upperLimit,722.67268
AKL,2050,pv_central_track_azimuth,Elec,total,3.224307110893673
AKL,2050,pv_central_track_azimuth,Elec,upperLimit,722.67268
AKL,2050,pv_decentral,Elec,upperLimit,8.810120000000001
AKL,2050,wind_offshore_floating,Elec,upperLimit,104.16609
AKL,2050,wind_offshore_foundation,Elec,upperLimit,37.69296
AKL,2050,wind_onshore,Elec,total,0.498444684818682
AKL,2050,wind_onshore,Elec,upperLimit,22.70751
BOP,1966,GT,Elec,build,0.037
BOP,1966,GT,Elec,total,0.037
BOP,1981,GT,Elec,total,0.037
BOP,1983,GT,Elec,total,0.037
BOP,1989,GT,Elec,total,0.037
BOP,1989,geoth,Elec,total,0.014
BOP,1992,GT,Elec,total,0.037
BOP,1992,geoth,Elec,total,0.014
BOP,1993,GT,Elec,total,0.037
BOP,1993,geoth,Elec,total,0.014
BOP,1994,GT,Elec,total,0.037
BOP,1994,geoth,Elec,total,0.014
BOP,1996,GT,Elec,total,0.037
BOP,1996,geoth,Elec,total,0.014
BOP,1997,GT,Elec,total,0.037
BOP,1997,geoth,Elec,total,0.014
BOP,1998,GT,Elec,total,0.037
