accNodesModel,accYears,indicator,value
AKL,2020,CO2_emission,335.13003764659874
AKL,2020,FuelCost,335.13003764659874
AKL,2020,Invest,32.81221693890647
AKL,2020,OMFix,2.5875204931339306
AKL,2020,SlackCost,1.1761289498594243e-06
AKL,2020,SystemCost,370.5297762547681
AKL,2030,CO2_emission,5.050483104338365e-06
AKL,2030,FuelCost,5.050483104338365e-06
AKL,2030,Invest,219.25282298036225
AKL,2030,OMFix,2.4891569184205866
AKL,2030,SlackCost,3.6938618503266755e-07
AKL,2030,SystemCost,221.74198531865213
AKL,2040,CO2_emission,4.793904133834085
AKL,2040,FuelCost,4.793904133834085
AKL,2040,Invest,389.3432581930427
AKL,2040,OMFix,2.0752212867004043
AKL,2040,SlackCost,2.0105925007107417e-06
AKL,2040,SystemCost,396.21238562416966
AKL,2050,CO2_emission,77.04473076750662
AKL,2050,FuelCost,77.04473076750662
AKL,2050,Invest,474.54743181110115
AKL,2050,OMFix,2.79900174054083
AKL,2050,SlackCost,1.5015455815664853e-06
AKL,2050,SystemCost,554.3911658206941
AKL,horizon,CO2_emission,416.9686775984225
AKL,horizon,FuelCost,416.9686775984225
AKL,horizon,Invest,1115.9557299234125
AKL,horizon,OMFix,9.950900438795752
AKL,horizon,SlackCost,5.057653217169319e-06
AKL,horizon,SystemCost,1542.875313018284
BOP,2020,CO2_emission,1.0078414936208917
BOP,2020,FuelCost,1.0078414936208917
BOP,2020,Invest,53.8744488435647
BOP,2020,OMFix,0.17906741168659612
BOP,2020,SlackCost,1.1611894853828446e-06
BOP,2020,SystemCost,55.06135891006168
BOP,2030,CO2_emission,0.324622402276261
BOP,2030,FuelCost,0.324622402276261
BOP,2030,Invest,88.72809382820796
BOP,2030,OMFix,0.20798659921297852
BOP,2030,SlackCost,3.6803873916791564e-07
BOP,2030,SystemCost,89.26070319773594
BOP,2040,CO2_emission,4.1355228424083625
BOP,2040,FuelCost,4.1355228424083625
BOP,2040,Invest,108.79691443184778
BOP,2040,OMFix,0.36963098813673817
BOP,2040,SlackCost,2.0106941800280594e-06
BOP,2040,SystemCost,113.30207027308705
BOP,2050,CO2_emission,16.87832085634963
BOP,2050,FuelCost,16.87832085634963
BOP,2050,Invest,153.18164940313545
BOP,2050,OMFix,0.36963240347349124
BOP,2050,SlackCost,1.49895524694725e-06
BOP,2050,SystemCost,170.42960416191383
BOP,horizon,CO2_emission,22.346307594655148
BOP,horizon,FuelCost,22.346307594655148
BOP,horizon,Invest,404.5811065067559
BOP,horizon,OMFix,1.126317402509804
BOP,horizon,SlackCost,5.03887765152607e-06
BOP,horizon,SystemCost,428.05373654279856
CAN,2020,CO2_emission,3.5841597852388045e-06
CAN,2020,FuelCost,3.5841597852388045e-06
CAN,2020,Invest,14.00184208717986
CAN,2020,OMFix,2.0067239123499405
CAN,2020,SlackCost,1.1517451860777836e-06
CAN,2020,SystemCost,16.00857073543477
CAN,2030,CO2_emission,3.534829550336107e-06
CAN,2030,FuelCost,3.534829550336107e-06
CAN,2030,Invest,64.25298041290996
CAN,2030,OMFix,2.7464813407379918
CAN,2030,SlackCost,3.9648569619544044e-07
CAN,2030,SystemCost,66.9994656849632
CAN,2040,CO2_emission,3.355834547124734e-05
CAN,2040,FuelCost,3.355834547124734e-05
CAN,2040,Invest,101.8535343194217
CAN,2040,OMFix,2.9769596752024787
CAN,2040,SlackCost,2.018159178089927e-06
CAN,2040,SystemCost,104.83052957112882
CAN,2050,CO2_emission,3.732009717819942e-05
CAN,2050,FuelCost,3.732009717819942e-05
CAN,2050,Invest,206.42475228207692
CAN,2050,OMFix,2.9769657990508174
CAN,2050,SlackCost,1.7949585545204907e-06
CAN,2050,SystemCost,209.4017571961835
CAN,horizon,CO2_emission,7.799743198502168e-05
CAN,horizon,FuelCost,7.799743198502168e-05
CAN,horizon,Invest,386.5331091015885
CAN,horizon,OMFix,10.707130727341228
CAN,horizon,SlackCost,5.361348614883642e-06
CAN,horizon,SystemCost,397.2403231877103
CEN,2020,Invest,56.7983996676423
CEN,2020,OMFix,0.6439996388956587
CEN,2020,SlackCost,1.1604571503181525e-06
CEN,2020,SystemCost,57.44240046699511
CEN,2030,CO2_emission,3.8037289867295347e-06
CEN,2030,FuelCost,3.8037289867295347e-06
CEN,2030,Invest,67.67639307974656
CEN,2030,OMFix,1.2323545077759908
CEN,2030,SlackCost,3.6855138107135314e-07
CEN,2030,SystemCost,68.90875175980293
