accNodesModel,accYears,techs,commodity,capType,value
AKL,2020,Battery,Elec_battery,upperLimit,120.0
AKL,2030,Battery,Elec_battery,build,8.049789540929712
AKL,2030,Battery,Elec_battery,total,8.049789540929712
AKL,2030,Battery,Elec_battery,upperLimit,240.0
AKL,2040,Battery,Elec_battery,build,15.423161662162109
AKL,2040,Battery,Elec_battery,total,23.472951199009593
AKL,2040,Battery,Elec_battery,upperLimit,240.0
AKL,2050,Battery,Elec_battery,build,20.097555129830894
AKL,2050,Battery,Elec_battery,total,35.520716737774855
AKL,2050,Battery,Elec_battery,upperLimit,240.0
BOP,2000,Hydro_reservoir,Water_in,upperLimit,3000.0
BOP,2020,Battery,Elec_battery,upperLimit,120.0
BOP,2020,Hydro_reservoir,Water_in,upperLimit,3000.0
BOP,2030,Battery,Elec_battery,build,1.5807971567504395
BOP,2030,Battery,Elec_battery,total,1.5807971567504395
BOP,2030,Battery,Elec_battery,upperLimit,240.0
BOP,2030,Hydro_reservoir,Water_in,upperLimit,3000.0
BOP,2040,Battery,Elec_battery,build,2.443265984086063
BOP,2040,Battery,Elec_battery,total,4.024063110017643
BOP,2040,Battery,Elec_battery,upperLimit,240.0
BOP,2040,Hydro_reservoir,Water_in,upperLimit,3000.0
BOP,2050,Battery,Elec_battery,build,6.087035986133183
BOP,2050,Battery,Elec_battery,total,8.5303019524001
BOP,2050,Battery,Elec_battery,upperLimit,240.0
BOP,2050,Hydro_reservoir,Water_in,upperLimit,3000.0
CAN,2000,Hydro_reservoir,Water_in,build,2517.2429
CAN,2000,Hydro_reservoir,Water_in,total,2517.2429
CAN,2000,Hydro_reservoir,Water_in,upperLimit,3000.0
CAN,2003,Hydro_reservoir,Water_in,total,2517.2429
CAN,2004,Hydro_reservoir,Water_in,total,2517.2429
CAN,2005,Hydro_reservoir,Water_in,total,2517.2429
CAN,2007,Hydro_reservoir,Water_in,total,2517.2429
CAN,2008,Hydro_reservoir,Water_in,total,2517.2429
CAN,2009,Hydro_reservoir,Water_in,total,2517.2429
CAN,2010,Hydro_reservoir,Water_in,total,2517.2429
CAN,2011,Hydro_reservoir,Water_in,total,2517.2429
CAN,2013,Hydro_reservoir,Water_in,total,2517.2429
CAN,2014,Hydro_reservoir,Water_in,total,2517.2429
CAN,2015,Hydro_reservoir,Water_in,total,2517.2429
CAN,2018,Hydro_reservoir,Water_in,total,2517.2429
CAN,2020,Battery,Elec_battery,upperLimit,120.0
CAN,2020,Hydro_reservoir,Water_in,total,2517.2429
CAN,2020,Hydro_reservoir,Water_in,upperLimit,3000.0
CAN,2030,Battery,Elec_battery,build,0.8484648349781151
CAN,2030,Battery,Elec_battery,total,0.8484648349781151
CAN,2030,Battery,Elec_battery,upperLimit,240.0
CAN,2030,Hydro_reservoir,Water_in,total,2517.2429
CAN,2030,Hydro_reservoir,Water_in,upperLimit,3000.0
CAN,2040,Battery,Elec_battery,build,5.314503827573811
CAN,2040,Battery,Elec_battery,total,6.162968632476454
CAN,2040,Battery,Elec_battery,upperLimit,240.0
CAN,2040,Hydro_reservoir,Water_in,total,2517.2429
