nodesData,years,converter_techs,unitsBuild,unitsUpperLimit,noExpansion
AKL,1992,BIO,0.0055,inf,0
AKL,1997,COAL,0.112,inf,0
AKL,2003,BIO,0.007,inf,0
AKL,2005,GT,0.0036,inf,0
AKL,2020,BIO,0.0,100.0,1
AKL,2020,Battery,0.0,50.0,0
AKL,2020,CCGT,0.0,100.0,1
AKL,2020,COAL,0.0,100.0,1
AKL,2020,DIE,0.0,100.0,1
AKL,2020,Electrolyser,0.0,100.0,0
AKL,2020,GT,0.0,100.0,1
AKL,2020,H2_CCGT,0.0,100.0,0
AKL,2020,H2_FC,0.0,100.0,0
AKL,2020,H2_storage,0.0,50.0,0
AKL,2020,OCGT,0.0,100.0,1
AKL,2020,pv_central_fixed,0.0,180.66817,1
AKL,2020,pv_central_track_azimuth,0.0,180.66817,1
AKL,2020,pv_decentral,0.0,2.2025300000000003,1
AKL,2020,wind_offshore_floating,0.0,34.72203,1
AKL,2020,wind_offshore_foundation,0.0,12.56432,1
AKL,2020,wind_onshore,0.0,7.56917,1
AKL,2025,BIO,0.0,100.0,0
AKL,2025,CCGT,0.0,100.0,0
AKL,2025,COAL,0.0,100.0,0
AKL,2025,DIE,0.0,100.0,0
AKL,2025,Electrolyser,0.0,100.0,0
AKL,2025,GT,0.0,100.0,0
AKL,2025,H2_CCGT,0.0,100.0,0
AKL,2025,H2_FC,0.0,100.0,0
AKL,2025,OCGT,0.0,100.0,0
AKL,2025,pv_central_fixed,0.0,180.66817,0
AKL,2025,pv_central_track_azimuth,0.0,180.66817,0
AKL,2025,pv_decentral,0.0,2.2025300000000003,0
AKL,2025,wind_offshore_floating,0.0,34.72203,0
AKL,2025,wind_offshore_foundation,0.0,12.56432,0
AKL,2025,wind_onshore,0.0,7.56917,0
AKL,2030,BIO,0.0,100.0,0
AKL,2030,Battery,0.0,50.0,0
AKL,2030,CCGT,0.0,100.0,0
AKL,2030,COAL,0.0,100.0,0
AKL,2030,DIE,0.0,100.0,0
AKL,2030,Electrolyser,0.0,100.0,0
AKL,2030,GT,0.0,100.0,0
AKL,2030,H2_CCGT,0.0,100.0,0
AKL,2030,H2_FC,0.0,100.0,0
AKL,2030,OCGT,0.0,100.0,0
AKL,2030,pv_central_fixed,0.0,180.66817,0
AKL,2030,pv_central_track_azimuth,0.0,180.66817,0
AKL,2030,pv_decentral,0.0,2.2025300000000003,0
AKL,2030,wind_offshore_floating,0.0,34.72203,0
AKL,2030,wind_offshore_foundation,0.0,12.56432,0
AKL,2030,wind_onshore,0.0,7.56917,0
AKL,2035,BIO,0.0,100.0,0
AKL,2035,CCGT,0.0,100.0,0
AKL,2035,COAL,0.0,100.0,0
AKL,2035,DIE,0.0,100.0,0
AKL,2035,Electrolyser,0.0,100.0,0
AKL,2035,GT,0.0,100.0,0
AKL,2035,H2_CCGT,0.0,100.0,0
AKL,2035,H2_FC,0.0,100.0,0
AKL,2035,H2_storage,0.0,50.0,0
AKL,2035,OCGT,0.0,100.0,0
AKL,2035,pv_central_fixed,0.0,180.66817,0
AKL,2035,pv_central_track_azimuth,0.0,180.66817,0
AKL,2035,pv_decentral,0.0,2.2025300000000003,0
AKL,2035,wind_offshore_floating,0.0,34.72203,0
AKL,2035,wind_offshore_foundation,0.0,12.56432,0
AKL,2035,wind_onshore,0.0,7.56917,0
AKL,2040,BIO,0.0,100.0,0
AKL,2040,Battery,0.0,50.0,0
AKL,2040,CCGT,0.0,100.0,0
AKL,2040,COAL,0.0,100.0,0
AKL,2040,DIE,0.0,100.0,0
AKL,2040,Electrolyser,0.0,100.0,0
AKL,2040,GT,0.0,100.0,0
AKL,2040,H2_CCGT,0.0,100.0,0
AKL,2040,H2_FC,0.0,100.0,0
AKL,2040,OCGT,0.0,100.0,0
AKL,2040,pv_central_fixed,0.0,180.66817,0
AKL,2040,pv_central_track_azimuth,0.0,180.66817,0
AKL,2040,pv_decentral,0.0,2.2025300000000003,0
AKL,2040,wind_offshore_floating,0.0,34.72203,0
AKL,2040,wind_offshore_foundation,0.0,12.56432,0
AKL,2040,wind_onshore,0.0,7.56917,0
AKL,2045,BIO,0.0,100.0,0
AKL,2045,CCGT,0.0,100.0,0
AKL,2045,COAL,0.0,100.0,0
AKL,2045,DIE,0.0,100.0,0
AKL,2045,Electrolyser,0.0,100.0,0
AKL,2045,GT,0.0,100.0,0
AKL,2045,H2_CCGT,0.0,100.0,0
AKL,2045,H2_FC,0.0,100.0,0
AKL,2045,OCGT,0.0,100.0,0
AKL,2045,pv_central_fixed,0.0,180.66817,0
AKL,2045,pv_central_track_azimuth,0.0,180.66817,0
AKL,2045,pv_decentral,0.0,2.2025300000000003,0
AKL,2045,wind_offshore_floating,0.0,34.72203,0
AKL,2045,wind_offshore_foundation,0.0,12.56432,0
AKL,2045,wind_onshore,0.0,7.56917,0
AKL,2050,BIO,0.0,100.0,0
AKL,2050,Battery,0.0,50.0,0
AKL,2050,CCGT,0.0,100.0,0
AKL,2050,COAL,0.0,100.0,0
AKL,2050,DIE,0.0,100.0,0
AKL,2050,Electrolyser,0.0,100.0,0
