accNodesModel,accYears,indicator,value
AKL,2020,CO2_emission,335.3336818747084
AKL,2020,FuelCost,335.3336818747084
AKL,2020,Invest,32.811074583680885
AKL,2020,OMFix,2.587348528514149
AKL,2020,SlackCost,6.518872181591661e-07
AKL,2020,SystemCost,370.73210563879064
AKL,2030,CO2_emission,1.2980094545342083e-05
AKL,2030,FuelCost,1.2980094545342083e-05
AKL,2030,Invest,221.35628909506622
AKL,2030,OMFix,2.4872965152427815
AKL,2030,SlackCost,9.414688457559174e-07
AKL,2030,SystemCost,223.84359953187237
AKL,2040,Invest,141.64668254331158
AKL,2040,SystemCost,141.64668254331158
AKL,2050,CO2_emission,77.01690199737392
AKL,2050,FuelCost,77.01690199737392
AKL,2050,Invest,698.3720471089198
AKL,2050,OMFix,2.1424089886431243
AKL,2050,SlackCost,1.9879498602660313e-05
AKL,2050,SystemCost,777.5313779744354
AKL,horizon,CO2_emission,412.35059685217686
AKL,horizon,FuelCost,412.35059685217686
AKL,horizon,Invest,1094.1860933309786
AKL,horizon,OMFix,7.217054032400055
AKL,horizon,SlackCost,2.1472854666575397e-05
AKL,horizon,SystemCost,1513.7537656884099
BOP,2020,CO2_emission,0.3766156404871965
BOP,2020,FuelCost,0.3766156404871965
BOP,2020,Invest,54.03695890333364
BOP,2020,OMFix,0.20351909177271313
BOP,2020,SlackCost,0.15105321733367716
BOP,2020,SystemCost,54.768146852927224
BOP,2030,CO2_emission,1.2749003752485355e-05
BOP,2030,FuelCost,1.2749003752485355e-05
BOP,2030,Invest,87.22735409234488
BOP,2030,OMFix,0.21876894638128402
BOP,2030,SlackCost,9.40760282488614e-07
BOP,2030,SystemCost,87.44613672849022
BOP,2040,Invest,73.1921373867392
BOP,2040,SystemCost,73.1921373867392
BOP,2050,CO2_emission,14.400794400483543
BOP,2050,FuelCost,14.400794400483543
BOP,2050,Invest,193.1504202099753
BOP,2050,OMFix,0.3269688949183137
BOP,2050,SlackCost,1.9856451635928848e-05
BOP,2050,SystemCost,207.87820336182878
BOP,horizon,CO2_emission,14.77742278997449
BOP,horizon,FuelCost,14.77742278997449
BOP,horizon,Invest,407.606870592393
BOP,horizon,OMFix,0.7492569330723109
BOP,horizon,SlackCost,0.15107401454559558
BOP,horizon,SystemCost,423.28462432998543
CAN,2020,CO2_emission,1.7598996030194974e-06
CAN,2020,FuelCost,1.7598996030194974e-06
CAN,2020,Invest,14.05645692524447
CAN,2020,OMFix,2.0149413748869107
CAN,2020,SlackCost,6.804185931927802e-07
CAN,2020,SystemCost,16.07140074044958
CAN,2030,CO2_emission,6.984208804605306e-06
CAN,2030,FuelCost,6.984208804605306e-06
CAN,2030,Invest,64.20351385228354
CAN,2030,OMFix,2.7481734114399545
CAN,2030,SlackCost,9.988109134788482e-07
CAN,2030,SystemCost,66.95169524674321
CAN,2040,Invest,51.095515810518656
CAN,2040,SystemCost,51.095515810518656
CAN,2050,CO2_emission,0.0003925033315757213
CAN,2050,FuelCost,0.0003925033315757213
CAN,2050,Invest,273.8928050932196
CAN,2050,OMFix,2.9121621282993324
CAN,2050,SlackCost,1.9940572793868565e-05
CAN,2050,SystemCost,276.80537966542323
CAN,horizon,CO2_emission,0.0004012474399833461
CAN,horizon,FuelCost,0.0004012474399833461
CAN,horizon,Invest,403.2482916812662
CAN,horizon,OMFix,7.675276914626197
CAN,horizon,SlackCost,2.1619802300540193e-05
CAN,horizon,SystemCost,410.9239914631347
CEN,2020,Invest,56.80135635917335
CEN,2020,OMFix,0.644444261283773
CEN,2020,SlackCost,6.044036421149535e-07
CEN,2020,SystemCost,57.445801224860766
CEN,2030,CO2_emission,8.033261073124959e-06
CEN,2030,FuelCost,8.033261073124959e-06
CEN,2030,Invest,68.02992142372446
CEN,2030,OMFix,1.2319470661477565
CEN,2030,SlackCost,9.41280158833424e-07
CEN,2030,SystemCost,69.26187746441344
CEN,2040,Invest,26.795132537370204
CEN,2040,SystemCost,26.795132537370204
CEN,2050,CO2_emission,9.587509614558996
CEN,2050,FuelCost,9.587509614558996
CEN,2050,Invest,41.70592224209007
CEN,2050,OMFix,1.6480242632226911
CEN,2050,SlackCost,1.9853723520572493e-05
CEN,2050,SystemCost,52.94147597359528
CEN,horizon,CO2_emission,9.58751764782007
CEN,horizon,FuelCost,9.58751764782007
CEN,horizon,Invest,193.3323325623581
CEN,horizon,OMFix,3.5244155906542205
CEN,horizon,SlackCost,2.139940732152087e-05
CEN,horizon,SystemCost,206.44428720023967
HBY,2020,CO2_emission,1.8380116191415505
HBY,2020,FuelCost,1.8380116191415505
HBY,2020,Invest,14.999903739869666
HBY,2020,OMFix,0.36827659826900183
HBY,2020,SlackCost,7.136353555351704e-07
HBY,2020,SystemCost,17.206192670915573
HBY,2030,CO2_emission,0.11420733397497919
HBY,2030,FuelCost,0.11420733397497919
HBY,2030,Invest,39.49340485616082
HBY,2030,OMFix,0.3682777365845825
HBY,2030,SlackCost,9.98002429208402e-07
HBY,2030,SystemCost,39.97589092472281
HBY,2040,Invest,18.364372433560188
HBY,2040,SystemCost,18.364372433560188
HBY,2050,CO2_emission,9.973177119896906
HBY,2050,FuelCost,9.973177119896906
HBY,2050,Invest,34.892804259602094
HBY,2050,OMFix,0.6334302893864622
HBY,2050,SlackCost,1.9944818054767048e-05
HBY,2050,SystemCost,45.49943161370352
HBY,horizon,CO2_emission,11.925396073013436
HBY,horizon,FuelCost,11.925396073013436
HBY,horizon,Invest,107.75048528919277
HBY,horizon,OMFix,1.3699846242400464
HBY,horizon,SlackCost,2.165645583951062e-05
HBY,horizon,SystemCost,121.04588764290209
NEL,2020,Invest,2.232803968999327
NEL,2020,OMFix,0.2994468799720161
NEL,2020,SlackCost,0.03150952246306153
NEL,2020,SystemCost,2.563760371434405
NEL,2030,CO2_emission,7.175172610445065e-06
NEL,2030,FuelCost,7.175172610445065e-06
NEL,2030,Invest,47.28491566679196
NEL,2030,OMFix,0.29944721127298674
NEL,2030,SlackCost,9.402314570402904e-07
NEL,2030,SystemCost,47.584370993469015
NEL,2040,Invest,25.678137403326183
NEL,2040,SystemCost,25.678137403326183
NEL,2050,CO2_emission,0.014125944709214371
NEL,2050,FuelCost,0.014125944709214371
NEL,2050,Invest,106.5253374079343
NEL,2050,OMFix,0.3599923082305332
NEL,2050,SlackCost,1.984397816152335e-05
NEL,2050,SystemCost,106.89947550485222
NEL,horizon,CO2_emission,0.014133119881824816
NEL,horizon,FuelCost,0.014133119881824816
NEL,horizon,Invest,181.72119444705177
NEL,horizon,OMFix,0.958886399475536
NEL,horizon,SlackCost,0.03153030667268009
NEL,horizon,SystemCost,182.72574427308183
NIS,2020,CO2_emission,0.2234218396379744
NIS,2020,FuelCost,0.2234218396379744
NIS,2020,Invest,12.153947896507505
NIS,2020,OMFix,0.4470424992919896
NIS,2020,SlackCost,0.4250929755940675
NIS,2020,SystemCost,13.249505211031536
NIS,2030,CO2_emission,0.05582978425853339
NIS,2030,FuelCost,0.05582978425853339
NIS,2030,Invest,83.53072584477832
NIS,2030,OMFix,0.44704312108146743
NIS,2030,SlackCost,9.411388116613694e-07
NIS,2030,SystemCost,84.03359969125712
NIS,2040,Invest,70.29609074714475
NIS,2040,SystemCost,70.29609074714475
NIS,2050,CO2_emission,7.575958089080212
NIS,2050,FuelCost,7.575958089080212
NIS,2050,Invest,270.4555576509112
NIS,2050,OMFix,1.1601112326392702
NIS,2050,SlackCost,1.9845796898409027e-05
NIS,2050,SystemCost,279.19164681842756
NIS,horizon,CO2_emission,7.85520971297672
NIS,horizon,FuelCost,7.85520971297672
NIS,horizon,Invest,436.43632213934177
NIS,horizon,OMFix,2.0541968530127273
NIS,horizon,SlackCost,0.42511376252977756
NIS,horizon,SystemCost,446.77084246786103
OTG,2020,CO2_emission,1.5863779949918177e-06
OTG,2020,FuelCost,1.5863779949918177e-06
OTG,2020,Invest,16.985896413945678
OTG,2020,OMFix,0.8322374911849522
OTG,2020,SlackCost,7.078019494092539e-07
OTG,2020,SystemCost,17.818136199310572
OTG,2030,CO2_emission,6.841296439495495e-06
OTG,2030,FuelCost,6.841296439495495e-06
OTG,2030,Invest,78.18840757700204
OTG,2030,OMFix,0.8322378014994066
OTG,2030,SlackCost,9.987480262991729e-07
OTG,2030,SystemCost,79.0206532185459
OTG,2040,Invest,64.84292073378002
OTG,2040,SystemCost,64.84292073378002
OTG,2050,CO2_emission,0.00035117182675654826
OTG,2050,FuelCost,0.00035117182675654826
OTG,2050,Invest,334.41565073002573
OTG,2050,OMFix,0.7312996374290355
OTG,2050,SlackCost,1.9947319714274617e-05
OTG,2050,SystemCost,335.1473214866013
OTG,horizon,CO2_emission,0.00035959950119103556
OTG,horizon,FuelCost,0.00035959950119103556
OTG,horizon,Invest,494.43287545475346
OTG,horizon,OMFix,2.3957749301133946
OTG,horizon,SlackCost,2.1653869689983045e-05
OTG,horizon,SystemCost,496.8290316382378
TRN,2020,CO2_emission,352.9532538616482
TRN,2020,FuelCost,352.9532538616482
TRN,2020,Invest,57.46187624718244
TRN,2020,OMFix,0.40100462203122406
TRN,2020,SlackCost,5.553230445739046e-07
TRN,2020,SystemCost,410.8161352861849
TRN,2030,CO2_emission,4.7628828525459195
TRN,2030,FuelCost,4.7628828525459195
TRN,2030,Invest,60.90626582553232
TRN,2030,OMFix,0.41520807427373896
TRN,2030,SlackCost,9.407719256198302e-07
TRN,2030,SystemCost,66.0843576931239
TRN,2040,Invest,39.109736531522266
TRN,2040,SystemCost,39.109736531522266
TRN,2050,CO2_emission,0.001309297487792865
TRN,2050,FuelCost,0.001309297487792865
TRN,2050,Invest,186.4788539054202
TRN,2050,OMFix,1.0403205700032343
TRN,2050,SlackCost,1.9841910942336037e-05
TRN,2050,SystemCost,187.5205036148222
TRN,horizon,CO2_emission,357.71744601168194
TRN,horizon,FuelCost,357.71744601168194
TRN,horizon,Invest,343.95673250965723
TRN,horizon,OMFix,1.8565332663081973
TRN,horizon,SlackCost,2.133800591252977e-05
TRN,horizon,SystemCost,703.5307331256532
WEL,2020,CO2_emission,0.08625562610778034
WEL,2020,FuelCost,0.08625562610778034
WEL,2020,Invest,30.087547183910313
WEL,2020,OMFix,1.076065515835237
WEL,2020,SlackCost,5.814894559164822e-07
WEL,2020,SystemCost,31.249868907342787
WEL,2030,CO2_emission,7.402417154430805e-06
WEL,2030,FuelCost,7.402417154430805e-06
WEL,2030,Invest,161.7477362682565
WEL,2030,OMFix,2.204973848642836
WEL,2030,SlackCost,9.403169489064342e-07
WEL,2030,SystemCost,163.95271845963342
WEL,2040,Invest,123.86896452432069
WEL,2040,SystemCost,123.86896452432069
WEL,2050,CO2_emission,8.07601171715703
WEL,2050,FuelCost,8.07601171715703
WEL,2050,Invest,282.3179793143705
WEL,2050,OMFix,2.3773701285812683
WEL,2050,SlackCost,1.9861027350078513e-05
WEL,2050,SystemCost,292.77138102113616
WEL,horizon,CO2_emission,8.162274745681964
WEL,horizon,FuelCost,8.162274745681964
WEL,horizon,Invest,598.022227290858
WEL,horizon,OMFix,5.658409493059342
WEL,horizon,SlackCost,2.138283375490143e-05
WEL,horizon,SystemCost,611.842932912433
WTO,2020,CO2_emission,1040.0950028018528
WTO,2020,FuelCost,1040.0950028018528
WTO,2020,Invest,305.3662660479584
WTO,2020,OMFix,2.306484745956492
WTO,2020,SlackCost,6.737575029129102e-07
WTO,2020,SystemCost,1347.7677542695253
WTO,2030,CO2_emission,14.986262209075647
WTO,2030,FuelCost,14.986262209075647
WTO,2030,Invest,282.24523643477266
WTO,2030,OMFix,2.399304545773855
WTO,2030,SlackCost,1.0020072764843504e-06
WTO,2030,SystemCost,299.63080419162947
WTO,2040,Invest,250.03216790110014
WTO,2040,SystemCost,250.03216790110014
WTO,2050,CO2_emission,0.0009372262300207915
WTO,2050,FuelCost,0.0009372262300207915
WTO,2050,Invest,262.6708326552137
WTO,2050,OMFix,1.9008999382583462
WTO,2050,SlackCost,1.9940929610921283e-05
WTO,2050,SystemCost,264.5726897606317
WTO,horizon,CO2_emission,1055.0822022371585
WTO,horizon,FuelCost,1055.0822022371585
WTO,horizon,Invest,1100.314503039045
WTO,horizon,OMFix,6.606689229988693
WTO,horizon,SlackCost,2.1616694390318545e-05
WTO,horizon,SystemCost,2162.003416122887
global,2020,CO2_emission,1730.9062466098617
global,2020,FuelCost,1730.9062466098617
global,2020,Invest,596.9940882698056
global,2020,OMFix,11.180811608998459
global,2020,SlackCost,0.6076608841075679
global,2020,SystemCost,2339.6888073727728
global,2030,CO2_emission,19.91924434530946
global,2030,FuelCost,19.91924434530946
global,2030,Invest,1194.213770936714
global,2030,OMFix,13.652678278340648
global,2030,SlackCost,1.0583537075776654e-05
global,2030,SystemCost,1227.785704143901
global,2040,Invest,884.9218585526938
global,2040,SystemCost,884.9218585526938
global,2050,CO2_emission,126.64746908213598
global,2050,FuelCost,126.64746908213598
global,2050,Invest,2684.8782105776827
global,2050,OMFix,15.232988379611614
global,2050,SlackCost,0.00021875602728534007
global,2050,SystemCost,2826.7588867954573
global,horizon,CO2_emission,1877.472960037307
global,horizon,FuelCost,1877.472960037307
global,horizon,Invest,5361.007928336897
global,horizon,OMFix,40.06647826695072
global,horizon,SlackCost,0.6078902236719288
global,horizon,SystemCost,7279.155256864826
