indicator,accNodesData,converter_techs,vintage,perUnitBuild,amorTime,useAnnuity,interest
Invest,global,BIO,1950,2600.0,30,1,0.06
Invest,global,BIO,2030,2300.0,30,1,0.06
Invest,global,Battery,2020,117.0,20,1,0.06
Invest,global,Battery,2030,55.0,20,1,0.06
Invest,global,Battery,2040,37.0,20,1,0.06
Invest,global,Battery,2050,30.0,20,1,0.06
Invest,global,CCGT,1950,775.0,30,1,0.06
Invest,global,CCGT,2030,775.0,30,1,0.06
Invest,global,COAL,1950,1600.0,30,1,0.06
Invest,global,COAL,2030,1600.0,30,1,0.06
Invest,global,DIE,1950,900.0,30,1,0.06
Invest,global,DIE,2030,830.0,30,1,0.06
Invest,global,Electrolyser,2020,750.0,25,1,0.06
Invest,global,Electrolyser,2030,570.0,30,1,0.06
Invest,global,Electrolyser,2040,450.0,32,1,0.06
Invest,global,Electrolyser,2050,350.0,35,1,0.06
Invest,global,GT,1950,900.0,30,1,0.06
Invest,global,GT,2030,830.0,30,1,0.06
Invest,global,H2_CCGT,2030,100.0,35,1,0.06
Invest,global,H2_CCGT,2035,100.0,35,1,0.06
Invest,global,H2_CCGT,2040,100.0,35,1,0.06
Invest,global,H2_CCGT,2045,100.0,35,1,0.06
Invest,global,H2_CCGT,2050,100.0,35,1,0.06
Invest,global,H2_FC,2020,100.0,35,1,0.06
Invest,global,H2_FC,2025,100.0,35,1,0.06
Invest,global,H2_FC,2030,100.0,35,1,0.06
Invest,global,H2_FC,2035,100.0,35,1,0.06
Invest,global,H2_FC,2040,100.0,35,1,0.06
Invest,global,H2_FC,2045,100.0,35,1,0.06
Invest,global,H2_FC,2050,100.0,35,1,0.06
Invest,global,H2_storage,2020,5.14,40,1,0.06
Invest,global,H2_storage,2035,5.14,40,1,0.06
Invest,global,H2_storage,2050,5.14,40,1,0.06
Invest,global,Hydro,1950,2560.0,20,1,0.06
Invest,global,OCGT,1950,475.0,30,1,0.06
Invest,global,OCGT,2030,475.0,30,1,0.06
Invest,global,geoth,1950,4970.0,100,1,0.06
Invest,global,pv_central_fixed,1950,560.0,35,1,0.06
Invest,global,pv_central_fixed,2030,380.0,40,1,0.06
Invest,global,pv_central_fixed,2040,320.0,40,1,0.06
Invest,global,pv_central_fixed,2050,290.0,40,1,0.06
Invest,global,pv_central_track_azimuth,1950,650.0,35,1,0.06
Invest,global,pv_central_track_azimuth,2030,450.0,40,1,0.06
Invest,global,pv_central_track_azimuth,2040,380.0,40,1,0.06
Invest,global,pv_central_track_azimuth,2050,350.0,40,1,0.06
