accNodesModel,accYears,techs,commodity,capType,value
AKL,2040,Wind,Elec,total,0.1786556533097744
AKL,2050,Battery,Elec,total,0.12201593377153322
AKL,2050,Wind,Elec,total,0.3462332408600599
BOP,2030,PV,Elec,total,0.10588680377714126
BOP,2040,PV,Elec,total,0.10590037669195651
BOP,2050,PV,Elec,total,0.10590206482321145
CAN,2030,PV,Elec,total,0.22221099510983627
CAN,2040,Battery,Elec,total,0.6781801703686408
CAN,2040,PV,Elec,total,1.628165553392395
CAN,2050,Battery,Elec,total,1.243639953588726
CAN,2050,PV,Elec,total,2.746195683352829
NIS,2030,Battery,Elec,total,0.335871713722751
NIS,2030,PV,Elec,total,0.7490045307738513
NIS,2040,Battery,Elec,total,1.2637698899924854
NIS,2040,PV,Elec,total,2.8658866496795317
NIS,2040,Wind,Elec,total,0.28370445921331466
NIS,2050,Battery,Elec,total,2.2886937689807114
NIS,2050,PV,Elec,total,4.480501088267507
NIS,2050,Wind,Elec,total,0.28370706480814734
OTG,2030,Battery,Elec,total,0.11065247682660874
OTG,2030,PV,Elec,total,0.2633346339724746
OTG,2040,Battery,Elec,total,0.267168317798284
OTG,2040,PV,Elec,total,0.780855784934336
OTG,2050,Battery,Elec,total,0.4993203139835367
OTG,2050,PV,Elec,total,0.9069786328391147
TRN,2030,PV,Elec,total,0.24748628994414495
TRN,2040,Battery,Elec,total,0.5466207178479517
TRN,2040,PV,Elec,total,1.5809158871995717
TRN,2050,Battery,Elec,total,0.7460620565470055
TRN,2050,PV,Elec,total,2.0459693187432673
WTO,2040,PV,Elec,total,0.25256037676656307
WTO,2050,PV,Elec,total,0.37716707204633215
global,2030,Battery,Elec,total,0.686295093336284
global,2030,PV,Elec,total,1.6282899639392057
global,2030,Wind,Elec,total,0.1449819792925991
global,2040,Battery,Elec,total,2.9472074915276165
global,2040,PV,Elec,total,7.299347116985536
global,2040,Wind,Elec,total,0.5063151184175768
global,2050,Battery,Elec,total,5.165157828211844
global,2050,PV,Elec,total,10.747782253734629
global,2050,Wind,Elec,total,0.6738974102459824
