accNodesModel,accYears,techs,commodity,capType,value
AKL,2030,Battery,Elec,total,0.011514493211423478
AKL,2030,PV,Elec,total,1.6274618237272966e-06
AKL,2030,Wind,Elec,total,0.03859712007363747
AKL,2040,Battery,Elec,total,0.06641502010478552
AKL,2040,PV,Elec,total,3.4104081131857574e-06
AKL,2040,Wind,Elec,total,0.17865575879198597
AKL,2050,Battery,Elec,total,0.12201593377153322
AKL,2050,PV,Elec,total,5.009772963772877e-06
AKL,2050,Wind,Elec,total,0.34623340235868716
BOP,2030,Battery,Elec,total,0.03490042876164747
BOP,2030,PV,Elec,total,0.10589261309161031
BOP,2030,Wind,Elec,total,2.5056583922529353e-06
BOP,2040,Battery,Elec,total,0.039190577335132246
BOP,2040,PV,Elec,total,0.10590782980601081
BOP,2040,Wind,Elec,total,0.02099313320335387
BOP,2050,Battery,Elec,total,0.09296804626266163
BOP,2050,PV,Elec,total,0.10591021078153716
BOP,2050,Wind,Elec,total,0.02099437240972315
CAN,2030,Battery,Elec,total,0.0950429532231146
CAN,2030,PV,Elec,total,0.22221181506481327
CAN,2030,Wind,Elec,total,1.0442492547517792e-07
CAN,2040,Battery,Elec,total,0.6781801703686408
CAN,2040,PV,Elec,total,1.6281672476307487
CAN,2040,Wind,Elec,total,1.9319168957962185e-07
CAN,2050,Battery,Elec,total,1.243639953588726
CAN,2050,PV,Elec,total,2.7461981275364495
CAN,2050,Wind,Elec,total,2.7319146329316487e-07
CEN,2030,Battery,Elec,total,0.00022895863192492853
CEN,2030,PV,Elec,total,6.467758275031115e-07
CEN,2030,Wind,Elec,total,1.2708486533005498e-07
CEN,2040,Battery,Elec,total,0.0002555940048865349
CEN,2040,PV,Elec,total,1.339706554369626e-06
CEN,2040,Wind,Elec,total,2.671685413526995e-07
CEN,2050,Battery,Elec,total,0.0003079248823435205
CEN,2050,PV,Elec,total,2.0045616462403475e-06
CEN,2050,Wind,Elec,total,3.931057383577029e-07
HBY,2030,Battery,Elec,total,0.0007907858984756903
HBY,2030,PV,Elec,total,4.6075099863376695e-07
HBY,2030,Wind,Elec,total,3.454768447879825e-07
HBY,2040,Battery,Elec,total,0.010150967713696165
HBY,2040,PV,Elec,total,8.988281121256862e-07
HBY,2040,Wind,Elec,total,8.141459959315969e-07
HBY,2050,Battery,Elec,total,0.024893617645880252
HBY,2050,PV,Elec,total,1.2767830980021713e-06
HBY,2050,Wind,Elec,total,1.1736759579448771e-06
NEL,2030,Battery,Elec,total,0.011411689937171005
NEL,2030,PV,Elec,total,0.0403432051639492
NEL,2030,Wind,Elec,total,1.4306657216864927e-07
NEL,2040,Battery,Elec,total,0.017753048395093975
NEL,2040,PV,Elec,total,0.08506071792806319
NEL,2040,Wind,Elec,total,2.8024573331530205e-07
NEL,2050,Battery,Elec,total,0.03892069897094069
NEL,2050,PV,Elec,total,0.08506554700406958
NEL,2050,Wind,Elec,total,3.9129033736087554e-07
NIS,2030,Battery,Elec,total,0.335871713722751
NIS,2030,PV,Elec,total,0.749006063593671
NIS,2030,Wind,Elec,total,0.09271875241509263
NIS,2040,Battery,Elec,total,1.2637698899924854
NIS,2040,PV,Elec,total,2.8658895431075684
NIS,2040,Wind,Elec,total,0.2837045724240618
NIS,2050,Battery,Elec,total,2.2886937689807114
NIS,2050,PV,Elec,total,4.480505001563151
NIS,2050,Wind,Elec,total,0.2837072337218546
OTG,2030,Battery,Elec,total,0.11065247682660874
OTG,2030,PV,Elec,total,0.26333544154884103
OTG,2030,Wind,Elec,total,6.091303230112652e-07
OTG,2040,Battery,Elec,total,0.267168317798284
OTG,2040,PV,Elec,total,0.780857480104405
OTG,2040,Wind,Elec,total,9.607826593504659e-07
OTG,2050,Battery,Elec,total,0.4993203139835367
OTG,2050,PV,Elec,total,0.9069811395854291
OTG,2050,Wind,Elec,total,1.1981601788570427e-06
TRN,2030,Battery,Elec,total,0.08587089104569337
TRN,2030,PV,Elec,total,0.2474876357290329
TRN,2030,Wind,Elec,total,6.457171130019408e-07
TRN,2040,Battery,Elec,total,0.5466207178479517
TRN,2040,PV,Elec,total,1.5809184621979502
TRN,2040,Wind,Elec,total,1.257591769665799e-06
TRN,2050,Battery,Elec,total,0.7460620565470055
TRN,2050,PV,Elec,total,2.045972810739926
TRN,2050,Wind,Elec,total,1.5634922095891357e-06
WEL,2030,Battery,Elec,total,1.065094263934419e-06
WEL,2030,PV,Elec,total,7.072806975326326e-07
WEL,2030,Wind,Elec,total,0.013662772879611894
WEL,2040,Battery,Elec,total,3.066789449597757e-06
WEL,2040,PV,Elec,total,1.2293179001245473e-06
WEL,2040,Wind,Elec,total,0.022960101293495985
WEL,2050,Battery,Elec,total,0.016918556680306257
WEL,2050,PV,Elec,total,1.7155039148429608e-06
WEL,2050,Wind,Elec,total,0.022960463267906527
WTO,2030,Battery,Elec,total,9.636983209849651e-06
WTO,2030,PV,Elec,total,2.3954560531408664e-05
WTO,2030,Wind,Elec,total,1.1116154890075731e-07
WTO,2040,Battery,Elec,total,0.057700121177210864
WTO,2040,PV,Elec,total,0.2525627789889917
WTO,2040,Wind,Elec,total,2.3717935894022434e-07
WTO,2050,Battery,Elec,total,0.09141695689819782
WTO,2050,PV,Elec,total,0.377170349935464
WTO,2050,Wind,Elec,total,3.6594962401959714e-07
global,2030,Battery,Elec,total,0.686295093336284
global,2030,PV,Elec,total,1.6283041710217965
global,2030,Wind,Elec,total,0.14498323708892688
global,2040,Battery,Elec,total,2.9472074915276165
global,2040,PV,Elec,total,7.2993709380244205
global,2040,Wind,Elec,total,0.5063175760186457
global,2050,Battery,Elec,total,5.165157828211844
global,2050,PV,Elec,total,10.747813193767646
global,2050,Wind,Elec,total,0.673900830623681
