indicator,accNodesData,converter_techs,vintage,activity,perActivity
CO2_emission,global,BIO,2000,Powergen,0.49170240000000004
CO2_emission,global,BIO,2030,Powergen,0.4689216
CO2_emission,global,COAL,2000,Powergen,0.3475584
CO2_emission,global,COAL,2030,Powergen,0.3304224
CO2_emission,global,DIE,2000,Powergen,0.49170240000000004
CO2_emission,global,DIE,2030,Powergen,0.4689216
FuelCost,global,BIO,2000,Powergen,0.49170240000000004
FuelCost,global,BIO,2030,Powergen,0.4689216
FuelCost,global,COAL,2000,Powergen,0.3475584
FuelCost,global,COAL,2030,Powergen,0.3304224
FuelCost,global,DIE,2000,Powergen,0.49170240000000004
FuelCost,global,DIE,2030,Powergen,0.4689216
