nodesData,years,converter_techs,unitsUpperLimit
AKL,2020,Battery,50.0
AKL,2020,pv_central_fixed,180.66817
AKL,2020,pv_central_track_azimuth,180.66817
AKL,2020,pv_decentral,2.2025300000000003
AKL,2020,wind_offshore_floating,34.72203
AKL,2020,wind_offshore_foundation,12.56432
AKL,2020,wind_onshore,7.56917
AKL,2025,Battery,50.0
AKL,2025,pv_central_fixed,180.66817
AKL,2025,pv_central_track_azimuth,180.66817
AKL,2025,pv_decentral,2.2025300000000003
AKL,2025,wind_offshore_floating,34.72203
AKL,2025,wind_offshore_foundation,12.56432
AKL,2025,wind_onshore,7.56917
AKL,2030,Battery,50.0
AKL,2030,pv_central_fixed,180.66817
AKL,2030,pv_central_track_azimuth,180.66817
AKL,2030,pv_decentral,2.2025300000000003
AKL,2030,wind_offshore_floating,34.72203
AKL,2030,wind_offshore_foundation,12.56432
AKL,2030,wind_onshore,7.56917
AKL,2035,Battery,50.0
AKL,2035,pv_central_fixed,180.66817
AKL,2035,pv_central_track_azimuth,180.66817
AKL,2035,pv_decentral,2.2025300000000003
AKL,2035,wind_offshore_floating,34.72203
AKL,2035,wind_offshore_foundation,12.56432
AKL,2035,wind_onshore,7.56917
AKL,2040,Battery,50.0
AKL,2040,pv_central_fixed,180.66817
AKL,2040,pv_central_track_azimuth,180.66817
AKL,2040,pv_decentral,2.2025300000000003
AKL,2040,wind_offshore_floating,34.72203
AKL,2040,wind_offshore_foundation,12.56432
AKL,2040,wind_onshore,7.56917
AKL,2045,Battery,50.0
AKL,2045,pv_central_fixed,180.66817
AKL,2045,pv_central_track_azimuth,180.66817
AKL,2045,pv_decentral,2.2025300000000003
AKL,2045,wind_offshore_floating,34.72203
AKL,2045,wind_offshore_foundation,12.56432
AKL,2045,wind_onshore,7.56917
AKL,2050,Battery,50.0
AKL,2050,pv_central_fixed,180.66817
AKL,2050,pv_central_track_azimuth,180.66817
AKL,2050,pv_decentral,2.2025300000000003
AKL,2050,wind_offshore_floating,34.72203
AKL,2050,wind_offshore_foundation,12.56432
AKL,2050,wind_onshore,7.56917
BOP,2020,Battery,50.0
BOP,2020,pv_central_fixed,237.96793
BOP,2020,pv_central_track_azimuth,237.94020999999998
BOP,2020,pv_decentral,0.56348
BOP,2020,wind_offshore_floating,21.897479999999998
BOP,2020,wind_offshore_foundation,5.5911800000000005
BOP,2020,wind_onshore,11.39598
BOP,2025,Battery,50.0
BOP,2025,pv_central_fixed,237.96793
BOP,2025,pv_central_track_azimuth,237.94020999999998
BOP,2025,pv_decentral,0.56348
BOP,2025,wind_offshore_floating,21.897479999999998
BOP,2025,wind_offshore_foundation,5.5911800000000005
BOP,2025,wind_onshore,11.39598
BOP,2030,Battery,50.0
BOP,2030,pv_central_fixed,237.96793
BOP,2030,pv_central_track_azimuth,237.94020999999998
BOP,2030,pv_decentral,0.56348
BOP,2030,wind_offshore_floating,21.897479999999998
BOP,2030,wind_offshore_foundation,5.5911800000000005
BOP,2030,wind_onshore,11.39598
BOP,2035,Battery,50.0
BOP,2035,pv_central_fixed,237.96793
BOP,2035,pv_central_track_azimuth,237.94020999999998
BOP,2035,pv_decentral,0.56348
BOP,2035,wind_offshore_floating,21.897479999999998
BOP,2035,wind_offshore_foundation,5.5911800000000005
BOP,2035,wind_onshore,11.39598
BOP,2040,Battery,50.0
BOP,2040,pv_central_fixed,237.96793
BOP,2040,pv_central_track_azimuth,237.94020999999998
BOP,2040,pv_decentral,0.56348
BOP,2040,wind_offshore_floating,21.897479999999998
BOP,2040,wind_offshore_foundation,5.5911800000000005
BOP,2040,wind_onshore,11.39598
BOP,2045,Battery,50.0
BOP,2045,pv_central_fixed,237.96793
BOP,2045,pv_central_track_azimuth,237.94020999999998
BOP,2045,pv_decentral,0.56348
BOP,2045,wind_offshore_floating,21.897479999999998
BOP,2045,wind_offshore_foundation,5.5911800000000005
BOP,2045,wind_onshore,11.39598
BOP,2050,Battery,50.0
BOP,2050,pv_central_fixed,237.96793
BOP,2050,pv_central_track_azimuth,237.94020999999998
BOP,2050,pv_decentral,0.56348
BOP,2050,wind_offshore_floating,21.897479999999998
BOP,2050,wind_offshore_foundation,5.5911800000000005
BOP,2050,wind_onshore,11.39598
CAN,2020,Battery,50.0
CAN,2020,pv_central_fixed,1084.1251499999998
CAN,2020,pv_central_track_azimuth,1074.11219
CAN,2020,pv_decentral,1.19204
CAN,2020,wind_offshore_floating,67.81437
CAN,2020,wind_offshore_foundation,25.37745
CAN,2020,wind_onshore,32.23317
CAN,2025,Battery,50.0
CAN,2025,pv_central_fixed,1084.1251499999998
CAN,2025,pv_central_track_azimuth,1074.11219
CAN,2025,pv_decentral,1.19204
CAN,2025,wind_offshore_floating,67.81437
CAN,2025,wind_offshore_foundation,25.37745
CAN,2025,wind_onshore,32.23317
CAN,2030,Battery,50.0
CAN,2030,pv_central_fixed,1084.1251499999998
CAN,2030,pv_central_track_azimuth,1074.11219
CAN,2030,pv_decentral,1.19204
CAN,2030,wind_offshore_floating,67.81437
CAN,2030,wind_offshore_foundation,25.37745
CAN,2030,wind_onshore,32.23317
CAN,2035,Battery,50.0
CAN,2035,pv_central_fixed,1084.1251499999998
CAN,2035,pv_central_track_azimuth,1074.11219
CAN,2035,pv_decentral,1.19204
CAN,2035,wind_offshore_floating,67.81437
CAN,2035,wind_offshore_foundation,25.37745
CAN,2035,wind_onshore,32.23317
CAN,2040,Battery,50.0
CAN,2040,pv_central_fixed,1084.1251499999998
CAN,2040,pv_central_track_azimuth,1074.11219
CAN,2040,pv_decentral,1.19204
CAN,2040,wind_offshore_floating,67.81437
CAN,2040,wind_offshore_foundation,25.37745
CAN,2040,wind_onshore,32.23317
CAN,2045,Battery,50.0
CAN,2045,pv_central_fixed,1084.1251499999998
CAN,2045,pv_central_track_azimuth,1074.11219
CAN,2045,pv_decentral,1.19204
CAN,2045,wind_offshore_floating,67.81437
CAN,2045,wind_offshore_foundation,25.37745
CAN,2045,wind_onshore,32.23317
CAN,2050,Battery,50.0
CAN,2050,pv_central_fixed,1084.1251499999998
CAN,2050,pv_central_track_azimuth,1074.11219
CAN,2050,pv_decentral,1.19204
CAN,2050,wind_offshore_floating,67.81437
CAN,2050,wind_offshore_foundation,25.37745
CAN,2050,wind_onshore,32.23317
CEN,2020,Battery,50.0
CEN,2020,pv_central_fixed,496.94086
CEN,2020,pv_central_track_azimuth,496.94086
CEN,2020,pv_decentral,0.51601
CEN,2020,wind_offshore_floating,6.4615100000000005
CEN,2020,wind_offshore_foundation,2.03837
CEN,2020,wind_onshore,16.594099999999997
CEN,2025,Battery,50.0
CEN,2025,pv_central_fixed,496.94086
CEN,2025,pv_central_track_azimuth,496.94086
CEN,2025,pv_decentral,0.51601
CEN,2025,wind_offshore_floating,6.4615100000000005
CEN,2025,wind_offshore_foundation,2.03837
CEN,2025,wind_onshore,16.594099999999997
CEN,2030,Battery,50.0
CEN,2030,pv_central_fixed,496.94086
CEN,2030,pv_central_track_azimuth,496.94086
CEN,2030,pv_decentral,0.51601
CEN,2030,wind_offshore_floating,6.4615100000000005
CEN,2030,wind_offshore_foundation,2.03837
CEN,2030,wind_onshore,16.594099999999997
CEN,2035,Battery,50.0
CEN,2035,pv_central_fixed,496.94086
CEN,2035,pv_central_track_azimuth,496.94086
CEN,2035,pv_decentral,0.51601
CEN,2035,wind_offshore_floating,6.4615100000000005
CEN,2035,wind_offshore_foundation,2.03837
CEN,2035,wind_onshore,16.594099999999997
CEN,2040,Battery,50.0
CEN,2040,pv_central_fixed,496.94086
CEN,2040,pv_central_track_azimuth,496.94086
CEN,2040,pv_decentral,0.51601
CEN,2040,wind_offshore_floating,6.4615100000000005
CEN,2040,wind_offshore_foundation,2.03837
CEN,2040,wind_onshore,16.594099999999997
CEN,2045,Battery,50.0
CEN,2045,pv_central_fixed,496.94086
CEN,2045,pv_central_track_azimuth,496.94086
CEN,2045,pv_decentral,0.51601
CEN,2045,wind_offshore_floating,6.4615100000000005
CEN,2045,wind_offshore_foundation,2.03837
CEN,2045,wind_onshore,16.594099999999997
CEN,2050,Battery,50.0
CEN,2050,pv_central_fixed,496.94086
CEN,2050,pv_central_track_azimuth,496.94086
CEN,2050,pv_decentral,0.51601
CEN,2050,wind_offshore_floating,6.4615100000000005
CEN,2050,wind_offshore_foundation,2.03837
CEN,2050,wind_onshore,16.594099999999997
HBY,2020,Battery,50.0
HBY,2020,pv_central_fixed,259.19598
HBY,2020,pv_central_track_azimuth,259.19598
HBY,2020,pv_decentral,0.26427
HBY,2020,wind_offshore_floating,15.6443
HBY,2020,wind_offshore_foundation,5.5832
HBY,2020,wind_onshore,10.3033
HBY,2025,Battery,50.0
HBY,2025,pv_central_fixed,259.19598
HBY,2025,pv_central_track_azimuth,259.19598
HBY,2025,pv_decentral,0.26427
HBY,2025,wind_offshore_floating,15.6443
HBY,2025,wind_offshore_foundation,5.5832
HBY,2025,wind_onshore,10.3033
HBY,2030,Battery,50.0
HBY,2030,pv_central_fixed,259.19598
HBY,2030,pv_central_track_azimuth,259.19598
HBY,2030,pv_decentral,0.26427
HBY,2030,wind_offshore_floating,15.6443
HBY,2030,wind_offshore_foundation,5.5832
HBY,2030,wind_onshore,10.3033
HBY,2035,Battery,50.0
HBY,2035,pv_central_fixed,259.19598
HBY,2035,pv_central_track_azimuth,259.19598
HBY,2035,pv_decentral,0.26427
HBY,2035,wind_offshore_floating,15.6443
HBY,2035,wind_offshore_foundation,5.5832
HBY,2035,wind_onshore,10.3033
HBY,2040,Battery,50.0
HBY,2040,pv_central_fixed,259.19598
HBY,2040,pv_central_track_azimuth,259.19598
HBY,2040,pv_decentral,0.26427
HBY,2040,wind_offshore_floating,15.6443
HBY,2040,wind_offshore_foundation,5.5832
HBY,2040,wind_onshore,10.3033
HBY,2045,Battery,50.0
HBY,2045,pv_central_fixed,259.19598
HBY,2045,pv_central_track_azimuth,259.19598
HBY,2045,pv_decentral,0.26427
HBY,2045,wind_offshore_floating,15.6443
HBY,2045,wind_offshore_foundation,5.5832
HBY,2045,wind_onshore,10.3033
HBY,2050,Battery,50.0
HBY,2050,pv_central_fixed,259.19598
