nodesData,years,converter_techs,unitsBuild,unitsUpperLimit
AKL,1990,CCGT,0.0,100.0
AKL,1990,GT,0.0,100.0
AKL,1990,OCGT,0.0,100.0
AKL,1991,CCGT,0.0,100.0
AKL,1991,GT,0.0,100.0
AKL,1991,OCGT,0.0,100.0
AKL,1992,BIO,0.0055,100.0
AKL,1992,CCGT,0.0,100.0
AKL,1992,COAL,0.0,100.0
AKL,1992,DIE,0.0,100.0
AKL,1992,GT,0.0,100.0
AKL,1992,OCGT,0.0,100.0
AKL,1993,BIO,0.0,100.0
AKL,1993,CCGT,0.0,100.0
AKL,1993,COAL,0.0,100.0
AKL,1993,DIE,0.0,100.0
AKL,1993,GT,0.0,100.0
AKL,1993,OCGT,0.0,100.0
AKL,1994,BIO,0.0,100.0
AKL,1994,CCGT,0.0,100.0
AKL,1994,COAL,0.0,100.0
AKL,1994,DIE,0.0,100.0
AKL,1994,GT,0.0,100.0
AKL,1994,OCGT,0.0,100.0
AKL,1995,BIO,0.0,100.0
AKL,1995,CCGT,0.0,100.0
AKL,1995,COAL,0.0,100.0
AKL,1995,DIE,0.0,100.0
AKL,1995,GT,0.0,100.0
AKL,1995,OCGT,0.0,100.0
AKL,1996,BIO,0.0,100.0
AKL,1996,CCGT,0.0,100.0
AKL,1996,COAL,0.0,100.0
AKL,1996,DIE,0.0,100.0
AKL,1996,GT,0.0,100.0
AKL,1996,OCGT,0.0,100.0
AKL,1997,BIO,0.0,100.0
AKL,1997,CCGT,0.0,100.0
AKL,1997,COAL,0.112,100.0
AKL,1997,DIE,0.0,100.0
AKL,1997,GT,0.0,100.0
AKL,1997,OCGT,0.0,100.0
AKL,1998,BIO,0.0,100.0
AKL,1998,CCGT,0.0,100.0
AKL,1998,COAL,0.0,100.0
AKL,1998,DIE,0.0,100.0
AKL,1998,GT,0.0,100.0
AKL,1998,OCGT,0.0,100.0
AKL,1999,BIO,0.0,100.0
AKL,1999,CCGT,0.0,100.0
AKL,1999,COAL,0.0,100.0
AKL,1999,DIE,0.0,100.0
AKL,1999,GT,0.0,100.0
AKL,1999,OCGT,0.0,100.0
AKL,2000,BIO,0.0,100.0
AKL,2000,CCGT,0.0,100.0
AKL,2000,COAL,0.0,100.0
AKL,2000,DIE,0.0,100.0
AKL,2000,GT,0.0,100.0
AKL,2000,OCGT,0.0,100.0
AKL,2001,BIO,0.0,100.0
AKL,2001,CCGT,0.0,100.0
AKL,2001,COAL,0.0,100.0
AKL,2001,DIE,0.0,100.0
AKL,2001,GT,0.0,100.0
AKL,2001,OCGT,0.0,100.0
AKL,2002,BIO,0.0,100.0
AKL,2002,CCGT,0.0,100.0
AKL,2002,COAL,0.0,100.0
AKL,2002,DIE,0.0,100.0
AKL,2002,GT,0.0,100.0
AKL,2002,OCGT,0.0,100.0
AKL,2003,BIO,0.007,100.0
AKL,2003,CCGT,0.0,100.0
AKL,2003,COAL,0.0,100.0
AKL,2003,DIE,0.0,100.0
AKL,2003,GT,0.0,100.0
AKL,2003,OCGT,0.0,100.0
AKL,2004,BIO,0.0,100.0
AKL,2004,CCGT,0.0,100.0
AKL,2004,COAL,0.0,100.0
AKL,2004,DIE,0.0,100.0
AKL,2004,GT,0.0,100.0
AKL,2004,OCGT,0.0,100.0
AKL,2005,BIO,0.0,100.0
AKL,2005,CCGT,0.0,100.0
AKL,2005,COAL,0.0,100.0
AKL,2005,DIE,0.0,100.0
AKL,2005,GT,0.0036,100.0
AKL,2005,OCGT,0.0,100.0
AKL,2006,BIO,0.0,100.0
AKL,2006,CCGT,0.0,100.0
AKL,2006,COAL,0.0,100.0
AKL,2006,DIE,0.0,100.0
AKL,2006,GT,0.0,100.0
AKL,2006,OCGT,0.0,100.0
AKL,2007,BIO,0.0,100.0
AKL,2007,CCGT,0.0,100.0
AKL,2007,COAL,0.0,100.0
AKL,2007,DIE,0.0,100.0
AKL,2007,GT,0.0,100.0
AKL,2007,OCGT,0.0,100.0
AKL,2008,BIO,0.0,100.0
AKL,2008,CCGT,0.0,100.0
AKL,2008,COAL,0.0,100.0
AKL,2008,DIE,0.0,100.0
AKL,2008,GT,0.0,100.0
AKL,2008,OCGT,0.0,100.0
AKL,2009,BIO,0.0,100.0
AKL,2009,CCGT,0.0,100.0
AKL,2009,COAL,0.0,100.0
AKL,2009,DIE,0.0,100.0
AKL,2009,GT,0.0,100.0
AKL,2009,OCGT,0.0,100.0
AKL,2010,BIO,0.0,100.0
AKL,2010,CCGT,0.0,100.0
AKL,2010,COAL,0.0,100.0
AKL,2010,DIE,0.0,100.0
AKL,2010,GT,0.0,100.0
AKL,2010,OCGT,0.0,100.0
AKL,2011,BIO,0.0,100.0
AKL,2011,CCGT,0.0,100.0
AKL,2011,COAL,0.0,100.0
AKL,2011,DIE,0.0,100.0
AKL,2011,GT,0.0,100.0
AKL,2011,OCGT,0.0,100.0
AKL,2012,BIO,0.0,100.0
AKL,2012,CCGT,0.0,100.0
AKL,2012,COAL,0.0,100.0
AKL,2012,DIE,0.0,100.0
AKL,2012,GT,0.0,100.0
AKL,2012,OCGT,0.0,100.0
AKL,2013,BIO,0.0,100.0
AKL,2013,CCGT,0.0,100.0
AKL,2013,COAL,0.0,100.0
AKL,2013,DIE,0.0,100.0
AKL,2013,GT,0.0,100.0
AKL,2013,OCGT,0.0,100.0
AKL,2014,BIO,0.0,100.0
