nodesData,years,sourcesink_techs,commodity,usesFixedProfile,usesLowerProfile,usesUpperProfile,usesUpperSum
AKL,2020,Ocean,Water_out,0,0,1,0
AKL,2020,Slack,Elec,0,1,0,1
AKL,2020,Wholesale,Elec,1,0,0,0
AKL,2030,Slack,Elec,0,1,0,1
AKL,2030,Wholesale,Elec,1,0,0,0
AKL,2040,Slack,Elec,0,1,0,1
AKL,2040,Wholesale,Elec,1,0,0,0
AKL,2050,Slack,Elec,0,1,0,1
AKL,2050,Wholesale,Elec,1,0,0,0
BOP,2020,Inflow,Water_in,1,0,0,0
BOP,2020,Ocean,Water_out,0,0,1,0
BOP,2020,Slack,Elec,0,1,0,1
BOP,2020,Wholesale,Elec,1,0,0,0
BOP,2030,Slack,Elec,0,1,0,1
BOP,2030,Wholesale,Elec,1,0,0,0
BOP,2040,Slack,Elec,0,1,0,1
BOP,2040,Wholesale,Elec,1,0,0,0
BOP,2050,Slack,Elec,0,1,0,1
BOP,2050,Wholesale,Elec,1,0,0,0
CAN,2020,Inflow,Water_in,1,0,0,0
CAN,2020,Ocean,Water_out,0,0,1,0
CAN,2020,Slack,Elec,0,1,0,1
CAN,2020,Wholesale,Elec,1,0,0,0
CAN,2030,Slack,Elec,0,1,0,1
CAN,2030,Wholesale,Elec,1,0,0,0
CAN,2040,Slack,Elec,0,1,0,1
CAN,2040,Wholesale,Elec,1,0,0,0
CAN,2050,Slack,Elec,0,1,0,1
CAN,2050,Wholesale,Elec,1,0,0,0
CEN,2020,Inflow,Water_in,1,0,0,0
CEN,2020,Ocean,Water_out,0,0,1,0
CEN,2020,Slack,Elec,0,1,0,1
CEN,2020,Wholesale,Elec,1,0,0,0
CEN,2030,Slack,Elec,0,1,0,1
CEN,2030,Wholesale,Elec,1,0,0,0
CEN,2040,Slack,Elec,0,1,0,1
CEN,2040,Wholesale,Elec,1,0,0,0
CEN,2050,Slack,Elec,0,1,0,1
CEN,2050,Wholesale,Elec,1,0,0,0
HBY,2020,Inflow,Water_in,1,0,0,0
HBY,2020,Ocean,Water_out,0,0,1,0
HBY,2020,Slack,Elec,0,1,0,1
HBY,2020,Wholesale,Elec,1,0,0,0
HBY,2030,Slack,Elec,0,1,0,1
HBY,2030,Wholesale,Elec,1,0,0,0
HBY,2040,Slack,Elec,0,1,0,1
HBY,2040,Wholesale,Elec,1,0,0,0
HBY,2050,Slack,Elec,0,1,0,1
HBY,2050,Wholesale,Elec,1,0,0,0
NEL,2020,Inflow,Water_in,1,0,0,0
NEL,2020,Ocean,Water_out,0,0,1,0
NEL,2020,Slack,Elec,0,1,0,1
NEL,2020,Wholesale,Elec,1,0,0,0
NEL,2030,Slack,Elec,0,1,0,1
NEL,2030,Wholesale,Elec,1,0,0,0
NEL,2040,Slack,Elec,0,1,0,1
NEL,2040,Wholesale,Elec,1,0,0,0
NEL,2050,Slack,Elec,0,1,0,1
NEL,2050,Wholesale,Elec,1,0,0,0
NIS,2020,Ocean,Water_out,0,0,1,0
NIS,2020,Slack,Elec,0,1,0,1
NIS,2020,Wholesale,Elec,1,0,0,0
NIS,2030,Slack,Elec,0,1,0,1
NIS,2030,Wholesale,Elec,1,0,0,0
NIS,2040,Slack,Elec,0,1,0,1
NIS,2040,Wholesale,Elec,1,0,0,0
NIS,2050,Slack,Elec,0,1,0,1
NIS,2050,Wholesale,Elec,1,0,0,0
OTG,2020,Inflow,Water_in,1,0,0,0
OTG,2020,Ocean,Water_out,0,0,1,0
OTG,2020,Slack,Elec,0,1,0,1
OTG,2020,Wholesale,Elec,1,0,0,0
OTG,2030,Slack,Elec,0,1,0,1
OTG,2030,Wholesale,Elec,1,0,0,0
OTG,2040,Slack,Elec,0,1,0,1
OTG,2040,Wholesale,Elec,1,0,0,0
OTG,2050,Slack,Elec,0,1,0,1
OTG,2050,Wholesale,Elec,1,0,0,0
TRN,2020,Ocean,Water_out,0,0,1,0
TRN,2020,Slack,Elec,0,1,0,1
TRN,2020,Wholesale,Elec,1,0,0,0
TRN,2030,Slack,Elec,0,1,0,1
TRN,2030,Wholesale,Elec,1,0,0,0
TRN,2040,Slack,Elec,0,1,0,1
TRN,2040,Wholesale,Elec,1,0,0,0
TRN,2050,Slack,Elec,0,1,0,1
TRN,2050,Wholesale,Elec,1,0,0,0
WEL,2020,Ocean,Water_out,0,0,1,0
WEL,2020,Slack,Elec,0,1,0,1
WEL,2020,Wholesale,Elec,1,0,0,0
WEL,2030,Slack,Elec,0,1,0,1
WEL,2030,Wholesale,Elec,1,0,0,0
WEL,2040,Slack,Elec,0,1,0,1
WEL,2040,Wholesale,Elec,1,0,0,0
WEL,2050,Slack,Elec,0,1,0,1
WEL,2050,Wholesale,Elec,1,0,0,0
WTO,2020,Inflow,Water_in,1,0,0,0
WTO,2020,Ocean,Water_out,0,0,1,0
WTO,2020,Slack,Elec,0,1,0,1
WTO,2020,Wholesale,Elec,1,0,0,0
WTO,2030,Slack,Elec,0,1,0,1
WTO,2030,Wholesale,Elec,1,0,0,0
WTO,2040,Slack,Elec,0,1,0,1
WTO,2040,Wholesale,Elec,1,0,0,0
WTO,2050,Slack,Elec,0,1,0,1
WTO,2050,Wholesale,Elec,1,0,0,0
