indicator,accLinksData,transfer_techs,vintage,link_types,perLengthBuild,perLengthTotal,useAnnuity,amorTime,interest
Invest,global,HV,2020,land,0.544,0.0,1,40,0.06
Invest,global,HV,2020,sea,0.975,0.0,1,40,0.06
Invest,global,HV,2030,land,0.544,0.0,1,40,0.06
Invest,global,HV,2030,sea,0.975,0.0,1,40,0.06
Invest,global,HV,2040,land,0.544,0.0,1,40,0.06
Invest,global,HV,2040,sea,0.975,0.0,1,40,0.06
Invest,global,HV,2045,land,0.544,0.0,1,40,0.06
Invest,global,HV,2045,sea,0.975,0.0,1,40,0.06
Invest,global,HV,2050,land,0.544,0.0,1,40,0.06
Invest,global,HV,2050,sea,0.975,0.0,1,40,0.06
OMFix,global,HV,2020,land,0.0,0.00544,0,0,0.0
OMFix,global,HV,2020,sea,0.0,0.00975,0,0,0.0
OMFix,global,HV,2030,land,0.0,0.00544,0,0,0.0
OMFix,global,HV,2030,sea,0.0,0.00975,0,0,0.0
OMFix,global,HV,2040,land,0.0,0.00544,0,0,0.0
OMFix,global,HV,2040,sea,0.0,0.00975,0,0,0.0
OMFix,global,HV,2045,land,0.0,0.00544,0,0,0.0
OMFix,global,HV,2045,sea,0.0,0.00975,0,0,0.0
OMFix,global,HV,2050,land,0.0,0.00544,0,0,0.0
OMFix,global,HV,2050,sea,0.0,0.00975,0,0,0.0
