accNodesModel,accYears,techs,commodity,capType,value
AKL,2020,Methanizer,CH4,upperLimit,100.0
AKL,2020,Battery,Elec,build,0.5414299745339568
AKL,2020,Battery,Elec,total,0.5414299745339568
AKL,2020,Battery,Elec,upperLimit,50.0
AKL,2020,Battery,Elec_battery,build,0.5278942251706079
AKL,2020,Battery,Elec_battery,total,0.5278942251706079
AKL,2020,Battery,Elec_battery,upperLimit,48.75
AKL,2020,Electrolyser,H2,build,8.03811047604215e-07
AKL,2020,Electrolyser,H2,total,8.03811047604215e-07
AKL,2020,Electrolyser,H2,upperLimit,66.5
AKL,2020,FTropschSyn,REfuel,upperLimit,100.0
AKL,2020,MethanolSyn,CH3OH,build,1.5864078413460456e-10
AKL,2020,MethanolSyn,CH3OH,decom,4.476220494526876e-11
AKL,2020,MethanolSyn,CH3OH,total,1.1387857918933581e-10
AKL,2020,MethanolSyn,CH3OH,upperLimit,100.0
AKL,2020,pv_central_fixed,Elec,build,7.068938718876384e-05
AKL,2020,pv_central_fixed,Elec,total,7.068938718876384e-05
AKL,2020,pv_central_fixed,Elec,upperLimit,180.66817
AKL,2020,pv_central_track_azimuth,Elec,build,0.7719804016339158
AKL,2020,pv_central_track_azimuth,Elec,total,0.7719804016339158
AKL,2020,pv_central_track_azimuth,Elec,upperLimit,180.66817
AKL,2020,pv_decentral,Elec,build,1.4626776344166563e-06
AKL,2020,pv_decentral,Elec,total,1.4626776344166563e-06
AKL,2020,pv_decentral,Elec,upperLimit,2.2025300000000003
AKL,2020,wind_offshore_floating,Elec,build,1.255168615862565e-06
AKL,2020,wind_offshore_floating,Elec,total,1.255168615862565e-06
AKL,2020,wind_offshore_floating,Elec,upperLimit,34.72203
AKL,2020,wind_offshore_foundation,Elec,build,1.2504294969426547e-06
AKL,2020,wind_offshore_foundation,Elec,total,1.2504294969426547e-06
AKL,2020,wind_offshore_foundation,Elec,upperLimit,12.56432
AKL,2020,wind_onshore,Elec,build,4.543160548606823e-06
AKL,2020,wind_onshore,Elec,total,4.543160548606823e-06
AKL,2020,wind_onshore,Elec,upperLimit,7.56917
AKL,2030,Methanizer,CH4,upperLimit,200.0
AKL,2030,Battery,Elec,build,0.022415399293863533
AKL,2030,Battery,Elec,decom,2.179984370901894e-09
AKL,2030,Battery,Elec,total,0.5638455607277457
AKL,2030,Battery,Elec,upperLimit,100.0
AKL,2030,Battery,Elec_battery,build,0.021855014311516943
AKL,2030,Battery,Elec_battery,decom,2.1254847616293466e-09
AKL,2030,Battery,Elec_battery,total,0.5497494217095521
AKL,2030,Battery,Elec_battery,upperLimit,97.5
AKL,2030,Electrolyser,H2,build,0.20699984340640418
AKL,2030,Electrolyser,H2,total,0.2070006472174518
AKL,2030,Electrolyser,H2,upperLimit,136.0
AKL,2030,FTropschSyn,REfuel,build,3.664859167671742e-11
AKL,2030,FTropschSyn,REfuel,decom,1.3098002417930952e-07
AKL,2030,FTropschSyn,REfuel,total,-6.246793996935014e-07
AKL,2030,FTropschSyn,REfuel,upperLimit,100.0
AKL,2030,MethanolSyn,CH3OH,build,1.1394135120683717e-10
AKL,2030,MethanolSyn,CH3OH,decom,7.369412186549278e-11
