accNodesModel,accYears,techs,commodity,capType,value
AKL,2030,Battery,Elec,total,0.024284189692668188
AKL,2030,PV,Elec,total,3.0850344253266734e-06
AKL,2030,Wind,Elec,total,0.004832998218151013
AKL,2040,Battery,Elec,total,0.047236014392360165
AKL,2040,PV,Elec,total,5.786572645689536e-06
AKL,2040,Wind,Elec,total,0.04126199272059759
AKL,2050,Battery,Elec,total,0.09558838421947524
AKL,2050,PV,Elec,total,8.20942279967658e-06
AKL,2050,Wind,Elec,total,0.1719728242639007
BOP,2030,Battery,Elec,total,0.024487177597861943
BOP,2030,PV,Elec,total,0.07239307714064223
BOP,2030,Wind,Elec,total,1.3592875572605257e-06
BOP,2040,Battery,Elec,total,0.03519934281806342
BOP,2040,PV,Elec,total,0.07240109212624918
BOP,2040,Wind,Elec,total,2.651360775792926e-06
BOP,2050,Battery,Elec,total,0.061106328145007625
BOP,2050,PV,Elec,total,0.07241386785056318
BOP,2050,Wind,Elec,total,3.3118477224275122e-06
CAN,2030,Battery,Elec,total,0.13658773649075043
CAN,2030,PV,Elec,total,0.3150151134177765
CAN,2030,Wind,Elec,total,2.2051221203474194e-07
CAN,2040,Battery,Elec,total,0.38294814126495547
CAN,2040,PV,Elec,total,0.8855351080632328
CAN,2040,Wind,Elec,total,4.595788146170552e-07
CAN,2050,Battery,Elec,total,0.7355912689442847
CAN,2050,PV,Elec,total,1.3858763733285935
CAN,2050,Wind,Elec,total,6.254791481940803e-07
CEN,2030,Battery,Elec,total,0.002373378537857639
CEN,2030,PV,Elec,total,1.1668687824235364e-06
CEN,2030,Wind,Elec,total,2.2543042087629152e-07
CEN,2040,Battery,Elec,total,0.0034953080375308247
CEN,2040,PV,Elec,total,2.3071158984007768e-06
CEN,2040,Wind,Elec,total,4.933304224332637e-07
CEN,2050,Battery,Elec,total,0.003508413847823908
CEN,2050,PV,Elec,total,3.559867325704296e-06
CEN,2050,Wind,Elec,total,7.129559602372972e-07
HBY,2030,Battery,Elec,total,7.051787805126511e-05
HBY,2030,PV,Elec,total,7.810145309358874e-07
HBY,2030,Wind,Elec,total,4.387222550924946e-07
HBY,2040,Battery,Elec,total,0.0024490849918501574
HBY,2040,PV,Elec,total,1.4801585978471578e-06
HBY,2040,Wind,Elec,total,9.919803500990445e-07
HBY,2050,Battery,Elec,total,0.005391947311190548
HBY,2050,PV,Elec,total,2.159202075953779e-06
HBY,2050,Wind,Elec,total,1.3853831207354724e-06
NEL,2030,Battery,Elec,total,0.00969197932717094
NEL,2030,PV,Elec,total,0.029812218470635598
NEL,2030,Wind,Elec,total,2.572784850366132e-07
NEL,2040,Battery,Elec,total,0.010923353938933622
NEL,2040,PV,Elec,total,0.04222989858910018
NEL,2040,Wind,Elec,total,5.200162300159606e-07
NEL,2050,Battery,Elec,total,0.024978850009274297
NEL,2050,PV,Elec,total,0.04224967718049871
NEL,2050,Wind,Elec,total,7.219291823946011e-07
NIS,2030,Battery,Elec,total,0.40864272196522555
NIS,2030,PV,Elec,total,0.9142065956429679
NIS,2030,Wind,Elec,total,0.14376499222543573
NIS,2040,Battery,Elec,total,0.8097488999969475
NIS,2040,PV,Elec,total,1.817175554433541
NIS,2040,Wind,Elec,total,0.23005292870095362
NIS,2050,Battery,Elec,total,1.6694112144412072
NIS,2050,PV,Elec,total,2.857868524857699
NIS,2050,Wind,Elec,total,0.23005847974929658
OTG,2030,Battery,Elec,total,0.13802241760970727
OTG,2030,PV,Elec,total,0.31173462499715926
OTG,2030,Wind,Elec,total,8.42661276082073e-07
OTG,2040,Battery,Elec,total,0.1846407197646543
OTG,2040,PV,Elec,total,0.41481738196103074
OTG,2040,Wind,Elec,total,1.5940020608328267e-06
OTG,2050,Battery,Elec,total,0.35950752585241896
OTG,2050,PV,Elec,total,0.4972331537460097
OTG,2050,Wind,Elec,total,1.98179394948118e-06
TRN,2030,Battery,Elec,total,0.10618436258926554
TRN,2030,PV,Elec,total,0.28993607289611906
TRN,2030,Wind,Elec,total,1.1734424240365582e-06
TRN,2040,Battery,Elec,total,0.2103983281418437
TRN,2040,PV,Elec,total,0.5909334327445227
TRN,2040,Wind,Elec,total,2.234524017708722e-06
TRN,2050,Battery,Elec,total,0.41602068189942454
TRN,2050,PV,Elec,total,0.86815813892769
TRN,2050,Wind,Elec,total,2.748134806130095e-06
WEL,2030,Battery,Elec,total,2.2913558224250295e-06
WEL,2030,PV,Elec,total,1.5076752682789276e-06
WEL,2030,Wind,Elec,total,0.020869861199000955
WEL,2040,Battery,Elec,total,8.285762111982278e-06
WEL,2040,PV,Elec,total,2.7239057270808874e-06
WEL,2040,Wind,Elec,total,0.029620641037717395
WEL,2050,Battery,Elec,total,0.006255902431887818
WEL,2050,PV,Elec,total,3.90093830023418e-06
WEL,2050,Wind,Elec,total,0.029621248953016655
WTO,2030,Battery,Elec,total,0.0068748753116797436
WTO,2030,PV,Elec,total,0.018437225770233268
WTO,2030,Wind,Elec,total,1.7318231039355243e-07
WTO,2040,Battery,Elec,total,0.043002648472003954
WTO,2040,PV,Elec,total,0.16834381303229945
WTO,2040,Wind,Elec,total,3.809076781468988e-07
WTO,2050,Battery,Elec,total,0.07481353540532595
WTO,2050,PV,Elec,total,0.29028355460076793
WTO,2050,Wind,Elec,total,5.950006165323381e-07
global,2030,Battery,Elec,total,0.8572216483560609
global,2030,PV,Elec,total,1.9515414689285409
global,2030,Wind,Elec,total,0.16947254215952853
global,2040,Battery,Elec,total,1.7300501275812552
global,2040,PV,Elec,total,3.9914485787028444
global,2040,Wind,Elec,total,0.3009448881596183
global,2050,Battery,Elec,total,3.452174052507321
global,2050,PV,Elec,total,6.014101119922325
global,2050,Wind,Elec,total,0.43166463549072004
