accNodesModel,accYears,techs,commodity,capType,value
AKL,2030,Battery,Elec,build,0.011689503419049554
AKL,2030,Battery,Elec,total,0.011689503419049554
AKL,2030,Battery,Elec,upperLimit,50.0
AKL,2030,Battery,Elec_battery,build,0.011397265833573315
AKL,2030,Battery,Elec_battery,total,0.011397265833573315
AKL,2030,Battery,Elec_battery,upperLimit,48.75
AKL,2030,pv_central_fixed,Elec,build,3.426718121496695e-07
AKL,2030,pv_central_fixed,Elec,total,3.426718121496695e-07
AKL,2030,pv_central_fixed,Elec,upperLimit,180.66817
AKL,2030,pv_central_track_azimuth,Elec,build,2.2618993758251816e-07
AKL,2030,pv_central_track_azimuth,Elec,total,2.2618993758251816e-07
AKL,2030,pv_central_track_azimuth,Elec,upperLimit,180.66817
AKL,2030,pv_decentral,Elec,build,2.8563578036833878e-08
AKL,2030,pv_decentral,Elec,total,2.8563578036833878e-08
AKL,2030,pv_decentral,Elec,upperLimit,2.2025300000000003
AKL,2030,wind_offshore_floating,Elec,build,7.111319442494005e-09
AKL,2030,wind_offshore_floating,Elec,total,7.111319442494005e-09
AKL,2030,wind_offshore_floating,Elec,upperLimit,34.72203
AKL,2030,wind_offshore_foundation,Elec,build,7.1651216607846856e-09
AKL,2030,wind_offshore_foundation,Elec,total,7.1651216607846856e-09
AKL,2030,wind_offshore_foundation,Elec,upperLimit,12.56432
AKL,2030,wind_onshore,Elec,build,0.005720226190919415
AKL,2030,wind_onshore,Elec,total,0.005720226190919415
AKL,2030,wind_onshore,Elec,upperLimit,7.56917
AKL,2040,Battery,Elec,build,0.0027778557953249913
AKL,2040,Battery,Elec,decom,4.2502730531093866e-11
AKL,2040,Battery,Elec,total,0.014467359738340044
AKL,2040,Battery,Elec,upperLimit,100.0
AKL,2040,Battery,Elec_battery,build,0.0027084094004418665
AKL,2040,Battery,Elec_battery,decom,4.1440162267816517e-11
AKL,2040,Battery,Elec_battery,total,0.014105675744881543
AKL,2040,Battery,Elec_battery,upperLimit,97.5
AKL,2040,pv_central_fixed,Elec,build,2.8592431792338275e-07
AKL,2040,pv_central_fixed,Elec,decom,3.84485616509356e-12
AKL,2040,pv_central_fixed,Elec,total,6.291587534472252e-07
AKL,2040,pv_central_fixed,Elec,upperLimit,361.33634
AKL,2040,pv_central_track_azimuth,Elec,build,1.6520254214731801e-07
AKL,2040,pv_central_track_azimuth,Elec,decom,3.3001504244576895e-12
AKL,2040,pv_central_track_azimuth,Elec,total,3.9195564780974937e-07
AKL,2040,pv_central_track_azimuth,Elec,upperLimit,361.33634
AKL,2040,pv_decentral,Elec,build,3.7994800160203186e-08
AKL,2040,pv_decentral,Elec,decom,2.4100063769775837e-12
AKL,2040,pv_decentral,Elec,total,6.712243642099798e-08
AKL,2040,pv_decentral,Elec,upperLimit,4.405060000000001
AKL,2040,wind_offshore_floating,Elec,build,7.771506672853022e-09
AKL,2040,wind_offshore_floating,Elec,decom,4.255871676999198e-13
AKL,2040,wind_offshore_floating,Elec,total,1.544886875851723e-08
AKL,2040,wind_offshore_floating,Elec,upperLimit,69.44406
AKL,2040,wind_offshore_foundation,Elec,build,7.835894601842681e-09
AKL,2040,wind_offshore_foundation,Elec,decom,5.101967572824804e-13
AKL,2040,wind_offshore_foundation,Elec,total,1.5566974296207995e-08
AKL,2040,wind_offshore_foundation,Elec,upperLimit,25.12864
AKL,2040,wind_onshore,Elec,build,0.02732216540196792
AKL,2040,wind_onshore,Elec,decom,1.1346317266712128e-12
AKL,2040,wind_onshore,Elec,total,0.03304239215822093
AKL,2040,wind_onshore,Elec,upperLimit,15.13834
AKL,2050,Battery,Elec,build,0.038616559375349004
AKL,2050,Battery,Elec,decom,0.011689503480355709
AKL,2050,Battery,Elec,total,0.05308391961885112
AKL,2050,Battery,Elec,upperLimit,100.0
AKL,2050,Battery,Elec_battery,build,0.03765114539096528
AKL,2050,Battery,Elec_battery,decom,0.011397265893346815
AKL,2050,Battery,Elec_battery,total,0.05175682162837984
AKL,2050,Battery,Elec_battery,upperLimit,97.5
AKL,2050,pv_central_fixed,Elec,build,2.588319110890071e-07
AKL,2050,pv_central_fixed,Elec,decom,1.7028528633013685e-11
AKL,2050,pv_central_fixed,Elec,total,8.891065724682752e-07
AKL,2050,pv_central_fixed,Elec,upperLimit,542.00451
AKL,2050,pv_central_track_azimuth,Elec,build,1.2806706013466478e-07
AKL,2050,pv_central_track_azimuth,Elec,decom,1.4677208494647937e-11
AKL,2050,pv_central_track_azimuth,Elec,total,5.211409671965955e-07
AKL,2050,pv_central_track_azimuth,Elec,upperLimit,542.00451
AKL,2050,pv_decentral,Elec,build,4.3552617128175745e-08
AKL,2050,pv_decentral,Elec,decom,1.0889489411545567e-11
AKL,2050,pv_decentral,Elec,total,1.1179710052043799e-07
AKL,2050,pv_decentral,Elec,upperLimit,6.607590000000001
AKL,2050,wind_offshore_floating,Elec,build,8.301214610642605e-09
AKL,2050,wind_offshore_floating,Elec,decom,1.7390816667000908e-12
AKL,2050,wind_offshore_floating,Elec,total,2.488128074816897e-08
AKL,2050,wind_offshore_floating,Elec,upperLimit,104.16609
AKL,2050,wind_offshore_foundation,Elec,build,8.412680170831608e-09
AKL,2050,wind_offshore_foundation,Elec,decom,2.0999457109688444e-12
AKL,2050,wind_offshore_foundation,Elec,total,2.5110490982004463e-08
AKL,2050,wind_offshore_foundation,Elec,upperLimit,37.69296
AKL,2050,wind_onshore,Elec,build,0.06759690216583156
AKL,2050,wind_onshore,Elec,decom,4.689439219913926e-12
AKL,2050,wind_onshore,Elec,total,0.10063929545229952
AKL,2050,wind_onshore,Elec,upperLimit,22.70751
BOP,2030,Battery,Elec,build,0.014867700241277561
BOP,2030,Battery,Elec,total,0.014867700241277561
BOP,2030,Battery,Elec,upperLimit,50.0
BOP,2030,Battery,Elec_battery,build,0.014496007735245621
BOP,2030,Battery,Elec_battery,total,0.014496007735245621
BOP,2030,Battery,Elec_battery,upperLimit,48.75
BOP,2030,pv_central_fixed,Elec,build,4.464534702098616e-06
BOP,2030,pv_central_fixed,Elec,total,4.464534702098616e-06
BOP,2030,pv_central_fixed,Elec,upperLimit,237.96793
BOP,2030,pv_central_track_azimuth,Elec,build,0.04141506120168087
BOP,2030,pv_central_track_azimuth,Elec,total,0.04141506120168087
BOP,2030,pv_central_track_azimuth,Elec,upperLimit,237.94021
BOP,2030,pv_decentral,Elec,build,3.1139324506775e-08
BOP,2030,pv_decentral,Elec,total,3.1139324506775e-08
BOP,2030,pv_decentral,Elec,upperLimit,0.56348
BOP,2030,wind_offshore_floating,Elec,build,2.53232839209547e-08
BOP,2030,wind_offshore_floating,Elec,total,2.53232839209547e-08
BOP,2030,wind_offshore_floating,Elec,upperLimit,21.89748
BOP,2030,wind_offshore_foundation,Elec,build,1.5761688530697262e-08
BOP,2030,wind_offshore_foundation,Elec,total,1.5761688530697262e-08
BOP,2030,wind_offshore_foundation,Elec,upperLimit,5.5911800000000005
BOP,2030,wind_onshore,Elec,build,2.421280431727764e-07
BOP,2030,wind_onshore,Elec,total,2.421280431727764e-07
BOP,2030,wind_onshore,Elec,upperLimit,11.39598
BOP,2040,Battery,Elec,build,0.006126006361845049
BOP,2040,Battery,Elec,decom,4.2477657160577577e-11
BOP,2040,Battery,Elec,total,0.020993707127113185
BOP,2040,Battery,Elec,upperLimit,100.0
BOP,2040,Battery,Elec_battery,build,0.005972856202798923
BOP,2040,Battery,Elec_battery,decom,4.1415715731563134e-11
BOP,2040,Battery,Elec_battery,total,0.020468864448935354
BOP,2040,Battery,Elec_battery,upperLimit,97.5
BOP,2040,pv_central_fixed,Elec,build,1.3004147425553501e-06
BOP,2040,pv_central_fixed,Elec,decom,3.843877255217946e-12
BOP,2040,pv_central_fixed,Elec,total,5.765512069007048e-06
BOP,2040,pv_central_fixed,Elec,upperLimit,475.93586
BOP,2040,pv_central_track_azimuth,Elec,build,4.940477604376132e-07
BOP,2040,pv_central_track_azimuth,Elec,decom,3.3305746276990587e-12
BOP,2040,pv_central_track_azimuth,Elec,total,0.04141555581257897
BOP,2040,pv_central_track_azimuth,Elec,upperLimit,475.88042
BOP,2040,pv_decentral,Elec,build,4.4543676129084547e-08
BOP,2040,pv_decentral,Elec,decom,2.3759939874041962e-12
BOP,2040,pv_decentral,Elec,total,7.62470928722101e-08
BOP,2040,pv_decentral,Elec,upperLimit,1.12696
BOP,2040,wind_offshore_floating,Elec,build,2.4903149916515096e-08
BOP,2040,wind_offshore_floating,Elec,decom,4.2949227502951983e-13
BOP,2040,wind_offshore_floating,Elec,total,5.079247257553266e-08
BOP,2040,wind_offshore_floating,Elec,upperLimit,43.79496
BOP,2040,wind_offshore_foundation,Elec,build,1.589980870234578e-08
BOP,2040,wind_offshore_foundation,Elec,decom,5.159549772483505e-13
BOP,2040,wind_offshore_foundation,Elec,total,3.222744950840371e-08
BOP,2040,wind_offshore_foundation,Elec,upperLimit,11.182360000000001
BOP,2040,wind_onshore,Elec,build,1.751450962710196e-07
BOP,2040,wind_onshore,Elec,decom,1.1545855326311273e-12
BOP,2040,wind_onshore,Elec,total,4.178384530886013e-07
BOP,2040,wind_onshore,Elec,upperLimit,22.79196
BOP,2050,Battery,Elec,build,0.015230741150122183
BOP,2050,Battery,Elec,decom,0.014867700302987367
BOP,2050,Battery,Elec,total,0.03622444878199379
BOP,2050,Battery,Elec,upperLimit,100.0
BOP,2050,Battery,Elec_battery,build,0.014849972621369128
BOP,2050,Battery,Elec_battery,decom,0.014496007795412682
BOP,2050,Battery,Elec_battery,total,0.035318837562443944
BOP,2050,Battery,Elec_battery,upperLimit,97.5
BOP,2050,pv_central_fixed,Elec,build,3.435486763985596e-05
BOP,2050,pv_central_fixed,Elec,decom,1.6553911716494114e-11
BOP,2050,pv_central_fixed,Elec,total,4.012149609141197e-05
BOP,2050,pv_central_fixed,Elec,upperLimit,713.90379
BOP,2050,pv_central_track_azimuth,Elec,build,4.2071342340083795e-07
BOP,2050,pv_central_track_azimuth,Elec,decom,1.4312998872944906e-11
BOP,2050,pv_central_track_azimuth,Elec,total,0.041415977644625825
BOP,2050,pv_central_track_azimuth,Elec,upperLimit,713.82063
BOP,2050,pv_decentral,Elec,build,5.777274707377266e-08
BOP,2050,pv_decentral,Elec,decom,1.0690612936193275e-11
BOP,2050,pv_decentral,Elec,total,1.3514208579372236e-07
BOP,2050,pv_decentral,Elec,upperLimit,1.69044
BOP,2050,wind_offshore_floating,Elec,build,1.9835675046947567e-08
BOP,2050,wind_offshore_floating,Elec,decom,1.8252538088283633e-12
BOP,2050,wind_offshore_floating,Elec,total,7.175925882934725e-08
BOP,2050,wind_offshore_floating,Elec,upperLimit,65.69244
BOP,2050,wind_offshore_foundation,Elec,build,1.3787081931655722e-08
BOP,2050,wind_offshore_foundation,Elec,decom,2.195672394039674e-12
BOP,2050,wind_offshore_foundation,Elec,total,4.714527222834122e-08
BOP,2050,wind_offshore_foundation,Elec,upperLimit,16.77354
BOP,2050,wind_onshore,Elec,build,6.497983517448586e-08
BOP,2050,wind_onshore,Elec,decom,5.257063020456783e-12
BOP,2050,wind_onshore,Elec,total,4.839459676607426e-07
BOP,2050,wind_onshore,Elec,upperLimit,34.18794
CAN,2030,Battery,Elec,build,0.08972668117846923
CAN,2030,Battery,Elec,total,0.08972668117846923
