accNodesModel,accYears,techs,commodity,capType,value
AKL,2030,Battery,Elec,total,0.011689503419049554
AKL,2030,PV,Elec,total,5.974253277690216e-07
AKL,2030,Wind,Elec,total,0.005720240467360518
AKL,2040,Battery,Elec,total,0.014467359738340044
AKL,2040,PV,Elec,total,1.0882368376779725e-06
AKL,2040,Wind,Elec,total,0.03304242317406399
AKL,2050,Battery,Elec,total,0.05308391961885112
AKL,2050,PV,Elec,total,1.5220446401853087e-06
AKL,2050,Wind,Elec,total,0.10063934544407126
BOP,2030,Battery,Elec,total,0.014867700241277561
BOP,2030,PV,Elec,total,0.041419556875707475
BOP,2030,Wind,Elec,total,2.832130156244284e-07
BOP,2040,Battery,Elec,total,0.020993707127113185
BOP,2040,PV,Elec,total,0.041421397571740855
BOP,2040,Wind,Elec,total,5.008583751725377e-07
BOP,2050,Battery,Elec,total,0.03622444878199379
BOP,2050,PV,Elec,total,0.04145623428280303
BOP,2050,Wind,Elec,total,6.028504987184311e-07
CAN,2030,Battery,Elec,total,0.08972668117846923
CAN,2030,PV,Elec,total,0.20694172512792136
CAN,2030,Wind,Elec,total,3.673185818026497e-08
CAN,2040,Battery,Elec,total,0.22203730292839213
CAN,2040,PV,Elec,total,0.5106131322133582
CAN,2040,Wind,Elec,total,7.196585491042031e-08
CAN,2050,Battery,Elec,total,0.4064579881186047
CAN,2050,PV,Elec,total,0.7294842807066937
CAN,2050,Wind,Elec,total,9.747239650106852e-08
CEN,2030,Battery,Elec,total,0.0006695228720587195
CEN,2030,PV,Elec,total,2.0372157145676115e-07
CEN,2030,Wind,Elec,total,4.367122562099598e-08
CEN,2040,Battery,Elec,total,0.0011569494011342437
CEN,2040,PV,Elec,total,4.0964646606636774e-07
CEN,2040,Wind,Elec,total,9.221696347168142e-08
CEN,2050,Battery,Elec,total,0.0011614110207988776
CEN,2050,PV,Elec,total,6.277458562704386e-07
CEN,2050,Wind,Elec,total,1.300071337881105e-07
HBY,2030,Battery,Elec,total,3.4625215061976193e-06
HBY,2030,PV,Elec,total,1.402465598776908e-07
HBY,2030,Wind,Elec,total,8.585476408935393e-08
HBY,2040,Battery,Elec,total,0.0007747384719584344
HBY,2040,PV,Elec,total,2.6916466718736877e-07
HBY,2040,Wind,Elec,total,1.824777141086523e-07
HBY,2050,Battery,Elec,total,0.002490822514902302
HBY,2050,PV,Elec,total,3.8743852555847887e-07
HBY,2050,Wind,Elec,total,2.479090997445067e-07
NEL,2030,Battery,Elec,total,0.002982531491648099
NEL,2030,PV,Elec,total,0.011054831229027319
NEL,2030,Wind,Elec,total,4.735119949038586e-08
NEL,2040,Battery,Elec,total,0.00487256358664115
NEL,2040,PV,Elec,total,0.011067928651578324
NEL,2040,Wind,Elec,total,9.23136477599e-08
NEL,2050,Battery,Elec,total,0.007619646215290574
NEL,2050,PV,Elec,total,0.011070416091948835
NEL,2050,Wind,Elec,total,1.2652066714777896e-07
NIS,2030,Battery,Elec,total,0.25671245042295915
NIS,2030,PV,Elec,total,0.5748944951041405
NIS,2030,Wind,Elec,total,0.08788278214071592
NIS,2040,Battery,Elec,total,0.502984763530556
NIS,2040,PV,Elec,total,1.1385188525373577
NIS,2040,Wind,Elec,total,0.131210538091647
NIS,2050,Battery,Elec,total,1.0431735691033608
NIS,2050,PV,Elec,total,1.7880176264820256
NIS,2050,Wind,Elec,total,0.1369831120604338
OTG,2030,Battery,Elec,total,0.07766524750111978
OTG,2030,PV,Elec,total,0.17216365809318185
OTG,2030,Wind,Elec,total,1.6688071340742712e-07
OTG,2040,Battery,Elec,total,0.0923717990689035
OTG,2040,PV,Elec,total,0.2160340901900058
OTG,2040,Wind,Elec,total,3.0236199903346777e-07
OTG,2050,Battery,Elec,total,0.18499109747536274
OTG,2050,PV,Elec,total,0.24170648358901523
OTG,2050,Wind,Elec,total,3.690798893627926e-07
TRN,2030,Battery,Elec,total,0.06796424457412341
TRN,2030,PV,Elec,total,0.17775184262808444
TRN,2030,Wind,Elec,total,2.6456432422807e-07
TRN,2040,Battery,Elec,total,0.12949204692338104
TRN,2040,PV,Elec,total,0.3189747584856506
TRN,2040,Wind,Elec,total,4.6792163247324516e-07
TRN,2050,Battery,Elec,total,0.20281866070552135
TRN,2050,PV,Elec,total,0.3867429275392808
