accNodesModel,accYears,techs,commodity,capType,value
AKL,2050,Battery,Elec,build,0.557100989403657
AKL,2050,Battery,Elec,total,0.557100989403657
AKL,2050,Battery,Elec,upperLimit,50.0
AKL,2050,Battery,Elec_battery,build,0.5431734646685656
AKL,2050,Battery,Elec_battery,total,0.5431734646685656
AKL,2050,Battery,Elec_battery,upperLimit,48.75
AKL,2050,pv_central_fixed,Elec,build,7.237687664766367e-05
AKL,2050,pv_central_fixed,Elec,total,7.237687664766367e-05
AKL,2050,pv_central_fixed,Elec,upperLimit,180.66817
AKL,2050,pv_central_track_azimuth,Elec,build,2.6806362094614628e-05
AKL,2050,pv_central_track_azimuth,Elec,total,2.6806362094614628e-05
AKL,2050,pv_central_track_azimuth,Elec,upperLimit,180.66817
AKL,2050,pv_decentral,Elec,build,7.720301303725273e-06
AKL,2050,pv_decentral,Elec,total,7.720301303725273e-06
AKL,2050,pv_decentral,Elec,upperLimit,2.2025300000000003
AKL,2050,wind_offshore_floating,Elec,build,1.511913929457578e-06
AKL,2050,wind_offshore_floating,Elec,total,1.511913929457578e-06
AKL,2050,wind_offshore_floating,Elec,upperLimit,34.72203
AKL,2050,wind_offshore_foundation,Elec,build,1.5904408013363175e-06
AKL,2050,wind_offshore_foundation,Elec,total,1.5904408013363175e-06
AKL,2050,wind_offshore_foundation,Elec,upperLimit,12.56432
AKL,2050,wind_onshore,Elec,build,2.4719481046070007
AKL,2050,wind_onshore,Elec,total,2.4719481046070007
AKL,2050,wind_onshore,Elec,upperLimit,7.56917
BOP,2050,Battery,Elec,build,0.8152986958890093
BOP,2050,Battery,Elec,total,0.8152986958890093
BOP,2050,Battery,Elec,upperLimit,50.0
BOP,2050,Battery,Elec_battery,build,0.794916228491784
BOP,2050,Battery,Elec_battery,total,0.794916228491784
BOP,2050,Battery,Elec_battery,upperLimit,48.75
BOP,2050,pv_central_fixed,Elec,build,2.2612068816375754
BOP,2050,pv_central_fixed,Elec,total,2.2612068816375754
BOP,2050,pv_central_fixed,Elec,upperLimit,237.96793
BOP,2050,pv_central_track_azimuth,Elec,build,5.808751277607398e-05
BOP,2050,pv_central_track_azimuth,Elec,total,5.808751277607398e-05
BOP,2050,pv_central_track_azimuth,Elec,upperLimit,237.94021
BOP,2050,pv_decentral,Elec,build,9.52698281736288e-06
BOP,2050,pv_decentral,Elec,total,9.52698281736288e-06
BOP,2050,pv_decentral,Elec,upperLimit,0.56348
BOP,2050,wind_offshore_floating,Elec,build,3.81520427340853e-06
BOP,2050,wind_offshore_floating,Elec,total,3.81520427340853e-06
BOP,2050,wind_offshore_floating,Elec,upperLimit,21.89748
BOP,2050,wind_offshore_foundation,Elec,build,2.879945789292678e-06
BOP,2050,wind_offshore_foundation,Elec,total,2.879945789292678e-06
BOP,2050,wind_offshore_foundation,Elec,upperLimit,5.5911800000000005
BOP,2050,wind_onshore,Elec,build,0.009976103101687898
BOP,2050,wind_onshore,Elec,total,0.009976103101687898
BOP,2050,wind_onshore,Elec,upperLimit,11.39598
CAN,2050,Battery,Elec,build,9.791223113003113
CAN,2050,Battery,Elec,total,9.791223113003113
CAN,2050,Battery,Elec,upperLimit,50.0
CAN,2050,Battery,Elec_battery,build,9.546442535178034
CAN,2050,Battery,Elec_battery,total,9.546442535178034
CAN,2050,Battery,Elec_battery,upperLimit,48.75
CAN,2050,pv_central_fixed,Elec,build,20.878087971277864
CAN,2050,pv_central_fixed,Elec,total,20.878087971277864
CAN,2050,pv_central_fixed,Elec,upperLimit,1084.1251499999998
CAN,2050,pv_central_track_azimuth,Elec,build,3.980237179775379e-05
CAN,2050,pv_central_track_azimuth,Elec,total,3.980237179775379e-05
CAN,2050,pv_central_track_azimuth,Elec,upperLimit,1074.11219
CAN,2050,pv_decentral,Elec,build,5.9017390120018984e-06
CAN,2050,pv_decentral,Elec,total,5.9017390120018984e-06
CAN,2050,pv_decentral,Elec,upperLimit,1.19204
CAN,2050,wind_offshore_floating,Elec,build,8.265386297360765e-07
CAN,2050,wind_offshore_floating,Elec,total,8.265386297360765e-07
CAN,2050,wind_offshore_floating,Elec,upperLimit,67.81437
CAN,2050,wind_offshore_foundation,Elec,build,1.0672805351221582e-06
CAN,2050,wind_offshore_foundation,Elec,total,1.0672805351221582e-06
CAN,2050,wind_offshore_foundation,Elec,upperLimit,25.37745
CAN,2050,wind_onshore,Elec,build,3.5317037885612027e-06
CAN,2050,wind_onshore,Elec,total,3.5317037885612027e-06
CAN,2050,wind_onshore,Elec,upperLimit,32.23317
CEN,2050,Battery,Elec,build,0.0006959739109116415
CEN,2050,Battery,Elec,total,0.0006959739109116415
CEN,2050,Battery,Elec,upperLimit,50.0
CEN,2050,Battery,Elec_battery,build,0.0006785745631388505
CEN,2050,Battery,Elec_battery,total,0.0006785745631388505
CEN,2050,Battery,Elec_battery,upperLimit,48.75
CEN,2050,pv_central_fixed,Elec,build,2.456704214719381e-05
CEN,2050,pv_central_fixed,Elec,total,2.456704214719381e-05
CEN,2050,pv_central_fixed,Elec,upperLimit,496.94086
CEN,2050,pv_central_track_azimuth,Elec,build,1.4130086447814034e-05
CEN,2050,pv_central_track_azimuth,Elec,total,1.4130086447814034e-05
CEN,2050,pv_central_track_azimuth,Elec,upperLimit,496.94086
CEN,2050,pv_decentral,Elec,build,6.6884566693788506e-06
CEN,2050,pv_decentral,Elec,total,6.6884566693788506e-06
CEN,2050,pv_decentral,Elec,upperLimit,0.51601
CEN,2050,wind_offshore_floating,Elec,build,1.500665469452671e-06
CEN,2050,wind_offshore_floating,Elec,total,1.500665469452671e-06
CEN,2050,wind_offshore_floating,Elec,upperLimit,6.4615100000000005
CEN,2050,wind_offshore_foundation,Elec,build,1.684188826188803e-06
CEN,2050,wind_offshore_foundation,Elec,total,1.684188826188803e-06
CEN,2050,wind_offshore_foundation,Elec,upperLimit,2.03837
CEN,2050,wind_onshore,Elec,build,6.245277182928756e-06
CEN,2050,wind_onshore,Elec,total,6.245277182928756e-06
CEN,2050,wind_onshore,Elec,upperLimit,16.594099999999997
HBY,2050,Battery,Elec,build,0.12006289914670594
HBY,2050,Battery,Elec,total,0.12006289914670594
HBY,2050,Battery,Elec,upperLimit,50.0
HBY,2050,Battery,Elec_battery,build,0.11706132666803828
HBY,2050,Battery,Elec_battery,total,0.11706132666803828
HBY,2050,Battery,Elec_battery,upperLimit,48.75
HBY,2050,pv_central_fixed,Elec,build,1.3490634945986559e-05
HBY,2050,pv_central_fixed,Elec,total,1.3490634945986559e-05
HBY,2050,pv_central_fixed,Elec,upperLimit,259.19598
HBY,2050,pv_central_track_azimuth,Elec,build,9.558142761769077e-06
HBY,2050,pv_central_track_azimuth,Elec,total,9.558142761769077e-06
HBY,2050,pv_central_track_azimuth,Elec,upperLimit,259.19598
HBY,2050,pv_decentral,Elec,build,4.575104334743e-06
HBY,2050,pv_decentral,Elec,total,4.575104334743e-06
HBY,2050,pv_decentral,Elec,upperLimit,0.26427
HBY,2050,wind_offshore_floating,Elec,build,4.067916125941126e-06
HBY,2050,wind_offshore_floating,Elec,total,4.067916125941126e-06
HBY,2050,wind_offshore_floating,Elec,upperLimit,15.6443
HBY,2050,wind_offshore_foundation,Elec,build,4.130824685303772e-06
HBY,2050,wind_offshore_foundation,Elec,total,4.130824685303772e-06
HBY,2050,wind_offshore_foundation,Elec,upperLimit,5.5832
HBY,2050,wind_onshore,Elec,build,3.3075451916476704e-05
HBY,2050,wind_onshore,Elec,total,3.3075451916476704e-05
HBY,2050,wind_onshore,Elec,upperLimit,10.3033
NEL,2050,Battery,Elec,build,0.730932464953127
NEL,2050,Battery,Elec,total,0.730932464953127
NEL,2050,Battery,Elec,upperLimit,50.0
NEL,2050,Battery,Elec_battery,build,0.7126591533292989
NEL,2050,Battery,Elec_battery,total,0.7126591533292989
NEL,2050,Battery,Elec_battery,upperLimit,48.75
NEL,2050,pv_central_fixed,Elec,build,2.464808183375194
NEL,2050,pv_central_fixed,Elec,total,2.464808183375194
NEL,2050,pv_central_fixed,Elec,upperLimit,476.71375
NEL,2050,pv_central_track_azimuth,Elec,build,4.486438074830092e-05
NEL,2050,pv_central_track_azimuth,Elec,total,4.486438074830092e-05
NEL,2050,pv_central_track_azimuth,Elec,upperLimit,476.3666500000001
NEL,2050,pv_decentral,Elec,build,9.485358593474803e-06
NEL,2050,pv_decentral,Elec,total,9.485358593474803e-06
NEL,2050,pv_decentral,Elec,upperLimit,0.32797
NEL,2050,wind_offshore_floating,Elec,build,3.1336421571923534e-06
NEL,2050,wind_offshore_floating,Elec,total,3.1336421571923534e-06
NEL,2050,wind_offshore_floating,Elec,upperLimit,92.84245
NEL,2050,wind_offshore_foundation,Elec,build,1.6081585887817261e-06
NEL,2050,wind_offshore_foundation,Elec,total,1.6081585887817261e-06
NEL,2050,wind_offshore_foundation,Elec,upperLimit,13.34661
NEL,2050,wind_onshore,Elec,build,6.282940537426001e-06
NEL,2050,wind_onshore,Elec,total,6.282940537426001e-06
NEL,2050,wind_onshore,Elec,upperLimit,14.75796
NIS,2050,Battery,Elec,build,7.440079143342439
NIS,2050,Battery,Elec,total,7.440079143342439
NIS,2050,Battery,Elec,upperLimit,50.0
NIS,2050,Battery,Elec_battery,build,7.254077164758878
NIS,2050,Battery,Elec_battery,total,7.254077164758878
NIS,2050,Battery,Elec_battery,upperLimit,48.75
NIS,2050,pv_central_fixed,Elec,build,17.20239451636753
NIS,2050,pv_central_fixed,Elec,total,17.20239451636753
NIS,2050,pv_central_fixed,Elec,upperLimit,240.13779
NIS,2050,pv_central_track_azimuth,Elec,build,5.601878808217592e-05
NIS,2050,pv_central_track_azimuth,Elec,total,5.601878808217592e-05
NIS,2050,pv_central_track_azimuth,Elec,upperLimit,240.13779
NIS,2050,pv_decentral,Elec,build,6.725753388058631e-06
NIS,2050,pv_decentral,Elec,total,6.725753388058631e-06
NIS,2050,pv_decentral,Elec,upperLimit,0.21621
NIS,2050,wind_offshore_floating,Elec,build,1.3689565574165636e-06
NIS,2050,wind_offshore_floating,Elec,total,1.3689565574165636e-06
NIS,2050,wind_offshore_floating,Elec,upperLimit,46.9103
NIS,2050,wind_offshore_foundation,Elec,build,1.7334431990969898e-06
NIS,2050,wind_offshore_foundation,Elec,total,1.7334431990969898e-06
NIS,2050,wind_offshore_foundation,Elec,upperLimit,4.8413
NIS,2050,wind_onshore,Elec,build,2.05420133280719
NIS,2050,wind_onshore,Elec,total,2.05420133280719
NIS,2050,wind_onshore,Elec,upperLimit,9.92282
OTG,2050,Battery,Elec,build,11.372928522412431
OTG,2050,Battery,Elec,total,11.372928522412431
OTG,2050,Battery,Elec,upperLimit,50.0
OTG,2050,Battery,Elec_battery,build,11.08860530935212
OTG,2050,Battery,Elec_battery,total,11.08860530935212
OTG,2050,Battery,Elec_battery,upperLimit,48.75
OTG,2050,pv_central_fixed,Elec,build,25.195143593968695
OTG,2050,pv_central_fixed,Elec,total,25.195143593968695
OTG,2050,pv_central_fixed,Elec,upperLimit,1165.37525
OTG,2050,pv_central_track_azimuth,Elec,build,4.2307892996175154e-05
OTG,2050,pv_central_track_azimuth,Elec,total,4.2307892996175154e-05
OTG,2050,pv_central_track_azimuth,Elec,upperLimit,1152.8751499999998
OTG,2050,pv_decentral,Elec,build,7.0514404685009715e-06
OTG,2050,pv_decentral,Elec,total,7.0514404685009715e-06
OTG,2050,pv_decentral,Elec,upperLimit,0.48821
OTG,2050,wind_offshore_floating,Elec,build,4.484109159419814e-06
OTG,2050,wind_offshore_floating,Elec,total,4.484109159419814e-06
OTG,2050,wind_offshore_floating,Elec,upperLimit,156.56917
OTG,2050,wind_offshore_foundation,Elec,build,2.472171665572946e-06
OTG,2050,wind_offshore_foundation,Elec,total,2.472171665572946e-06
OTG,2050,wind_offshore_foundation,Elec,upperLimit,9.93186
OTG,2050,wind_onshore,Elec,build,8.00482544937856e-05
OTG,2050,wind_onshore,Elec,total,8.00482544937856e-05
OTG,2050,wind_onshore,Elec,upperLimit,34.969080000000005
TRN,2050,Battery,Elec,build,6.817649379127348
TRN,2050,Battery,Elec,total,6.817649379127348
TRN,2050,Battery,Elec,upperLimit,50.0
TRN,2050,Battery,Elec_battery,build,6.647208144649164
TRN,2050,Battery,Elec_battery,total,6.647208144649164
TRN,2050,Battery,Elec_battery,upperLimit,48.75
TRN,2050,pv_central_fixed,Elec,build,18.811473281298497
TRN,2050,pv_central_fixed,Elec,total,18.811473281298497
TRN,2050,pv_central_fixed,Elec,upperLimit,155.54731
TRN,2050,pv_central_track_azimuth,Elec,build,4.62285173440793e-05
TRN,2050,pv_central_track_azimuth,Elec,total,4.62285173440793e-05
TRN,2050,pv_central_track_azimuth,Elec,upperLimit,155.54731
TRN,2050,pv_decentral,Elec,build,7.56283227712149e-06
TRN,2050,pv_decentral,Elec,total,7.56283227712149e-06
TRN,2050,pv_decentral,Elec,upperLimit,0.26493
TRN,2050,wind_offshore_floating,Elec,build,4.6939750841498945e-06
TRN,2050,wind_offshore_floating,Elec,total,4.6939750841498945e-06
TRN,2050,wind_offshore_floating,Elec,upperLimit,70.73452999999999
TRN,2050,wind_offshore_foundation,Elec,build,4.70805587574144e-06
TRN,2050,wind_offshore_foundation,Elec,total,4.70805587574144e-06
TRN,2050,wind_offshore_foundation,Elec,upperLimit,8.922930000000001
TRN,2050,wind_onshore,Elec,build,2.617993002658251e-05
TRN,2050,wind_onshore,Elec,total,2.617993002658251e-05
TRN,2050,wind_onshore,Elec,upperLimit,6.61795
WEL,2050,Battery,Elec,build,0.282515198328087
WEL,2050,Battery,Elec,total,0.282515198328087
