indicator,accNodesData,storage_techs,vintage,perUnitBuild,useAnnuity,amorTime,interest
Invest,global,Battery,2020,936.0,1,20,0.06
Invest,global,Battery,2030,440.0,1,20,0.06
Invest,global,Battery,2040,304.0,1,20,0.06
Invest,global,Battery,2050,244.0,1,20,0.06
Invest,global,H2_storage,2020,131.91,1,40,0.06
Invest,global,H2_storage,2030,131.91,1,40,0.06
Invest,global,H2_storage,2040,131.91,1,40,0.06
Invest,global,H2_storage,2050,131.91,1,40,0.06
Invest,global,Hydro,2000,1650.0,1,20,0.06
Invest,global,Hydro,2020,1650.0,1,20,0.06
Invest,global,Hydro,2030,1650.0,1,20,0.06
Invest,global,Hydro,2040,1650.0,1,20,0.06
Invest,global,Hydro,2050,1650.0,1,20,0.06
OMFix,global,Battery,2020,0.0,0,0,0.0
OMFix,global,Battery,2030,0.0,0,0,0.0
OMFix,global,Battery,2040,0.0,0,0,0.0
OMFix,global,Battery,2050,0.0,0,0,0.0
OMFix,global,H2_storage,2020,0.0,0,0,0.0
OMFix,global,H2_storage,2030,0.0,0,0,0.0
OMFix,global,H2_storage,2040,0.0,0,0,0.0
OMFix,global,H2_storage,2050,0.0,0,0,0.0
OMFix,global,Hydro,2000,0.0,0,0,0.0
OMFix,global,Hydro,2020,0.0,0,0,0.0
OMFix,global,Hydro,2030,0.0,0,0,0.0
OMFix,global,Hydro,2040,0.0,0,0,0.0
OMFix,global,Hydro,2050,0.0,0,0,0.0
