accNodesModel,accYears,techs,commodity,capType,value
AKL,2000,BIO,Elec,upperLimit,100.0
AKL,2000,COAL,Elec,upperLimit,100.0
AKL,2000,GT,Elec,upperLimit,100.0
AKL,2001,BIO,Elec,upperLimit,100.0
AKL,2001,COAL,Elec,upperLimit,100.0
AKL,2001,GT,Elec,upperLimit,100.0
AKL,2002,BIO,Elec,upperLimit,100.0
AKL,2002,COAL,Elec,upperLimit,100.0
AKL,2002,GT,Elec,upperLimit,100.0
AKL,2003,BIO,Elec,build,0.007
AKL,2003,BIO,Elec,total,0.007
AKL,2003,BIO,Elec,upperLimit,100.0
AKL,2003,COAL,Elec,upperLimit,100.0
AKL,2003,GT,Elec,upperLimit,100.0
AKL,2004,BIO,Elec,total,0.007
AKL,2004,BIO,Elec,upperLimit,100.0
AKL,2004,COAL,Elec,upperLimit,100.0
AKL,2004,GT,Elec,upperLimit,100.0
AKL,2005,BIO,Elec,total,0.007
AKL,2005,BIO,Elec,upperLimit,100.0
AKL,2005,COAL,Elec,upperLimit,100.0
AKL,2005,GT,Elec,build,0.0036
AKL,2005,GT,Elec,total,0.0036
AKL,2005,GT,Elec,upperLimit,100.0
AKL,2006,BIO,Elec,total,0.007
AKL,2006,BIO,Elec,upperLimit,100.0
AKL,2006,COAL,Elec,upperLimit,100.0
AKL,2006,GT,Elec,total,0.0036
AKL,2006,GT,Elec,upperLimit,100.0
AKL,2007,BIO,Elec,total,0.007
AKL,2007,BIO,Elec,upperLimit,100.0
AKL,2007,COAL,Elec,upperLimit,100.0
AKL,2007,GT,Elec,total,0.0036
AKL,2007,GT,Elec,upperLimit,100.0
AKL,2008,BIO,Elec,total,0.007
AKL,2008,BIO,Elec,upperLimit,100.0
AKL,2008,COAL,Elec,upperLimit,100.0
AKL,2008,GT,Elec,total,0.0036
AKL,2008,GT,Elec,upperLimit,100.0
AKL,2009,BIO,Elec,total,0.007
AKL,2009,BIO,Elec,upperLimit,100.0
AKL,2009,COAL,Elec,upperLimit,100.0
AKL,2009,GT,Elec,total,0.0036
AKL,2009,GT,Elec,upperLimit,100.0
AKL,2010,BIO,Elec,total,0.007
AKL,2010,BIO,Elec,upperLimit,100.0
AKL,2010,COAL,Elec,upperLimit,100.0
AKL,2010,GT,Elec,total,0.0036
AKL,2010,GT,Elec,upperLimit,100.0
AKL,2011,BIO,Elec,total,0.007
AKL,2011,BIO,Elec,upperLimit,100.0
AKL,2011,COAL,Elec,upperLimit,100.0
AKL,2011,GT,Elec,total,0.0036
AKL,2011,GT,Elec,upperLimit,100.0
AKL,2012,BIO,Elec,total,0.007
AKL,2012,BIO,Elec,upperLimit,100.0
AKL,2012,COAL,Elec,upperLimit,100.0
AKL,2012,GT,Elec,total,0.0036
AKL,2012,GT,Elec,upperLimit,100.0
AKL,2013,BIO,Elec,total,0.007
AKL,2013,BIO,Elec,upperLimit,100.0
AKL,2013,COAL,Elec,upperLimit,100.0
AKL,2013,GT,Elec,total,0.0036
AKL,2013,GT,Elec,upperLimit,100.0
AKL,2014,BIO,Elec,total,0.007
AKL,2014,BIO,Elec,upperLimit,100.0
