accNodesModel,accYears,techs,commodity,capType,value
AKL,2020,Battery,Elec,total,0.5414299745339568
AKL,2020,PV,Elec,total,0.772052553698739
AKL,2020,Wind,Elec,total,7.048758661412043e-06
AKL,2030,Battery,Elec,total,0.5638455607277457
AKL,2030,PV,Elec,total,0.7721537882844982
AKL,2030,Wind,Elec,total,0.17900643460784574
AKL,2040,Battery,Elec,total,0.9115474153047969
AKL,2040,PV,Elec,total,0.7722163388673093
AKL,2040,Wind,Elec,total,0.1790151792050179
AKL,2050,Battery,Elec,total,0.37071678994733226
AKL,2050,PV,Elec,total,0.7722784157080982
AKL,2050,Wind,Elec,total,2.2977657539136755
BOP,2020,Battery,Elec,total,0.6659268873528187
BOP,2020,PV,Elec,total,1.5680369387095725
BOP,2020,Wind,Elec,total,3.814915863467299e-05
BOP,2030,Battery,Elec,total,0.6660964106862239
BOP,2030,PV,Elec,total,1.83485028632022
BOP,2030,Wind,Elec,total,5.435677932443871e-05
BOP,2040,Battery,Elec,total,1.2992234026544942
BOP,2040,PV,Elec,total,1.834948260934409
BOP,2040,Wind,Elec,total,6.629286774119527e-05
BOP,2050,Battery,Elec,total,0.9637672399868974
BOP,2050,PV,Elec,total,2.3458373205192844
BOP,2050,Wind,Elec,total,0.00045702432741441377
CAN,2020,Battery,Elec,total,0.7678428030833525
CAN,2020,PV,Elec,total,2.0489325495617785
CAN,2020,Wind,Elec,total,3.415226540103258e-06
CAN,2030,Battery,Elec,total,3.9646400057968982
CAN,2030,PV,Elec,total,9.149902902944554
CAN,2030,Wind,Elec,total,5.408233398531584e-06
CAN,2040,Battery,Elec,total,5.596173831961727
CAN,2040,PV,Elec,total,10.562412981498559
CAN,2040,Wind,Elec,total,8.60825626115177e-06
CAN,2050,Battery,Elec,total,13.819087151968155
CAN,2050,PV,Elec,total,21.538474340523717
CAN,2050,Wind,Elec,total,1.2092789949461166e-05
CEN,2020,Battery,Elec,total,0.12927201199350397
CEN,2020,PV,Elec,total,4.238671902203326e-05
CEN,2020,Wind,Elec,total,3.3687408916507905e-06
CEN,2030,Battery,Elec,total,0.12939906300837073
CEN,2030,PV,Elec,total,7.408105366595366e-05
CEN,2030,Wind,Elec,total,6.987272838947342e-06
CEN,2040,Battery,Elec,total,0.13078444031238026
CEN,2040,PV,Elec,total,9.928028961856643e-05
CEN,2040,Wind,Elec,total,1.1572320128634407e-05
CEN,2050,Battery,Elec,total,0.042253128061537526
CEN,2050,PV,Elec,total,0.00013750999165883547
CEN,2050,Wind,Elec,total,1.796338253959218e-05
HBY,2020,Battery,Elec,total,0.09495145887398529
HBY,2020,PV,Elec,total,2.1356656681952106e-05
HBY,2020,Wind,Elec,total,0.6368905842906295
