accNodesModel,accYears,indicator,value
AKL,2020,CO2_emission,335.33340503007963
AKL,2020,FuelCost,335.33340503007963
AKL,2020,Invest,32.811076330532806
AKL,2020,OMFix,2.587348534886221
AKL,2020,SlackCost,4.157035043021179e-06
AKL,2020,SystemCost,370.7318340525337
AKL,2030,CO2_emission,79.41949450041528
AKL,2030,FuelCost,79.41949450041528
AKL,2030,Invest,145.07058459784292
AKL,2030,OMFix,3.6019997313629712
AKL,2030,SlackCost,4.2089689925068425
AKL,2030,SystemCost,232.30104782212803
AKL,2040,CO2_emission,495.14000293530165
AKL,2040,FuelCost,495.14000293530165
AKL,2040,Invest,233.45248797906166
AKL,2040,OMFix,5.365959441801946
AKL,2040,SlackCost,0.39968115666754056
AKL,2040,SystemCost,734.3581315128328
AKL,2050,CO2_emission,682.4280091408478
AKL,2050,FuelCost,682.4280091408478
AKL,2050,Invest,297.92728986864995
AKL,2050,OMFix,8.465809713648694
AKL,2050,SlackCost,3.3890994604963045
AKL,2050,SystemCost,992.2102081836427
AKL,horizon,CO2_emission,1592.3209116066446
AKL,horizon,FuelCost,1592.3209116066446
AKL,horizon,Invest,709.2614387760873
AKL,horizon,OMFix,20.021117421699834
AKL,horizon,SlackCost,7.997753766705731
AKL,horizon,SystemCost,2329.601221571137
BOP,2020,CO2_emission,0.37663389128271446
BOP,2020,FuelCost,0.37663389128271446
BOP,2020,Invest,54.03696114327695
BOP,2020,OMFix,0.20351909658558626
BOP,2020,SlackCost,0.15105673610632725
BOP,2020,SystemCost,54.76817086725158
BOP,2030,CO2_emission,9.820428957448202
BOP,2030,FuelCost,9.820428957448202
BOP,2030,Invest,71.94905525384232
BOP,2030,OMFix,0.31561476537746813
BOP,2030,SlackCost,2.270914988368695e-06
BOP,2030,SystemCost,82.08510124758297
BOP,2040,CO2_emission,36.12759684792171
BOP,2040,FuelCost,36.12759684792171
BOP,2040,Invest,140.93763871390658
BOP,2040,OMFix,0.47556215450947886
BOP,2040,SlackCost,4.7322507615203444e-05
BOP,2040,SystemCost,177.54084503884536
BOP,2050,CO2_emission,82.57713959575419
BOP,2050,FuelCost,82.57713959575419
BOP,2050,Invest,217.12266578631738
BOP,2050,OMFix,0.6233714237197581
BOP,2050,SlackCost,0.00021122470295547352
BOP,2050,SystemCost,300.3233880304943
BOP,horizon,CO2_emission,128.90179929240682
BOP,horizon,FuelCost,128.90179929240682
BOP,horizon,Invest,484.0463208973432
BOP,horizon,OMFix,1.6180674401922912
BOP,horizon,SlackCost,0.1513175542318863
BOP,horizon,SystemCost,614.7175051841742
CAN,2020,CO2_emission,1.0937093827875271e-05
CAN,2020,FuelCost,1.0937093827875271e-05
CAN,2020,Invest,14.056462902056277
CAN,2020,OMFix,2.0149417251250443
CAN,2020,SlackCost,4.422108319939587e-06
CAN,2020,SystemCost,16.071419986383468
CAN,2030,CO2_emission,1.483048250698892e-05
CAN,2030,FuelCost,1.483048250698892e-05
CAN,2030,Invest,24.271186775939242
CAN,2030,OMFix,4.943942990206802
CAN,2030,SlackCost,7.892803341450397e-07
CAN,2030,SystemCost,29.215145385908883
CAN,2040,CO2_emission,0.00020180207094802518
CAN,2040,FuelCost,0.00020180207094802518
CAN,2040,Invest,31.277878449869867
CAN,2040,OMFix,8.928669176215152
CAN,2040,SlackCost,5.968147020388707e-06
CAN,2040,SystemCost,40.20675539630299
CAN,2050,CO2_emission,12.107440277134398
CAN,2050,FuelCost,12.107440277134398
CAN,2050,Invest,40.8750076008632
CAN,2050,OMFix,12.799232095717116
CAN,2050,SlackCost,4.6495129325592235e-05
CAN,2050,SystemCost,65.78172646884404
CAN,horizon,CO2_emission,12.10766784678168
CAN,horizon,FuelCost,12.10766784678168
CAN,horizon,Invest,110.48053572872858
CAN,horizon,OMFix,28.686785987264116
CAN,horizon,SlackCost,5.767466500006557e-05
CAN,horizon,SystemCost,151.2750472374394
CEN,2020,Invest,56.80135935313106
CEN,2020,OMFix,0.6444443803035576
CEN,2020,SlackCost,4.06464429275385e-06
CEN,2020,SystemCost,57.44580779807891
CEN,2030,CO2_emission,5.1012690607994435e-05
CEN,2030,FuelCost,5.1012690607994435e-05
CEN,2030,Invest,65.2301349822301
CEN,2030,OMFix,3.037282074704782
CEN,2030,SlackCost,7.405100351969887e-07
CEN,2030,SystemCost,68.26746881013551
CEN,2040,CO2_emission,0.0040026841755963875
CEN,2040,FuelCost,0.0040026841755963875
CEN,2040,Invest,39.53263899268542
CEN,2040,OMFix,5.631368204173598
CEN,2040,SlackCost,5.89192691185755
CEN,2040,SystemCost,51.05993679289217
CEN,2050,CO2_emission,41.10924934455597
CEN,2050,FuelCost,41.10924934455597
CEN,2050,Invest,37.97206464541291
CEN,2050,OMFix,8.48241434821644
CEN,2050,SlackCost,6.428911493152427
CEN,2050,SystemCost,93.99263983133774
CEN,horizon,CO2_emission,41.11330304142217
CEN,horizon,FuelCost,41.11330304142217
CEN,horizon,Invest,199.53619797345948
CEN,horizon,OMFix,17.79550900739838
CEN,horizon,SlackCost,12.320843210164306
CEN,horizon,SystemCost,270.76585323244433
HBY,2020,CO2_emission,1.838051746586855
HBY,2020,FuelCost,1.838051746586855
HBY,2020,Invest,14.999906967318715
HBY,2020,OMFix,0.3682765843600613
HBY,2020,SlackCost,4.452030543142798e-06
HBY,2020,SystemCost,17.206239750296174
HBY,2030,CO2_emission,4.990734829779767
HBY,2030,FuelCost,4.990734829779767
HBY,2030,Invest,23.82440681546842
HBY,2030,OMFix,0.4026343411769194
HBY,2030,SlackCost,1.8253128141517028e-06
HBY,2030,SystemCost,29.217777811737925
HBY,2040,CO2_emission,55.40512741256143
HBY,2040,FuelCost,55.40512741256143
HBY,2040,Invest,28.47800958389816
HBY,2040,OMFix,0.6208152358763953
HBY,2040,SlackCost,1.9956300343705317e-05
HBY,2040,SystemCost,84.50397218863633
HBY,2050,CO2_emission,108.52303156156675
HBY,2050,FuelCost,108.52303156156675
HBY,2050,Invest,36.8922145231948
HBY,2050,OMFix,0.7369785605181833
HBY,2050,SlackCost,0.0005355682183152383
HBY,2050,SystemCost,146.15276021349806
HBY,horizon,CO2_emission,170.7569455504948
HBY,horizon,FuelCost,170.7569455504948
HBY,horizon,Invest,104.19453788988011
HBY,horizon,OMFix,2.128704721931559
HBY,horizon,SlackCost,0.0005618018620162381
HBY,horizon,SystemCost,277.0807499641685
NEL,2020,Invest,2.2328061486077666
NEL,2020,OMFix,0.2994468844609774
NEL,2020,SlackCost,0.031513046342474066
NEL,2020,SystemCost,2.5637660794112183
NEL,2030,CO2_emission,0.48690176602810026
NEL,2030,FuelCost,0.48690176602810026
NEL,2030,Invest,17.661441604754533
NEL,2030,OMFix,0.396236961908764
NEL,2030,SlackCost,7.494309585679253e-07
NEL,2030,SystemCost,18.544581082122356
NEL,2040,CO2_emission,36.69692731935608
NEL,2040,FuelCost,36.69692731935608
NEL,2040,Invest,33.34055026190463
NEL,2040,OMFix,0.5522152142779204
NEL,2040,SlackCost,5.952161501153959e-06
NEL,2040,SystemCost,70.58969874770013
NEL,2050,CO2_emission,73.50316253725548
NEL,2050,FuelCost,73.50316253725548
NEL,2050,Invest,41.860004693573245
NEL,2050,OMFix,0.711063602827384
NEL,2050,SlackCost,5.106085890725903e-05
NEL,2050,SystemCost,116.07428189451501
NEL,horizon,CO2_emission,110.68699162263965
NEL,horizon,FuelCost,110.68699162263965
NEL,horizon,Invest,95.09480270884018
NEL,horizon,OMFix,1.9589626634750459
NEL,horizon,SlackCost,0.03157080879384105
NEL,horizon,SystemCost,207.7723278037487
NIS,2020,CO2_emission,0.22343852428651095
NIS,2020,FuelCost,0.22343852428651095
NIS,2020,Invest,12.153949843729425
NIS,2020,OMFix,0.4470425310766001
NIS,2020,SlackCost,0.42509594178449167
NIS,2020,SystemCost,13.249526840877026
NIS,2030,CO2_emission,71.55641698195164
NIS,2030,FuelCost,71.55641698195164
NIS,2030,Invest,156.54976087855098
NIS,2030,OMFix,1.2292703775822236
NIS,2030,SlackCost,1.151613852991355
NIS,2030,SystemCost,230.48706209107618
NIS,2040,CO2_emission,121.06588593834975
NIS,2040,FuelCost,121.06588593834975
NIS,2040,Invest,328.2157533763712
NIS,2040,OMFix,2.4275534824775997
NIS,2040,SlackCost,0.8466536571864858
NIS,2040,SystemCost,452.55584645438506
NIS,2050,CO2_emission,130.9420392475447
NIS,2050,FuelCost,130.9420392475447
NIS,2050,Invest,588.8881945185859
NIS,2050,OMFix,4.8257391778912355
NIS,2050,SlackCost,1.1800031155483697
NIS,2050,SystemCost,725.8359760595703
NIS,horizon,CO2_emission,323.7877806921326
NIS,horizon,FuelCost,323.7877806921326
NIS,horizon,Invest,1085.8076586172374
NIS,horizon,OMFix,8.929605569027657
NIS,horizon,SlackCost,3.6033665675107023
NIS,horizon,SystemCost,1422.1284114459083
OTG,2020,CO2_emission,9.250688792540197e-06
OTG,2020,FuelCost,9.250688792540197e-06
OTG,2020,Invest,16.985900375223842
OTG,2020,OMFix,0.8322375428692163
OTG,2020,SlackCost,4.420895325236201e-06
OTG,2020,SystemCost,17.818151589677175
OTG,2030,CO2_emission,1.0198326771646872e-05
OTG,2030,FuelCost,1.0198326771646872e-05
OTG,2030,Invest,271.52167584928833
OTG,2030,OMFix,1.7048520469566415
OTG,2030,SlackCost,7.821911167750741e-07
OTG,2030,SystemCost,273.2265388767629
OTG,2040,CO2_emission,0.00016426124188441676
OTG,2040,FuelCost,0.00016426124188441676
OTG,2040,Invest,703.7897603395471
OTG,2040,OMFix,3.8004907680988143
OTG,2040,SlackCost,5.784394432544554e-06
OTG,2040,SystemCost,707.5904211532824
OTG,2050,CO2_emission,6.277763956845867
OTG,2050,FuelCost,6.277763956845867
OTG,2050,Invest,1137.4827523381618
OTG,2050,OMFix,5.859529946757019
OTG,2050,SlackCost,1.3909757573267498
OTG,2050,SystemCost,1151.0110219990913
OTG,horizon,CO2_emission,6.277947667103315
OTG,horizon,FuelCost,6.277947667103315
OTG,horizon,Invest,2129.780088902221
OTG,horizon,OMFix,12.19711030468169
OTG,horizon,SlackCost,1.3909867448076243
OTG,horizon,SystemCost,2149.646133618814
TRN,2020,CO2_emission,352.9556003798683
TRN,2020,FuelCost,352.9556003798683
TRN,2020,Invest,57.46187420104671
TRN,2020,OMFix,0.40100400809854797
TRN,2020,SlackCost,4.055481969430619e-06
TRN,2020,SystemCost,410.81848264449553
TRN,2030,CO2_emission,10.371025744733087
TRN,2030,FuelCost,10.371025744733087
TRN,2030,Invest,43.230281798990625
TRN,2030,OMFix,0.6117609434534823
TRN,2030,SlackCost,6.721558477027247e-07
TRN,2030,SystemCost,54.213069159333045
TRN,2040,CO2_emission,54.516077517738466
TRN,2040,FuelCost,54.516077517738466
TRN,2040,Invest,45.95101864075459
TRN,2040,OMFix,0.6718891122411046
TRN,2040,SlackCost,5.836485388948871e-06
TRN,2040,SystemCost,101.13899110721955
TRN,2050,CO2_emission,79.03251210843403
TRN,2050,FuelCost,79.03251210843403
TRN,2050,Invest,36.91087962084289
TRN,2050,OMFix,0.8088782533679847
TRN,2050,SlackCost,0.6101073191016767
TRN,2050,SystemCost,117.36237730174658
TRN,horizon,CO2_emission,496.8752157507739
TRN,horizon,FuelCost,496.8752157507739
TRN,horizon,Invest,183.5540542616348
TRN,horizon,OMFix,2.4935323171611197
TRN,horizon,SlackCost,0.6101178832248828
TRN,horizon,SystemCost,683.5329202127947
WEL,2020,CO2_emission,0.08620951373098847
WEL,2020,FuelCost,0.08620951373098847
WEL,2020,Invest,30.087550598601744
WEL,2020,OMFix,1.0760656353193685
WEL,2020,SlackCost,4.066183995646341e-06
WEL,2020,SystemCost,31.249829813836097
WEL,2030,CO2_emission,3.1828723637718704e-05
WEL,2030,FuelCost,3.1828723637718704e-05
WEL,2030,Invest,195.97718378556814
WEL,2030,OMFix,4.298841092501974
WEL,2030,SlackCost,0.14568532073122772
WEL,2030,SystemCost,200.421742027525
WEL,2040,CO2_emission,14.773534742184168
WEL,2040,FuelCost,14.773534742184168
WEL,2040,Invest,271.70195271902236
WEL,2040,OMFix,7.420819226857263
WEL,2040,SlackCost,5.658385389929132
WEL,2040,SystemCost,299.5546920779929
WEL,2050,CO2_emission,94.38168481426271
WEL,2050,FuelCost,94.38168481426271
WEL,2050,Invest,443.54025212148326
WEL,2050,OMFix,10.544192464847992
WEL,2050,SlackCost,0.21224091174495271
WEL,2050,SystemCost,548.678370312339
WEL,horizon,CO2_emission,109.24146089890151
WEL,horizon,FuelCost,109.24146089890151
WEL,horizon,Invest,941.3069392246755
WEL,horizon,OMFix,23.339918419526597
WEL,horizon,SlackCost,6.016315688589308
WEL,horizon,SystemCost,1079.9046342316929
WTO,2020,CO2_emission,1040.0930646241454
WTO,2020,FuelCost,1040.0930646241454
WTO,2020,Invest,305.3662806897118
WTO,2020,OMFix,2.3064865250522883
WTO,2020,SlackCost,4.460960519630201e-06
WTO,2020,SystemCost,1347.7658362998702
WTO,2030,CO2_emission,36.25894779350294
WTO,2030,FuelCost,36.25894779350294
WTO,2030,Invest,289.1317695389439
WTO,2030,OMFix,3.535549701413436
WTO,2030,SlackCost,8.366395364190518e-07
WTO,2030,SystemCost,328.9262678704998
WTO,2040,CO2_emission,0.00025932099079344133
WTO,2040,FuelCost,0.00025932099079344133
WTO,2040,Invest,261.0154456492807
WTO,2040,OMFix,5.188082666335123
WTO,2040,SlackCost,7.752789548711143e-06
WTO,2040,SystemCost,266.20379538939613
WTO,2050,CO2_emission,0.0024858727284841715
WTO,2050,FuelCost,0.0024858727284841715
WTO,2050,Invest,263.1726928087769
WTO,2050,OMFix,7.16477131728832
WTO,2050,SlackCost,4.4209277925103426e-05
WTO,2050,SystemCost,270.33999420807163
WTO,horizon,CO2_emission,1076.3547576113679
WTO,horizon,FuelCost,1076.3547576113679
WTO,horizon,Invest,1118.6861886867134
WTO,horizon,OMFix,18.194890210089167
WTO,horizon,SlackCost,5.7259667529863825e-05
WTO,horizon,SystemCost,2213.2358937678378
global,2020,CO2_emission,1730.906423897763
global,2020,FuelCost,1730.906423897763
global,2020,Invest,596.9941285532371
global,2020,OMFix,11.18081344813747
global,2020,SlackCost,0.6076998235733019
global,2020,SystemCost,2339.689065722711
global,2030,CO2_emission,212.90405844408258
global,2030,FuelCost,212.90405844408258
global,2030,Invest,1304.4174818814195
global,2030,OMFix,24.077985026645464
global,2030,SlackCost,5.506276832665057
global,2030,SystemCost,1546.9058021848125
global,2040,CO2_emission,813.7297807818926
global,2040,FuelCost,813.7297807818926
global,2040,Invest,2117.6931347063023
global,2040,OMFix,41.0834246828644
global,2040,SlackCost,12.79674568842656
global,2040,SystemCost,2985.3030858594852
global,2050,CO2_emission,1310.8845184569302
global,2050,FuelCost,1310.8845184569302
global,2050,Invest,3142.6440185258625
global,2050,OMFix,61.021980904800124
global,2050,SlackCost,13.212226615557908
global,2050,SystemCost,4527.762744503149
global,horizon,CO2_emission,4068.424781580668
global,horizon,FuelCost,4068.424781580668
global,horizon,Invest,7161.748763666821
global,horizon,OMFix,137.36420406244747
global,horizon,SlackCost,32.12294896022282
global,horizon,SystemCost,11399.66069827016
