,,value,value,value,value,value,value,value,value,value,value,value,value
techs,,Biomass,Coal,Diesel,Gas,Geothermal,HV,Hydro,Offshore wind,Onshore wind,PV,Slack,Wholesale
accYears,accNodesModel,,,,,,,,,,,,
2020,AKL,0.12,964.61,0.0,0.03,0.0,7160.06,0.0,0.0,0.0,0.0,0.0,-8124.82
2020,BOP,0.0,0.0,0.0,0.88,1379.62,478.37,744.21,0.0,0.0,0.0,0.02,-2603.1
2020,CAN,0.0,0.0,0.0,0.0,0.0,-1492.63,7867.78,0.0,0.79,0.0,0.0,-6375.94
2020,CEN,0.0,0.0,0.0,0.0,0.0,-682.93,1205.53,0.0,1436.17,0.0,0.0,-1958.77
2020,HBY,0.12,0.0,3.62,0.0,0.0,1418.57,375.08,0.0,0.0,0.0,0.0,-1797.39
2020,NEL,0.0,0.0,0.0,0.0,0.0,1042.36,164.71,0.0,3.99,0.0,0.0,-1211.07
2020,NIS,0.04,0.0,0.41,0.0,197.03,1759.66,0.0,0.0,0.0,0.0,0.04,-1957.19
2020,OTG,0.0,0.0,0.0,0.0,0.0,-2101.36,10337.38,0.0,222.73,0.0,0.0,-8458.76
2020,TRN,0.0,0.0,0.0,1015.15,0.0,-486.91,0.0,0.0,373.26,0.0,0.0,-901.5
2020,WEL,0.18,0.0,0.0,0.0,0.0,2163.32,0.0,0.0,749.95,0.0,0.0,-2913.45
2020,WTO,0.0,0.0,0.0,2991.52,6590.88,-9654.88,3358.61,0.0,137.47,0.0,0.0,-3423.6
2020,global,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,AKL,0.08,0.0,0.0,235.42000000000002,0.0,6283.81,0.0,0.0,2337.67,2950.26,0.42,-11807.66
2030,BOP,0.0,0.0,0.0,29.14,1307.24,635.39,1013.11,0.0,64.05,740.04,0.0,-3788.97
2030,CAN,0.0,0.0,0.0,0.0,0.0,2909.49,6069.88,0.0,0.12,293.52,0.0,-9273.0
2030,CEN,0.0,0.0,0.0,0.0,0.0,-110.21,1694.1,0.0,1264.69,0.0,0.0,-2848.58
2030,HBY,0.13,0.0,1.58,12.329999999999998,0.0,1371.68,660.73,0.0,0.0,567.54,0.0,-2614.0
2030,NEL,0.0,0.0,0.0,1.13,0.0,529.97,228.97,0.0,3.47,996.55,0.0,-1760.09
2030,NIS,0.0,0.0,0.2,213.51,168.91,-2028.29,0.0,0.0,4492.25,0.0,0.12,-2846.7
2030,OTG,0.0,0.0,0.0,0.0,0.0,-1747.97,6854.17,6998.33,209.02,0.0,0.0,-12313.55
2030,TRN,0.0,0.0,0.0,24.15,0.0,160.4,0.0,0.0,325.28,801.55,0.0,-1311.38
2030,WEL,0.0,0.0,0.0,0.0,0.0,-3167.63,0.0,0.0,6524.38,877.68,0.01,-4234.45
2030,WTO,0.04,0.0,0.0,103.74000000000001,6317.77,-5654.51,4095.03,0.0,117.59,0.0,0.0,-4979.67
2030,global,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,AKL,0.0,0.0,0.0,1476.8100000000002,0.0,9370.21,0.0,0.0,2264.74,2770.13,0.04,-15881.94
2040,BOP,0.0,0.0,0.0,107.64999999999999,1277.99,607.33,594.0,0.0,1348.75,1163.21,0.0,-5098.93
2040,CAN,0.0,0.0,0.0,0.0,0.0,5131.32,7089.63,0.0,0.0,253.53,0.0,-12474.48
2040,CEN,0.0,0.0,0.0,0.0,0.0,2208.93,1147.05,0.0,474.23,0.0,0.59,-3830.82
2040,HBY,0.0,0.0,0.0,166.5,0.0,2439.23,378.26,0.0,0.0,530.97,0.0,-3514.96
2040,NEL,0.0,0.0,0.0,109.26,0.0,1209.44,117.4,0.0,0.1,930.77,0.0,-2366.98
2040,NIS,0.0,0.0,0.07,364.11,146.45,-6053.07,0.0,0.0,8337.57,1034.56,0.08,-3829.79
2040,OTG,0.0,0.0,0.0,0.0,0.0,-10647.85,8572.54,18637.73,8.0,0.0,0.0,-16570.42
2040,TRN,0.0,0.0,0.0,163.11,0.0,558.52,0.0,0.0,295.79,746.81,0.0,-1764.25
2040,WEL,0.0,0.0,0.0,36.28,0.0,-4174.87,0.0,0.0,9034.74,798.24,0.57,-5694.95
2040,WTO,0.0,0.0,0.0,0.0,6127.01,-2750.63,3322.47,0.0,0.0,0.0,0.0,-6698.86
2040,global,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,AKL,0.0,0.0,0.0,2046.99,0.0,11992.19,0.0,0.0,2075.47,4051.82,0.34,-20166.81
2050,BOP,0.0,0.0,0.0,246.95,1205.15,574.43,439.32,0.0,2249.04,1756.86,0.0,-6471.77
2050,CAN,0.0,0.0,0.0,32.44,0.0,8436.92,7122.85,0.0,0.0,246.91,0.0,-15839.14
2050,CEN,0.0,0.0,0.0,120.67,0.0,3386.56,987.93,0.0,0.0,367.82,0.64,-4863.66
2050,HBY,0.0,0.0,0.0,327.40000000000003,0.0,3112.74,495.73,0.0,0.03,527.22,0.0,-4463.14
2050,NEL,0.0,0.0,0.0,220.6,0.0,1819.3,97.14,0.01,0.0,868.76,0.0,-3005.82
2050,NIS,0.0,0.0,0.0,392.46000000000004,134.91,-11206.65,0.0,0.0,13719.05,1822.91,0.12,-4862.82
2050,OTG,0.0,0.0,0.0,16.3,0.0,-14873.05,7719.01,28173.67,0.0,0.0,0.14,-21036.07
2050,TRN,0.0,0.0,0.0,238.67,0.0,1018.76,0.0,0.02,0.06,982.95,0.06,-2240.53
2050,WEL,0.0,0.0,0.0,276.83,0.0,-7342.03,0.0,0.0,13579.5,718.23,0.02,-7232.56
2050,WTO,0.0,0.0,0.0,0.0,5694.12,-321.86,3133.02,0.0,0.0,0.02,0.0,-8505.32
2050,global,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
