accNodesModel,accYears,indicator,value
AKL,2020,CO2_emission,335.33340503007963
AKL,2020,FuelCost,335.33340503007963
AKL,2020,Invest,32.811076330532806
AKL,2020,OMFix,2.587348534886221
AKL,2020,SlackCost,4.157035043021179e-06
AKL,2020,SystemCost,370.7318340525337
AKL,2030,CO2_emission,9.446528366319156e-06
AKL,2030,FuelCost,9.446528366319156e-06
AKL,2030,Invest,250.02119135398573
AKL,2030,OMFix,2.5199506916020384
AKL,2030,SlackCost,5.797403650563446e-07
AKL,2030,SystemCost,252.54115207185652
AKL,2040,Invest,160.88110928463107
AKL,2040,SystemCost,160.88110928463107
AKL,2050,CO2_emission,98.10199741458507
AKL,2050,FuelCost,98.10199741458507
AKL,2050,Invest,778.1665621073803
AKL,2050,OMFix,2.5422411344406193
AKL,2050,SlackCost,7.339243359264783e-06
AKL,2050,SystemCost,878.8108079956493
AKL,horizon,CO2_emission,433.43541189119304
AKL,horizon,FuelCost,433.43541189119304
AKL,horizon,Invest,1221.8799390765298
AKL,horizon,OMFix,7.649540360928879
AKL,horizon,SlackCost,1.2076018767342306e-05
AKL,horizon,SystemCost,1662.9649034046706
BOP,2020,CO2_emission,0.37663389128271446
BOP,2020,FuelCost,0.37663389128271446
BOP,2020,Invest,54.03696114327695
BOP,2020,OMFix,0.20351909658558626
BOP,2020,SlackCost,0.15105673610632725
BOP,2020,SystemCost,54.76817086725158
BOP,2030,CO2_emission,1.0038011710072352e-05
BOP,2030,FuelCost,1.0038011710072352e-05
BOP,2030,Invest,93.66006440390902
BOP,2030,OMFix,0.24075567866849806
BOP,2030,SlackCost,5.761733436004347e-07
BOP,2030,SystemCost,93.90083069676257
BOP,2040,Invest,76.63651114254903
BOP,2040,SystemCost,76.63651114254903
BOP,2050,CO2_emission,18.501487975255575
BOP,2050,FuelCost,18.501487975255575
BOP,2050,Invest,205.40370317040453
BOP,2050,OMFix,0.35941650790797663
BOP,2050,SlackCost,7.2119509985041905e-06
BOP,2050,SystemCost,224.26461486551906
BOP,horizon,CO2_emission,18.87813190455
BOP,horizon,FuelCost,18.87813190455
BOP,horizon,Invest,429.73723986013954
BOP,horizon,OMFix,0.803691283162061
BOP,horizon,SlackCost,0.15106452423066935
BOP,horizon,SystemCost,449.5701275720822
CAN,2020,CO2_emission,1.0937093827875271e-05
CAN,2020,FuelCost,1.0937093827875271e-05
CAN,2020,Invest,14.056462902056277
CAN,2020,OMFix,2.0149417251250443
CAN,2020,SlackCost,4.422108319939587e-06
CAN,2020,SystemCost,16.071419986383468
CAN,2030,CO2_emission,6.911633516644444e-06
CAN,2030,FuelCost,6.911633516644444e-06
CAN,2030,Invest,73.76525486738642
CAN,2030,OMFix,2.886078419322936
CAN,2030,SlackCost,7.038965720731532e-07
CAN,2030,SystemCost,76.65134090223945
CAN,2040,Invest,52.17579010253035
CAN,2040,SystemCost,52.17579010253035
CAN,2050,CO2_emission,0.00016582274811678942
CAN,2050,FuelCost,0.00016582274811678942
CAN,2050,Invest,279.1471199804438
CAN,2050,OMFix,2.902979814953407
CAN,2050,SlackCost,7.762834618690897e-06
CAN,2050,SystemCost,282.05027338097995
CAN,horizon,CO2_emission,0.00018367147546130913
CAN,horizon,FuelCost,0.00018367147546130913
CAN,horizon,Invest,419.1446278524169
CAN,horizon,OMFix,7.803999959401387
CAN,horizon,SlackCost,1.2888839510703638e-05
CAN,horizon,SystemCost,426.94882437213323
CEN,2020,Invest,56.80135935313106
CEN,2020,OMFix,0.6444443803035576
CEN,2020,SlackCost,4.06464429275385e-06
CEN,2020,SystemCost,57.44580779807891
CEN,2030,CO2_emission,7.45523292716027e-06
CEN,2030,FuelCost,7.45523292716027e-06
CEN,2030,Invest,77.35951226984349
CEN,2030,OMFix,1.2848008194606315
CEN,2030,SlackCost,5.736506567490469e-07
CEN,2030,SystemCost,78.6443211181877
CEN,2040,Invest,31.504864598468153
CEN,2040,SystemCost,31.504864598468153
CEN,2050,CO2_emission,5.146770543338565
CEN,2050,FuelCost,5.146770543338565
CEN,2050,Invest,49.57022628700723
CEN,2050,OMFix,1.926912864824438
CEN,2050,SlackCost,7.1196034677924675e-06
CEN,2050,SystemCost,56.643916814773696
CEN,horizon,CO2_emission,5.146777998571492
CEN,horizon,FuelCost,5.146777998571492
CEN,horizon,Invest,215.23596250844992
CEN,horizon,OMFix,3.856158064588627
CEN,horizon,SlackCost,1.1757898417295365e-05
CEN,horizon,SystemCost,224.23891032950843
HBY,2020,CO2_emission,1.838051746586855
HBY,2020,FuelCost,1.838051746586855
HBY,2020,Invest,14.999906967318715
HBY,2020,OMFix,0.3682765843600613
HBY,2020,SlackCost,4.452030543142798e-06
HBY,2020,SystemCost,17.206239750296174
HBY,2030,CO2_emission,0.39537698374367497
HBY,2030,FuelCost,0.39537698374367497
HBY,2030,Invest,38.731705910683196
HBY,2030,OMFix,0.36827719009606735
HBY,2030,SlackCost,7.033238579158236e-07
HBY,2030,SystemCost,39.49536078784679
HBY,2040,Invest,18.31949272273634
HBY,2040,SystemCost,18.31949272273634
HBY,2050,CO2_emission,12.731592856256224
HBY,2050,FuelCost,12.731592856256224
HBY,2050,Invest,36.00436658728619
HBY,2050,OMFix,0.6588593515233259
HBY,2050,SlackCost,7.79042025936627e-06
HBY,2050,SystemCost,49.394826585486
HBY,horizon,CO2_emission,14.965021586586754
HBY,horizon,FuelCost,14.965021586586754
HBY,horizon,Invest,108.05547218802445
HBY,horizon,OMFix,1.3954131259794544
HBY,horizon,SlackCost,1.2945774660424892e-05
HBY,horizon,SystemCost,124.4159198463653
NEL,2020,Invest,2.2328061486077666
NEL,2020,OMFix,0.2994468844609774
NEL,2020,SlackCost,0.031513046342474066
NEL,2020,SystemCost,2.5637660794112183
NEL,2030,CO2_emission,7.0221600850663975e-06
NEL,2030,FuelCost,7.0221600850663975e-06
NEL,2030,Invest,50.78198794839544
NEL,2030,OMFix,0.29944711815457836
NEL,2030,SlackCost,5.748009023055653e-07
NEL,2030,SystemCost,51.081442663511005
NEL,2040,Invest,27.554453383297833
NEL,2040,SystemCost,27.554453383297833
NEL,2050,CO2_emission,0.3796404422299392
NEL,2050,FuelCost,0.3796404422299392
NEL,2050,Invest,115.77169844687589
NEL,2050,OMFix,0.32199752167011253
NEL,2050,SlackCost,6.897899930775287e-06
NEL,2050,SystemCost,116.47334330867588
NEL,horizon,CO2_emission,0.3796474643900243
NEL,horizon,FuelCost,0.3796474643900243
NEL,horizon,Invest,196.34094592717693
NEL,horizon,OMFix,0.9208915242856683
NEL,horizon,SlackCost,0.031520519043307146
NEL,horizon,SystemCost,197.67300543489594
NIS,2020,CO2_emission,0.22343852428651095
NIS,2020,FuelCost,0.22343852428651095
NIS,2020,Invest,12.153949843729425
NIS,2020,OMFix,0.4470425310766001
NIS,2020,SlackCost,0.42509594178449167
NIS,2020,SystemCost,13.249526840877026
NIS,2030,CO2_emission,0.23012171320342123
NIS,2030,FuelCost,0.23012171320342123
NIS,2030,Invest,86.77881714773928
NIS,2030,OMFix,0.447042959518122
NIS,2030,SlackCost,5.824561065117915e-07
NIS,2030,SystemCost,87.45598240291693
NIS,2040,Invest,72.8078215077546
NIS,2040,SystemCost,72.8078215077546
NIS,2050,CO2_emission,0.0022325645858465113
NIS,2050,FuelCost,0.0022325645858465113
NIS,2050,Invest,313.6575927907272
NIS,2050,OMFix,1.5310766986771216
NIS,2050,SlackCost,7.227800214447085e-06
NIS,2050,SystemCost,315.19090928179037
NIS,horizon,CO2_emission,0.4557928020757787
NIS,horizon,FuelCost,0.4557928020757787
NIS,horizon,Invest,485.3981812899505
NIS,horizon,OMFix,2.425162189271844
NIS,horizon,SlackCost,0.42510375204081263
NIS,horizon,SystemCost,488.7042400333389
OTG,2020,CO2_emission,9.250688792540197e-06
OTG,2020,FuelCost,9.250688792540197e-06
OTG,2020,Invest,16.985900375223842
OTG,2020,OMFix,0.8322375428692163
OTG,2020,SlackCost,4.420895325236201e-06
OTG,2020,SystemCost,17.818151589677175
OTG,2030,CO2_emission,6.7874485517936335e-06
OTG,2030,FuelCost,6.7874485517936335e-06
OTG,2030,Invest,79.32211836306325
OTG,2030,OMFix,0.8322377293358778
OTG,2030,SlackCost,7.0384072451427e-07
OTG,2030,SystemCost,80.15436358368841
OTG,2040,Invest,65.73069348096543
OTG,2040,SystemCost,65.73069348096543
OTG,2050,CO2_emission,0.00015135517259864077
OTG,2050,FuelCost,0.00015135517259864077
OTG,2050,Invest,365.2120512163901
OTG,2050,OMFix,0.7013475940753726
OTG,2050,SlackCost,7.860977765054144e-06
OTG,2050,SystemCost,365.9135580266158
OTG,horizon,CO2_emission,0.0001673933099429746
OTG,horizon,FuelCost,0.0001673933099429746
OTG,horizon,Invest,527.2507634356426
OTG,horizon,OMFix,2.3658228662804666
OTG,horizon,SlackCost,1.2985713814804616e-05
OTG,horizon,SystemCost,529.6167666809469
TRN,2020,CO2_emission,352.9556003798683
TRN,2020,FuelCost,352.9556003798683
TRN,2020,Invest,57.46187420104671
TRN,2020,OMFix,0.40100400809854797
TRN,2020,SlackCost,4.055481969430619e-06
TRN,2020,SystemCost,410.81848264449553
TRN,2030,CO2_emission,6.69564624686273
TRN,2030,FuelCost,6.69564624686273
TRN,2030,Invest,61.42834900659098
TRN,2030,OMFix,0.4235217504307873
TRN,2030,SlackCost,5.758225038310247e-07
TRN,2030,SystemCost,68.547517579707
TRN,2040,Invest,39.47427518827655
TRN,2040,SystemCost,39.47427518827655
TRN,2050,CO2_emission,0.00040549209384729986
TRN,2050,FuelCost,0.00040549209384729986
TRN,2050,Invest,225.2539994362794
TRN,2050,OMFix,1.2786476643333513
TRN,2050,SlackCost,7.1475480987547025e-06
TRN,2050,SystemCost,226.5330597402547
TRN,horizon,CO2_emission,359.6516521188249
TRN,horizon,FuelCost,359.6516521188249
TRN,horizon,Invest,383.6184978321936
TRN,horizon,OMFix,2.1031734228626866
TRN,horizon,SlackCost,1.1778852572016347e-05
TRN,horizon,SystemCost,745.3733351527337
WEL,2020,CO2_emission,0.08620951373098847
WEL,2020,FuelCost,0.08620951373098847
WEL,2020,Invest,30.087550598601744
WEL,2020,OMFix,1.0760656353193685
WEL,2020,SlackCost,4.066183995646341e-06
WEL,2020,SystemCost,31.249829813836097
WEL,2030,CO2_emission,7.131237422976568e-06
WEL,2030,FuelCost,7.131237422976568e-06
WEL,2030,Invest,167.63249331919195
WEL,2030,OMFix,2.399273726577432
WEL,2030,SlackCost,5.733285633626013e-07
WEL,2030,SystemCost,170.0317747503354
WEL,2040,Invest,129.53921715255214
WEL,2040,SystemCost,129.53921715255214
WEL,2050,CO2_emission,14.605126281007694
WEL,2050,FuelCost,14.605126281007694
WEL,2050,Invest,287.13931992758995
WEL,2050,OMFix,2.5321210446041413
WEL,2050,SlackCost,7.059822630596956e-06
WEL,2050,SystemCost,304.2765743130244
WEL,horizon,CO2_emission,14.691342925976105
WEL,horizon,FuelCost,14.691342925976105
WEL,horizon,Invest,614.3985809979358
WEL,horizon,OMFix,6.007460406500941
WEL,horizon,SlackCost,1.1699335189605898e-05
WEL,horizon,SystemCost,635.0973960297481
WTO,2020,CO2_emission,1040.0930646241454
WTO,2020,FuelCost,1040.0930646241454
WTO,2020,Invest,305.3662806897118
WTO,2020,OMFix,2.3064865250522883
WTO,2020,SlackCost,4.460960519630201e-06
WTO,2020,SystemCost,1347.7658362998702
WTO,2030,CO2_emission,19.176080375417648
WTO,2030,FuelCost,19.176080375417648
WTO,2030,Invest,282.31248793485094
WTO,2030,OMFix,2.4420918595588166
WTO,2030,SlackCost,7.132673284415971e-07
WTO,2030,SystemCost,303.9306608830948
WTO,2040,Invest,250.03213983471764
WTO,2040,SystemCost,250.03213983471764
WTO,2050,CO2_emission,0.0003893120037613496
WTO,2050,FuelCost,0.0003893120037613496
WTO,2050,Invest,262.88600967050525
WTO,2050,OMFix,1.9322397484601175
WTO,2050,SlackCost,7.829781916249422e-06
WTO,2050,SystemCost,264.818646560751
WTO,horizon,CO2_emission,1059.2695343115668
WTO,horizon,FuelCost,1059.2695343115668
WTO,horizon,Invest,1100.5969181297855
WTO,horizon,OMFix,6.680818133071222
WTO,horizon,SlackCost,1.3004009764321221e-05
WTO,horizon,SystemCost,2166.5472835784335
global,2020,CO2_emission,1730.906423897763
global,2020,FuelCost,1730.906423897763
global,2020,Invest,596.9941285532371
global,2020,OMFix,11.18081344813747
global,2020,SlackCost,0.6076998235733019
global,2020,SystemCost,2339.689065722711
global,2030,CO2_emission,26.497280111480055
global,2030,FuelCost,26.497280111480055
global,2030,Invest,1261.7939825256396
global,2030,OMFix,14.143477942725784
global,2030,SlackCost,6.8603009243616515e-06
global,2030,SystemCost,1302.4347474401466
global,2040,Invest,924.6563683984792
global,2040,SystemCost,924.6563683984792
global,2050,CO2_emission,149.46996005927724
global,2050,FuelCost,149.46996005927724
global,2050,Invest,2918.21264962089
global,2050,OMFix,16.687839945469985
global,2050,SlackCost,8.124788325949621e-05
global,2050,SystemCost,3084.3705308735202
global,horizon,CO2_emission,1906.8736640685202
global,horizon,FuelCost,1906.8736640685202
global,horizon,Invest,5701.657129098245
global,horizon,OMFix,42.01213133633323
global,horizon,SlackCost,0.6077879317574856
global,horizon,SystemCost,7651.150712434856
