accNodesModel,accYears,techs,commodity,balanceType,value
AKL,2020,BIO,Elec,netto,0.1201846630692693
AKL,2020,BIO,Elec,brutto,0.1201846630692693
AKL,2020,BIO,Elec,positive,0.1201846630692693
AKL,2020,BIO,Elec,flh,9.614773045541543
AKL,2020,Battery,Elec,netto,-8.551129885079695e-06
AKL,2020,Battery,Elec,brutto,8.551129885079695e-06
AKL,2020,Battery,Elec,negative,-8.551129885079695e-06
AKL,2020,Battery,Elec,flh,24.669569537122378
AKL,2020,Battery,Elec_battery,netto,1.7186124791861118e-20
AKL,2020,Battery,Elec_battery,brutto,1.7186124791861118e-20
AKL,2020,Battery,Elec_battery,positive,1.7186124791861118e-20
AKL,2020,Battery,Elec_battery,flh,5.0852395225420844e-14
AKL,2020,COAL,Elec,netto,964.6103135201281
AKL,2020,COAL,Elec,brutto,964.6103135201281
AKL,2020,COAL,Elec,positive,964.6103135201281
AKL,2020,COAL,Elec,flh,8612.592085001144
AKL,2020,GT,Elec,netto,0.03232189277723859
AKL,2020,GT,Elec,brutto,0.03232189277723859
AKL,2020,GT,Elec,positive,0.03232189277723859
AKL,2020,GT,Elec,flh,8.978303549232942
AKL,2020,HV,Elec,netto,7160.056188062758
AKL,2020,HV,Elec,brutto,7160.056188062758
AKL,2020,HV,Elec,positive,7160.056188062758
AKL,2020,Slack,Elec,netto,4.157035043021177e-07
AKL,2020,Slack,Elec,brutto,4.157035043021177e-07
AKL,2020,Slack,Elec,positive,4.157035043021177e-07
AKL,2020,Wholesale,Elec,netto,-8124.819000000011
AKL,2020,Wholesale,Elec,brutto,8124.819000000011
AKL,2020,Wholesale,Elec,negative,-8124.819000000011
AKL,2030,BIO,Elec,netto,0.0810050237059277
AKL,2030,BIO,Elec,brutto,0.0810050237059277
AKL,2030,BIO,Elec,positive,0.0810050237059277
AKL,2030,BIO,Elec,flh,11.57213985370842
AKL,2030,CCGT,Elec,netto,240.5141219113706
AKL,2030,CCGT,Elec,brutto,240.5141219113706
AKL,2030,CCGT,Elec,positive,240.5141219113706
AKL,2030,CCGT,Elec,flh,651.3934698851701
AKL,2030,COAL,Elec,netto,9.114939156667327e-06
AKL,2030,COAL,Elec,brutto,9.114939156667327e-06
AKL,2030,COAL,Elec,positive,9.114939156667327e-06
AKL,2030,COAL,Elec,flh,954.0465357651923
AKL,2030,DIE,Elec,netto,2.2752126636206047e-06
AKL,2030,DIE,Elec,brutto,2.2752126636206047e-06
AKL,2030,DIE,Elec,positive,2.2752126636206047e-06
AKL,2030,DIE,Elec,flh,116.51432588298245
AKL,2030,GT,Elec,netto,0.04177618129810984
AKL,2030,GT,Elec,brutto,0.04177618129810984
AKL,2030,GT,Elec,positive,0.04177618129810984
AKL,2030,GT,Elec,flh,11.604434255423575
AKL,2030,OCGT,Elec,netto,16.489415183178902
AKL,2030,OCGT,Elec,brutto,16.489415183178902
AKL,2030,OCGT,Elec,positive,16.489415183178902
AKL,2030,OCGT,Elec,flh,97.40244703820595
AKL,2030,pv_central_fixed,Elec,netto,0.00014331889129643138
AKL,2030,pv_central_fixed,Elec,brutto,0.00014331889129643138
AKL,2030,pv_central_fixed,Elec,positive,0.00014331889129643138
AKL,2030,pv_central_fixed,Elec,flh,1146.3952741698592
AKL,2030,pv_central_track_azimuth,Elec,netto,3031.4988407968476
AKL,2030,pv_central_track_azimuth,Elec,brutto,3031.4988407968476
AKL,2030,pv_central_track_azimuth,Elec,positive,3031.4988407968476
AKL,2030,pv_central_track_azimuth,Elec,flh,1821.3557465688268
AKL,2030,pv_decentral,Elec,netto,4.386460973170374e-05
AKL,2030,pv_decentral,Elec,brutto,4.386460973170374e-05
AKL,2030,pv_decentral,Elec,positive,4.386460973170374e-05
AKL,2030,pv_decentral,Elec,flh,929.2728105161507
AKL,2030,wind_offshore_floating,Elec,netto,4.2403844112840736e-05
AKL,2030,wind_offshore_floating,Elec,brutto,4.2403844112840736e-05
AKL,2030,wind_offshore_floating,Elec,positive,4.2403844112840736e-05
AKL,2030,wind_offshore_floating,Elec,flh,3048.270120197165
AKL,2030,wind_offshore_foundation,Elec,netto,5.1913725119753524e-05
AKL,2030,wind_offshore_foundation,Elec,brutto,5.1913725119753524e-05
AKL,2030,wind_offshore_foundation,Elec,positive,5.1913725119753524e-05
AKL,2030,wind_offshore_foundation,Elec,flh,2666.346069694252
AKL,2030,wind_onshore,Elec,netto,2329.8228913325256
AKL,2030,wind_onshore,Elec,brutto,2329.8228913325256
AKL,2030,wind_onshore,Elec,positive,2329.8228913325256
AKL,2030,wind_onshore,Elec,flh,2778.8777926700445
AKL,2030,HV,Elec,netto,6346.843053790089
AKL,2030,HV,Elec,brutto,6685.176613581745
AKL,2030,HV,Elec,positive,6516.009833685919
AKL,2030,HV,Elec,negative,-169.1667798958257
AKL,2030,Population,Elec,netto,-158.03700000000669
AKL,2030,Population,Elec,brutto,158.03700000000669
AKL,2030,Population,Elec,negative,-158.03700000000669
AKL,2030,Slack,Elec,netto,0.41060302493058143
AKL,2030,Slack,Elec,brutto,0.41060302493058143
AKL,2030,Slack,Elec,positive,0.41060302493058143
AKL,2030,Wholesale,Elec,netto,-11807.664999999994
AKL,2030,Wholesale,Elec,brutto,11807.664999999994
AKL,2030,Wholesale,Elec,negative,-11807.664999999994
AKL,2040,BIO,Elec,netto,3.651406389824568e-06
AKL,2040,BIO,Elec,brutto,3.651406389824568e-06
AKL,2040,BIO,Elec,positive,3.651406389824568e-06
AKL,2040,BIO,Elec,flh,860.0936525137326
AKL,2040,CCGT,Elec,netto,1454.7909304565067
AKL,2040,CCGT,Elec,brutto,1454.7909304565067
AKL,2040,CCGT,Elec,positive,1454.7909304565067
AKL,2040,CCGT,Elec,flh,986.4030765778383
AKL,2040,COAL,Elec,netto,1.789050263465373e-05
AKL,2040,COAL,Elec,brutto,1.789050263465373e-05
AKL,2040,COAL,Elec,positive,1.789050263465373e-05
AKL,2040,COAL,Elec,flh,1505.0056614816876
AKL,2040,DIE,Elec,netto,4.084990037575974e-06
AKL,2040,DIE,Elec,brutto,4.084990037575974e-06
AKL,2040,DIE,Elec,positive,4.084990037575974e-06
AKL,2040,DIE,Elec,flh,198.94512324585935
AKL,2040,GT,Elec,netto,4.084989957880027e-06
AKL,2040,GT,Elec,brutto,4.084989957880027e-06
AKL,2040,GT,Elec,positive,4.084989957880027e-06
AKL,2040,GT,Elec,flh,198.94520027686139
AKL,2040,OCGT,Elec,netto,73.1391035937746
AKL,2040,OCGT,Elec,brutto,73.1391035937746
AKL,2040,OCGT,Elec,positive,73.1391035937746
AKL,2040,OCGT,Elec,flh,81.62929599321035
AKL,2040,pv_central_fixed,Elec,netto,0.0002381667567082127
AKL,2040,pv_central_fixed,Elec,brutto,0.0002381667567082127
AKL,2040,pv_central_fixed,Elec,positive,0.0002381667567082127
AKL,2040,pv_central_fixed,Elec,flh,874.2316251544529
AKL,2040,pv_central_track_azimuth,Elec,netto,2839.8394698426364
AKL,2040,pv_central_track_azimuth,Elec,brutto,2839.8394698426364
AKL,2040,pv_central_track_azimuth,Elec,positive,2839.8394698426364
AKL,2040,pv_central_track_azimuth,Elec,flh,1706.1414918526875
AKL,2040,pv_decentral,Elec,netto,9.336221628234626e-05
AKL,2040,pv_decentral,Elec,brutto,9.336221628234626e-05
AKL,2040,pv_decentral,Elec,positive,9.336221628234626e-05
AKL,2040,pv_decentral,Elec,flh,849.3344501274098
AKL,2040,wind_offshore_floating,Elec,netto,0.0001091152928801385
AKL,2040,wind_offshore_floating,Elec,brutto,0.0001091152928801385
